Guess,Weighted Avg Log
salet,6.097099217191206
sater,5.987158967464064
snoet,5.9272230504434065
arnes,5.911458720951001
sealt,5.9098276738322815
sliet,5.8984539534251175
karet,5.88855885434272
kates,5.8804736978207295
lores,5.877736117794676
oanes,5.872306136856873
rites,5.871952663831424
antes,5.863899156171275
aries,5.859201852933443
raten,5.843293122355837
seint,5.8410313345792595
takes,5.833779070586662
tines,5.83006112893021
kanes,5.823047373076924
lones,5.82042380005003
nerts,5.808490208124261
talen,5.804863864975097
toren,5.802933349626184
raket,5.797444178995655
ranse,5.791729847042112
salie,5.777165015570708
dates,5.7693491731225715
solen,5.766003828153461
ratel,5.764919972364845
lires,5.7626892955398095
laten,5.760776258308771
leans,5.759988863275778
toner,5.759677079905591
roten,5.758985747188767
paret,5.756336028671737
tokes,5.755267310967842
aties,5.752869831244297
reist,5.752004295847694
later,5.74965011707417
roest,5.737558039891142
siert,5.736383738559671
kroes,5.736150587117433
talie,5.731501745564225
laste,5.730452748120791
tapes,5.728404084373857
danes,5.727554818719445
stoer,5.727346509973452
mares,5.724439431371262
roste,5.7205375513500725
loets,5.7165640448811885
snert,5.715276786975885
gates,5.714319564901138
neals,5.713121064568382
arens,5.713104958819202
trens,5.712566984418503
reins,5.711200311364464
store,5.711081734361412
naste,5.705212883872035
alets,5.703991738972648
laren,5.703190799806718
laser,5.697251191296911
kater,5.6952829614569955
olies,5.693165394153206
kents,5.68916896856537
oliet,5.684551280319974
ranst,5.679995357839673
alten,5.679891004124733
riets,5.679886858912305
natel,5.678452547949596
trien,5.677042274376482
roeit,5.675354452947243
loten,5.673665929665292
troel,5.673266721141524
stoel,5.671705317616259
palet,5.671027781701602
aster,5.670081487856636
snoer,5.669627018350784
kerst,5.66735050764755
natie,5.663955991908248
keans,5.6636163554897365
alter,5.663214924018745
noers,5.6604871901527645
kloet,5.660145129562308
karen,5.6592426849035276
oasen,5.658033641700472
norse,5.65769970347913
noest,5.655815377650287
stier,5.6553515688277285
rages,5.6543134573191915
lades,5.651531586618874
loste,5.651095024669897
toean,5.650327241481508
mores,5.649649410201468
tenor,5.648984514493019
taken,5.6477294534912055
droes,5.647191257926804
knoet,5.645753667468845
tiens,5.6441838379116955
kante,5.6437614133320855
leins,5.642350239824256
loert,5.640143314031116
riten,5.639271093378384
sarde,5.638404320720384
snelt,5.6383397546418985
loket,5.637129077401322
asten,5.636869727153158
aktes,5.635067928200541
loens,5.633319293047617
slier,5.633144449237327
reilt,5.632896632487845
trees,5.632004504019784
skiet,5.630313069672111
kaste,5.625654824029807
latei,5.624453173660396
sleet,5.623113116254571
alert,5.622351300835274
loser,5.618722567242138
alens,5.618699037031882
larie,5.617626317844281
baret,5.614893270902318
koter,5.614227635684164
korte,5.609629492422947
aikes,5.6088383572703115
trans,5.6084664783899445
riste,5.605834027342208
koets,5.605302986740529
tiras,5.603053480716586
reset,5.601169566180537
ankes,5.60080474854278
toges,5.5983490308923
stiel,5.597397214371272
niets,5.595485798883003
loeit,5.592443844129054
koten,5.592208943094277
groet,5.592085560508161
trein,5.590330851872912
noels,5.589105231390122
neils,5.588927351020421
takel,5.586528352594267
riens,5.5863608377178835
lamet,5.58613427397285
tesla,5.585861452777884
tarde,5.585299175299189
trias,5.585025679595423
karts,5.583400478451718
kalen,5.583053776495799
notie,5.5819022910550595
rinse,5.5815420836197935
raken,5.578598670999541
adres,5.578538083275783
daten,5.578139612623393
torns,5.57756066899176
dries,5.577339733803726
koert,5.575374985754262
deans,5.573707916346616
roans,5.570829276035301
teams,5.56924856413681
baset,5.567697982013509
samen,5.567168206886027
ordes,5.566781820935108
lodes,5.566213840913121
renet,5.564738717330407
parse,5.563322468724819
tinas,5.563308267128702
kaler,5.562984199800502
pater,5.562658791749321
koers,5.562300792281738
merts,5.561093134581792
skate,5.560597211527897
stoei,5.560000480888914
stern,5.558312549579011
sarin,5.557562785764895
earls,5.557470783968465
soera,5.555804092376491
strek,5.555666193455182
koren,5.555192789904407
token,5.554787517749587
tians,5.553122100501733
liter,5.552884856366876
koest,5.549025893986034
snort,5.547499082238293
karst,5.546507037657055
perst,5.545258845512525
kants,5.545051680959853
niest,5.544964695689056
tapse,5.541139059267491
koste,5.541086622967063
sagen,5.540035155220401
tunes,5.539325913327789
kades,5.537645767546775
sepot,5.537299737824584
gerts,5.5345556586318345
koens,5.533314652412133
lakse,5.533227727109052
reikt,5.532234027934631
knies,5.531444904210706
tapen,5.530778003417759
lakte,5.5295928613476395
ranke,5.529291811514529
ernst,5.528011488545333
deals,5.527798742974196
snoei,5.526291391637644
paren,5.524655873079667
tobes,5.523354003546642
krent,5.523311573884055
sonar,5.52256676268866
kadet,5.521880849943882
matse,5.520888068392026
salto,5.520832159989575
mater,5.519770828088714
gaten,5.519457704535218
sitar,5.51896749525441
rokte,5.518954252375141
riant,5.518670770052198
dines,5.515564500215938
deons,5.515434295533258
liens,5.515121673244768
lento,5.513856983958164
gerat,5.513521254871136
karnt,5.513328501801295
dealt,5.512633137460129
liane,5.511273697751753
rotan,5.510700192967076
griet,5.508714525072193
krats,5.5081393429994865
sopte,5.508007538301214
arons,5.506858906471328
arken,5.506702955746599
salon,5.506691096171227
savet,5.50610713802473
norst,5.504695272160574
lekst,5.503521461879457
maten,5.503433218208739
sedan,5.502956683052842
snoek,5.502587932630913
gries,5.501914488079813
raden,5.501802177037661
garen,5.5009404253285625
gents,5.500820675475929
lutes,5.499959332001172
paste,5.499811692219749
laken,5.498917695240649
rapte,5.497570939204294
orale,5.497501365391468
rakel,5.49287752829866
loges,5.49283484420006
klets,5.492075875080935
nerds,5.491782245385804
keilt,5.490991695309359
oenes,5.490242577386559
koelt,5.489914250268178
genat,5.488530145422454
dalen,5.488329415686738
genas,5.487806271578463
sonde,5.487439661940666
nikes,5.486091054057575
pasen,5.4853362256616265
siena,5.484068131586412
robes,5.483877027517
rians,5.482538396715371
poter,5.481911992165962
teuns,5.481428214429804
maren,5.481252384222353
gerst,5.480294102399585
kolen,5.479967230160763
lenes,5.477886030344176
karot,5.4772682344241534
tanks,5.476905513012519
darts,5.476365376930559
poets,5.4753532248471695
runes,5.475005390681426
doren,5.474795732128776
beats,5.473686213067946
roken,5.473030539495347
krast,5.471207579304102
ganse,5.470493946096598
broes,5.467509072197435
asiel,5.4672681828453475
daler,5.465116421897707
kiert,5.4645907833956215
rapen,5.463667866857495
teren,5.463357835635416
klote,5.46161997806019
train,5.461331909438069
manse,5.461290543580085
solde,5.4609331328723725
loeks,5.459330736572843
gnoes,5.459011153066598
rails,5.458940597441103
talon,5.456893006770279
teers,5.455626060219447
poten,5.455609748801544
gaste,5.455323960516745
treil,5.454137436738102
tiran,5.452793808705994
deint,5.452370158995913
terne,5.452135475210621
deins,5.451353454463088
topse,5.450171894766585
trage,5.449956850248149
aleks,5.449819700381583
serie,5.448769752379353
troep,5.448218021193848
poert,5.448143052702031
parel,5.447562933886265
ramen,5.447410853616967
berts,5.4471218085515805
mines,5.446924126195137
motse,5.446736713167282
tonde,5.446551976558417
steno,5.446006217251971
gilet,5.445363776842239
klare,5.445180614629744
palen,5.4445810953156455
penis,5.444522367577603
kiest,5.443264788319429
malse,5.442481034816008
snakt,5.441875467742293
neles,5.441874137001742
kient,5.4405705731156075
spert,5.4404461554795205
gelat,5.43920359610172
karos,5.439089204602137
lokte,5.439076011956632
gerot,5.4386951270774
steil,5.438002134509227
kreet,5.437662060779111
amies,5.436103086599946
arden,5.435873026832893
rankt,5.433387616444015
goten,5.432107092202861
doste,5.431529002172382
akten,5.430486616038724
morse,5.430207173138706
ragen,5.429852140662843
kiste,5.428502795531218
laden,5.428269484925921
kroel,5.428009814067619
galen,5.426173614683125
nokte,5.425947733053091
maner,5.425141497431316
tomen,5.425065496225793
kilte,5.424152853374084
moten,5.423856788442575
inert,5.423717919311731
lapte,5.423406993059385
krant,5.423214100217219
reten,5.4230912580761
riekt,5.423000507957743
rinst,5.422395102692522
lapse,5.422386045508018
gerit,5.421825401386818
sajet,5.421716303349805
barse,5.421688469332612
klats,5.420738610024548
hales,5.419986766692714
bents,5.419718400148786
drent,5.419622018499493
narde,5.419226726856545
strem,5.418499579192677
lunet,5.417302518131615
sabel,5.416002951285923
marts,5.4158242482719485
roept,5.4148788112280215
prest,5.414378162328532
rials,5.413856197918842
moert,5.413526491398806
panel,5.413439390400826
oplet,5.413216191271738
lians,5.412149483373291
wales,5.411226514359954
alken,5.41121951574286
limes,5.410863812928022
genot,5.410853648110034
briet,5.409939496960044
korst,5.409859641875354
tolde,5.409428781267566
leidt,5.4090236572232895
ropte,5.408024656553298
krees,5.407437196244675
dames,5.4073263371318765
lunes,5.406611374106888
peins,5.406417436378863
rikte,5.405382662070067
roemt,5.404981879250307
nails,5.4039744660673446
baten,5.403955130642925
lease,5.403533597705897
kanis,5.402843968332162
malen,5.402367754353361
drens,5.402124713108688
danst,5.401886095758679
stage,5.401111403014076
togen,5.400520210836228
sloep,5.400132255917116
lader,5.399600855291794
koine,5.399368266870014
salut,5.399329907928566
roden,5.399185845302877
bries,5.398991131668196
grote,5.398376536743706
nader,5.397478756906452
berst,5.3962896344634235
stoep,5.395994594737527
sloeg,5.3957338576144105
erins,5.395666585272256
