Guess,Weighted Avg Log
1skar,3.1173143543437773
1stak,3.1000689306627525
1sbad,2.9784820284039006
1szak,2.9500637564362093
1sbal,2.8810947601100745
1kl1n,2.881094760110074
1skap,2.790767239125583
1sbar,2.7381493331928657
1kten,2.713386322777742
1sb1l,2.698372494871466
1sdam,2.6714055834424966
1lden,2.6685581249368444
1lend,2.6685581249368444
1sdek,2.640304225474276
1sdag,2.6031579868725987
1sbok,2.592415283249794
1shal,2.5262349099495225
1sval,2.526234909949522
1st1d,2.513493416679643
1kers,2.3267721485152837
1zelt,2.3267721485152837
1skou,2.3135990869499405
1lste,2.2827241859104124
1sman,2.2485702580697673
1ssla,2.2460728901362805
1sden,2.1387720668284853
1king,2.017470456978114
1svr1,1.9021748142117278
1dele,1.896108588016351
1zers,1.8740217065543314
1vert,1.7970986296312548
1lere,1.7730114897389875
1sbox,1.7483286603655737
1sw1n,1.6597224094502603
1shut,1.5537651978285885
1zing,1.5537651978285885
1zige,1.375879645150813
1szee,1.2989565682277364
1sjes,1.1160762796829875
1'tje,1.075875645896709
