Guess,Weighted Avg Log
aries,4.457028818816548
arnes,4.358734275230455
aster,4.338746877336766
arens,4.336463532963053
amers,4.32052976989849
alras,4.307163591104175
alter,4.284312819357942
alens,4.2641460802022335
antes,4.248641862298534
adres,4.241937376392181
arans,4.241299662052952
alems,4.240864408648471
asiel,4.236700293435604
arena,4.2341886200278065
alert,4.2165436048403935
amars,4.1994907681734555
amies,4.184034376621716
alets,4.1794655331019
alsem,4.175717183122113
asten,4.163532214600915
aties,4.1609599359266864
armen,4.159067801221851
amels,4.158634915019439
alias,4.151309000413847
anale,4.133186898146757
arams,4.131254822172201
alten,4.122150698100642
arden,4.11895317704741
alans,4.110134163052188
aders,4.104933491518592
alarm,4.092829190518415
ander,4.083368885510049
amirs,4.039079262937322
acres,3.9804205061443754
arons,3.974425536361091
amals,3.968571942585581
adels,3.9657086719048285
aldra,3.9566003392117373
amans,3.950731209350735
alant,3.9485816897782136
adens,3.9431612212236193
aaien,3.937849305169725
adert,3.9326810368823044
atlas,3.9297244177282376
arend,3.9180007294218755
armoe,3.9125941279933842
amine,3.899473887935545
adems,3.8847451949982474
aride,3.879608570241088
algen,3.878712501318624
asman,3.869553559566927
aarde,3.8598529505182424
anils,3.8514135926391635
atria,3.847827057392102
aards,3.841230250608424
afren,3.840985289733681
anime,3.8336048408635954
amper,3.8309652861699584
aalts,3.8287614981091216
adans,3.8247203817664803
alecs,3.8239087767989486
angel,3.8210964024649714
astma,3.8133036893807257
agens,3.8099935381936714
alpen,3.8089182299755797
armst,3.805614819605381
aasde,3.801387782111203
aroma,3.7802810886184175
aruns,3.7766259945145353
anjes,3.7729234166446814
asurn,3.764456299880294
arken,3.761222792174201
amber,3.756043794918287
akers,3.7559915644453774
asser,3.7549390000659506
aleks,3.752765077522844
alree,3.750892217218257
ankes,3.742727198690742
amant,3.736404702791972
alben,3.734226497361627
amins,3.7322385267107907
anker,3.7308986473975336
aardt,3.7284398994598313
anjer,3.7257647148250643
apert,3.721889312723808
aleer,3.715798108910442
avers,3.712431439438268
amons,3.7068384845844604
adelt,3.7039561838965183
alver,3.7033204420004173
asgat,3.693903707592683
arren,3.6902105765442927
amkes,3.6878203017072626
apart,3.684669552160136
audes,3.6801646618185933
ademt,3.67640240919091
adams,3.6761109240520415
amits,3.675442899013386
amuse,3.6735430028324463
anita,3.663645626896259
aston,3.6625406722324314
anode,3.660553284423917
aksen,3.659134396988222
aktes,3.6541982506692703
adils,3.647373429107036
agame,3.645232088798743
askar,3.6439897195445443
alken,3.6429139250158653
ampel,3.641395007916624
anses,3.6253725130043577
alles,3.620755886669017
aorta,3.6126391342167317
alsnu,3.6109548411054533
aaide,3.6023301359239133
aller,3.602214516043345
armee,3.601900763631752
aikes,3.596225372979204
amsoi,3.58841632571329
anima,3.5793155122970335
agent,3.576078492085961
aftel,3.5710303850566105
assen,3.568846598505387
amati,3.568512221680921
aftar,3.5656991385097534
abten,3.5625109986535524
aften,3.556235540929407
adios,3.5489798773320462
arifs,3.5404295575207536
armer,3.527982625302402
annes,3.5256168058726223
aluin,3.515754679223882
aldus,3.5064992436253735
aasje,3.503628800580591
afris,3.501615433531667
aflas,3.492089057919938
argon,3.4870931276872636
aapte,3.486309407001991
adieu,3.47727241919843
allen,3.477065658789331
almee,3.4762909006168345
akten,3.4762026601746654
april,3.475518321767376
asdag,3.4699235936487822
axels,3.4655474117185308
argus,3.4626487453594725
atzes,3.4616976316788333
amer1,3.452436620725968
argot,3.4507827464993532
assem,3.4472520017405532
afros,3.4451005376080213
afsla,3.427186157894202
akela,3.415317091782731
atjar,3.398806531611565
amice,3.3948207686527687
actie,3.3907922284458216
anten,3.381712276873502
