Guess,Weighted Avg Log
boren,4.740161688161371
boter,4.718689637398963
broes,4.702664860762755
baret,4.651874213721399
broei,4.602796769003209
briet,4.597366776093424
baren,4.580588191198302
boten,4.5640222436762565
botel,4.5482322326389655
bries,4.530493305745451
berin,4.52565252243675
boert,4.5021236091875645
boeit,4.4421733887279276
breit,4.436157383856052
bloes,4.4179051119238135
boers,4.415805348293833
bonte,4.407809751918915
beton,4.398816485243099
borat,4.395621062500618
baten,4.392573550053699
baset,4.388219963940159
barse,4.3878206867792695
brein,4.387063870980556
beril,4.3809012120213975
berts,4.359304691693211
berst,4.353130424375378
broek,4.342122342912242
broed,4.334762157515389
bloei,4.3319056531576745
boent,4.328010634751406
baron,4.3161107376547
blote,4.315640097557986
basen,4.305158797300402
beren,4.300864509002135
boste,4.297813467463614
baers,4.2920681253869875
balen,4.288597209434634
beter,4.253982834854905
balie,4.249721481444965
boets,4.23813061242105
blies,4.234957446058897
belas,4.227254713622065
beier,4.2252383279483645
beats,4.22015736402053
boete,4.20623417970171
bogen,4.201321193719186
buret,4.200209762241084
boden,4.19546273761216
broge,4.1925367568570975
bents,4.181729915428396
beits,4.178637908129528
bodes,4.171665687860932
bergt,4.163152479512739
baton,4.160276196837351
beten,4.155692856938473
besta,4.152602099354356
br1en,4.150801753288197
baste,4.15041110163046
belet,4.141224734080128
bomer,4.132109416772696
bader,4.129134393118743
beien,4.114260419217189
blein,4.110225807412397
bozer,4.10955320468876
borst,4.108105536514319
brons,4.0995063335505195
baker,4.096610185736615
boute,4.095734260653417
bitse,4.088200264020578
buren,4.088186887592957
beert,4.086774408595696
beate,4.086456405679363
bedot,4.086103944713177
betel,4.079885484433034
bloed,4.078296872522287
besla,4.072498565985795
bogie,4.06988824584414
bokte,4.058958630385937
beurt,4.057759094307047
b1ter,4.0555777826938035
brost,4.046359307657087
biker,4.044287038830568
biste,4.034432051475067
baden,4.027128926675883
bomen,4.023744401751516
begon,4.0199178197575725
brute,4.01946284193812
barts,4.0193864002728015
bagel,4.019113379517654
buten,4.018308305368879
bidet,4.013769051076578
break,4.013084812721765
broze,4.0125037404213835
breid,4.010587002395989
benut,4.008288982082855
baken,3.999137029362952
blees,3.9947260512240534
beidt,3.9932701476161045
barst,3.9845198658358694
berks,3.9811588964317353
biest,3.9799431457140035
boekt,3.9780345157727424
broer,3.977470699359078
biets,3.976214786251449
buien,3.9757289132757747
bolde,3.9683134040178136
begin,3.9658442763239283
b1ten,3.9633366670894814
boven,3.9551841742918166
benig,3.9540478384249176
beurs,3.951118532714494
brast,3.940116111261564
breng,3.9395900820178773
biels,3.9312119900991425
beent,3.9310095933948497
belik,3.924597166786785
borgt,3.9238041081574524
beste,3.921338955471405
bloem,3.917334780304239
blode,3.91607318040903
barok,3.915309586765434
bange,3.9115097304900694
