Guess,Weighted Avg Log
cameo,4.200958587920757
caret,4.02541428047324
carls,4.004142387030561
circa,3.8994942345787034
chiro,3.8993660796808167
cargo,3.892154345370135
casco,3.8787658378709384
carve,3.829072251773935
close,3.8180895422315535
coach,3.80230305325859
crash,3.800817982153082
credo,3.793216514275811
coens,3.788264700121213
chaos,3.7723733961679686
cobra,3.7693090544266767
cains,3.735057404339193
cache,3.73499650496216
cours,3.719520898944603
camel,3.7104388753240634
cover,3.7039586311174753
crime,3.7013776473784388
corps,3.664738345907616
cians,3.6575651310303985
cakes,3.6487621987843593
curie,3.648231746611613
canto,3.647832458500758
clans,3.644096780412663
capes,3.6372155741099803
cokes,3.6351449547770875
clean,3.6313170636227508
coole,3.6264787516458
cacao,3.622188659842923
chers,3.5994046715986623
codes,3.590410641990626
corso,3.586994504751792
cobes,3.5804470127434733
chape,3.5782065431188856
clark,3.565947541485157
ciels,3.541391503538753
claus,3.5242909668776883
corgi,3.5123451260599854
crost,3.4969546873632225
crank,3.4787154740499586
claim,3.4682118380857943
coupe,3.459797232727963
croon,3.459073857853908
choke,3.4555304011560386
china,3.4317052822753324
codec,3.4149085385155704
coxen,3.4057456838576505
conti,3.4016341813780553
cases,3.399572343310815
chats,3.392715572346419
crack,3.3808775852340367
conus,3.3765157647639756
chads,3.3505405224324436
conga,3.3459223823197664
cadet,3.3419342132303442
citer,3.3365465868797357
clous,3.33265601796125
camee,3.327336615410095
colts,3.3000529054023957
crawl,3.2708117352287034
casht,3.2651914766867898
cools,3.255350292330231
chens,3.246683173247634
chant,3.2357386632642022
cider,3.2332329930927926
cello,3.208140184282408
canon,3.175081796055559
crews,3.1532745147308274
cross,3.1449377965141476
carga,3.1427267764679927
camps,3.1406122415318523
curve,3.137821125850833
cocon,3.1024047667572816
choco,3.042303798867928
clips,3.0084778886522483
coups,3.0014365797119815
cents,2.9974352165853326
celen,2.969197588955955
click,2.947107200094203
cauda,2.9450807865327002
cocci,2.935546689875629
colli,2.9281174772390206
combi,2.925819924895452
conto,2.922664401001349
codex,2.922571989705033
coupt,2.9150118777723764
cavia,2.9113104436412702
clown,2.9087232947179507
casus,2.887921678068546
crazy,2.8786642253473156
chuns,2.8720834124932937
cyaan,2.8628774673449584
casts,2.847174669965307
cajun,2.8262836435158687
cycli,2.8101683945884304
chook,2.80167394790072
civet,2.788170639314794
check,2.7793532424198055
chips,2.771325502235092
campy,2.763448433001223
caban,2.745307501336778
cyste,2.7366393894467134
chefs,2.7289890578766185
ceder,2.688671295770207
collo,2.6520804278717685
clubs,2.649489313371963
chick,2.641914634417229
combo,2.630699491647817
cirri,2.6017222180224473
chili,2.572299141752926
chimp,2.570311911353712
crypt,2.5445109914469137
cedel,2.5397505094278503
curry,2.3617970854760038
cupje,2.2971212262021083
c1fer,2.2815202960345897
cumul,2.1680512955539895
