Guess,Weighted Avg Log
doren,4.622677982877173
doler,4.483328958320987
drein,4.477006467789016
diner,4.454277128076242
droes,4.441025871805645
dolen,4.437850127975052
drain,4.400723664284879
droeg,4.382771645921532
deons,4.379367189261517
daler,4.356654616169661
dogen,4.318660528266608
dalen,4.31501363085695
drent,4.281542977029455
danes,4.261612537767708
daten,4.261345255716967
dager,4.256360712960576
droge,4.246059310574029
deans,4.245264288260518
deren,4.241749486917007
dries,4.237031401719504
domen,4.227489043894746
drieg,4.217308849137183
dinar,4.215259435177368
dreun,4.201820855486656
deint,4.1870643320552645
dagen,4.1749358956506315
doder,4.169809984952542
duren,4.167646096083675
deern,4.154887744152665
drens,4.151432576917754
dines,4.138234534115064
doden,4.126920202856124
demon,4.115717951046699
deler,4.113587275673515
doken,4.1012130047220845
drong,4.086942781096879
dient,4.082814776384591
deins,4.08229521683489
drang,4.062765987121696
dader,4.060216445421852
dover,4.057975858208019
dreig,4.037697379686013
delen,4.0332886088554245
diere,4.0330139917526555
denim,4.026507753230221
doges,4.018729920466081
dions,4.013978912327989
doper,4.013306001449967
dorde,4.012211129187345
doven,4.010988073999587
dopen,3.9956205416093877
doste,3.995075216313255
doend,3.988875700779137
doelt,3.987712451965583
dozen,3.980085218517687
daden,3.97085017501857
dealt,3.969746706509682
dregt,3.9684832463847903
daken,3.9631804135003814
diens,3.9580979436642876
dates,3.954146823085472
daver,3.9474510181821754
degen,3.945144483945176
darde,3.933597351664028
deunt,3.927688927155288
droef,3.916282353090024
deals,3.9142855242085877
diors,3.911864094245107
delta,3.9096165550365747
dring,3.9075686599904627
dians,3.8854812151049827
dieet,3.8824529059712853
derny,3.874205860753313
decor,3.858072811972311
dalem,3.8533570383675277
danig,3.842931602830032
deert,3.8385194376281437
dorre,3.8347740262397942
dazen,3.834042842709827
diode,3.821279000330809
dunte,3.8075860964278743
doemt,3.8001229178511498
dansi,3.7826950145872997
dronk,3.7719168838159636
drank,3.767773940540593
dames,3.7646599378027017
drost,3.7624019350764977
dingo,3.753608404443092
dokte,3.7513382627075993
duale,3.7396726707569186
deens,3.73847390711193
donor,3.7368871478204606
denkt,3.730522018638211
dorst,3.7157198954634856
drast,3.709750434518772
drive,3.7060456402797404
dooie,3.7050603045864854
danst,3.7045873339752555
doorn,3.702965616035002
doema,3.7015552712485307
delgt,3.6993844140866963
drilt,3.689962458590296
donut,3.6891576349098623
darts,3.6870384185403253
deden,3.6794904935951602
dolde,3.6765133374954604
dadel,3.6746158721303237
duwer,3.6743625109089635
dramt,3.6650610702428215
dopes,3.66176855409533
dromt,3.6605532831122303
derde,3.6488436266358195
deken,3.648307361342937
degel,3.646404032269578
diets,3.6250634343453854
dezer,3.62292091820198
dopte,3.6200657785048116
depri,3.615753916291742
drink,3.6149498636888393
dawet,3.608474203893977
dingt,3.6006988709956844
druis,3.59909747907138
druil,3.593097759625289
duwen,3.5773081631330736
