Guess,Weighted Avg Log
eisen,4.37107705412189
enter,4.351844952502284
etsen,4.268390709293418
eiser,4.244028921631955
esten,4.215806034876547
elies,4.2128230124056545
elite,4.19062887939666
etser,4.124314361061289
eigen,4.1140310733668635
eiste,4.109937631944692
enige,4.0799679809445175
ester,4.0791173740189635
engel,4.045158591190069
enger,4.044532018355785
engte,3.9785099117364555
erins,3.960166309710213
eters,3.930443249063893
erken,3.9300310341234623
ernst,3.921021246811862
eicel,3.8992938255727547
eider,3.8855992207613848
ertoe,3.8723593800873535
einde,3.85864248815033
erven,3.835904789331628
enkel,3.8340791439336073
eiken,3.8321578892246375
ether,3.831079234020273
eindt,3.7887597283939414
eiker,3.7449566813260757
enten,3.7322183032217318
entte,3.7295359219772624
etter,3.727181015289472
espen,3.7085787400559456
etend,3.707340302513758
eikel,3.703398645863968
elven,3.701662137227278
elins,3.694813642886452
eiber,3.693902870311298
elpen,3.6908162169646426
eruit,3.6662582584134107
egden,3.651513025545211
elzen,3.6272109947684466
etage,3.6224336956818726
ergst,3.622433695681872
evies,3.616730580804802
einze,3.613027442053845
eitje,3.6034588924988267
engst,3.5930279087113544
elfen,3.590779383999928
emres,3.5635808324393854
elkes,3.559952806742949
erics,3.554820153821438
erpse,3.5540629229794303
eerst,3.5519086365981716
eises,3.52070569229378
essen,3.505279278268691
ellen,3.502530084580533
elzes,3.5018085157544214
egale,3.442298166309924
elses,3.4339795613586466
etste,3.433412215349744
eriks,3.428342653232265
ergon,3.4070745329418655
emirs,3.399312666376547
estse,3.389922571079421
egels,3.3825786744361372
erica,3.381262168927897
edins,3.3671649136897295
emelt,3.366012702985802
etude,3.3589272981073175
eter1,3.3550407140788656
erger,3.3317435805008055
etuis,3.316362688581641
emins,3.3067216577627945
ervan,3.298991676021406
eggen,3.29367056972246
ebden,3.2863019119144306
ezelt,3.2812532938667243
edels,3.27000588960385
enden,3.2566643222588723
evers,3.2208953735190318
ermee,3.212337873131734
ecrue,3.211291009065004
erfde,3.209125987210318
edict,3.208651505904658
eraan,3.188893665684005
email,3.176829796509487
emoes,3.1634397683855084
enken,3.154865826512655
echel,3.1538621957271515
emils,3.144549232122495
ebens,3.1416399359672758
extra,3.112596012573301
earls,3.0970400355479093
emkes,3.0907134009427613
echte,3.088309141038261
enorm,3.0856143398293807
eland,3.0851537428365194
edele,3.0734938616675365
esens,3.0734103759194955
erker,3.0664345321215793
epiek,3.041992887290658
euvel,3.040806590315765
edese,3.02906301030394
ezels,3.0242373017742183
elpee,3.018322222331303
exces,2.9934049609950573
elfde,2.981297259364057
eerde,2.966833108096449
egons,2.9630627820453648
egard,2.9426311956432483
euzie,2.937807615093734
emans,2.9351600418734933
emmer,2.9272609504605596
eivol,2.891106300082595
esmes,2.8873137412895122
eekes,2.852153953485486
ebben,2.84784331517649
effen,2.8070084566254865
emmes,2.795127181597907
ethos,2.777437854864248
evans,2.769407102177556
enfin,2.69626300819995
elfje,2.6939035046878352
ethyl,2.668974868762733
ewans,2.6022414347815017
ebbes,2.590301739622851
exact,2.573758536424213
eiwit,2.544886394744287
educt,2.5420484828609675
eloys,2.513538635640234
egaal,2.4955213959310667
expat,2.456465313610844
ebola,2.2773802352583647
echec,2.2717562801559668
enzym,2.0328270827514516
exoot,2.020383449769735
eggig,1.9384105417034432
essay,1.898174562770424
edoch,1.8595882539245985
