Guess,Weighted Avg Log
fries,4.676766791047426
friet,4.669341106712711
forel,4.6517826042153665
forse,4.636606766460511
frase,4.58177471056136
files,4.575372246250563
forte,4.569612834312607
faire,4.557741623444632
falie,4.557064103869665
foert,4.536571923192021
folie,4.501410363277081
floer,4.500239929477984
filet,4.500020047703658
flair,4.445325117861561
foren,4.430221948105855
frets,4.424983960052701
furie,4.411365957981695
fairs,4.386765264477018
falen,4.378033044778195
flora,4.37649506344753
flets,4.344390543484836
freon,4.344321471832961
fiets,4.329268705563232
fasen,4.32516048302302
fleur,4.320916320613038
flirt,4.320603320605283
fiens,4.308964988114499
fruit,4.300229293183875
forst,4.297247451596311
flors,4.292864334136866
flens,4.284630163715036
finse,4.28192936391193
forti,4.281693010302936
frats,4.281491323060736
flati,4.281215718755702
flats,4.247400863766269
fielt,4.244686714841995
felst,4.242599056775661
frist,4.236272339916966
feilt,4.1964669173098414
flits,4.193683997118479
frans,4.192271651115492
fluor,4.163729113006229
foute,4.163301159873158
fusie,4.161572155283661
flans,4.159955647876154
fiere,4.158755455352701
flost,4.146049705790314
farce,4.1437085143285675
fluit,4.139174822227139
freak,4.12057971710769
frees,4.117265388498006
front,4.102323905594451
frons,4.09306311337975
fleer,4.086590615156514
frame,4.082385799151073
fenol,4.08059696948273
facie,4.07083723381044
foyer,4.050617458266267
fikse,4.006597312287314
faket,4.002162556188805
frust,4.000867415845577
facet,3.9961427627167967
farde,3.97887455442543
fayes,3.9623040737123656
fonts,3.9510972460445193
flyer,3.9271416290773495
fakir,3.922211945770429
fokte,3.904500943930193
freds,3.904169962781563
facit,3.8660339234593906
fiber,3.8422611550003154
futen,3.8373742050973423
firma,3.8362131421544587
fases,3.811714070872921
flikt,3.810319274232148
fabel,3.803232603803279
farms,3.7708627624259323
faken,3.7705364643481007
films,3.749075690796122
field,3.7372455896099117
fords,3.7353030409343755
fobie,3.7126325348313842
forma,3.7123889223263764
franc,3.706970264049218
farao,3.7034601290012255
flard,3.6834634344029427
flank,3.6581268165153484
frank,3.6547364293179565
floep,3.645618692127081
feest,3.644849916788112
filmt,3.635070962091653
fikst,3.6305860390621167
futon,3.630272700254243
fieps,3.626418926254873
fraai,3.616459650017383
flink,3.6089114084110836
folio,3.604542627231944
faxte,3.59556090383111
f1ner,3.5926570975776713
forto,3.592625164153234
fiool,3.5892844857418806
fitte,3.5767354730963388
fusee,3.569469465390339
forum,3.5615850260297397
fluim,3.5485766507446117
faalt,3.535915450748209
floot,3.5353688226692515
fopte,3.525047113260698
fluks,3.5238959861242245
flapt,3.5008933935732935
ficus,3.4934640425641272
fysio,3.484043154955965
focus,3.4828304095732503
flash,3.4792068067064443
frigo,3.4728461135390334
fleem,3.4641773588413125
floss,3.4635468634917257
faxen,3.461313200459624
flips,3.434366073763177
fazen,3.4304073671468953
fuads,3.426374990552133
flipt,3.409218175914297
fitis,3.4052361720973887
fagot,3.3948155662168564
foxen,3.394140999590104
fonds,3.390362829414975
fossa,3.380640481969301
feces,3.369693043555972
flops,3.3636806605342033
flopt,3.359710657616171
ferme,3.349617259914867
flauw,3.300867288284851
fatum,3.2994226387905914
fr1nt,3.295490993935557
f1nte,3.292388994979799
fauna,3.275770462727982
fitst,3.267567280818103
finns,3.2405173425866134
fnuik,3.2366318579523674
feeks,3.221684738250652
femel,3.2181161469061133
foton,3.189750224428883
fiche,3.1263269834453298
fuift,3.1222038162302304
ferry,3.0620982565386377
folky,3.0452603641916896
facta,3.0441974668966405
farad,3.038574986290793
febes,3.0365014638246035
f1nst,3.0119209560443805
felle,2.9660066099149636
fundi,2.920405308450707
fezel,2.907041686152393
fahds,2.8523724124865133
fungi,2.805965199348726
fatwa,2.674685602448318
fylum,2.6665484821257053
fjord,2.663776607835393
f1fel,2.6593243111902694
f1nen,2.541769419185475
funky,2.5253600201072497
fichu,2.4801702323738315
