Guess,Weighted Avg Log
griel,4.37374963855476
galei,4.364983667259481
gelei,4.364897415173603
gerei,4.352790346885436
galen,4.312228698846666
groen,4.3029216794687155
groei,4.30162615523358
garen,4.300501529947258
garoe,4.2972130932017265
grien,4.294168718093825
geler,4.279549008502479
gloei,4.249857010533944
gelen,4.248808714416426
geile,4.246449474215134
geien,4.244509427860913
gerit,4.235252644163636
griet,4.231500633086008
geren,4.2269696736822375
gener,4.199092290266324
gries,4.180510250001279
genie,4.161938521445988
groet,4.160462715578198
gaine,4.160107644517897
gilet,4.15966362465273
gelat,4.1393522395628315
gerot,4.126205890818441
gelet,4.112628771634625
getal,4.0912625263074816
gamel,4.080753561284538
green,4.077845302970001
grein,4.077081986266117
genre,4.075266448571728
gerat,4.069619947704916
gaten,4.0672384571793465
gesel,4.060149771392658
gelid,4.060000325695343
genat,4.038370808377164
gelui,4.035074586641956
gesol,4.027475553176383
geilt,4.025409379809881
genot,4.014319927245534
galon,4.01265433372186
goten,4.002769984247024
genas,3.9827540397534107
gesar,3.9714851691868116
gamer,3.971246109840698
genet,3.9694959621917216
gamen,3.9670641740999653
geide,3.9589828416716895
golem,3.943717129601319
grote,3.943349671150153
genes,3.9336111247761325
gates,3.9320303811107014
gered,3.930533929298107
galde,3.927107127435271
griek,3.9178837473650225
garde,3.9160527524038318
gaden,3.914772699318746
gnoes,3.912955192666024
gelik,3.9086881751455405
ganse,3.8883748763594173
gloed,3.873355510770983
goden,3.8580614084560363
geuit,3.852322311250692
gekir,3.85033441173874
gemor,3.8491826625955277
gegil,3.8486355143097684
gagel,3.845295550981259
geram,3.843519461773452
gerts,3.8412759802011034
gelig,3.8399990999887255
gerst,3.8368065925458277
griep,3.8309868838549432
games,3.829435498334966
grief,3.827965092629188
gazel,3.8278302640960042
geert,3.8223526666704264
gamet,3.8203066879405148
grime,3.8180703337925532
geard,3.812819342615596
gedoe,3.8071376876828102
griot,3.804535310658974
gemis,3.800369353513388
gebal,3.79959981042125
gaper,3.7991248126722743
groep,3.792203758262163
groef,3.7871848519408107
gebel,3.7817652967655966
gewin,3.780027095532
gelag,3.7702539474819274
gaver,3.7637985493162187
geelt,3.76232550740865
gemot,3.758410907272773
gemat,3.745341475073407
grint,3.7425428169305985
gaste,3.7375026855184865
geval,3.7369851370338734
geldt,3.736940709622015
gezin,3.736614907439689
gemet,3.734163610114115
gewei,3.732446132018061
gapen,3.7311611912328204
gewon,3.7305155401887102
gails,3.7209795924332867
giert,3.7203420235799856
geste,3.7193766201533833
gilde,3.7173072906757247
gents,3.7152903620635325
gezel,3.708394967732256
gleis,3.7079512711971008
germs,3.7076336573474777
geels,3.7072681597772625
g1ler,3.7032475131424505
gevel,3.701266312020769
gaven,3.6999471548705376
grens,3.698857224572066
genut,3.695750392488108
gogen,3.69552162034144
garve,3.6882278400450708
gozer,3.6853244909987635
gleed,3.679430075354618
geurt,3.6758747543924697
gazen,3.6628078507286705
gekit,3.6607730742588225
gepen,3.6575876298971006
gewen,3.6507491720801983
gever,3.6496260630050084
gepit,3.6477017488605408
getik,3.633100558157397
grilt,3.6251141967308254
goals,3.6244400877288965
gabes,3.6238184259223396
gekat,3.6215490239480332
genus,3.620767108150435
gewit,3.612917423267664
grage,3.607450780235608
gages,3.604546492827208
gelal,3.602518642654897
gebit,3.601277235521539
glans,3.595548697255479
geven,3.595067323738032
gelee,3.5946908103007327
gefit,3.59437838973034
greep,3.591664980515228
grove,3.5907104230059375
gians,3.589925943516035
gneis,3.589020053381615
grond,3.579630926104036
grind,3.5775629361515797
grolt,3.5751915183090723
gevit,3.57182475663901
gebat,3.558972870243312
gewis,3.5577786702983425
gepot,3.555005498519168
gazet,3.5535937316800275
giels,3.5486502398939725
gehol,3.5462890739130746
geest,3.5443570802703808
gekes,3.537294653095509
giste,3.535188617242462
gebot,3.5349438231848627
godin,3.5256994056115505
gebet,3.5209566920130606
grist,3.5119482246777602
gewas,3.495671398244467
gewet,3.49549750009536
gakte,3.494590103617491
geluk,3.4924778765700157
getob,3.491926763617114
goede,3.490816459949729
galmt,3.484942527051401
galop,3.481132215193919
gevat,3.4746573417076907
gekte,3.4710219826859894
glens,3.4636379443753076
globe,3.46262165882533
gezet,3.451195739958699
gruis,3.450096038407449
gapte,3.445536494216872
gevet,3.443883900774986
gemok,3.438213783898433
gedut,3.434246435722496
gemak,3.4249421649684937
grimt,3.423811608467893
graal,3.4234375878276637
guano,3.4231937062010047
gorig,3.4225946014750797
genen,3.4211823336090554
gromt,3.4088068907387927
geoha,3.407829619105413
giraf,3.407567686069304
gajes,3.4070935867871657
grims,3.402179589812975
gazon,3.398566970942182
graan,3.3984936937164325
gedag,3.398187868617976
graai,3.387849878788594
gebod,3.3768455810312235
gordt,3.375243909777632
gejat,3.3724992822001427
gebed,3.371646577231133
gayes,3.3664563541015036
ger1d,3.3658192840125025
gehot,3.338629501265266
gewed,3.337145878716464
gokte,3.3338997881711028
geluw,3.3295423209540687
ger1m,3.3291643989676443
gesis,3.3255063058372722
gladt,3.3249723502607296
glimt,3.3146232867574175
garft,3.3109911564850787
gekst,3.307174144382577
gomde,3.3024292188441455
gonst,3.283881347246622
gelul,3.274781422655532
geeft,3.2736945860275366
grapt,3.2722945131642764
ginst,3.271203201817685
goeds,3.266828893653382
geuze,3.262384995747466
geeks,3.258402139891365
gunde,3.257947520516838
gespt,3.2563077925199546
gonje,3.2530773045426136
graat,3.2523399258018237
gebak,3.248094920519397
ge1ld,3.219437991787119
gel1k,3.2170956713632384
graas,3.216298244578412
gesse,3.215707232843246
geput,3.2125205505748524
gregs,3.209221441139636
gehad,3.1909299246044243
gigue,3.1803334392451545
