Guess,Weighted Avg Log
haler,4.3814490045088546
hater,4.321835686804954
haren,4.228296558814623
hales,4.218207671241151
halen,4.1597914230889
haten,4.135194666567224
harem,4.122200768333641
halte,4.092448181947287
heila,4.073082240257667
haper,4.062613139578326
heisa,4.040308211614255
hamer,4.036187597048166
hagel,4.022786505531333
holes,4.013162253478872
heler,4.008003654982795
haker,3.995558985703697
horen,3.982486558411333
hamel,3.9753281671883305
hoera,3.972174364566592
holen,3.971139791383945
harde,3.9700016986042472
heros,3.962384603871277
heier,3.9606993042733505
haver,3.9578030340923696
hotel,3.9571300739170048
heter,3.954266574398528
hagen,3.9413112913862394
hamei,3.939250949827574
heats,3.9353042176181847
heren,3.8808083391607875
heins,3.876547080774795
heser,3.8718719972665245
hades,3.8713237327388175
helen,3.8695979989347453
hamen,3.8476411627259
holte,3.8467021658361693
hoger,3.8429257091554594
heien,3.8223581698512406
heten,3.8208896724047654
haken,3.8164409139080817
hayes,3.8148015792724443
helse,3.8113164939504447
hapte,3.800787202267811
hoert,3.7988405332512105
hanze,3.792833731588037
hoeri,3.787446736587793
hoela,3.775487452657044
haven,3.7737181560593034
halve,3.7651935892698853
hakte,3.7468277313211655
heers,3.745116134952966
hesen,3.7403543842388496
harst,3.712683414309462
horde,3.709175600208499
helst,3.7006807822676206
henry,3.6999073977789068
hogen,3.6997599568514095
hevea,3.6987579692438657
hopen,3.6872494754306953
herig,3.6866702506024867
herik,3.683463671700307
henna,3.682644723403959
hangt,3.6786744257541746
hoste,3.673956280858005
ha1es,3.671382678317841
herms,3.6661033070788145
holde,3.663693077000792
hopes,3.661696061595643
harre,3.6542680689455973
hazen,3.647733257289936
homes,3.6344013151148857
henks,3.632364016952728
handt,3.627653463797362
hands,3.6270948324022054
hemel,3.604807852073659
hyena,3.603373110682227
hepen,3.5920720771821384
hardt,3.589418348463117
helde,3.5835048779114276
hanig,3.5779401150330274
hards,3.576296974846403
harpt,3.5758985420194747
hoede,3.5750438560472126
hopte,3.575015891736219
hielt,3.573387856901053
halst,3.5730526381546874
helpt,3.572693774246717
hoven,3.57071476174963
heelt,3.5694711576654377
hinde,3.560987756033318
hanen,3.5539553187125557
hemen,3.5520731108681094
heden,3.541615706977969
heide,3.526312814744891
hekel,3.523434772392522
huren,3.512419629037052
heken,3.5043757415328063
hiken,3.5030898782948143
harkt,3.4987611286062803
hokte,3.485714062462961
hoest,3.4848074187056626
heest,3.4757616274987413
hoedt,3.4747658407146584
hevel,3.466276139423483
harig,3.4621591355655705
hozen,3.451245572830423
hoeve,3.446028040516221
hipte,3.4447946469327904
heven,3.440085032759335
heult,3.4332973103303317
hertz,3.4240653027926133
horst,3.4060405242897955
hikte,3.38838679114429
hongs,3.388058205909955
hints,3.3829791238605145
hield,3.3779116722999327
haart,3.3761437447589375
heuse,3.355821717400994
house,3.3539951697593233
honen,3.3517421825472704
hyper,3.348716839099395
heavy,3.3435334782303494
honds,3.335599267418995
helft,3.326699992920172
hordt,3.3186542857974173
hoekt,3.314516514581417
heese,3.3140036127649974
haait,3.3081052040944865
hielp,3.2989511738238644
hopsa,3.2987218312931206
hekst,3.2962135112903677
holle,3.2877214452739536
hemde,3.2824809393623346
holst,3.267373417531185
honig,3.264027606217678
helix,3.2578755584113064
honkt,3.257799108411583
hetze,3.256060990621805
haalt,3.2521142912496943
hoeks,3.2431628362764
hopla,3.240474541302868
hapje,3.2390592130091527
henen,3.232034308225023
hypes,3.2272156186687755
hotte,3.224070080954793
hypet,3.2222638443029235
heust,3.21896936314751
hebes,3.2179135795402294
helle,3.214557844690137
h1ger,3.203552847049019
heugt,3.2032168067668128
hinds,3.1932246699197004
h1sen,3.185078568427314
hitje,3.182866171018429
hakje,3.177879661266368
hypen,3.1729982124489866
her1k,3.1700519238580926
hymne,3.1639132122707427
haast,3.146018933027697
horig,3.136008076111844
hymen,3.1299999526787166
hinkt,3.1171593013528307
hesje,3.116390398997312
hulde,3.111777170031625
hoeft,3.109203226031367
hitte,3.1060259462696997
haram,3.100833757722816
hevig,3.0960135938645603
hydra,3.0903945737755705
hupte,3.0799575383020925
haard,3.079818043028591
hoorn,3.069527801772444
heeft,3.065405299865151
hiaat,3.0611092499206367
halls,3.0569039416151567
h1gen,3.0539742289069056
harp1,3.030707603273504
hupse,3.024456037852927
haags,3.006384111444592
hopje,2.9904484298494407
haagt,2.9835188999876134
hukte,2.973663306968588
hamas,2.932995497786383
hallo,2.9240353215360666
havik,2.9168070040159053
hegje,2.913382492569204
haakt,2.9077552624534904
hokje,2.9058885366309215
haaks,2.902317074733804
huilt,2.899160149709858
hoppe,2.896471067393614
halma,2.8891479334720698
hunne,2.872276545584746
hippe,2.869807005743725
hoort,2.8692821668564292
hihat,2.8636762679371337
highe,2.8569488742497864
hungs,2.8517556370597252
hekje,2.8479358746929875
hoont,2.8458641799170232
heiig,2.8401482760966594
haiku,2.8400300714202418
hipst,2.824154730556218
hooit,2.819756765090216
hegge,2.8120959496278424
humde,2.8088646074877954
hadji,2.801023534121339
hutje,2.7805835307458064
hulst,2.778622512092771
hetz1,2.7544531557712992
huwen,2.742495808907639
huist,2.740432884151575
humor,2.725816587576563
hofje,2.724764471439816
hoolt,2.717437589193911
houdt,2.7112414002224234
h1gde,2.703092047188836
hurkt,2.6693229691448903
halal,2.644886817658613
hoost,2.634631218582179
hindi,2.6095946849074823
huigs,2.6061935407556396
hotst,2.604881489185365
hackt,2.597275413359359
hosts,2.5784500349734336
hoezo,2.576219216549947
hieuw,2.575252815537367
hysop,2.56220722856295
heffe,2.528257737367987
hoogt,2.496008607356762
hitst,2.469189768745597
hoopt,2.463405355318395
hupst,2.4451149562997
hab1t,2.420953603601422
hecht,2.3736273598990207
huift,2.368716832181125
huwde,2.340691897631919
hapax,2.31622620127222
happy,2.2637137850600055
huurt,2.2486960536731644
huibs,2.213860692489039
houwt,2.210459009477666
hamam,2.1858749801877138
hoofs,2.159417975117827
https,2.1484553337769774
hooft,2.132560740502113
hutst,2.087562902450352
husky,1.9945870168159143
hoofd,1.8529936231659785
humus,1.7875588306609105
hobby,1.508290297634961
huubs,1.4050087373647764
