Guess,Weighted Avg Log
inrol,3.706850351956166
inren,3.6555683006741146
inert,3.604661833692128
inleg,3.5576053474454747
iaden,3.533127951486931
ismen,3.48696720636436
ieren,3.4684636589135898
inden,3.457601897961113
intro,3.4305638489228283
indek,3.4091672628680425
inlog,3.3964920423133567
inent,3.3933393998412007
ionen,3.3798019544647953
inmat,3.371833232116333
inbel,3.3650470140011945
innam,3.347875992981807
inrit,3.347875992981807
invet,3.345690924202131
inges,3.3439828134706833
inlos,3.301857438444524
indom,3.3018574384445234
inbed,3.2818390012361554
indam,3.2620019782662664
ineen,3.242645888467204
inhei,3.2237707318389655
imres,3.2205477313499196
index,3.211200860155041
india,3.206599710819578
inpek,3.1918447703559774
inpen,3.183350441509391
inkom,3.1415652836202783
imker,3.1414152614222184
inzet,3.132880759834705
ieder,3.112199975217031
inzie,3.103515451431458
iepen,3.08738236212144
innen,3.0694436448219866
inruk,3.061430249146225
inlap,3.058017053718192
insop,3.0515710527401003
igors,3.0462997243825605
insta,3.029243734707361
ikers,2.976226413452763
indik,2.9749992358921404
inwon,2.973996671345788
items,2.9669848911286443
inpak,2.9658066196946424
intik,2.957638019933765
inzat,2.9471086445055628
inr1d,2.9395100567830594
insla,2.9364370784920735
inlas,2.9364370784920735
inr1g,2.9349535807748963
ierse,2.9296508603769347
immer,2.924944362170711
infra,2.9050234422203314
image,2.903795315571974
innig,2.8907886585807487
idees,2.845957276409453
inm1n,2.8438864273314763
inval,2.843882194532155
inzak,2.841325774251736
inuit,2.841171519254355
inham,2.8309721057111834
indut,2.82608419326648
imkes,2.7771294013493915
inhak,2.7760564787861504
inzag,2.771098208324558
ippon,2.7561083995946705
ivors,2.743878745047793
ingaf,2.6864728230599084
imans,2.6837224686675922
inbox,2.683174826522357
iains,2.6763886084072177
imago,2.6732406039666783
icoon,2.6729003868296313
inpik,2.66663580009002
islam,2.663897965571121
invul,2.6544718655284143
iebel,2.653398942965173
inzit,2.646572689554352
inwit,2.646572689554352
ilans,2.588134285531204
iekes,2.5811708859769067
inwin,2.57716172603386
ilias,2.5687781957321407
immes,2.5681158483228352
ivars,2.5662175426524003
imads,2.541977773207955
ismes,2.5361898868398476
ipods,2.5205294436265593
induw,2.4932521422063227
ibans,2.4636534400882977
input,2.4286844178032347
ivans,2.398140837965985
idool,2.395575952086924
inb1t,2.3808155619492166
iwans,2.363649990603936
ilses,2.3551988605331395
ind1k,2.3525632114048927
ivoor,2.3417332477251325
insuf,2.3258335521298914
icing,2.227967660697917
intyp,2.208801272211429
inw1d,2.1810258797153335
imams,2.136838436311704
issue,2.0760594916367143
izaks,1.9829922824655504
inw1k,1.942478858993653
isaks,1.878958827925541
ink1k,1.7956086245752139
