Guess,Weighted Avg Log
jouen,4.449926128646828
jolen,4.3897821008923525
janes,4.260866369662467
janet,4.257874566108195
jagen,4.244855709801042
joden,4.241451627919909
jonge,4.2246908062881285
jeton,4.177279698572885
jonde,4.150731708965337
jaden,4.106312404804367
jaren,4.088057155316641
jopen,4.038862735635151
jonas,4.037826637596876
joule,4.035919931414071
jalon,4.029696439528414
japen,3.9995818259883706
junes,3.991912905579962
jodel,3.980502019846924
joken,3.9561986198656753
jongt,3.913178692736652
juten,3.9077024147789663
jonen,3.8935240662169797
jolde,3.8632831106179943
joude,3.851998566943899
jeans,3.851537289283846
jongs,3.8020569333344367
jaste,3.790646047601399
jogde,3.769982639516212
joelt,3.757770086363117
junta,3.7212004981615827
joans,3.706484556133595
joint,3.6926694865652805
jodin,3.6791893525980743
janus,3.6725535823855564
jawel,3.643062788556928
joels,3.629247718988613
jouwe,3.6157646371790246
jades,3.614731486983132
jeint,3.6114537471609407
jende,3.5676553148689996
jofel,3.557194300928825
juans,3.554433980150388
javel,3.5199092715526463
jamde,3.4966390217672894
japon,3.4889944699892546
jobde,3.48421390030984
jingo,3.480628361905865
jager,3.4692664755060183
jelui,3.4671482279386603
jaces,3.4656508522403318
jeugd,3.4639445170518495
jians,3.463270010115628
jankt,3.462133227641028
jokte,3.458394210158784
jokes,3.4564845561335944
jakes,3.4429554228331987
jorns,3.427691976899747
johns,3.4204353348181984
jemen,3.4166317739509746
jubel,3.3834480141309076
joses,3.358095716770613
jatte,3.3496494975725213
j1den,3.3451531762694104
joept,3.344615582803409
jolig,3.3162011671486873
jouwt,3.293176573495619
jabot,3.289038077027284
jambe,3.286381209074123
jeens,3.2695159076972646
jeukt,3.264848219764207
jukte,3.2560942019843315
joeps,3.2531452198631325
jasje,3.2473401842044547
judas,3.2251520839481804
jings,3.2157674481819134
joolt,3.1946251920812743
junks,3.186694704035321
jaagt,3.174945652643439
jaans,3.1742996674395823
jorts,3.1668676839659016
joego,3.1588118807808074
jajem,3.1534375762516893
joker,3.1487358286947353
jutte,3.1365043610701613
jahwe,3.101761630009169
juist,3.0933942329335378
jozef,3.0870973730843163
jezus,3.0742388556905933
jubee,3.0737656078120197
jhons,3.0608109511143127
jorgs,3.060525014846393
joeys,3.050946440412794
jol1t,3.0438375611781767
joost,2.9928598295304387
japan,2.9206840441738953
jemig,2.9178274661982275
jords,2.909537673920788
jairs,2.8789033754296507
jarig,2.819847675104374
jurgs,2.8162588856794364
jihad,2.7973188678918155
jetje,2.7714778120766077
jumbo,2.748419103675803
jaapt,2.696981877830302
jalap,2.670615344745596
jookt,2.663237543568225
joods,2.6408167523351835
jeeps,2.6322424703852683
joops,2.5551797474829154
jaars,2.532402306814765
justs,2.517505087717368
jacht,2.507411841852698
juuls,2.504310890018083
jaaks,2.44514633647313
jills,2.425911612775883
jaaps,2.424236150974401
jacks,2.40242776776637
jeffs,2.258894575806889
juich,2.1889765205738416
jicht,1.9550881269440312
jazzy,1.6171024186683725
