Guess,Weighted Avg Log
karen,4.711215653619984
koren,4.670830406144158
kroel,4.635983764192615
karet,4.607007217732063
kaler,4.602706609130739
kalen,4.545349917145738
koran,4.541277477872462
kroes,4.5369305345625826
klare,4.515906899420747
kolen,4.4911772027993475
kater,4.488889533121119
korte,4.474404960490666
koter,4.471294485233431
kloet,4.4436890291700895
kriel,4.423597587680598
koert,4.4200511640981315
knoet,4.379786659018639
klier,4.358166326838461
koers,4.345192292198571
koten,4.345185209436018
knier,4.343635981123624
krent,4.341279325932982
kaker,4.3374731629700936
keans,4.334122164911374
kanes,4.3328153851871525
kroep,4.329930984399487
klote,4.327874831320626
karot,4.326983180075363
krans,4.316346397084738
krant,4.316215314198015
karnt,4.309389412046864
kante,4.308481939006214
koker,4.308343408888019
knoei,4.299818284240181
karos,4.289327141844508
klein,4.2859634771931905
kaper,4.277610259064628
kaken,4.2708676940002235
koine,4.269196069552694
koper,4.262620164169867
koelt,4.255623684100357
koens,4.245609616095758
kloek,4.244213052992206
kreun,4.237936180290148
kniel,4.236365059437463
knars,4.231840443688668
kakel,4.217718825699951
kuren,4.216591596101604
kamer,4.213007211177792
koken,4.205807376864399
kapen,4.1960367854663065
karls,4.1850599280546215
keren,4.171121980339639
kalot,4.168271627995711
kenia,4.163387026186693
klant,4.154375197650442
kriek,4.152516492993064
kader,4.148382624697241
krank,4.147192939062566
kamen,4.134410915106134
kopen,4.130792773513443
kapel,4.120540034748718
kerel,4.11507785493036
koene,4.113793000556736
kiert,4.110243539561116
knelt,4.102294634951585
kraan,4.098228470391486
kreet,4.093562171769846
knalt,4.092798401564906
kates,4.091867916453011
knort,4.085166802281733
klerk,4.079712368110771
kroeg,4.07663340327902
koele,4.066595528657278
karde,4.06494981037384
kleun,4.063958777202821
korde,4.063317498294878
koket,4.062670997851731
kaden,4.0579371026867515
komen,4.057348278163982
krast,4.050057279374765
karst,4.045291202816414
keilt,4.045275486230612
kleur,4.0326753246414455
kenau,4.028733549978697
keurt,4.02747785386589
kliek,4.025224187124592
krols,4.0252035628635765
krats,4.02408618396565
knies,4.0222812095209015
krees,4.017730877650444
klont,4.017172640388536
karts,4.01617763324453
kelen,4.013285920579063
koerd,4.008024048404285
kakte,4.0075529256032425
kerst,4.003971246636925
krakt,3.996177653991832
kanis,3.9948651601287994
kalis,3.993282780446073
klank,3.985203293999799
kaste,3.983276929910135
kalme,3.980387992236685
kraal,3.9784434597646356
kilte,3.9708950792674975
klaar,3.969832352429365
kerkt,3.9691406964619795
keurs,3.9658391684164127
kuier,3.9634042304625297
kazer,3.9617409950509543
kient,3.957046626040798
knarp,3.945045708464959
koste,3.9437001459218983
kagen,3.939286995364535
krept,3.9377809682192524
koest,3.927336663326217
koekt,3.9252378471118705
kielt,3.9252328760168664
koets,3.921822119626336
kapte,3.920528708060859
kerks,3.9171746865350685
kreek,3.909911446973546
kalde,3.905735510346598
kloef,3.9015636647525906
keien,3.899609186896733
kuras,3.890684894877727
kolde,3.8901570111793813
kogen,3.887277739501302
kermt,3.8850746979452415
kopra,3.882641521243852
keert,3.875829617941617
kramt,3.8745004875710225
kopte,3.8742443006937646
kopie,3.8737526493206897
kents,3.872112531444493
kopal,3.8719505308997166
kadet,3.8681611960419913
kazen,3.867742988305476
klats,3.8626247549594717
kauri,3.8600708087391276
korst,3.8569764952133077
kants,3.8569438538559466
kogel,3.856435688528865
korre,3.852817011608364
kopse,3.8520604828180476
klonk,3.8507957389985426
kreuk,3.8408490110520894
klets,3.827474449123949
keten,3.8229786444732263
kraai,3.8225907114852884
klakt,3.8189752938135197
kozen,3.8102777898133904
kanen,3.8071120173222637
kruin,3.806647417285569
kalkt,3.8023688549818453
kades,3.795122878519679
kreng,3.789905050512672
kiene,3.788669544680188
koven,3.787387655964469
knakt,3.784707257070559
konen,3.7843644816414925
kropt,3.782492349960181
kavel,3.778650959599301
kabel,3.7783692124986206
ketel,3.7760654697749136
keuls,3.7733708606022245
kaart,3.7694574750528353
kaars,3.7596641345259716
klept,3.7581563977795094
keker,3.7546598520094188
kovel,3.750807515622895
kromt,3.7439481256394336
klapt,3.7413981774105456
kroon,3.7307578844670557
kraak,3.726971321786131
kneus,3.725318625036287
koala,3.7238370834488825
klost,3.7228047061401965
kapot,3.7212627847112
kirde,3.719215568725169
keelt,3.7086438734436897
krult,3.707163360323412
krist,3.706241386571157
keper,3.70479894144463
knapt,3.7041832829235606
klove,3.7037520526315166
keken,3.70360338759647
klemt,3.699541429565737
klots,3.695457941556869
kulas,3.6922138104253
kelim,3.6917127987066958
kerft,3.6835531661171763
klaas,3.6797087192476954
klief,3.6748368239145
kendo,3.672742176617409
kwart,3.6717279053374483
korps,3.6595401163397394
kladt,3.658574831491353
kafir,3.653613467522857
kalle,3.6511831308780627
kebon,3.6497184523288344
knots,3.647033288692137
klokt,3.644469157995882
kefir,3.6431738849158277
kaans,3.636656148961536
klink,3.629547778714263
kepen,3.6269810419721087
krikt,3.624780992321435
kruit,3.6241419094992975
kolkt,3.623154390110857
karig,3.619484014182628
knokt,3.611533377028331
kneep,3.6073554460112875
kanon,3.607172483570581
kiest,3.5949153168215924
klopt,3.5928121584805415
kiese,3.5928054969404477
krabt,3.591660582520078
kikte,3.584642818323484
kobes,3.5770412518709245
kiste,3.5760912618878833
kuise,3.575701622820018
kruis,3.5716598939508146
kiekt,3.568095967171173
kloon,3.5677665128849516
kreeg,3.5618403545308595
kilde,3.5596003715198483
koude,3.5557454810443345
kluns,3.554546296256465
kapok,3.5536297814074107
kroot,3.5467463426488917
kwant,3.544529216738854
kween,3.5401251600101924
kraam,3.5383353178642607
knorf,3.5366850892557347
klist,3.528380264350826
kaait,3.525828659361006
kleed,3.5241357650108487
kwelt,3.520385817908767
kadee,3.5164054499058195
knopt,3.5155716402912773
korft,3.5124085966813245
knaak,3.511405816216919
kiept,3.509687722645801
kipte,3.5084221219511904
kramp,3.5031398135205176
kieks,3.5012796081560436
kwark,3.499179005212701
kroos,3.4989205037536046
kliko,3.494226257805401
kemel,3.490623025055715
kneed,3.490387807542013
kalft,3.4821700700203926
krauw,3.4800460482703657
kodak,3.4782336695961016
kweel,3.473644728886276
katte,3.472653575098694
kleum,3.4687658570123996
kamde,3.4677317001220733
kluit,3.4615121648381995
krapa,3.4614189950091716
kiemt,3.457986500234438
kalig,3.457120739861898
krukt,3.4556724672772714
kruik,3.4502296750673622
karma,3.4501097103814353
katje,3.4466723791726506
kulde,3.445866814135615
klikt,3.4303230023067472
kiosk,3.428691475965429
kleef,3.4239799981162315
kuste,3.4199204703041857
kluis,3.4197722180784607
kunde,3.415366671836586
k1ker,3.41055693038082
kotje,3.4064628229329745
kepie,3.391505080091815
knikt,3.3847207880545254
kwiek,3.3846180484803607
kasje,3.3799942239634837
kilst,3.3722728202193046
kring,3.3657416062246637
knaap,3.3656332043435513
krook,3.365303254187087
kurts,3.357422461907565
kraag,3.3560035326721467
kaast,3.3514935142433266
kloot,3.350757448158017
kende,3.349752050188335
kaard,3.348056249067987
kromp,3.3480141020668617
keest,3.340746877932397
kweet,3.3371588893822017
kilts,3.3362785770657704
kever,3.335726795155196
k1ken,3.3349365041404124
kruip,3.3276185937609783
kuilt,3.32684371168177
klimt,3.3254406529418157
kurkt,3.3202966563075176
klauw,3.317087322755394
kegel,3.315685919797288
kwade,3.3155099766504867
kolft,3.31353043004886
knipt,3.312457264579125
kr1ns,3.311311077254628
klamp,3.3100904384716148
kaats,3.3077513126172433
knauw,3.2964590067154598
kezen,3.29520896291518
klust,3.2939704998781227
kyles,3.2935823335186947
karaf,3.2847447178636338
kaakt,3.284039165134457
kille,3.282419623679538
keept,3.2721988364922927
keven,3.2716860577945646
kenen,3.2711149459591127
kwast,3.2638780532335985
klooi,3.2638396969650074
kanji,3.2624771675225475
kluts,3.260905965390926
kruim,3.2560745147790384
krill,3.2521472377059735
kling,3.2458685251439143
kolos,3.241499491298009
kribt,3.2414567116623987
kapje,3.2409367120985673
knust,3.2333066366923147
kwats,3.228613555839564
kwaal,3.2268479757522637
kauwt,3.226333512426273
kozak,3.224062671635066
kunst,3.224045187077284
kampt,3.223086030269836
kroop,3.2150549594794184
kopje,3.2142329459104872
kooit,3.2113180350659385
komst,3.208006007191247
kruid,3.2078356875536786
kwets,3.206002064325734
kevel,3.195268867075862
kaapt,3.188283854657129
klaag,3.1873663770035243
kwekt,3.186731806335003
kwakt,3.183098399212058
krimp,3.173286505546652
kwint,3.1718572684351996
klaaf,3.1601272785918177
kaamt,3.155215730470307
kaaps,3.154302681307802
kweek,3.1505258040939115
knaag,3.1487271985282916
kwelm,3.148399720740594
klomp,3.146120675620757
komaf,3.143108750964764
kefte,3.141298788169323
khmer,3.1383831839468073
knook,3.131612230442865
kouds,3.092560388739054
karw1,3.087053781284177
kieuw,3.071741725512753
kimde,3.065050629698572
kr1st,3.061692862951893
kitte,3.0513862193540993
kinds,3.05000813503838
kuist,3.046726321809877
kruif,3.044399588989923
kled1,3.037897587195934
kevie,3.0354555964214924
koost,3.0168939310553626
koord,3.008433860441808
kodde,3.002036206017788
k1ver,2.998813743529459
kafje,2.9908614189736813
kamig,2.983180123889242
kokos,2.9688953647058685
kom1n,2.9672423007779543
kand1,2.962662292437534
knoop,2.9549814597367186
kings,2.9502219637005895
kawai,2.94293052100685
kookt,2.937967054137624
kutje,2.9298142462325587
kluft,2.9264839300985828
kuipt,2.920370777982902
k1ven,2.9071956148356755
ketst,2.9024322044495947
ketje,2.8959193045340914
kolom,2.895901856906984
kluif,2.895057521350637
kwaak,2.892826989002583
keuze,2.883969545727765
koopt,2.8635206990703863
kabas,2.8586138932337435
kusje,2.8522003762995616
kipje,2.850472545513413
kuurt,2.8415406619409236
kogge,2.8277550137427245
kloof,2.797934439749322
komma,2.7928721909743106
krimi,2.790376810841905
kotst,2.7717174077148488
kluut,2.761331713012088
kobbe,2.750029967377188
kazak,2.719555581342278
kimme,2.71820419236225
kasba,2.7148462785539746
kebab,2.7102762423113202
kekke,2.7039095199850567
koz1n,2.6923354302756977
kajak,2.6709348946923117
kwips,2.6703932500639644
kuift,2.6685241087233234
kassa,2.6677621171219146
kr1gt,2.665505235216733
kon1n,2.665202430931102
kwaad,2.6535077427549045
kidde,2.6461941554942734
krach,2.6376258436380855
kn1pt,2.629415134491514
klojo,2.554214973749502
kudde,2.53507336591655
kw1nt,2.5341508440852185
kinky,2.4959036916094175
kw1lt,2.481008253314413
kegje,2.4574199801310863
kitst,2.4179057103843804
kappa,2.3966598066732887
k1kje,2.3707374626206135
kickt,2.360619720614285
kicks,2.3434769526275456
kegge,2.323870950623612
kubbe,2.2649487357004814
kocht,2.1545597385220514
kaffa,2.1288119415110973
kruch,2.118173068132909
kubus,1.8053250358382151
kucht,1.6842943987202579
