Guess,Weighted Avg Log
lento,4.206335304618667
laten,4.2020143730233075
lente,4.144111365105671
lenes,4.13128284029084
leien,4.127506176625842
liane,4.123575262470217
loten,4.108776829737259
lener,4.0640389244420065
lange,4.043903904209836
lengt,4.040137165626639
larie,4.036210398335439
lones,4.035867808733192
lagen,4.018688102369614
latei,3.9960775961924724
lenig,3.995498681633669
later,3.9924956188432636
lunet,3.985851710294711
laren,3.984853748280852
leren,3.968418825411236
leans,3.9533330349459455
lande,3.9309175474672693
legen,3.929944362197676
logen,3.924504653198201
lease,3.9124889022999856
liter,3.9011287514007256
leins,3.8891536144821277
laden,3.8886822759200244
laste,3.8816309984837063
laser,3.877351616872119
lende,3.8746169499095893
lemen,3.87353836086263
laven,3.8583990860662936
lunes,3.840114856557139
leunt,3.835217522577525
linde,3.8299024424888044
luien,3.8196931757217816
leden,3.818883943177743
lazen,3.811087388560212
loden,3.798863466484079
lires,3.79587612776322
laken,3.791642519921175
lager,3.7905306501366574
lenze,3.788902598867637
lamet,3.7888272018550913
logee,3.775966757215291
leste,3.7674444364657824
leven,3.766656884778115
loven,3.7623567133888765
loser,3.76221858512679
linze,3.7597983622628197
lores,3.75134263597519
linke,3.746909626579843
lezen,3.7385062232574304
leken,3.736465136960915
loken,3.718958294912526
lozen,3.7148396217873354
large,3.710853433077276
lopen,3.708572489092643
loste,3.7074776815283546
lavet,3.7036104022768543
lades,3.660225357670276
leger,3.658610513899787
leurt,3.6584427949625176
leute,3.655787568850775
leent,3.655302509229717
lader,3.654460111776396
legio,3.638469507837312
lutes,3.6345640397792516
langt,3.6319544515957394
loeit,3.6310799172017254
leges,3.62871871741602
lapte,3.621391661135758
lakte,3.619515890011718
lanen,3.6151037280519263
lomer,3.612809489292711
langs,3.6048170918710234
luier,3.6030484072337767
loges,3.6026203387229776
lumen,3.6001863107392698
loket,3.589518339080174
larve,3.586524460224047
leidt,3.5850700295262965
linie,3.5789476492301695
lenen,3.5679031200027755
lazer,3.5649216837541005
leder,3.559787180768367
lakei,3.5596230235489346
lians,3.5591847800396104
landt,3.559010545344531
lelie,3.5540247908024334
lat1n,3.5430905230191403
longs,3.532891970423163
lonen,3.5328010858291266
lakse,3.530140892619865
lover,3.521423022732154
lorde,3.5138157883781957
lands,3.513267448897855
lieve,3.5119776747136187
lodes,3.5065741954706042
lapse,3.5046563874103103
loipe,3.4969656125454525
liman,3.4931471930655875
lozer,3.488681002790715
loert,3.4878764271194305
likte,3.4846697164337876
leper,3.4808009936315227
lipte,3.480484774777496
laaie,3.479908552064075
loper,3.4792311093461485
lever,3.477273531661999
lezer,3.4772628797038423
lepte,3.47517678783453
limes,3.4750266570305812
lokte,3.471150518317876
leert,3.4706333048087754
l1nde,3.462961713036408
lives,3.4625112676143255
lekte,3.457500570730057
liens,3.451750852080289
lunst,3.4508675609299186
lings,3.4464220645593526
l1men,3.443534426851736
loens,3.4254748658158474
lepra,3.420728939278569
lizes,3.4183861428738305
latje,3.409395469250442
l1den,3.4007248948264466
leest,3.3976792734990666
lamel,3.39402717760582
logde,3.3922073046299066
latex,3.3907426486684793
latte,3.3887289150209714
l1ven,3.365327158488717
lekst,3.3644649546294274
lonkt,3.354694944616373
linkt,3.340320446195752
legde,3.3378922273809035
leers,3.3361466500048054
lalde,3.3337045070023064
lotje,3.30733266892856
l1zen,3.303312128569667
leegt,3.302912753605642
largo,3.296894974066073
leuke,3.288607917650779
luwen,3.28845837909965
luide,3.2842405061871682
loets,3.2828630529372136
lapel,3.2746725186400174
lukte,3.2736427710474376
leahs,3.271644139366548
ledig,3.271495410000446
l1ken,3.271236850157333
leuze,3.2707775537378057
leemt,3.268348828944342
liegt,3.2660087193887293
links,3.2635585139295586
lette,3.240181178540857
liams,3.233083546452059
lesje,3.227176734612453
l1mer,3.2231347741735346
lukes,3.2191576193509173
lupes,3.2153280836899385
logst,3.210176353850577
lompe,3.2093470768049293
lises,3.201149497154291
l1der,3.1960670063125693
lesbo,3.1959389318517606
lelde,3.189496314748784
liaan,3.189168768868027
lolde,3.1811732813008446
lilde,3.180814146447585
lauwe,3.1788172761272757
lorre,3.1749877730265705
lotus,3.1717074563126775
leuks,3.1592299670938484
level,3.1544595249515157
lepel,3.154158401397009
label,3.144514543597571
l1nen,3.1444471153139353
leekt,3.1217184961332785
lamst,3.1178404242893336
losse,3.1168703265992708
luits,3.0913135418848716
luist,3.0881105183342226
lords,3.0525328899605033
linns,3.0523740429731743
lutje,3.052307301847578
luwer,3.0479816799365245
lakst,3.0354447149770745
libel,3.027152191531672
logge,3.024652924669754
lamme,3.022184458359079
luces,3.0160931994469906
luwte,3.0082048145345324
lusje,3.0080043584258545
laait,2.9920078416924145
lapje,2.9869514740561742
lulde,2.9663684272506226
luxer,2.9605452642264733
luxes,2.953217727432638
lispt,2.9451677528220075
loont,2.940760711425818
loeks,2.933072074222724
lidje,2.9281681504344417
looit,2.9113786067747665
loeft,2.90145471840126
litho,2.8942063077420435
lemma,2.8928628251657997
l1mde,2.883912785235328
leeft,2.878075833833845
likje,2.87326809289407
lekje,2.8471585564812045
lipje,2.842607018356453
lubde,2.838416416474981
luimt,2.8349518756078544
lasso,2.8184942452067814
luidt,2.811305907443154
lycea,2.8107011083908
lomig,2.8102665969692553
lafst,2.7808686709118517
lyons,2.7765909377914584
lokus,2.7568692500508214
laars,2.752242141543251
lekke,2.7435686765225342
liefs,2.7375626719480657
lobje,2.736831935196235
louks,2.7140145230190718
lel1k,2.697351818380633
luikt,2.6928404082539044
loost,2.6917956766611284
lurkt,2.6912840680245997
luwde,2.684917148745877
lumme,2.681563766697146
latuw,2.6709327241606613
leeuw,2.668996569843312
lebbe,2.628564933511186
laffe,2.6261480741067498
limbo,2.5902827140115017
locus,2.5901632702587842
laadt,2.5807452024040205
loogt,2.5602812762521
logos,2.545843011446748
louws,2.537308380278088
lavas,2.4768221607661363
l1fde,2.467355667199054
laakt,2.4638790029699016
luwst,2.451581265383146
looms,2.449564091743714
loodt,2.441064097820849
l1kje,2.4217266384733045
l1mig,2.4060260722666165
limit,2.4052724933522027
lynns,2.3974947958067157
loods,2.3694098070274614
luuts,2.3595111166324028
l1vig,2.3538134829816504
loopt,2.3222092295561456
l1zig,2.3186103543155903
loops,2.2456333529782726
laaft,2.2141402689632734
lysol,2.1989111221568405
lunch,2.1980732025411798
lymfe,2.16723625693129
lycra,2.1618800531551945
l1fje,2.153161191664002
