Guess,Weighted Avg Log
mater,4.512386830649313
maten,4.497337853399482
manie,4.476898481163722
maner,4.475017499958489
metra,4.451848388663495
motie,4.449865981768944
moten,4.42890610413162
maren,4.384424572475038
mirte,4.345933018265065
metro,4.324506883423528
maler,4.284816718317276
moren,4.278211479317685
mensa,4.2768915008355055
malen,4.25027784732611
mares,4.229210320790753
motel,4.219773969504346
morel,4.217848438305765
menie,4.216370454094421
manse,4.20904273349756
maden,4.205551251551488
malie,4.201238597580264
minor,4.194640526951322
morse,4.190755240699375
marot,4.18947383225528
motse,4.176532807613247
morin,4.170068249010646
mores,4.168219737242177
mines,4.167696245850591
meson,4.163369057004666
molen,4.161902689726716
meter,4.147305748104364
meten,4.1377923289121386
media,4.137525593546392
merts,4.121622365378069
moeit,4.118757628963069
matse,4.114522633405421
mande,4.1126665144158885
medio,4.111760351218295
monde,4.097721953005478
magen,4.089938358355661
marde,4.084745238495052
meier,4.084062571178535
mager,4.081020526933718
morde,4.0794897986597265
meren,4.076400050013533
miste,4.0693586217313
mengt,4.063974724578766
mokte,4.057096881085501
miert,4.054296029967377
maken,4.051386453355517
maker,4.050480651428897
manke,4.040745241056553
moker,4.040159261482338
mogen,4.033191959474478
moert,4.030732475198886
menig,4.0289277336481755
meien,4.0212148475723835
minde,4.0155678227803975
marge,4.0073931612524545
magie,3.99848864691848
merkt,3.9883711617285313
merel,3.980580914374183
molse,3.974443156149676
malse,3.9656598466666932
melis,3.936378589245282
meres,3.927287393954608
mikte,3.926341702741843
model,3.920825667401299
melen,3.9184806502197733
mades,3.9153769001446124
mimer,3.8806988622949867
maori,3.879665635868758
modes,3.8793547512475843
malde,3.8741988582027527
meurt,3.8600847053877807
mango,3.853434039664939
molde,3.845640190654951
marlt,3.8416165753030276
moest,3.8411354756730836
marts,3.8389976176777423
morst,3.8282989036066306
mondt,3.8243889638389703
meden,3.8239380583366795
mimen,3.823198821691418
manen,3.81013892533032
meldt,3.8099654421695575
mende,3.809075763020263
makel,3.807959892924333
miese,3.806700899046806
muren,3.8033099334050573
milde,3.7978912107694
muien,3.797066089775915
meeat,3.7965352198350013
miens,3.7837167160430787
mankt,3.783042804486183
motet,3.772846985129139
minst,3.7700350083722682
meert,3.76813368882967
movet,3.768084413493643
magot,3.7666533798870443
mikes,3.7592548169339874
meent,3.7589741090065294
musea,3.7448237980312626
mooie,3.7369440810156265
melkt,3.7343024574314185
manou,3.733804559037543
merci,3.7320908754359285
motte,3.7232443034652425
mailt,3.7223090162528156
moede,3.722269086961876
motje,3.721604893307357
matte,3.721361474078738
mazen,3.721150514614232
mekte,3.7121796419452022
moeke,3.7077255133372153
markt,3.7033687127455233
melig,3.699585951860024
matje,3.68988762647587
mirre,3.6807591696534723
minne,3.6782399261500984
m1ter,3.6714412555570477
maait,3.6588002466603404
maske,3.652472851742861
matig,3.651416054298534
moven,3.6502956007521985
manco,3.6492735690070557
m1ten,3.6189191833133996
meute,3.61595617530209
m1ner,3.6136912388311693
maart,3.6076099774097488
mixer,3.6061471853914013
mimes,3.6006433737286176
maant,3.593692678479824
modem,3.5886742350434355
mafte,3.570310432936286
malst,3.5589115064446193
meega,3.5547460624358465
mixen,3.5537705936316226
melde,3.5468008379989104
miels,3.541155966333242
meers,3.5398282830090064
misga,3.5305312461808613
momde,3.527906923233192
mixte,3.5129512754893026
mazel,3.511649051431535
meest,3.507341787095469
macro,3.5010146194569334
meukt,3.477483590943841
mails,3.4671157671349846
menen,3.4574349573649155
moves,3.4501255123348167
malve,3.4456331223655767
memel,3.427461927032788
mings,3.4133689227712196
minks,3.41313635771062
medoc,3.4090918501825542
motor,3.403008217501056
micro,3.402160948653191
malle,3.4007255012560167
mezen,3.3901406352946677
major,3.365349075415198
molik,3.362368630179083
metst,3.354310397701701
mille,3.3514939358823255
manga,3.3401503930869714
minus,3.335489705348221
m1len,3.333754953042915
m1den,3.325944891093752
marcs,3.3234361685916745
makst,3.31859202467716
maans,3.306480270734818
mulat,3.3057798745378646
mixes,3.3055195431760422
misse,3.3053593784139554
molmt,3.295890197540438
maast,3.29235138143187
maalt,3.2876551787531203
malta,3.2802999179721835
m1nde,3.262465663797276
mixed,3.2593354217751047
maiks,3.2540157694547576
mungo,3.2520218477661373
maats,3.249248561324089
mepte,3.236636762335753
mikwe,3.206348949909021
maand,3.198462249945459
maakt,3.1760359743851825
mekka,3.1562973291851355
majem,3.152925646775168
minhs,3.1514836660866545
mesje,3.1299424673542076
mauve,3.120101111766227
murwe,3.119119022812996
meer1,3.1164238486489335
makke,3.1090099930385158
matts,3.108949846508277
matst,3.105273978362577
muzen,3.1014923432066577
moois,3.0979081766853986
malus,3.0881410911030662
m1mer,3.0877821990918726
moons,3.0609658034327722
muist,3.0537375268122338
motst,3.0522121528996156
mauds,3.030805201821049
manna,3.0251160807620656
modus,3.000300273171158
m1kes,2.9982906344590727
moors,2.99657615487122
mahdi,2.9720051875163813
mafst,2.955147344315217
moogt,2.9546269223235
mulst,2.9462238223745265
mitst,2.9362719347748216
mikwa,2.933191780721
muikt,2.9329387543335637
mufte,2.9326266272605475
moord,2.9223289136068757
meluw,2.911841436240601
m1nen,2.9104832643039025
mokka,2.9026213161134238
m1tte,2.8815367030126793
mauwt,2.8473656721068963
macks,2.828412523885567
mulle,2.8271164059106857
mofje,2.826060277543026
meel1,2.8101628045409597
musje,2.799595468728037
maagd,2.7990846823159874
mafje,2.788987981753107
mopje,2.7857817776777014
malls,2.7611628988652948
match,2.7547120841365684
mapje,2.7502950531093164
mogol,2.746837265410364
mugje,2.7467438381628684
miauw,2.7413838778359905
murwt,2.734524669358025
macho,2.734042926674232
macht,2.73401451475222
mythe,2.720146412202837
micks,2.7173725492844274
mezzo,2.6877525417435524
maggi,2.6829890738394786
maffe,2.6766710594370107
motto,2.6503157592914235
mocht,2.6211545478385
meeuw,2.599637812930258
magma,2.594347462762571
madam,2.5709093431587466
massa,2.501989308113503
makam,2.4464281299281483
mufst,2.2307326775483136
musts,2.22645383169091
muzak,2.1978783658212038
mamba,2.1098953004688914
mamma,2.1098953004688914
muffe,2.0471449827492916
