Guess,Weighted Avg Log
natel,4.051301745999838
natie,3.9814277376466762
noten,3.947581565017525
naden,3.9417354628098185
nonet,3.937157748282485
notie,3.92222544626741
nadoe,3.877182141132629
noren,3.8743457979987936
nader,3.855457078222762
naste,3.850270572986147
narde,3.805740274761717
noden,3.8023866211685693
natin,3.799054342007857
neten,3.7838720564144057
netel,3.7831981749991037
namen,3.74032817879687
norse,3.7110562029523964
nerts,3.7005778312746878
neren,3.696258068060328
neals,3.6955504889122373
neder,3.6498085084485807
novae,3.648857262431727
noria,3.633706426636875
nomen,3.633706426636874
nopte,3.62548961656717
nagel,3.6146876756722204
nopen,3.6028550450753616
nemer,3.569544353368416
nazet,3.5673393598637335
naven,3.566526965735362
nepal,3.566180497046972
neger,3.5508174441819547
nines,3.5430061115705858
nokte,3.5408744832475825
naken,3.540637294315677
neigt,3.5368510170145573
nerds,3.535996341015732
natte,3.521557727093347
navel,3.487096324491737
nipte,3.484920438783177
negen,3.472749802870687
neils,3.472073836327204
nemen,3.4498589864854936
nakie,3.446253103986676
natje,3.442213368231437
nepte,3.4402447256053397
noers,3.4390246481255464
neles,3.4375608894606406
noest,3.431776384380663
nadir,3.422062559735585
noemt,3.4185477968639497
noels,3.399400479858466
nepen,3.3990768586793245
nobel,3.3883566782066197
nazie,3.372203052232484
naait,3.3676353792062046
nekte,3.3655745663807775
niest,3.347732279781606
nikte,3.344354467118751
nands,3.337417398080044
niens,3.3348082492267346
neemt,3.3160278998191846
niets,3.3081577371250637
n1gen,3.3040949042339856
nab1e,3.3033010427041796
neust,3.3014784786970255
n1per,3.3014509703117167
nogal,3.2914601394203196
norst,3.2893403693700587
nails,3.286109575659944
nat1d,3.2756121051538436
nawee,3.2529979243343674
netto,3.2529143564243865
neven,3.240123227016441
nevel,3.2205543645100976
nazei,3.2152921520893276
nonen,3.2036504637675804
nards,3.189083689184078
nette,3.188197912308058
neels,3.1850657220997216
nazeg,3.183158315025079
nazit,3.180137705438556
n1pen,3.1783987311057462
nurse,3.176114961958401
n1ver,3.171755551155441
nadat,3.1637602009101626
netje,3.151655687645258
neukt,3.1359127308573513
nolle,3.1323364226922035
noams,3.13073491706728
nazin,3.1139656097252963
netst,3.093348725923943
namat,3.090589469202846
nikes,3.082562655504188
nixen,3.0742030427537808
nap1n,3.0704128058876807
naast,3.067787992829279
n1das,3.058612509143913
negus,3.0574257848668642
nulde,3.0562845681307116
naims,3.0511225921077076
nozem,3.0341808854227694
nells,3.0229955032220333
naars,3.00546203028399
nodig,2.9957867250723744
nadar,2.9936585313726716
noahs,2.989170577663184
nonna,2.9784249411988966
nutte,2.960191141347604
nooit,2.9575766765637512
nalas,2.9496081202575164
naald,2.9240914918407372
nauwe,2.9194551350085627
napje,2.8990932647634864
natst,2.8808471828271323
nieks,2.86763696372711
nasla,2.8406027430354888
nakom,2.8345740535407917
nisje,2.832926686867369
nouts,2.799929955414981
naakt,2.7910055661971858
nesse,2.780755615916361
noodt,2.7642235120167693
nazat,2.739402964308076
nasrs,2.7342587878650386
nours,2.720045871828209
negge,2.7041993108063087
nipje,2.6894103994661287
nylon,2.685532163951883
neppe,2.672258371255536
naoog,2.6566292667696185
nikab,2.646171220393942
n1dig,2.641756948166878
nouds,2.6350214846446796
naams,2.630707571602385
nekje,2.5973439822858753
nebje,2.580431519506451
noopt,2.576450942675785
nieuw,2.5653296399078735
nebbe,2.5517910860235635
noord,2.5351853009576106
naw1s,2.5258166576870034
na-1l,2.5245306399256187
noors,2.515484187053206
nafta,2.507572517411687
niche,2.4656118994534246
nacht,2.4492659190413777
nulr1,2.4143489202213146
nazag,2.353263776110338
nanny,2.346460648855429
nabob,2.2836738324865333
nagaf,2.2503517460268267
nurks,2.225325572152462
novum,2.1809708616116024
nutst,2.1582957570055172
nicks,2.1205683713502315
nicht,2.1036559085708064
nak1k,2.0888616527104267
nappa,2.0832280946544453
nufje,2.0318229865235975
nimby,2.0113657074187286
nihil,1.9108279633195047
