Guess,Weighted Avg Log
paret,4.722389624907092
porie,4.6784033223316435
paren,4.671942198213207
pater,4.655157933194571
parel,4.628876063070778
palet,4.6097303716109055
panel,4.59944832693684
poter,4.555177177203896
palen,4.552862759179943
polen,4.494800186028189
plane,4.480635771807761
pioen,4.458355854353983
parse,4.456098384662616
poten,4.447967167477051
prent,4.3909263977481565
priel,4.38561185197409
poert,4.383336688851454
pasen,4.370311563598968
plano,4.355589863729254
posen,4.303069154228742
piano,4.298947923620154
pront,4.296858860133277
porti,4.275148906865874
paste,4.267413107370972
plein,4.261891555723034
prion,4.247080752210091
pleit,4.242486657611423
patio,4.2249818212997665
plant,4.217053813015245
paper,4.2069137894243465
piert,4.200798364489972
porem,4.180067040059616
penis,4.159065775132249
perst,4.142460221006526
plans,4.140476124496715
peilt,4.1402863978792634
peins,4.137612408581139
pairs,4.133922147132812
prots,4.128977887124322
prest,4.126211790276086
pions,4.120225692159944
plens,4.117359443314707
pager,4.1148139823357655
print,4.113911395019354
poets,4.111188353453957
plons,4.110665895200543
poker,4.103247640160619
polis,4.101877495715249
papen,4.100786843459062
piens,4.100448785298767
prune,4.097941113106919
potas,4.080132980888065
plint,4.068813515394464
ponem,4.0599955059039425
puren,4.056883051725523
pinas,4.0533533092906024
palts,4.031858044008591
poger,4.029236407625485
popel,4.02910425865418
pesto,4.025788776687372
porde,4.02440966205323
piste,4.020602397439266
papte,4.018650395070418
popen,4.003460094961691
plets,3.989656461284778
ploeg,3.9885352190249894
paria,3.9866598948772514
pakte,3.9808940543287084
prins,3.9794574498170365
poken,3.9721097949286768
plats,3.9718279510872914
ponst,3.9652494260905087
puien,3.961124259998583
poule,3.953581142269155
plast,3.94639067222361
plots,3.9402345175295297
piets,3.9375732649684068
priem,3.9323352536687777
polst,3.930657609255816
peurt,3.930152030213897
paden,3.9264984811860817
praat,3.925537337017701
prime,3.925522574405313
prakt,3.9197866032245403
piest,3.908468229043355
peren,3.903782742538543
perkt,3.899837684087875
pokte,3.8967170386308556
popes,3.8900252064808236
pleur,3.885687886621699
prees,3.86948772689301
padie,3.8626187920229382
pogen,3.85460896559923
pronk,3.846933268698671
poema,3.8440117125664863
prang,3.8424320528852074
pleet,3.841463386789981
panen,3.837903667453356
pipet,3.837193123661159
pages,3.8364552685103317
prima,3.835530673548869
prove,3.8348362165520626
poept,3.8334886365294576
peter,3.829872186864914
paait,3.8286792821668927
power,3.8284841187780936
propt,3.8229302591730296
polka,3.8199719259475335
piket,3.816521985937965
piepa,3.812871368694652
praal,3.8104042666715645
pover,3.8040719759327692
paart,3.7990783514186086
praai,3.7977476449945167
pelen,3.7968642653264415
polak,3.7921351193152364
proef,3.7915582013802123
palmt,3.785867335423571
ponen,3.7808735158262765
porno,3.780742708632699
papil,3.7767186930728367
pacet,3.7751514337807195
pacen,3.7749424020555606
plank,3.7747127606652886
panne,3.7727771611792384
pilde,3.764226319824815
proza,3.7600459154868857
pozen,3.7459133108131537
primo,3.74338111568186
p1ler,3.742175944646068
peten,3.7369691255368975
pinde,3.735028239356701
part1,3.733366205064099
plees,3.7321254658570133
porto,3.7264861309009936
pasar,3.7178784238999607
plaat,3.7148174659393693
pikte,3.700421685950077
party,3.6983421365933866
paalt,3.6829320130189
plakt,3.6790828973262246
p1len,3.677209945579474
polio,3.6677818975486463
pruis,3.6641399810303135
plekt,3.659011676510681
podia,3.6582328349770656
parbo,3.657955592856902
plaid,3.648335503127106
puste,3.6474902810403185
peies,3.645970392983297
pandt,3.6448066975535824
piept,3.644409856155885
plagt,3.6437903684398703
piekt,3.6369683904015973
pleng,3.635147685969611
potte,3.6311890830089575
puree,3.6271984509197077
paars,3.6198426516377284
pluis,3.6169401592752815
pipse,3.6126051465445723
pafte,3.6123182274442893
pauls,3.60591431096105
potje,3.6052545310737547
peelt,3.6008879730469205
prikt,3.6005982788245077
putse,3.594759651640226
pruts,3.5927008504962425
pinda,3.5925578973360084
par1s,3.5735869477994435
pikol,3.5713259903984493
poort,3.5701563348187846
pingo,3.5689921262504636
pangs,3.566922115108909
pixel,3.5650433224058165
pangi,3.5560674032121016
puilt,3.555894755280935
potig,3.553486666108515
poeha,3.5516208166820595
pooit,3.5490384940324144
pasje,3.545609612349094
pasta,3.5404854976467477
peers,3.5332308884977217
panty,3.5236014843604964
poses,3.511375735705905
preek,3.5075720528682304
pofte,3.5063147168362
pinkt,3.497761463076122
passe,3.4932157183020602
pedis,3.4901844453294166
pitte,3.484273327137111
prooi,3.4758636337223714
ploot,3.4727633319217133
prior,3.467799748070455
porum,3.4504328367701937
pitje,3.442154657181777
praam,3.426405780410721
puike,3.4223609887002913
pilav,3.4151639922326855
pylon,3.4134931832097357
plooi,3.411849448844573
ploos,3.3995991755223334
peest,3.391407868923661
peper,3.3870603936772747
parka,3.3841057452840992
pulst,3.3826425065908134
piais,3.364973108781444
paukt,3.358602397289182
prefs,3.3464502168560473
puist,3.3281164281245634
psalm,3.3228000453809288
pauze,3.3099945880708197
pruim,3.304288155905917
pools,3.3013391424422367
profs,3.290357130326296
pruik,3.2889212595322292
poefs,3.286071534770444
pekel,3.2860437741285797
pluim,3.283765096617979
plebs,3.2711035219657894
pepte,3.270647777768146
poost,3.2667684070788128
pleeg,3.260670662837716
pipst,3.2560057676323324
p1per,3.245700500746945
pr1st,3.2394499517975306
papje,3.233800166070617
ploft,3.2298597430305356
puber,3.215628845576603
pegel,3.2116212860481617
pedel,3.209310661563983
pupil,3.203037779437877
pakje,3.20273074045339
pelde,3.1968123024867032
promo,3.1954649619958504
passt,3.1914285078356937
patst,3.1895569253182128
pekte,3.182158251749005
pepes,3.1814217433351226
plemp,3.180776389061232
plaag,3.167721286661619
polls,3.162115243730099
plukt,3.1600107100304187
pende,3.1497791055698583
popje,3.1485891014022234
prauw,3.1413291201084093
pulkt,3.1392534187324714
plomp,3.1385013606014986
panda,3.1306477605455805
parwa,3.1229493803618085
p1pen,3.1221333806078793
p1ken,3.120642883643476
panna,3.1191534010058657
paaps,3.117511356980478
putte,3.1151168551315447
plurk,3.1109936255405044
paard,3.1081505880963185
plugt,3.1073973650524453
pompt,3.0919623509237657
puimt,3.076593308952361
p1pte,3.0649557768930076
putje,3.063399755738011
padje,3.057211983257932
peluw,3.0567795789181265
penen,3.036115528999729
p1nde,3.012177308663213
punks,3.0065150158965004
pezen,3.005518421961375
pookt,3.0003047301302646
pufte,2.9916075638152417
pr1kt,2.978535427908346
p1kes,2.978486607622399
phils,2.9772781098367957
pykes,2.961353173641211
pitst,2.9552677019765703
patat,2.9478716412598494
pezig,2.9329958497747426
putto,2.927531997537209
poogt,2.9264298725216316
p1nen,2.924507560819343
petje,2.9189072079425498
provo,2.912545523546269
pak1s,2.895664541769488
pasja,2.8823757323507513
p1nig,2.832101148673876
packs,2.778641545107599
puurt,2.759129264619222
penny,2.7570740426591094
prach,2.7541853824769937
putti,2.746152075079582
p1tje,2.73213263055144
proxy,2.727081138948633
pampa,2.7110222709531104
paddo,2.7061323617418918
paffe,2.692650480673158
pubis,2.6680458583574733
pulls,2.6559276134775174
puurs,2.6006159286254844
putts,2.6004362737996853
pusht,2.5847458352223045
pukje,2.565564672421299
pizza,2.531140691499281
pacht,2.525679662235021
patch,2.512223434787705
putst,2.4960053868901895
pocht,2.424823874991176
pumps,2.403103775979132
pappa,2.394246921113373
pitch,2.2799598224218625
p1pje,2.2481433590144886
pucks,2.1185239572747783
paddy,1.943291756130433
punch,1.9172319898852757
puppy,1.458145857770475
