Guess,Weighted Avg Log
roten,4.314973082745538
raten,4.263807243110782
reten,4.122991336371382
renet,4.108464744412823
ronde,4.085261689454088
raden,4.085172597782977
rotan,4.073488685830992
rente,4.06755678602592
roden,4.0658438752642265
ramen,4.052298212380709
riten,4.025849585381614
romen,4.014037541915164
ranse,4.011666077615903
r1ten,3.9968438531817396
reien,3.994587719925248
ranke,3.9895533424402276
range,3.984393987188086
ragen,3.9711701729882956
raken,3.9655862905054224
roken,3.957706671764138
reden,3.9546970169610205
ratel,3.940968868949949
rende,3.924593219594891
ratio,3.9187880199582565
radon,3.8960619649210053
ramee,3.8953459855340804
raket,3.8917344015624984
ranze,3.8801602358689062
reine,3.8731378611279674
roste,3.860859504225182
razen,3.8466847474639416
rozen,3.8365341941568554
raven,3.82748348748613
regen,3.8251085231723465
route,3.818422772143713
roven,3.817836830779958
rokte,3.8117163151531126
reuen,3.8070901534487542
reset,3.8001389690778176
rozet,3.7971735353352996
roeit,3.7959802273769947
reken,3.795568493712962
r1den,3.7932849565638986
rapen,3.791256815011901
randt,3.788047516492039
roman,3.78683854771311
relen,3.7851653529821125
roede,3.7755449569789126
rinse,3.768570372021207
risee,3.76090027112474
regio,3.7589860676524105
rodel,3.7424435282949027
rites,3.7406631861013966
reins,3.73561556798392
realo,3.734447080975004
reent,3.733080601961793
reide,3.729627866799202
r1men,3.7295584453822213
retro,3.7286471650864095
racen,3.7277261079094157
radio,3.7212571945355433
rondt,3.7192506285113787
ramde,3.713414067022309
reist,3.700855499955199
retor,3.6968419865718056
reilt,3.6968383759293024
racet,3.6891480849658524
rekte,3.6869691239564224
rezen,3.6834051860664907
ragde,3.681496783205116
r1gen,3.679311344162514
ritme,3.678728191844457
r1nse,3.677652310479531
ramin,3.675448218278578
rages,3.6676849404057448
repen,3.659456626265023
reven,3.659233008613525
rapte,3.6587846149213132
rolde,3.6548429941973235
regie,3.6521020175057157
runde,3.6454230601819453
ropte,3.6394244307773005
ranst,3.6383230843640026
redes,3.63394359803046
rankt,3.633516366656044
reikt,3.632504216641294
ratje,3.6315374680818615
riant,3.629993324784501
ruien,3.62678045929232
r1ken,3.6174710794697544
rotje,3.6071882704463527
recto,3.605389577024056
rader,3.598010806971886
roans,3.586258086517363
robes,3.5847839096367995
ronkt,3.583170615791272
