Guess,Weighted Avg Log
stoel,4.724626078760291
stoep,4.6828897004831465
stoer,4.676812739684738
snoet,4.662085083527375
store,4.624652990070813
stoei,4.571820661211466
sliet,4.5336548797832235
salet,4.527463262592155
spert,4.499449722002693
steno,4.499356801273721
spelt,4.482901122342401
stiel,4.474141520082383
steil,4.458171928099698
sealt,4.454358763412746
stier,4.452616277295926
stern,4.447135144111315
sloep,4.431819748977885
stelp,4.431017941216299
snelt,4.422416043054741
snert,4.41917955065469
siert,4.412911261012957
spoel,4.398435455622383
spant,4.372632733420917
sprot,4.3416057323270785
snoep,4.340149147242782
spore,4.3393061719905415
stola,4.338311368027148
strop,4.311042522192173
steak,4.3020648716404235
sport,4.2996706268822855
slapt,4.298454061349693
sepot,4.294432855656948
snoer,4.293093487308013
seint,4.284464532306155
steur,4.28343826507293
steun,4.281573889703017
stolp,4.2716767642484506
sater,4.258521060419371
snort,4.248182933026887
snapt,4.218022115836164
solen,4.20991871744267
sliep,4.208676632168145
strem,4.19424890625638
snoei,4.182808046043756
strek,4.169834289253693
sprei,4.16018433086242
sleet,4.155404901488486
slier,4.148513990305641
spier,4.14195221319937
snerp,4.140838593064338
sopte,4.136860023596094
sterk,4.129895500047009
smelt,4.128413179443589
split,4.123277555828125
spekt,4.122752525777432
speet,4.1080062490986915
stres,4.104800159714252
soera,4.100639687806575
skiet,4.1001108561229955
steel,4.096484045008096
spint,4.091641602047399
spilt,4.0879100757191775
strip,4.0856854106076375
stoet,4.080877824216581
steen,4.080470595321132
salut,4.078996299994001
salie,4.0787384937633275
smoel,4.072267172701558
stele,4.062716389459472
stens,4.0612295061492585
slipt,4.059948190451814
slome,4.050643942804658
strak,4.0384611697905815
siena,4.036062879360146
stank,4.02755803203512
stram,4.020534306423426
snoek,4.009812518190005
slorp,4.005645718883616
skate,4.002257497154555
stalk,4.001831188427583
scant,4.000863839045623
sleur,4.000473419561003
slokt,3.997321062451134
stoma,3.995405954247201
smart,3.992587991468507
stonk,3.9873138540141984
smalt,3.9862966462196443
speur,3.981382771104876
storm,3.980541780286368
snakt,3.9802542706250446
salto,3.980047403014487
sterf,3.972931912234083
sitar,3.970710677143246
stras,3.9671411644289662
stage,3.964217650945433
smolt,3.959791884175166
stans,3.957064964073413
spurt,3.9544942299173256
sluit,3.946099078274312
steps,3.9447563693276857
stomp,3.940784094654073
stamp,3.940158106155446
salon,3.9367483407166715
snokt,3.935220696809524
stars,3.9308761086779027
sonar,3.9286151359927213
short,3.9209545709283793
spuit,3.916963734184391
score,3.9149556156904057
stulp,3.912840585346844
suite,3.910789572211256
state,3.9044259668008987
stros,3.900148536749571
sloef,3.8933857624589647
scone,3.8908023038657364
snoes,3.8903846365444488
stuip,3.88373451402179
sajet,3.876982912427931
slemp,3.8740652845531294
snuit,3.8715425774545977
suilt,3.8642632314128385
spion,3.862509081129587
slaat,3.8624010455395017
spaat,3.8613115500659876
slenk,3.852665116887608
straf,3.8521209591591044
sarin,3.8492236608352295
spoed,3.8453714173684004
stiet,3.844422909993356
stand,3.8419564137877327
staal,3.8407748812902582
sleep,3.840005350287735
shopt,3.839731675075472
saste,3.8383544996305208
steng,3.837039849789282
stelt,3.8346228808266494
spiek,3.8330607344920296
sores,3.831101369972599
sloeg,3.8283185433139
seist,3.828296335385321
sloft,3.8256323489476762
staar,3.819281977609672
scope,3.81202958748635
smout,3.8108070185458742
savet,3.807936442241386
snoef,3.80178855282544
slikt,3.79759542841631
samen,3.7957634408827094
snerk,3.7890684505294825
stond,3.7847620672814113
staan,3.7774215863681353
speel,3.77639411066816
sepia,3.7744535526521337
smeet,3.773497445784381
slice,3.7716855069119064
stops,3.769661271208772
speer,3.760725426682329
strik,3.75064074379048
stink,3.750549678474173
speen,3.7467460992386608
scout,3.744014326333576
steek,3.7422180132051537
stang,3.740106243000191
stept,3.7396670700180845
shirt,3.7384391536919654
sneep,3.7377910775177954
spike,3.7357552026454006
snikt,3.735713492959227
super,3.7341473279200743
softe,3.7332971674886095
sprak,3.7325689686028447
skeet,3.7324040446637388
sheet,3.7280150644087615
spies,3.7264376982094665
sites,3.723839062255009
sloot,3.723598537469036
slank,3.7153656662807424
seans,3.7134391135601916
slist,3.713067155814038
spats,3.708515155614691
spalk,3.7076690974466207
stalt,3.703599381513919
stool,3.7007511681199223
sneer,3.700741330565542
snode,3.6980093403160352
start,3.697251540903733
slonk,3.6942983568430154
sarde,3.691960800900889
spoot,3.6918542005142374
sjoel,3.69098142268609
stoor,3.688758511091212
strot,3.688731299590204
saust,3.6851260720202528
spade,3.6837184191325174
stolt,3.6833814384343184
slomp,3.671294410779136
stort,3.671198540009668
smeul,3.668925012598284
stins,3.668642242913862
soesa,3.6670140019915705
stoop,3.663662064755446
style,3.663650281437501
spots,3.662546022736926
safer,3.6596098568117603
snoot,3.6573507621171317
siste,3.6543263072533367
speld,3.6405673130803846
soort,3.635053412154249
smakt,3.6343957566672955
solde,3.633978980976541
snoge,3.628675473698486
scalp,3.6283333952923518
soeps,3.628071924614447
smult,3.6272962676223734
scrol,3.623580180171156
smokt,3.622717509845728
slurp,3.622042698473087
siens,3.621323787638671
spied,3.616535917029632
snork,3.616206248262434
sonse,3.6160328617108677
sjort,3.6127069876326567
saaie,3.6101960342602797
slons,3.605709312798499
shunt,3.6021299341178787
smoes,3.5993867346345247
sluip,3.5892940037124976
stapt,3.587919695918753
steef,3.584776988538087
stoms,3.58372265052722
stopt,3.5793677241304005
spons,3.5711168475637476
shake,3.5663638498428876
stuik,3.566286717923706
sjapt,3.5588170714899285
stefs,3.55496373546172
snars,3.5538524720422844
stock,3.553560921693309
sagen,3.5519103900582194
sneue,3.5458770066635994
spahi,3.541920785360417
seraf,3.5353066953965504
sujet,3.5338551166496774
serie,3.531379750736242
slaap,3.524819007552784
sieps,3.516995961551527
saoto,3.5153233217218847
stemt,3.514145696062336
stout,3.513943465145254
sisal,3.506508534839709
spaar,3.5015571650133688
suste,3.4932500604241006
sedan,3.4921805168757722
soaps,3.486976474319211
sjerp,3.4867643871982286
sleuf,3.4860780949136334
steeg,3.485565594177274
sonde,3.485136514890638
soefi,3.484509315320074
staak,3.482202048877287
sipst,3.4751989275235227
salmi,3.4735852436212746
sabel,3.4717400525062065
slink,3.4682528460068656
skaat,3.467844438915177
stekt,3.4665309545449485
sober,3.464784557322205
stilt,3.4645677957946264
snaar,3.4553614768914684
sp1er,3.45203519950521
spits,3.444299017161408
slaan,3.438562255167566
surah,3.435493732507992
spaan,3.4341054246544074
speek,3.4327845690754226
stads,3.4322751381555703
spl1t,3.4306935883133867
sekst,3.43058004620646
satan,3.430254676157918
stafs,3.4284389993091358
slibt,3.4217349103368253
slang,3.4215098217431756
sions,3.41777128053282
schat,3.415869426047807
smeer,3.4150660257685432
surft,3.406737801149336
snuft,3.406461836474961
saven,3.4062930448519526
sloop,3.406252227004434
sakes,3.406110768061685
skimt,3.404233672519503
serum,3.403874137612772
suist,3.402234574302346
sufte,3.3998431732143772
scrip,3.3985637036755523
stylo,3.3981872591510163
solex,3.3980597831247183
sloor,3.3969696649494643
spang,3.395128862012778
spoor,3.389837691239953
stouw,3.3886349422397175
stamt,3.387942534145598
snaai,3.3879075012892135
soeks,3.3856765684322876
sl1pt,3.3750777649573007
sauls,3.3672469621633723
spong,3.36633212461204
sopje,3.3597505371520455
stuif,3.359517966605305
schot,3.3521158432381815
smots,3.3497224634444036
snibt,3.348236812122405
saldo,3.3448267430493352
saxen,3.3441876217818174
sinas,3.3410725310800395
stoom,3.339556235184958
stipt,3.339460998658793
scene,3.336809512590251
stook,3.335979455995361
sulde,3.335068712296663
spins,3.334179586910418
sapje,3.331416973226469
s1pel,3.3288905518627745
sekte,3.3281826444993894
siems,3.3271241614111764
stunt,3.323125630268723
snees,3.321984384498721
stokt,3.3210902808802985
slips,3.319779177694378
sozen,3.318038600810004
shots,3.3150880087128303
staaf,3.3135237211024378
slump,3.313121317662742
stick,3.3084343106274887
sesam,3.304838409822174
slooi,3.3004088973991865
sluik,3.293513357444109
sleed,3.291082874801282
snurk,3.2867127674930954
shans,3.2818308565794165
snack,3.2817901970678003
saldi,3.279471692369348
somde,3.277618028385192
slede,3.2746674746676803
slash,3.2686972927073077
sereh,3.263761558477448
stuit,3.263014381118494
smukt,3.262729358431657
spray,3.2605368809312805
scans,3.2544878320962107
sades,3.2535966976127635
sjokt,3.2509231083784615
safes,3.2495488843653164
silex,3.2493913870398066
sauna,3.2416459479373314
schep,3.2315458700325603
sneef,3.2270528437478516
smeue,3.2251855627448935
spuwt,3.2251523550292465
staag,3.2199096205285427
shais,3.218876782464987
schel,3.217697917404949
showt,3.2171316495225812
