Guess,Weighted Avg Log
tenor,4.737977471284044
toren,4.705200867546616
toner,4.668888317967835
trien,4.612779958888811
trein,4.61020165100832
train,4.555302233011432
toean,4.5326936192296134
trens,4.480671685187485
tiran,4.468048850107646
tater,4.455472637709825
trans,4.422619282749253
tines,4.41345322319025
teren,4.412864533569029
toten,4.397351146256034
toert,4.359989403302182
troel,4.343340204142056
tante,4.343265719163425
turen,4.339485341411573
trias,4.314946903120836
titer,4.311875253284566
trees,4.304653677903397
tiras,4.30330910978825
talen,4.295682477437693
tuner,4.295577356066991
tarot,4.29146570502734
terts,4.281403244734867
tarnt,4.281197678319614
torns,4.276682670085032
terne,4.271132368753092
tetra,4.263413900982591
trant,4.258486640635084
tapen,4.218818611839079
tiert,4.20865754280199
troep,4.206423128730152
tinas,4.188385237671059
taken,4.180572488335033
tiens,4.176280282205935
tuier,4.173863549534328
tornt,4.168888889338513
treil,4.168624842916712
token,4.153680816409018
talon,4.144420491526253
tians,4.139863217211686
trage,4.125694415226714
tomen,4.12325494177674
trast,4.102335445874697
tunes,4.087486743425181
teint,4.086960368027238
traan,4.082089611290858
teers,4.071653216986275
talie,4.0581777836301205
trema,4.057180824808193
timer,4.05475048194518
togen,4.052207589229153
tuien,4.047169427573703
tapes,4.026602646857842
tarde,4.01973347611804
teuns,4.015068155464309
trial,4.0133279356818505
terig,4.00770699011883
titan,4.006584015022809
teler,4.004067968732903
takes,3.9936571376327414
tokes,3.993450907222229
tarok,3.991690986223871
toets,3.97583563582791
troef,3.9737700112200733
teert,3.9713358410744
taste,3.9692006929772927
timen,3.968375813329296
torst,3.9682149674874143
tapet,3.9654598905830967
toste,3.955803306864276
tanen,3.944873064264625
trots,3.939452832413985
trost,3.929782116242973
torus,3.9281451584991407
toast,3.927735047896926
trend,3.9265835777595695
tonen,3.9196860259564725
trams,3.9151180078167895
tonde,3.9053791738784316
tapse,3.895681544595877
terra,3.8946332580256544
trits,3.8909463836137945
truis,3.884848403073823
tuten,3.8818407070741787
teams,3.873219289398993
tours,3.873025779337134
treek,3.872793663039246
treem,3.872177592146134
toges,3.8702735494058156
tergt,3.8665831589366215
tapir,3.8661549248205445
telen,3.8626301947624
tarwe,3.850881287535306
tonus,3.845961935993049
tronk,3.843782089190018
toega,3.8405852631980903
tinto,3.8399122087094693
titel,3.838643200397045
topse,3.834192778762548
tahoe,3.832242865769358
temer,3.8302379966628806
trekt,3.823936209496509
totem,3.8185499767418714
tango,3.8144355461622768
tapte,3.813942915175949
troon,3.81229992892571
taaie,3.808893519573852
tesla,3.8010950425552594
tenue,3.7989430989347617
tobes,3.795908786287866
tulen,3.7943343501687763
takte,3.792471358192755
tanks,3.7807804249389427
tokte,3.780417933365188
trash,3.777609855521726
tramt,3.771631339906033
taboe,3.7703245279339948
topte,3.768270077802475
trapt,3.7647373923142617
tover,3.7637248986367875
takel,3.7575688549631723
turnt,3.7558344373515413
terug,3.755659146071317
tahin,3.750624438567966
tanig,3.7408874078461922
trafo,3.73539001100303
teken,3.734597899695161
temen,3.7343351637226205
tipse,3.7278072168995666
tetse,3.7208921485637476
tiaar,3.720786398533649
tiara,3.7058991373479286
tankt,3.700582112112668
toorn,3.6927898337094565
treef,3.687200217016125
trays,3.6871953978365926
treed,3.6833170628660477
tinne,3.6703148073368177
trede,3.6613777644437384
trips,3.657049113685491
taxon,3.6538951844386447
tipte,3.6538720652345864
topas,3.653382235792022
teder,3.6494657541053415
tegen,3.642178905841193
thora,3.6417041088658637
timet,3.639766930819238
treft,3.636164742994321
tiend,3.6233716701427303
trilt,3.6068678191564962
toros,3.5983580628958745
trust,3.5964120495329155
tromt,3.5960260740619208
tikte,3.594324148574365
tsaar,3.594022925144894
teute,3.588414825754413
tabel,3.5807915113606588
taupe,3.5652399507958963
thans,3.5643059536520147
taant,3.5557133809450105
taart,3.5546453462617325
torso,3.550877567729283
tafel,3.548776316460525
tandt,3.5430478998829193
toeft,3.5425766357817094
treur,3.539991201748347
teloh,3.538281755613333
tabee,3.519924826455428
tenen,3.5188215484382352
thais,3.509785274074475
trimt,3.508687404049485
troys,3.5053975868411644
thors,3.4952026762835633
