Guess,Weighted Avg Log
uilen,3.773557262275185
urine,3.6402239289418516
unief,3.640223928941851
uiten,3.506890595608519
uiver,3.5068905956085183
uniek,3.5068905956085183
unies,3.3735572622751855
urnen,3.373557262275185
urmen,3.373557262275185
uiers,3.3232314287976203
uraan,3.189898095464287
units,3.0062389286533895
uitte,2.9735572622751856
uitje,2.9735572622751856
urkse,2.973557262275185
ukken,2.8729055953200557
unica,2.8729055953200557
unzip,2.8729055953200557
urmde,2.8662478973127308
ureum,2.8662478973127308
uitr1,2.840223928941852
upper,2.840223928941852
ulaan,2.789898095464287
uitga,2.656564762130954
uiige,2.6062389286533896
ultra,2.5492553971685
uitat,2.4729055953200563
ulbes,2.4225797618424916
uilig,2.4225797618424916
uzelf,2.279799131837405
umars,2.1464657985040723
uitd1,2.1055872616982603
ugurs,1.8228156003525158
