Guess,Weighted Avg Log
vloer,4.581707143354652
voren,4.5202180760072
valer,4.424557052003575
vlier,4.4136210012527926
vroeg,4.39117427774057
varen,4.3885762073326
volte,4.388359734218682
veler,4.381969231110571
vroed,4.35680771494883
vliet,4.355650979512119
vloei,4.350014915206568
vloed,4.287574206986684
voert,4.275825411130905
verte,4.265600039791073
vreet,4.262551580986902
voile,4.257589265492354
veter,4.237261505317061
velen,4.236315454905036
vleet,4.22591199577143
veren,4.213279900493128
vogel,4.188378511943168
vries,4.184218076007201
veilt,4.184053790664412
verso,4.175771145456914
volde,4.16869072161157
vlies,4.148074800303198
voelt,4.145079949930418
veile,4.142835213200193
vleit,4.1315410767869
vader,4.119062424009839
vlied,4.112486333232374
vlieg,4.099530656493205
vager,4.099232679701656
valse,4.094123154457127
veder,4.09247102766044
vergt,4.088866948618781
veres,4.075922306434474
vrees,4.071459102237656
viert,4.070195880123151
vaten,4.069839303014627
verse,4.069117611564035
venae,4.05815626736942
vedel,4.051533618570835
vilde,4.049864830522561
veger,4.045599641715015
verst,4.04456066743342
vuren,4.030444437586579
vrome,4.021208698402878
vr1en,4.010294033528223
velde,4.0079402215252475
verga,4.0074618154106085
veils,4.006552379978007
vrede,3.998762971829706
vozer,3.9986291382770127
vlade,3.9926493790806687
vlees,3.9907508888051075
vl1en,3.9762038418137093
vloek,3.965937682896281
veten,3.944970192842284
veert,3.944795524029462
veine,3.942982476816474
volta,3.9378885876127696
vliem,3.936868777266697
vel1n,3.917063915762003
veelt,3.9125735393099506
video,3.8994186445820627
v1len,3.8966351448871794
vagen,3.8764708679684734
vents,3.843863554023174
ver1s,3.8247953367585303
vuile,3.8227738889761147
voedt,3.813397092186274
voute,3.811647765178522
vozen,3.7979344543932
veins,3.7953651926209613
verft,3.7914490696162853
venig,3.786156221458665
voegt,3.777338709698112
verre,3.776608624959435
vorig,3.7672362416408713
vegen,3.763054953164482
verd1,3.755474785764398
vorst,3.7485323264452806
volle,3.742750786324353
vulde,3.7386125677713498
vaker,3.7331756285299327
volts,3.7254611896457774
vides,3.717504789525023
vr1de,3.7157222726724743
vitse,3.715522241364356
veraf,3.706985362476477
v1lde,3.7032598578433347
volst,3.698701365902208
volgt,3.6894857144764632
vl1de,3.6815883785134345
vezel,3.674462056561981
vetes,3.6713835438200855
vamen,3.670434737616315
vreze,3.6680253828921976
vlagt,3.6656696138917106
viste,3.6614831413470474
vaste,3.6614088415832775
valst,3.6297198086007008
vazen,3.627925466656918
vormt,3.6225774388886762
vrind,3.62165116926269
vlast,3.6138133389027303
veste,3.6121327333408066
vleug,3.5894826219888447
vlerk,3.589091056041187
vemen,3.587867867467576
vroon,3.579397887081705
viets,3.5708258521877787
voorn,3.566599442662363
vlekt,3.559922362484401
velum,3.55984184083258
valig,3.517564597813978
viest,3.5074966765006295
verba,3.502715889703338
vendu,3.501216852019006
vezen,3.4949730011304556
voort,3.4935701905584673
vlamt,3.4854761522419095
vangt,3.483841985058687
vloot,3.4801208489931534
veegt,3.4769145329186033
vuige,3.464432079252329
viool,3.4580223546464826
vanen,3.4518295192973065
vr1er,3.45173486616548
v1gen,3.44496304014272
vlokt,3.438687060152807
v1zel,3.4357269329374676
vieze,3.432206483080485
vadem,3.421520022270354
veest,3.4115402967983757
vindt,3.411100213993052
vinex,3.403456598159701
vraat,3.3637938943876327
vrank,3.3547250318442243
vlooi,3.3526509864544063
venen,3.3489700849475144
varia,3.346844427946368
vaart,3.3442813389937083
vitte,3.3274067828952516
vieve,3.324445036595537
vroos,3.3231411477304396
vlakt,3.297894255198454
v1ver,3.296599353585051
vatte,3.293326835768516
vette,3.2811958209901757
virus,3.2798548718629164
vunze,3.2754845487213653
vonkt,3.2666161489920293
vlaai,3.2629780313856527
vulgo,3.258941585506414
vaalt,3.2489368066050552
vr1st,3.2402815850735394
vodje,3.2169318115779983
voord,3.2145549723990117
vlood,3.212720286072474
v1zen,3.201808182371362
volks,3.1979635880087556
vloog,3.1955387882685673
vurig,3.181354521574452
vodde,3.178256076728905
vraag,3.175502061517315
vaars,3.1536836091137843
vlaag,3.127465288993432
vinkt,3.097501751656025
visie,3.096471733128288
vl1mt,3.0737054942960733
visje,3.0618817874719952
vanop,3.0520090730285285
v1ven,3.0460389916711277
vroom,3.0427444658753844
vunst,3.034609547207143
vetst,3.0303842839936195
villa,3.02740948956459
vrouw,3.0208951316467365
v1and,3.012857609155221
voost,3.000411071673936
ven1n,2.9927470012993647
vlouw,2.978107930435383
vivat,2.977562270040078
vinyl,2.9772043738203986
views,2.976399882363877
vutte,2.96693835355797
votum,2.9597527573045324
vuist,2.958316339962828
vroor,2.9396015730679963
vr1af,2.8430838091927715
vaagt,2.8274044367941746
vieux,2.8199422546816306
vaats,2.8070819757264562
vulva,2.763634155589204
vazal,2.7313060605447284
voogd,2.715204635779643
vuurt,2.7121207470945325
v1fde,2.674795333013125
volop,2.6725855172439297
vakje,2.6649058048035785
vouwt,2.6367818025248155
vaags,2.608137030778039
vipje,2.5681547817750285
visum,2.549307948047351
vecht,2.4954489475115906
vanaf,2.4841423531465208
vamps,2.257950029245301
vocht,2.1880498962563717
v1fje,2.1420924306216467
vacua,2.0718060041193227
vacht,2.066860008707013
vicks,2.0283766766962885
