Guess,Weighted Avg Log
wener,4.260842802932903
wende,4.165842353299157
weren,4.157948027831547
weden,4.109134064089884
weien,4.106109656079764
wande,4.09160543766719
weten,4.085246513808079
wendt,4.064198670993796
wenst,4.043999677661416
welen,4.010210056702677
wegen,4.005497663200382
weder,4.003710525599434
waren,3.9989788415485794
winde,3.9988011108974266
waden,3.9859188280536593
weken,3.977727527777866
welse,3.943118564206031
wrede,3.935370175731238
weger,3.926062978750417
walen,3.9125072847662374
wenkt,3.9049763280477494
wreed,3.89479441921458
weids,3.872569111247416
wiens,3.8703629768987393
wiste,3.8666237927871565
wagen,3.860164661867841
weker,3.844994382092098
waste,3.8346748094321197
wales,3.8246372356661196
wrens,3.8164537946365034
water,3.813761297350152
weide,3.8097075259043316
weent,3.7958264797948216
wezen,3.7933898547532077
wreek,3.7900232809663903
werst,3.786825314042671
walde,3.7798638699098355
welde,3.767527514140705
weidt,3.7621876571902155
wegel,3.7587999004200796
wekte,3.7484550364894482
wants,3.745462602701701
warde,3.7451978111432362
walin,3.7312604017136453
wenen,3.727029486427987
wangs,3.721076430700932
waken,3.710311139048066
wilde,3.6874499380845576
werkt,3.683988869689653
w1den,3.676534801512056
weert,3.656476723573142
windt,3.656079731297537
welke,3.6490617950137993
woede,3.644301198322922
wonde,3.642528883486527
wanne,3.636599174439274
waker,3.634477926644133
wieks,3.6191974869899637
welks,3.6168672898639267
w1ten,3.616648783841989
wrake,3.605645752335257
wroet,3.5978081029758684
w1len,3.597797432589979
wazen,3.5967774139276196
wiedt,3.5950696504940427
weven,3.5903535726470346
wapen,3.5849701298628354
wikte,3.5842708900389324
welig,3.584013476771614
winst,3.5730396748848348
w1der,3.5725355176365654
wreef,3.5642083510424993
wanen,3.563029453708757
waels,3.5550751732291754
weeks,3.539047608903249
wings,3.533291722580329
wrang,3.526790542863957
wogen,3.519909197832582
weegs,3.518133092312241
weest,3.5100158058779516
welkt,3.508707666778813
w1ken,3.5069681408328197
wroeg,3.506543672552737
wielt,3.498728407021747
wamen,3.496196100273794
wezel,3.4959051604495563
weegt,3.4951156776716736
weekt,3.494070500369688
wiegt,3.4899717279396585
w1ste,3.4791353826638938
want1,3.4723021669118586
wiekt,3.469731411108348
wards,3.4660614442373308
warts,3.4650334104376723
wever,3.4584198618663877
wieme,3.4583861991391567
werpt,3.429388472407503
wepel,3.420890140525312
wipte,3.392058942598084
w1dte,3.382167625492967
walts,3.3790534989965053
waves,3.369877003848239
wagon,3.3642359378882003
werft,3.362233545007451
wisse,3.360579717108143
welnu,3.356377187813593
w1lde,3.3557657169967148
warme,3.353589116992686
wuien,3.3428125096056442
wemel,3.340208343402888
wafel,3.3371642141923106
wasem,3.3361584566856255
welsh,3.335596671575397
wring,3.334861909110383
wette,3.3323645024308286
wessi,3.33145910274588
wetje,3.331231347008683
walst,3.3053873668651423
wieps,3.2975874929514863
wegje,3.295876652213271
wilds,3.292503482591969
wedde,3.2889349174087417
wamde,3.2479336888402988
wondt,3.2397653742855312
wierp,3.237582290526407
wokte,3.237047545114652
w1nen,3.2319198215035163
wonen,3.21566369881114
wierf,3.2138534337989313
w1zen,3.2083435486597205
weeps,3.1997251010298364
witje,3.1856288196296263
watje,3.1817852389187995
wrikt,3.1800133169687324
wigje,3.1796321153611498
witte,3.1777764187126265
walgt,3.1769342473393545
woest,3.1759149095824366
wegge,3.1725737138466097
welft,3.1705850379312803
weeft,3.162382705574881
waant,3.157175136475285
w1zer,3.140558372879121
woedt,3.130354981551272
w1ven,3.1174248700907605
wraps,3.0997090643309373
woerd,3.091877814178744
walkt,3.0738761592636195
washi,3.060875733433221
woelt,3.047406695970759
wakst,3.0465593183661204
wrong,3.038400921593026
wigge,3.0380295955286405
winti,3.0367849373012166
w1fie,3.02808928333399
warms,3.009918498567789
waars,3.0098181817301084
worst,3.0068259570554954
weckt,3.006669282493346
waait,2.9819461667450113
w1sje,2.967383670951451
wikke,2.955927873585568
wegga,2.9527990827541943
wordt,2.9498409890918738
waart,2.921439558298183
w1dst,2.900040138982121
warmt,2.8759027817268605
worgt,2.8723410637170335
wakke,2.8577080232409178
wrokt,2.8527884272224124
waadt,2.844839046477416
waals,2.843554357826102
watts,2.820195096278107
w1dde,2.783453707146269
wazig,2.773847142635778
wicks,2.7699594840703785
walmt,2.7625650082011846
wasz1,2.7455424770041876
waagt,2.7378998762141205
wodka,2.731162901878493
waard,2.731019154818202
wasco,2.728653655829225
witst,2.7166825556579552
waaks,2.708377961909484
wufte,2.6991585392604933
wills,2.670743520602078
w1kje,2.6624310083837126
winch,2.617638045091973
webbe,2.6143974785139017
waakt,2.6023388288357165
wauwe,2.589852540071105
whist,2.587001230789957
wolfs,2.548181050527306
woont,2.5467582341202006
wybes,2.520381075949661
wurgt,2.51548559700705
wr1ft,2.5082186827715183
wraak,2.4891422543472697
wouds,2.4768629716557045
wouts,2.450171574353946
w1fje,2.383095553459744
w1zig,2.3325078068664564
warau,2.3174252956374883
wacht,2.2456148826252313
wuift,2.2173735260037093
woord,2.17486324571201
wicht,2.1339236551616336
wurmt,2.1163658704019506
wulps,2.06313816826248
