Guess,Weighted Avg Log
zelen,4.207723390411825
zonet,4.187595328924668
zolen,4.176293344369614
zogen,4.14625885860018
zegen,4.078356700253649
zoele,4.062277721792055
zenit,4.048516668849587
zweel,4.0374777497763645
zalen,4.032114937405095
zengt,4.013375415959451
zeden,3.9994151296106426
zaten,3.9955545662390075
zetel,3.9842210599352663
zweet,3.9759619636050663
zagen,3.974364124713187
zweer,3.972572659730755
zoden,3.9691503190977704
zwoer,3.964682480956744
zowel,3.963328388358012
zopen,3.9567603167075562
zendt,3.948043366456836
zepen,3.9449586525658673
zwoel,3.944410681420085
zwoeg,3.936137529210688
zeken,3.9175669842845235
zoete,3.9168935546968653
zemen,3.9152325962334946
zweeg,3.9127597888060195
zones,3.904006157550452
zomen,3.890175134010967
zegel,3.8787867801169074
zaden,3.8442494579454776
zoent,3.823274418040432
zweed,3.819401014275259
zonde,3.8191781847033557
zeelt,3.813453031686279
zenig,3.8030350606611263
zeilt,3.7973701034334075
z1len,3.7967435829039635
z1net,3.7878703982495048
zaken,3.7869889723888353
zweep,3.760315020420436
zeper,3.7585185264450756
z1ner,3.7565021868494672
zemel,3.7407388501148486
zweem,3.7404976245626003
zeven,3.7372089520753193
z1gen,3.736842584920329
zwier,3.7196620028841365
zwelt,3.704284173405942
zeker,3.7041815851511553
zwelg,3.6764252678971534
zenen,3.650807141388459
zonen,3.6467769406189094
zenuw,3.6461938863037697
zager,3.644021223700767
z1weg,3.6435632743715525
z1den,3.6289395614105495
zowat,3.6264508950888947
zinde,3.6251282371471527
zware,3.6241948962486754
zomer,3.61628183870518
zerpe,3.60717770783903
zadel,3.601439777947959
zeikt,3.58492906352235
zoekt,3.5773176478037256
zegde,3.572942354850361
z1pen,3.56798598627658
zeges,3.5590669902540943
zwenk,3.548770115622991
zever,3.5432983017150717
zilte,3.5346205200587346
zuren,3.530213555152727
zamel,3.5183555607639767
zeemt,3.50988081644144
zelve,3.50948242156778
zeurt,3.5082273180029935
zandt,3.5051895218496867
zeept,3.504196647141912
zwiep,3.500493533446097
zieke,3.4987370975817456
zeult,3.4876597251322288
ziend,3.4846465888204876
zanik,3.4728878086727235
zwerk,3.470875464434583
zover,3.468481656068629
zoemt,3.465919457134286
z1nde,3.4570179836376655
zwade,3.4149411197452335
zoets,3.4116030602645866
zakte,3.3932452161389115
zweef,3.385816995380313
zedig,3.380545891915444
zwerm,3.3796338741630483
zodat,3.371980176763769
zwemt,3.368126644982714
zwart,3.3472995932463907
ziedt,3.3461737390815727
zapte,3.3414015623453857
zwets,3.3344931388041696
zesde,3.3275969595821273
zwolg,3.326659087806055
zoute,3.3254546585780402
zavel,3.315898399063218
ziekt,3.308811919376217
ziens,3.300518371094793
zepig,3.2995179129173806
zeboe,3.280892485330618
zeeuw,3.2808555537637543
zomin,3.2757717437381597
zingt,3.2663823442856055
zemig,3.2511689669863144
z1nen,3.2506938085446078
zalig,3.2478505478971575
zette,3.2461564761946824
zipte,3.245627518010123
zetje,3.23949994402207
zinkt,3.231317726604013
z1ige,3.2305746260324493
zoals,3.228881464874463
zwaan,3.2213149056680908
zwalk,3.198771953291251
zw1nt,3.197182750694685
zulte,3.1920151845983553
zegje,3.1832567271662504
zwakt,3.1790300072455158
zwing,3.177829077491436
zoude,3.1711428555588324
zwans,3.1646146165160935
zodra,3.164596843352474
zoeft,3.145606149002064
zotje,3.129711994038575
zwalp,3.124023220306274
zeeft,3.121727729806263
zegge,3.1212941996114973
zorgt,3.113371865057323
zwamt,3.095424074238262
zwilk,3.0944133143230177
zotte,3.088907264191901
z1des,3.082144845335262
zwikt,3.076619739463598
zions,3.0748991991645473
zulke,3.060756074905638
zwerf,3.048336473768858
zebra,3.030253843420163
zwols,3.0053511888796023
zopas,2.9720866308426115
zatte,2.969343250300423
zesje,2.9577781294730103
ziezo,2.936819505147653
zw1gt,2.9337044458419044
zaait,2.905085825653004
z1tak,2.892322670363158
zwaar,2.885515980531502
zitje,2.876333548674561
zelfs,2.841071255023212
zalft,2.8347960974359525
zakje,2.825724766032176
zhens,2.8055364981601674
z1tas,2.7928543897012954
zaids,2.780789960906587
ziads,2.7730894836788993
zoeys,2.765419475526812
zwaai,2.7621275169203097
zwamp,2.7584032660740125
zw1mt,2.7555627425751763
zoudt,2.7528642314886818
zaagt,2.7468959629827374
zonz1,2.7433871288412575
zulle,2.7314603217086635
zoolt,2.705613356896772
zwoor,2.690325949494978
z1tje,2.6896186753828544
zuigt,2.677339766038235
z1pad,2.6282646845751247
z1l1n,2.6121599753365783
zurig,2.5402400316538416
zuipt,2.5326510493415775
zoogt,2.513808519438877
zoons,2.49116533393147
z1vak,2.4679793311391136
zambo,2.454512793634475
zatst,2.3633061580082
zloty,2.362642543959711
zoomt,2.3359126862637893
zusje,2.317396985789523
zulks,2.302231180094135
zotst,2.2678606743992904
z1zak,2.262427870501907
zayds,2.1192699954968264
zuurt,2.0998680740993474
zacht,1.9999127114774033
zjefs,1.9891415882587937
zocht,1.9314236536681864
zicht,1.7126153074657937
zucht,1.435596348383051
