Guess,1king,1sbal,1shal,1shut,1skap,1sman,1ssla,1st1d,1svr1,1szak,1szee,1zing,1sw1n,1sbox,1kl1n,1skar,1sbad,1sb1l,1sdag,1sdam,1skou,1sbar,1sdek,1sval,1sbok,1stak
1dele,20000,20010,20010,20000,20000,20000,20020,21000,20000,20000,20102,20000,20000,20000,20010,20000,21000,20010,21000,21000,20000,20000,21100,20010,20000,20000
1kers,22000,20001,20001,20001,21001,20001,20001,20001,20021,21001,20101,20000,20001,20001,22000,21011,20001,20001,20001,20001,21001,20011,21101,20001,21001,21001
1kten,22001,20000,20000,20100,21000,20002,20000,20200,20000,21000,20020,20001,20002,20000,22002,21000,20000,20000,20000,20000,21000,20000,21020,20000,21000,21200
1lden,20001,21000,21000,20000,20000,20002,21000,20100,20000,20000,20020,20001,20002,20000,21002,20000,20100,21000,20200,20200,20000,20000,20220,21000,20000,20000
1lere,20000,21000,21000,20000,20000,20000,21000,20000,20020,20000,20102,20000,20000,20000,21000,20010,20000,21000,20000,20000,20000,20010,20100,21000,20000,20000
1lste,20000,21100,21100,20110,20100,20100,21200,20110,20100,20100,20102,20000,20100,20100,21000,20100,20100,21100,20100,20100,20100,20100,20101,21100,20100,20110
1sden,20001,22000,22000,22000,22000,22002,22000,22100,22000,22000,22020,20001,22002,22000,20002,22000,22100,22000,22200,22200,22000,22000,22220,22000,22000,22000
1sjes,20000,22000,22000,22000,22000,22000,22001,22000,22000,22000,22020,20000,22000,22000,20000,22000,22000,22000,22000,22000,22000,22000,22020,22000,22000,22000
1vert,20000,20000,20000,20002,20000,20000,20000,20001,21020,20000,20100,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20010,20100,21000,20000,20001
1zelt,20000,20010,20010,20002,20000,20000,20020,20001,20000,21000,21100,22000,20000,20000,20010,20000,20000,20010,20000,20000,20000,20000,20100,20010,20000,20001
1zers,20000,20001,20001,20001,20001,20001,20001,20001,20021,21001,21101,22000,20001,20001,20000,20011,20001,20001,20001,20001,20001,20011,20101,20001,20001,20001
1zige,20210,20000,20000,20000,20000,20000,20000,20000,20000,21000,21002,22210,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20001,20000,20000,20000
1lend,20020,21000,21000,20000,20000,20010,21000,20002,20000,20000,20100,20020,20010,20000,21010,20000,20002,21000,20001,20001,20000,20000,20101,21000,20000,20000
1'tje,20000,20000,20000,20100,20000,20000,20000,20200,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20000,20200
1king,22222,20000,20000,20000,21000,20010,20000,20000,20000,21000,20000,20222,20010,20000,22010,21000,20000,20000,20002,20000,21000,20000,21000,20000,21000,21000
1sbal,20000,22222,22022,22000,22020,22020,22011,22000,22000,22020,22000,20000,22000,22200,20001,22020,22220,22202,22020,22020,22000,22220,22000,22022,22200,22020
1shal,20000,22022,22222,22200,22020,22020,22011,22000,22000,22020,22000,20000,22000,22000,20001,22020,22020,22002,22020,22020,22000,22020,22000,22022,22000,22020
1shut,20000,22000,22200,22222,22000,22000,22000,22001,22000,22000,22000,20000,22000,22000,20000,22000,22000,22000,22000,22000,22010,22000,22000,22000,22000,22001
1skap,20100,22020,22020,22000,22222,22020,22010,22000,22000,22120,22000,20000,22000,22000,20100,22220,22020,22000,22020,22020,22200,22020,22100,22020,22100,22120
1sman,20001,22020,22020,22000,22020,22222,22010,22000,22000,22020,22000,20001,22002,22000,20002,22020,22020,22000,22020,22120,22000,22020,22000,22020,22000,22020
1ssla,20000,22011,22011,22000,22001,22001,22222,22000,22000,22001,22000,20000,22000,22000,20010,22001,22001,22010,22001,22001,22000,22001,22000,22011,22000,22001
1st1d,20000,22000,22000,22100,22000,22000,22000,22222,22010,22000,22000,20000,22020,22000,20020,22000,22002,22020,22001,22001,22000,22000,22001,22000,22000,22200
1svr1,20000,22000,22000,22000,22000,22000,22000,22001,22222,22000,22000,20000,22001,22000,20001,22010,22000,22001,22000,22000,22000,22010,22000,22200,22000,22000
1szak,20001,22020,22020,22000,22021,22020,22010,22000,22000,22222,22200,20100,22000,22000,20001,22021,22020,22000,22020,22020,22001,22020,22002,22020,22002,22022
1szee,20000,22000,22000,22000,22000,22000,22000,22000,22000,22200,22222,20100,22000,22000,20000,22000,22000,22000,22000,22000,22000,22000,22020,22000,22000,22000
1zing,20222,20000,20000,20000,20000,20010,20000,20000,20000,21000,21000,22222,20010,20000,20010,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000
1sw1n,20001,22000,22000,22000,22000,22002,22000,22020,22010,22000,22000,20001,22222,22000,20022,22000,22000,22020,22000,22000,22000,22000,22000,22000,22000,22000
1sbox,20000,22200,22000,22000,22000,22000,22000,22000,22000,22000,22000,20000,22000,22222,20000,22000,22200,22200,22000,22000,22020,22200,22000,22000,22220,22000
1kl1n,22001,20100,20100,20000,21000,20002,20100,20020,20010,21000,20000,20001,20022,20000,22222,21000,20000,20120,20000,20000,21000,20000,21000,20100,21000,21000
1skar,20100,22020,22020,22000,22220,22020,22010,22000,22001,22120,22000,20000,22000,22000,20100,22222,22020,22000,22020,22020,22200,22022,22100,22020,22100,22120
1sbad,20000,22220,22020,22000,22020,22020,22010,22002,22000,22020,22000,20000,22000,22200,20000,22020,22222,22200,22021,22021,22000,22220,22001,22020,22200,22020
1sb1l,20000,22202,22002,22000,22000,22000,22001,22020,22010,22000,22000,20000,22020,22200,20021,22000,22200,22222,22000,22000,22000,22200,22000,22002,22200,22000
1sdag,20002,22020,22020,22000,22020,22020,22010,22100,22000,22020,22000,20002,22000,22000,20000,22020,22120,22000,22222,22220,22000,22020,22200,22020,22000,22020
1sdam,20000,22020,22020,22000,22020,22021,22010,22100,22000,22020,22000,20000,22000,22000,20000,22020,22120,22000,22220,22222,22000,22020,22200,22020,22000,22020
1skou,20100,22000,22000,22001,22200,22000,22000,22000,22000,22100,22000,20000,22000,22020,20100,22200,22000,22000,22000,22000,22222,22000,22100,22000,22120,22100
1sbar,20000,22220,22020,22000,22020,22020,22010,22000,22001,22020,22000,20000,22000,22200,20000,22022,22220,22200,22020,22020,22000,22222,22000,22020,22200,22020
1sdek,20001,22000,22000,22000,22001,22000,22000,22100,22000,22002,22020,20000,22000,22000,20001,22001,22100,22000,22200,22200,22001,22000,22222,22000,22002,22002
1sval,20000,22022,22022,22000,22020,22020,22011,22000,22200,22020,22000,20000,22000,22000,20001,22020,22020,22002,22020,22020,22000,22020,22000,22222,22000,22020
1sbok,20001,22200,22000,22000,22001,22000,22000,22000,22000,22002,22000,20000,22000,22220,20001,22001,22200,22200,22000,22000,22021,22200,22002,22000,22222,22002
1stak,20001,22020,22020,22100,22021,22020,22010,22200,22000,22022,22000,20000,22000,22000,20001,22021,22020,22000,22020,22020,22001,22020,22002,22020,22002,22222
