Guess,allah,amati,aruba,asdag,assen,asser,atjeh,aagje,aaien,aapje,aarde,aards,aasje,abces,abdis,abeel,abuis,acces,acryl,actie,actor,acuut,addax,adder,adept,adieu,adios,adres,adult,afbod,afdak,affix,afgod,afrit,afval,afwas,afzet,afz1n,agaat,agape,agave,agens,agent,agger,agoge,agoog,ahorn,aioli,airco,ajour,ajuin,ajuus,akant,akela,akker,aktes,alaaf,alaam,alant,alarm,album,aldra,aldus,aleer,alert,alias,alibi,allee,alles,almee,aloud,alras,alree,alsem,alsnu,alsof,alter,alt1d,aluin,alver,alw1s,amant,amber,amer1,amice,amict,amigo,amorf,ampel,amper,ampex,ampul,amsoi,amuse,anaal,ander,angel,angst,anima,anime,animo,anion,anita,anjer,anker,annex,anode,aorta,apart,aper1,apert,apneu,appel,april,apsis,arena,arend,argon,argot,argus,aride,armee,armoe,aroma,aroom,array,arren,asbak,asgat,asiel,askar,asl1n,asman,aspic,aspot,assem,assen,aster,astma,aston,asurn,atjar,atlas,atoom,audit,aver1,avers,aviso,avond,azuur,awara,abaja,awari,azuki,awacs,amine,agame
aaide,21000,21100,21000,21010,20001,20001,20001,22002,22201,22002,22022,22020,22002,20001,20110,20001,20100,20001,20000,20102,20000,20000,21010,20011,20011,20211,20210,20011,20010,20010,21010,20100,20010,20100,21000,21000,20001,20000,21000,21002,21002,20001,20001,20001,20002,20000,20000,20100,20100,20000,20100,20000,21000,21001,20001,20001,21000,21000,21000,21000,20000,21010,20010,20001,20001,21200,20200,20002,20001,20002,20010,21000,20002,20001,20000,20000,20001,20010,20100,20001,20000,21000,20001,20001,20202,20200,20200,20000,20001,20001,20001,20000,20100,20002,21000,20011,20001,20000,21200,20202,20200,20200,21200,20001,20001,20001,20022,21000,21000,20001,20001,20001,20001,20100,20100,21001,20011,20000,20000,20000,20222,20002,20002,21000,20000,21000,20001,21000,21000,20201,21000,20000,21000,20100,20000,20001,20001,20001,21000,20000,20000,21000,21000,20000,20110,20001,20001,20200,20010,20000,21000,21000,21100,20100,21000,20202,21002
aanga,21000,21000,20002,21010,20100,20000,20000,22010,22100,22000,22000,22000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20010,20000,21000,21000,20000,20100,21011,21010,21010,20110,20110,20010,20020,20010,20100,20000,20000,20000,20100,20000,21100,20002,20000,20000,21001,21001,21100,21000,20000,20002,20000,20000,20000,21000,20000,20000,20000,20000,20000,21000,20000,20000,20100,20000,20000,20000,20100,20000,20000,21100,20000,20000,20000,20000,20020,20000,20000,20000,20000,20000,20000,20000,21101,20100,20110,20110,20102,20100,20100,20100,20102,20100,20100,20200,20100,20002,21000,20000,20000,20200,20000,20000,20000,20102,20100,20110,20010,20010,20000,20000,20000,20002,20000,21000,20100,21000,21010,20000,21000,20100,21100,20000,20000,20000,20100,20000,20002,20100,20100,21000,21000,20000,20000,20000,20000,20000,20100,20000,21002,21002,21000,20000,21000,20100,21010
aapte,21000,21020,21000,21000,20001,20001,20011,22002,22001,22202,22002,22000,22002,20001,20000,20001,20000,20001,20000,20012,20010,20010,21000,20001,20111,20001,20000,20001,20010,20000,21000,20000,20000,20010,21000,21000,20011,20000,21010,21102,21002,20001,20011,20001,20002,20000,20000,20000,20000,20000,20000,20000,21010,21001,20001,20011,21000,21000,21010,21000,20000,21000,20000,20001,20011,21000,20000,20002,20001,20002,20000,21000,20002,20001,20000,20000,20011,20010,20000,20001,20000,21010,20001,20001,20002,20010,20000,20000,20201,20201,20201,20200,20000,20002,21000,20001,20001,20010,21000,20002,20000,20000,21020,20001,20001,20001,20002,21020,21110,20101,20111,20101,20201,20100,20100,21001,20001,20000,20010,20000,20002,20002,20002,21000,20000,21000,20001,21000,21010,20001,21000,20000,21000,20200,20210,20001,20001,20011,21010,20010,20000,21010,21010,20010,20010,20001,20001,20000,20000,20000,21000,21000,21000,20000,21000,20002,21002
aardt,21000,21001,21100,21010,20000,20100,20001,22000,22000,22000,22220,22220,22000,20000,20010,20000,20000,20000,20200,20001,20101,20002,21010,20110,20012,20010,20010,20210,20012,20010,21010,20000,20010,20202,21000,21000,20002,20000,21002,21000,21000,20000,20002,20100,20000,20000,20100,20000,20200,20100,20000,20000,21002,21000,20100,20001,21000,21000,21002,21100,20000,21110,20010,20100,20102,21000,20000,20000,20000,20000,20010,21200,20200,20000,20000,20000,20101,20011,20000,20100,20000,21002,20100,20100,20000,20002,20000,20100,20000,20100,20000,20000,20000,20000,21000,20110,20000,20002,21000,20000,20000,20000,21001,20100,20100,20000,20020,21201,21102,20100,20102,20000,20000,20200,20000,21100,20110,20100,20102,20100,20120,20100,20100,21100,20100,21200,20200,21000,21002,20000,21100,20000,21000,20000,20002,20000,20000,20101,21001,20001,20100,21101,21001,20001,20012,20100,20100,20000,20010,20100,21100,21000,21100,20000,21000,20000,21000
aasde,21000,21000,21000,21110,20201,20201,20001,22002,22001,22002,22022,22120,22202,20101,20110,20001,20100,20101,20000,20002,20000,20000,21010,20011,20011,20011,20110,20111,20010,20010,21010,20000,20010,20000,21000,21100,20001,20000,21000,21002,21002,20101,20001,20001,20002,20000,20000,20000,20000,20000,20000,20100,21000,21001,20001,20101,21000,21000,21000,21000,20000,21010,20110,20001,20001,21100,20000,20002,20101,20002,20010,21100,20002,20201,20200,20200,20001,20010,20000,20001,20100,21000,20001,20001,20002,20000,20000,20000,20001,20001,20001,20000,20200,20102,21000,20011,20001,20100,21000,20002,20000,20000,21000,20001,20001,20001,20022,21000,21000,20001,20001,20001,20001,20000,20200,21001,20011,20000,20000,20100,20022,20002,20002,21000,20000,21000,20001,21100,21100,20101,21100,20100,21100,20100,20100,20201,20201,20101,21100,20100,20100,21000,21100,20000,20010,20001,20101,20100,20010,20000,21000,21000,21000,20000,21100,20002,21002
abaci,20100,20202,21100,20100,20000,20000,20000,20100,20101,20100,20100,20100,20100,22010,22001,22000,22001,20010,20010,20011,20010,20010,20100,20000,20000,20001,20001,20000,20000,21000,20100,20001,20000,20001,20100,20100,20000,20000,20200,20200,20200,20000,20000,20000,20000,20000,20000,20002,20021,20000,20001,20000,20200,20100,20000,20000,20200,20200,20200,20200,21000,20100,20000,20000,20000,20101,21002,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20001,20000,20000,20200,21000,20000,20021,20021,20001,20000,20000,20000,20000,20000,20002,20000,20200,20000,20000,20000,20101,20001,20001,20001,20101,20000,20000,20000,20000,20100,20200,20000,20000,20000,20000,20001,20001,20100,20000,20000,20000,20000,20001,20000,20000,20100,20000,20100,20000,21100,20100,20001,20100,20000,20100,20011,20000,20000,20000,20000,20100,20000,20000,20100,20100,20000,20001,20000,20000,20001,20000,20000,20200,22200,20202,20002,20220,20001,20200
abele,20010,20000,21000,20000,20100,20100,20100,20002,20100,20002,20002,20000,20002,22100,22000,22211,22000,20100,20010,20002,20000,20000,20000,20100,20200,20100,20000,20100,20020,21000,20000,20000,20000,20000,20010,20000,20100,20000,20000,20002,20002,20200,20200,20100,20002,20000,20000,20020,20000,20000,20000,20000,20000,20220,20100,20100,20010,20010,20010,20010,21010,20010,20010,20211,20210,20010,21010,20112,20110,20112,20010,20010,20112,20110,20010,20010,20110,20010,20010,20110,20010,20000,21100,20200,20002,20000,20000,20000,20110,20100,20100,20010,20000,20002,20010,20100,20110,20000,20000,20002,20000,20000,20000,20100,20100,20100,20002,20000,20000,20200,20200,20100,20110,20010,20000,20200,20200,20000,20000,20000,20002,20102,20002,20000,20000,20000,20100,21000,20000,20110,20000,20010,20000,20000,20000,20100,20100,20100,20000,20000,20000,20000,20010,20000,20000,20200,20200,20000,20000,20000,20000,22000,20000,20000,20000,20002,20002
abten,20000,20100,21000,20000,20022,20020,20120,20010,20022,20010,20010,20000,20010,22020,22000,22020,22000,20020,20000,20210,20200,20100,20000,20020,20110,20020,20000,20020,20100,21000,20000,20000,20000,20100,20000,20000,20120,20002,20100,20010,20010,20011,20111,20020,20010,20000,20002,20000,20000,20000,20002,20000,20101,20010,20020,20220,20000,20000,20101,20000,21000,20000,20000,20020,20110,20000,21000,20020,20020,20020,20000,20000,20020,20020,20001,20000,20220,20200,20002,20020,20000,20101,21020,20010,20010,20100,20000,20000,20020,20020,20020,20000,20000,20010,20001,20021,20021,20101,20001,20011,20001,20002,20101,20021,20021,20021,20011,20100,20100,20010,20110,20021,20020,20000,20000,20011,20011,20002,20100,20000,20010,20020,20010,20000,20000,20000,20022,21000,20100,20020,20000,20002,20002,20000,20100,20020,20022,20220,20200,20202,20002,20100,20100,20100,20100,20010,20010,20000,20001,20000,20000,22000,20000,20000,20000,20011,20010
acres,20000,20000,20100,20001,20021,20121,20020,20010,20020,20010,20210,20202,20011,21022,20002,20020,20002,22022,22200,22010,22100,22000,20000,20120,20010,20020,20002,20222,20000,20000,20000,20000,20000,20200,20000,20002,20020,20000,20000,20010,20010,20012,20010,20120,20010,20000,20100,20000,21200,20100,20000,20002,20000,20010,20120,20022,20000,20000,20000,20100,20000,20100,20002,20120,20110,20002,20000,20020,20022,20020,20000,20202,20220,20021,20001,20001,20120,20000,20000,20120,20002,20000,20120,20110,21010,21000,20000,20100,20020,20120,20020,20000,20001,20011,20000,20120,20020,20001,20000,20010,20000,20000,20000,20120,20120,20020,20010,20200,20100,20110,20110,20020,20020,20200,20002,20110,20110,20100,20100,20102,20110,20120,20110,20100,20100,20200,20220,20001,20001,20021,20101,20001,20001,21001,20001,20021,20021,20121,20001,20001,20101,20100,20002,20000,20000,20110,20112,20001,20000,20100,20100,20000,20100,20000,21002,20010,20010
acute,20000,20020,20200,20000,20001,20001,20011,20002,20001,20002,20002,20000,20002,21001,20000,20001,20200,22001,22000,22012,22010,22210,20000,20001,20011,20101,20000,20001,20210,20000,20000,20000,20000,20010,20000,20000,20011,20000,20010,20002,20002,20001,20011,20001,20002,20000,20000,20000,21000,20100,20200,20200,20010,20001,20001,20011,20000,20000,20010,20000,20100,20000,20100,20001,20011,20000,20000,20002,20001,20002,20100,20000,20002,20001,20100,20000,20011,20010,20200,20001,20000,20010,20001,20001,21002,21010,20000,20000,20001,20001,20001,20100,20000,20202,20000,20001,20001,20010,20000,20002,20000,20000,20020,20001,20001,20001,20002,20020,20010,20001,20011,20101,20001,20000,20000,20001,20001,20000,20010,20100,20002,20002,20002,20000,20000,20000,20001,20000,20010,20001,20000,20000,20000,21000,20010,20001,20001,20011,20010,20010,20200,20010,20010,20010,20110,20001,20001,20000,20000,20200,20000,20000,20000,20200,21000,20002,20002
