Guess,beier,b1bel,birma,bosch,brits,brugs,baard,baars,baboe,babok,bacil,bacon,baden,bader,badge,bagel,baggy,bagno,bahai,bahco,bajes,baken,baker,bakte,balen,balie,bal1e,balsa,balts,bamba,bamis,bande,banen,banjo,barak,baren,baret,barok,baron,barre,barst,basen,basis,basta,batch,baten,batig,batik,baton,bavet,bazen,bazig,bazin,beaat,bebop,beeld,beemd,beest,beg1n,begin,begon,beide,beier,beige,beits,bejag,bekaf,beker,bek1k,beleg,belet,belle,bende,benen,benig,benul,berde,beren,beril,berin,berst,besef,besje,beste,betel,beten,beter,bet1t,beton,beurs,beurt,bevak,beval,bevek,bevel,beven,bever,bew1s,bezem,bezet,bezie,bezig,bezit,bidet,bidon,biels,biest,biets,bigot,b1bal,b1bel,b1een,b1kok,b1leg,b1les,b1pad,b1rol,b1ten,b1ter,b1tje,b1vak,b1val,b1weg,b1w1f,b1zet,b1z1n,b1zin,b1zit,b1zon,biker,bilan,bingo,binst,bisam,bitch,bivak,bizar,bizon,blaag,blaam,blaar,blaas,blank,blauw,bleef,bleek,blees,blein,bliek,bliep,blies,bl1de,bl1ft,blind,blink,blits,blode,bloed,bloei,bloem,bloes,blond,blonk,bloot,blues,bluts,board,bobby,bob1n,bocht,bodem,boden,bodes,boede,boers,boert,boete,bogen,bogey,bokje,bolle,bolus,bomen,bomer,bomig,bom1s,bomma,bompa,bongo,bonje,bonus,bonze,boord,boort,boost,boots,borat,borax,boren,borst,bosje,boson,bosui,botaf,botel,boten,boter,botje,botox,botte,boven,bowls,boxen,boxer,bozig,braaf,braai,braak,braam,brand,bravo,break,breed,breek,brein,brems,breuk,breve,brief,bries,br1en,brink,brits,broed,broei,broek,broer,broes,brons,brood,broom,broos,broze,bruid,bruin,bruis,bruto,bruut,buddy,bugel,buggy,buien,buiig,bunny,buren,buret,bur1n,burin,busje,buste,buurt,buxus,brabo,buten,bakra,brasa,briet,broge,busbo,biopt,berge,bogie
baadt,20000,20000,21000,20000,20001,20000,22210,22200,22000,22000,22000,22000,22010,22010,22010,22000,22000,22000,22100,22000,22000,22000,22000,22001,22000,22000,22000,22100,22001,22100,22000,22020,22000,22000,22100,22000,22002,22000,22000,22000,22002,22000,22000,22101,22001,22001,22001,22001,22001,22002,22000,22000,22000,21202,20000,20010,20010,20002,20000,20000,20000,20020,20000,20000,20001,21000,21000,20000,20000,20000,20002,20000,20020,20000,20000,20000,20020,20000,20000,20000,20002,20000,20000,20001,20001,20001,20001,20002,20001,20000,20002,21000,21000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20002,20012,20010,20000,20002,20001,20002,21000,20000,20000,20000,20000,20000,21010,20000,20001,20001,20001,21000,21000,20000,20000,20002,20000,20000,20002,20000,20000,21000,20000,20002,21000,20001,21000,21000,20000,21200,21200,21200,21200,20200,20200,20000,20000,20000,20000,20000,20000,20000,20020,20002,20010,20000,20001,20020,20010,20000,20000,20000,20010,20000,20002,20000,20001,20210,20000,20000,20002,20010,20010,20010,20020,20000,20002,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,20000,20010,20002,20002,20001,21002,21000,20000,20002,20000,20000,20000,21001,20001,20001,20001,20001,20001,20001,20000,20000,20000,20000,20000,21200,21200,21200,21200,20210,20200,21000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20010,20000,20000,20000,20000,20000,20010,20000,20000,20000,20010,20000,20000,20001,20002,20020,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20001,20002,20000,20200,20001,22100,21200,20002,20000,20000,20002,20000,20000
baalt,20000,20010,21000,20000,20001,20000,22200,22200,22000,22000,22010,22000,22000,22000,22000,22010,22000,22000,22100,22000,22000,22000,22000,22001,22010,22010,22010,22110,22011,22100,22000,22000,22000,22000,22100,22000,22002,22000,22000,22000,22002,22000,22000,22101,22001,22001,22001,22001,22001,22002,22000,22000,22000,21202,20000,20020,20000,20002,20000,20000,20000,20000,20000,20000,20001,21000,21000,20000,20000,20010,20012,20020,20000,20000,20000,20010,20000,20000,20010,20000,20002,20000,20000,20001,20011,20001,20001,20002,20001,20000,20002,21000,21010,20000,20010,20000,20000,20000,20000,20002,20000,20000,20002,20002,20000,20020,20002,20001,20002,21010,20010,20000,20000,20010,20010,21000,20010,20001,20001,20001,21000,21010,20000,20000,20002,20000,20000,20002,20000,20000,21010,20000,20002,21000,20001,21000,21000,20000,21210,21210,21210,21210,20210,20210,20010,20010,20010,20010,20010,20010,20010,20010,20012,20010,20010,20011,20010,20010,20010,20010,20010,20010,20010,20012,20010,20011,20200,20000,20000,20002,20000,20000,20000,20000,20000,20002,20001,20000,20000,20000,20020,20010,20000,20000,20000,20000,21000,21000,20000,20000,20000,20000,20000,20002,20002,20001,21002,21000,20000,20002,20000,20000,20000,21001,20011,20001,20001,20001,20001,20001,20000,20020,20000,20000,20000,21200,21200,21200,21200,20200,20200,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20002,20000,20010,20000,20000,20000,20000,20000,20002,20000,20000,20000,20001,20002,20000,20200,20001,22100,21200,20002,20000,20000,20002,20000,20000
baant,20000,20000,21000,20000,20001,20000,22200,22200,22000,22000,22000,22010,22010,22000,22000,22000,22000,22020,22100,22000,22000,22010,22000,22001,22010,22000,22000,22100,22001,22100,22000,22010,22010,22010,22100,22010,22002,22000,22010,22000,22002,22010,22000,22101,22001,22011,22001,22001,22011,22002,22010,22000,22010,21202,20000,20000,20000,20002,20010,20010,20010,20000,20000,20000,20001,21000,21000,20000,20000,20000,20002,20000,20010,20010,20010,20010,20000,20010,20000,20010,20002,20000,20000,20001,20001,20011,20001,20002,20011,20000,20002,21000,21000,20000,20000,20010,20000,20000,20000,20002,20000,20000,20002,20002,20010,20000,20002,20001,20002,21000,20000,20010,20000,20000,20000,21000,20000,20011,20001,20001,21000,21000,20000,20000,20002,20010,20010,20002,20010,20000,21010,20010,20012,21000,20001,21000,21000,20010,21200,21200,21200,21200,20220,20200,20000,20000,20000,20010,20000,20000,20000,20000,20002,20020,20020,20001,20000,20000,20000,20000,20000,20020,20020,20002,20000,20001,20200,20000,20010,20002,20000,20010,20000,20000,20000,20002,20001,20010,20000,20000,20000,20000,20010,20000,20000,20000,21000,21000,20010,20010,20010,20010,20000,20002,20002,20001,21002,21000,20010,20002,20000,20010,20000,21001,20001,20011,20001,20001,20001,20001,20010,20000,20010,20000,20000,21200,21200,21200,21200,20220,20200,21000,20000,20000,20010,20000,20000,20000,20000,20000,20010,20020,20001,20000,20000,20000,20000,20000,20020,20000,20000,20000,20000,20000,20010,20000,20001,20002,20000,20000,20000,20010,20000,20020,20010,20002,20010,20010,20000,20001,20002,20000,20200,20011,22100,21200,20002,20000,20000,20002,20000,20000
baart,20010,20000,21010,20000,20011,20010,22220,22220,22000,22000,22000,22000,22000,22010,22000,22000,22000,22000,22100,22000,22000,22000,22010,22001,22000,22000,22000,22100,22001,22100,22000,22000,22000,22000,22110,22010,22012,22010,22010,22020,22012,22000,22000,22101,22001,22001,22001,22001,22001,22002,22000,22000,22000,21202,20000,20000,20000,20002,20000,20000,20000,20000,20010,20000,20001,21000,21000,20010,20000,20000,20002,20000,20000,20000,20000,20000,20010,20010,20010,20010,20012,20000,20000,20001,20001,20001,20011,20002,20001,20020,20022,21000,21000,20000,20000,20000,20010,20000,20000,20002,20000,20000,20002,20002,20000,20000,20002,20001,20002,21000,20000,20000,20000,20000,20000,21000,20010,20001,20011,20001,21000,21000,20000,20000,20002,20000,20000,20002,20000,20010,21000,20000,20002,21000,20001,21000,21010,20000,21200,21200,21210,21200,20200,20200,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20002,20000,20001,20220,20000,20000,20002,20000,20000,20000,20000,20020,20022,20001,20000,20000,20000,20000,20000,20000,20010,20000,20000,21000,21000,20000,20000,20000,20000,20020,20022,20002,20001,21012,21010,20010,20012,20000,20000,20000,21001,20001,20001,20011,20001,20001,20001,20000,20000,20000,20010,20000,21210,21210,21210,21210,20210,20210,21010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20011,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20011,20012,20000,20000,20000,20000,20000,20000,20010,20012,20010,20010,20000,20001,20022,20000,20210,20001,22120,21210,20012,20010,20000,20002,20010,20000
baast,20000,20000,21000,20010,20011,20010,22200,22210,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22100,22000,22010,22000,22000,22001,22000,22000,22000,22120,22011,22100,22010,22000,22000,22000,22100,22000,22002,22000,22000,22000,22022,22010,22010,22111,22001,22001,22001,22001,22001,22002,22000,22000,22000,21202,20000,20000,20000,20022,20000,20000,20000,20000,20000,20000,20011,21000,21000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20022,20010,20010,20011,20001,20001,20001,20002,20001,20010,20002,21000,21000,20000,20000,20000,20000,20010,20000,20002,20000,20000,20002,20002,20000,20010,20022,20011,20002,21000,20000,20000,20000,20000,20010,21000,20000,20001,20001,20001,21000,21000,20000,20000,20002,20000,20000,20002,20000,20000,21000,20000,20022,21010,20001,21000,21000,20000,21200,21200,21200,21210,20200,20200,20000,20000,20010,20000,20000,20000,20010,20000,20002,20000,20000,20011,20000,20000,20000,20000,20010,20000,20000,20002,20010,20011,20200,20000,20000,20002,20000,20000,20010,20000,20010,20002,20001,20000,20000,20000,20000,20010,20000,20000,20000,20010,21000,21000,20000,20000,20010,20000,20000,20002,20022,20011,21002,21000,20000,20022,20010,20010,20010,21001,20001,20001,20001,20001,20001,20001,20000,20010,20000,20000,20000,21200,21200,21200,21200,20200,20200,21000,20000,20000,20000,20010,20000,20000,20000,20010,20000,20000,20011,20000,20000,20000,20000,20010,20010,20000,20000,20010,20000,20000,20000,20010,20001,20002,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20010,20011,20002,20010,20200,20001,22100,21220,20002,20000,20010,20002,20000,20000
backs,20000,20000,21000,20101,20002,20002,22000,22002,22000,22010,22200,22200,22000,22000,22000,22000,22000,22000,22000,22100,22002,22010,22010,22010,22000,22000,22000,22001,22002,22000,22002,22000,22000,22000,22010,22000,22000,22010,22000,22000,22001,22001,22002,22001,22100,22000,22000,22010,22000,22000,22000,22000,22000,21000,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20002,21000,21010,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20000,20000,20002,20000,21010,21000,20010,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20002,20001,20002,20000,21000,20000,20000,20010,20000,20002,21000,20000,20000,20000,20000,21010,21000,20000,20000,20000,20000,20000,20000,20000,20010,21000,20000,20001,21001,20100,21010,21000,20000,21000,21000,21000,21002,21010,21000,20000,20010,20002,20000,20010,20000,20002,20000,20000,20000,20010,20002,20000,20000,20000,20000,20002,20000,20010,20000,20002,20002,21000,20000,20000,20200,20000,20000,20002,20000,20002,20000,20000,20000,20000,20010,20000,20002,20000,20000,20000,20002,21000,21000,20000,20000,20002,20000,20000,20000,20001,20002,21000,21000,20000,20001,20001,20001,20001,21000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,21000,21000,21010,21000,21000,21000,21010,20000,20010,20000,20002,20010,20000,20000,20002,20000,20010,20002,20000,20000,20010,20000,20002,20002,20000,20000,20002,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20000,20002,21000,20000,22010,21001,20000,20000,20001,20000,20000,20000
badje,20001,20001,21000,20000,20000,20000,22100,22000,22002,22000,22000,22000,22201,22201,22202,22001,22000,22000,22000,22000,22011,22001,22001,22002,22001,22002,22002,22000,22000,22000,22000,22102,22001,22020,22000,22001,22001,22000,22000,22002,22000,22001,22000,22000,22000,22001,22000,22000,22000,22001,22001,22000,22000,21001,20001,20101,20101,20001,20001,20001,20001,20102,20001,20002,20001,21011,21001,20001,20001,20001,20001,20002,20102,20001,20001,20001,20102,20001,20001,20001,20001,20001,20022,20002,20001,20001,20001,20001,20001,20001,20001,21001,21001,20001,20001,20001,20001,20001,20001,20001,20002,20001,20001,20201,20200,20001,20001,20001,20000,21000,20001,20001,20000,20001,20001,21100,20000,20001,20001,20022,21000,21000,20001,20000,20001,20000,20000,20000,20000,20001,21000,20000,20000,21000,20000,21000,21000,20000,21000,21000,21000,21000,21000,21000,20001,20001,20001,20001,20001,20001,20001,20102,20000,20100,20000,20000,20102,20101,20001,20001,20001,20100,20000,20000,20001,20000,21100,20000,20000,20000,20201,20201,20201,20102,20001,20001,20002,20001,20001,20022,20002,20000,20001,20001,20000,20000,21000,21000,20000,20022,20000,20002,20100,20000,20000,20000,21000,21000,20001,20000,20022,20000,20000,21000,20001,20001,20001,20022,20000,20002,20001,20000,20001,20001,20000,21000,21000,21000,21000,21100,21000,21001,20101,20001,20001,20001,20001,20002,20001,20001,20001,20000,20000,20101,20001,20001,20001,20001,20000,20100,20000,20000,20002,20100,20000,20000,20000,20000,20200,20001,20000,20001,20000,20000,20001,20001,20000,20000,20022,20002,20000,20000,21000,20001,22000,21000,20001,20002,20000,20000,20002,20002
bakje,20001,20001,21000,20000,20000,20000,22000,22000,22002,22100,22000,22000,22001,22001,22002,22001,22000,22000,22000,22000,22011,22201,22201,22202,22001,22002,22002,22000,22000,22000,22000,22002,22001,22020,22100,22001,22001,22100,22000,22002,22000,22001,22000,22000,22000,22001,22000,22100,22000,22001,22001,22000,22000,21001,20001,20001,20001,20001,20001,20001,20001,20002,20001,20002,20001,21011,21201,20201,20201,20001,20001,20002,20002,20001,20001,20001,20002,20001,20001,20001,20001,20001,20022,20002,20001,20001,20001,20001,20001,20001,20001,21101,21001,20101,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20000,20001,20001,20001,20000,21000,20001,20001,20200,20001,20001,21000,20000,20001,20001,20022,21100,21000,20001,20000,20001,20000,20000,20000,20000,20201,21000,20000,20000,21000,20000,21100,21000,20000,21000,21000,21000,21000,21100,21000,20001,20101,20001,20001,20101,20001,20001,20002,20000,20000,20100,20000,20002,20001,20001,20001,20001,20000,20100,20000,20001,20000,21000,20000,20000,20000,20001,20001,20001,20002,20001,20001,20002,20001,20001,20222,20002,20000,20001,20001,20000,20000,21000,21000,20000,20022,20000,20002,20000,20000,20000,20000,21000,21000,20001,20000,20022,20000,20000,21000,20001,20001,20001,20022,20000,20002,20001,20000,20001,20001,20000,21000,21000,21100,21000,21000,21000,21101,20001,20101,20001,20001,20101,20002,20001,20001,20001,20100,20000,20001,20001,20101,20001,20001,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20001,20000,20001,20000,20000,20001,20001,20000,20000,20022,20002,20000,20000,21000,20001,22200,21000,20001,20002,20000,20000,20002,20002
balde,20001,20101,21000,20000,20000,20000,22010,22000,22002,22000,22100,22000,22011,22011,22012,22101,22000,22000,22000,22000,22001,22001,22001,22002,22201,22202,22202,22200,22200,22000,22000,22022,22001,22000,22000,22001,22001,22000,22000,22002,22000,22001,22000,22000,22000,22001,22000,22000,22000,22001,22001,22000,22000,21001,20001,20111,20011,20001,20001,20001,20001,20022,20001,20002,20001,21001,21001,20001,20001,20201,20201,20202,20022,20001,20001,20101,20022,20001,20101,20001,20001,20001,20002,20002,20101,20001,20001,20001,20001,20001,20001,21001,21101,20001,20101,20001,20001,20001,20001,20001,20002,20001,20001,20011,20010,20101,20001,20001,20000,21100,20101,20001,20000,20201,20201,21010,20100,20001,20001,20002,21000,21100,20001,20000,20001,20000,20000,20000,20000,20001,21200,20000,20000,21000,20000,21000,21000,20000,21100,21100,21100,21100,21100,21100,20101,20101,20101,20101,20101,20101,20101,20122,20100,20110,20100,20100,20122,20111,20101,20101,20101,20110,20100,20100,20101,20100,21010,20000,20000,20000,20011,20011,20011,20022,20001,20001,20002,20001,20001,20002,20202,20200,20001,20001,20000,20000,21000,21000,20000,20002,20000,20002,20010,20000,20000,20000,21000,21000,20001,20000,20002,20000,20000,21000,20101,20001,20001,20002,20000,20002,20001,20100,20001,20001,20000,21000,21000,21000,21000,21010,21000,21001,20011,20001,20001,20001,20001,20002,20001,20001,20001,20000,20000,20011,20001,20001,20001,20001,20000,20010,20000,20000,20002,20010,20000,20000,20000,20000,20020,20101,20000,20001,20000,20000,20001,20001,20000,20000,20002,20002,20000,20000,21000,20001,22000,21000,20001,20002,20000,20000,20002,20002
balkt,20000,20100,21000,20000,20001,20000,22000,22000,22000,22010,22100,22000,22000,22000,22000,22100,22000,22000,22000,22000,22000,22010,22010,22011,22200,22200,22200,22200,22201,22000,22000,22000,22000,22000,22010,22000,22002,22010,22000,22000,22002,22000,22000,22001,22001,22001,22001,22011,22001,22002,22000,22000,22000,21002,20000,20100,20000,20002,20000,20000,20000,20000,20000,20000,20001,21000,21010,20010,20010,20200,20202,20200,20000,20000,20000,20100,20000,20000,20100,20000,20002,20000,20000,20001,20101,20001,20001,20002,20001,20000,20002,21010,21100,20010,20100,20000,20000,20000,20000,20002,20000,20000,20002,20002,20000,20100,20002,20001,20002,21100,20100,20000,20010,20200,20200,21000,20100,20001,20001,20001,21010,21100,20000,20000,20002,20000,20000,20002,20000,20010,21200,20000,20002,21000,20001,21010,21000,20000,21100,21100,21100,21100,21110,21100,20100,20110,20100,20100,20110,20100,20100,20100,20102,20100,20110,20101,20100,20100,20100,20100,20100,20100,20110,20102,20100,20101,21000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20001,20000,20000,20010,20200,20200,20000,20000,20000,20000,21000,21000,20000,20000,20000,20000,20000,20002,20002,20001,21002,21000,20000,20002,20000,20000,20000,21001,20101,20001,20001,20001,20001,20001,20000,20100,20000,20000,20000,21000,21000,21010,21000,21000,21000,21010,20000,20010,20000,20000,20010,20000,20000,20000,20000,20010,20001,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20002,20000,20100,20000,20000,20000,20000,20000,20002,20000,20000,20000,20001,20002,20000,21000,20001,22010,21000,20002,20000,20000,20002,20000,20000
