Guess,deens,diets,doema,drent,duits,daags,dacht,dadel,dader,dagen,dager,dagge,dagje,daken,dalem,dalen,daler,damar,dames,dandy,danig,darts,daten,datje,datum,daver,davit,dazen,debat,debet,decor,deden,deels,deern,degel,degen,deken,delen,deler,delta,demon,denim,denke,depot,depri,derby,derde,deren,derny,desem,detox,deuce,deugd,dew1l,dezen,dezer,dezes,dicht,dieet,diens,diepe,diets,d1ken,d1ker,dikte,dildo,dille,dinar,diner,dingo,diode,disco,divan,dixit,dizzy,djati,djinn,djogo,docht,doden,dogma,doken,dolby,dolce,dolen,doler,dolik,dolle,dolly,dombo,domen,domig,domme,donna,donor,donut,doods,dooie,doorn,dopen,doper,doren,dorps,dorst,dosis,doven,dover,dovig,doz1n,draad,draai,draak,drain,drama,drang,drank,dreef,dreun,dries,drift,drink,drive,droef,droeg,droes,droge,drong,dronk,droog,droom,droop,drops,drost,drugs,druif,druil,drums,druus,duaal,duist,dulia,dummy,dunne,dunte,duren,dutje,duvel,duwen,dwaal,dwaas,dwang,dwars,dwaze,dweil,dwerg,dansi,dawet,dogla,doder,duwer
denen,22110,21000,21000,21100,20000,20000,20000,20020,20020,20022,20020,21000,21000,20022,20020,20022,20020,20000,20020,20200,20200,20000,20022,21000,20000,20020,20000,20022,22000,22020,22000,22022,22010,22012,22020,22022,22022,22022,22020,22000,22002,22200,22210,22000,22000,22000,22010,22022,22100,22020,22000,22010,22000,22000,22022,22020,22020,20000,21020,21100,21010,21000,20022,20020,21000,20000,21000,20200,20220,20200,21000,20000,20002,20000,20000,20000,20102,20000,20000,20022,20000,20022,20000,21000,20022,20020,20000,21000,20000,20000,20022,20000,21000,20201,20200,20200,20000,21000,20002,20022,20020,20022,20000,20000,20000,20022,20020,20000,20002,20000,20000,20000,20002,20000,20100,20100,21020,21002,20020,20000,20100,21000,20020,20020,20020,21000,20100,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21201,21200,20022,21000,20020,20022,20000,20000,20100,20000,21000,21000,21000,20200,20020,20000,20020,20020
daagt,20000,20001,21000,20002,20001,22220,22002,22000,22000,22010,22010,22020,22010,22000,22000,22000,22000,22100,22000,22000,22010,22001,22001,22001,22001,22000,22002,22000,21002,20002,20000,20000,20000,20000,20010,20010,20000,20000,20000,21001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20001,20000,20020,20000,20000,20000,20000,20002,20002,20000,20000,20001,20000,20000,20001,20000,20000,21000,20000,20020,20000,20000,21000,20002,20000,20201,20000,20020,20002,20000,21010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,21000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20010,20000,21200,21200,21200,20200,21200,20210,20200,20000,20000,20000,20002,20000,20000,20000,20010,20000,20020,20010,20000,20010,20000,20000,20000,20002,20020,20000,20000,20000,20000,21200,20002,21000,20000,20000,20001,20000,20001,20000,20000,21200,21200,20210,20200,20200,20000,20010,22000,22002,21010,20000,20000
daalt,20000,20001,21000,20002,20001,22200,22002,22010,22000,22000,22000,22000,22000,22000,22010,22010,22010,22100,22000,22000,22000,22001,22001,22001,22001,22000,22002,22000,21002,20002,20000,20000,20020,20000,20010,20000,20000,20010,20010,21011,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20001,20000,20000,20010,20000,20000,20000,20002,20002,20000,20000,20001,20000,20000,20001,20010,20020,21000,20000,20000,20000,20000,21000,20002,20000,20201,20000,20000,20002,20000,21000,20000,20010,20010,20010,20010,20010,20020,20020,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,21200,21200,21200,20200,21200,20200,20200,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20010,20000,20000,21210,20002,21010,20000,20000,20001,20000,20001,20010,20000,21210,21200,20200,20200,20200,20010,20000,22000,22002,21020,20000,20000
daast,20010,20011,21000,20002,20011,22210,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22100,22010,22000,22000,22011,22001,22001,22001,22000,22002,22000,21002,20002,20000,20000,20010,20000,20000,20000,20000,20000,20000,21001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20010,20001,20000,20000,20000,20000,20000,20010,20002,20002,20010,20000,20011,20000,20000,20001,20000,20000,21000,20000,20000,20000,20010,21000,20002,20000,20201,20000,20000,20002,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20002,20010,20000,20000,20000,20000,20000,20010,20022,20010,20000,20000,20000,20000,21200,21200,21200,20200,21200,20200,20200,20000,20000,20010,20002,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20010,20022,20010,20000,20000,20010,20010,21200,20022,21000,20000,20000,20001,20000,20001,20000,20000,21200,21210,20200,20210,20200,20000,20000,22020,22002,21000,20000,20000
dabde,20001,20001,21001,20001,20000,22000,22000,22011,22011,22001,22001,22002,22002,22001,22001,22001,22001,22000,22001,22020,22000,22000,22001,22002,22000,22001,22000,22001,21201,20201,20001,20011,20001,20001,20001,20001,20001,20001,20001,21001,20001,20001,20002,20001,20001,20101,20022,20001,20001,20001,20001,20002,20011,20001,20001,20001,20001,20000,20001,20001,20002,20001,20001,20001,20002,20020,20002,21000,20001,20000,20022,20000,21000,20000,20000,21000,20000,20000,20000,20011,21000,20001,20100,20002,20001,20001,20000,20002,20000,20100,20001,20000,20002,21000,20000,20000,20020,20002,20000,20001,20001,20001,20000,20000,20000,20001,20001,20000,20000,21010,21000,21000,21000,21000,21000,21000,20001,20001,20001,20000,20000,20002,20001,20001,20001,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,21000,20000,20002,20002,20001,20002,20001,20001,21000,21000,21000,21000,21002,20001,20001,22000,22001,21000,20011,20001
daden,20011,20010,21010,20011,20000,22000,22000,22220,22220,22022,22020,22010,22010,22022,22020,22022,22020,22000,22020,22101,22001,22000,22022,22010,22000,22020,22000,22022,21010,20020,20010,20222,20010,20012,20020,20022,20022,20022,20020,21010,20012,20011,20011,20010,20010,20010,20110,20022,20011,20020,20010,20010,20110,20010,20022,20020,20020,20000,20020,20011,20010,20010,20022,20020,20010,20100,20010,21001,20021,20001,20110,20000,21002,20000,20000,21000,20002,20000,20000,20222,21000,20022,20000,20010,20022,20020,20000,20010,20000,20000,20022,20000,20010,21001,20001,20001,20100,20010,20002,20022,20020,20022,20000,20000,20000,20022,20020,20000,20002,21100,21000,21000,21002,21000,21001,21001,20020,20012,20020,20000,20001,20010,20020,20020,20020,20010,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,21000,20000,20011,20011,20022,20010,20020,20022,21000,21000,21001,21000,21010,20010,20010,22001,22020,21000,20220,20020
dakje,20001,20001,21001,20001,20000,22000,22000,22001,22001,22001,22001,22002,22022,22201,22001,22001,22001,22000,22001,22000,22000,22000,22001,22022,22000,22001,22000,22001,21001,20001,20001,20001,20001,20001,20001,20001,20201,20001,20001,21001,20001,20001,20102,20001,20001,20001,20002,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,20000,20001,20001,20002,20001,20201,20201,20202,20000,20002,21000,20001,20000,20002,20000,21000,20000,20000,21010,20010,20010,20000,20001,21000,20201,20000,20002,20001,20001,20100,20002,20000,20000,20001,20000,20002,21000,20000,20000,20000,20002,20000,20001,20001,20001,20000,20000,20000,20001,20001,20000,20000,21000,21000,21100,21000,21000,21000,21100,20001,20001,20001,20000,20100,20002,20001,20001,20001,20002,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,21000,20000,20002,20002,20001,20022,20001,20001,21000,21000,21000,21000,21002,20001,20001,22000,22001,21000,20001,20001
damde,20001,20001,21101,20001,20000,22000,22000,22011,22011,22001,22001,22002,22002,22001,22101,22001,22001,22200,22201,22020,22000,22000,22001,22002,22100,22001,22000,22001,21001,20001,20001,20011,20001,20001,20001,20001,20001,20001,20001,21001,20201,20101,20002,20001,20001,20001,20022,20001,20001,20101,20001,20002,20011,20001,20001,20001,20001,20000,20001,20001,20002,20001,20001,20001,20002,20020,20002,21000,20001,20000,20022,20000,21000,20000,20000,21000,20000,20000,20000,20011,21100,20001,20000,20002,20001,20001,20000,20002,20000,20200,20201,20200,20202,21000,20000,20000,20020,20002,20000,20001,20001,20001,20000,20000,20000,20001,20001,20000,20000,21010,21000,21000,21000,21100,21000,21000,20001,20001,20001,20000,20000,20002,20001,20001,20001,20002,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20100,20000,21000,20000,21000,20200,20002,20002,20001,20002,20001,20001,21000,21000,21000,21000,21002,20001,20001,22000,22001,21000,20011,20001
dampt,20000,20001,21100,20002,20001,22000,22002,22000,22000,22000,22000,22000,22000,22000,22100,22000,22000,22200,22200,22000,22000,22001,22001,22001,22101,22000,22002,22000,21002,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,21001,20200,20100,20000,20012,20010,20000,20000,20000,20000,20100,20001,20000,20000,20000,20000,20000,20000,20002,20002,20000,20020,20001,20000,20000,20001,20000,20000,21000,20000,20000,20000,20000,21000,20002,20000,21001,20000,20000,20002,20000,21100,20000,20000,20000,20000,20000,20000,20000,20000,20200,20200,20200,20200,21000,20000,20002,20000,20000,20000,20010,20010,20000,20020,20002,20000,20000,20000,20000,20000,21000,21000,21000,21000,21100,21000,21000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20010,20020,20002,20000,20000,20000,20100,20000,21000,20002,21000,20200,20000,20001,20000,20001,20000,20000,21000,21000,21000,21000,21000,20000,20000,22000,22002,21000,20000,20000
dankt,20100,20001,21000,20102,20001,22000,22002,22000,22000,22100,22000,22000,22000,22110,22000,22100,22000,22000,22000,22200,22200,22001,22101,22001,22001,22000,22002,22100,21002,20002,20000,20100,20000,20100,20000,20100,20110,20100,20000,21001,20100,20200,20220,20002,20000,20000,20000,20100,20100,20000,20001,20000,20000,20000,20100,20000,20000,20002,20002,20100,20000,20001,20110,20010,20011,20000,20000,21200,20200,20200,20000,20000,21100,20002,20000,21001,20100,20000,20002,20100,21000,20110,20000,20000,20100,20000,20010,20000,20000,20000,20100,20000,20000,21200,20200,20202,20000,20000,20100,20100,20000,20100,20000,20002,20000,20100,20000,20000,20100,21000,21000,21010,21100,21000,21100,21110,20000,20100,20000,20002,20110,20000,20000,20000,20000,20000,20100,20110,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,21000,20002,21000,20000,20200,20201,20100,20001,20000,20100,21000,21000,21100,21000,21000,20000,20000,22200,22002,21000,20000,20000
