Guess,finse,frank,frans,fries,fabel,facet,facie,facit,facta,fagot,faire,faken,fakir,falen,falie,farad,farao,farce,farde,fasen,fases,fatum,fatwa,fauna,faxen,feces,feeks,feest,femel,fenol,ferry,fiber,fiche,fichu,ficus,fielt,fiets,f1fel,f1nte,filet,fiool,firma,fitis,fjord,flair,flank,flard,flash,flauw,fleer,flens,flets,fleur,flink,flirt,flits,floep,floer,floot,flora,floss,fluim,fluit,fluks,fluor,flyer,fobie,focus,foert,folie,folio,folky,fonds,forel,forma,forte,forto,forum,fossa,foton,foyer,fraai,frame,franc,frank,frase,frats,freak,frees,freon,fries,friet,frigo,frons,front,fruit,fundi,funky,furie,fusee,fusie,futon,fylum,frust,fysio
fords,20001,20100,20102,20102,20000,20000,20000,20000,20000,21000,20100,20000,20100,20000,20000,20210,21200,20200,20220,20001,20002,20000,20000,20000,20000,20002,20002,20001,20000,21000,20200,20100,20000,20000,20002,20000,20002,20000,20000,20000,21000,20200,20002,21110,20100,20000,20110,20001,20000,20100,20002,20002,20100,20000,20100,20002,21000,21100,21000,21100,21002,20000,20000,20002,21100,20100,22000,22002,22100,22000,22000,22000,22022,22200,22200,22200,22200,22200,22001,22000,22100,20100,20100,20100,20100,20101,20102,20100,20102,21100,20102,20100,21100,21102,21100,20100,20020,20000,20200,20001,20001,21000,20000,20101,21001
faalt,20000,20200,20200,20000,22010,22002,22000,22002,22101,22002,22000,22000,22000,22010,22010,22100,22100,22000,22000,22000,22000,22001,22101,22100,22000,20000,20000,20002,20010,20010,20000,20000,20000,20000,20000,20022,20001,20010,20001,20012,20010,21000,20001,20000,20210,20210,20210,20210,20210,20010,20010,20011,20010,20010,20012,20011,20010,20010,20012,21010,20010,20010,20012,20010,20010,20010,20000,20000,20002,20010,20010,20010,20000,20010,21000,20001,20001,20000,21000,20001,20000,21200,20200,20200,20200,20200,20201,21000,20000,20000,20000,20002,20000,20000,20002,20002,20000,20000,20000,20000,20000,20001,20010,20002,20000
fairs,20101,21010,21012,20212,22000,22000,22100,22100,22000,22000,22220,22000,22110,22000,22100,22010,22010,22010,22010,22001,22002,22000,22000,22000,22000,20002,20002,20001,20000,20000,20020,20110,20100,20100,20102,20100,20102,20000,20000,20100,20100,21110,20102,20020,21110,21000,21020,21001,21000,20010,20002,20002,20010,20200,20220,20202,20000,20010,20000,21020,20002,20100,20100,20002,20010,20010,20100,20002,20020,20100,20100,20000,20002,20010,21010,20010,20010,20010,21001,20000,20010,21110,21010,21010,21010,21011,21012,21010,20012,20010,20212,20210,20210,20012,20010,20110,20100,20000,20110,20001,20101,20000,20000,20011,20101
farms,20001,21100,21102,20102,22000,22000,22000,22000,22000,22000,22100,22000,22100,22000,22000,22200,22200,22200,22200,22001,22002,22010,22000,22000,22000,20002,20002,20001,20010,20000,20200,20100,20000,20000,20002,20000,20002,20000,20000,20000,20000,21220,20002,20100,21100,21000,21100,21001,21000,20100,20002,20002,20100,20000,20100,20002,20000,20100,20000,21100,20002,20010,20000,20002,20100,20100,20000,20002,20100,20000,20000,20000,20002,20200,21220,20200,20200,20210,21001,20000,20100,21100,21120,21100,21100,21101,21102,21100,20102,20100,20102,20100,20100,20102,20100,20100,20000,20000,20200,20001,20001,20000,20010,20101,20001
faxte,20002,21000,21000,20001,22001,22011,22002,22010,22020,22010,22002,22001,22000,22001,22002,22000,22000,22002,22002,22001,22001,22010,22010,22000,22201,20001,20001,20011,20001,20001,20001,20001,20002,20000,20000,20011,20021,20001,20022,20011,20000,21000,20010,20000,21000,21000,21000,21000,21000,20001,20001,20021,20001,20000,20010,20020,20001,20001,20010,21000,20000,20000,20010,20000,20000,20001,20002,20000,20011,20002,20000,20000,20000,20001,21000,20022,20020,20000,21000,20010,20001,21000,21002,21000,21000,21002,21020,21001,20001,20001,20001,20011,20000,20000,20010,20010,20000,20000,20002,20002,20002,20010,20000,20010,20000
fazen,20011,21001,21001,20020,22020,22020,22010,22000,22000,22000,22010,22022,22000,22022,22010,22000,22000,22010,22010,22022,22020,22000,22000,22001,22022,20020,20010,20010,20020,20011,20010,20020,20010,20000,20000,20010,20010,20020,20011,20020,20000,21000,20000,20000,21000,21001,21000,21000,21000,20020,20011,20010,20010,20001,20000,20000,20020,20020,20000,21000,20000,20000,20000,20000,20000,20020,20010,20000,20010,20010,20000,20000,20001,20020,21000,20010,20000,20000,21000,20002,20020,21000,21010,21001,21001,21010,21000,21010,20020,20012,20020,20020,20000,20001,20001,20000,20001,20001,20010,20020,20010,20002,20000,20000,20000
feilt,21100,20000,20000,21200,21010,21002,21100,20102,20001,20002,21200,21000,20100,21010,21110,20000,20000,21000,21000,21000,21000,20001,20001,20000,21000,22000,22000,22002,22010,22010,22000,21100,21100,20100,20100,21122,21101,21010,21001,21112,20110,20100,20101,20000,20110,20010,20010,20010,20010,21010,21010,21011,21010,20210,20212,20211,21010,21010,20012,20010,20010,20110,20112,20010,20010,21010,21100,20000,21002,21110,20110,20010,20000,21010,20000,21001,20001,20000,20000,20001,21000,20100,21000,20000,20000,21000,20001,21000,21000,21000,21200,21202,20200,20000,20002,20102,20100,20000,21100,21000,21100,20001,20010,20002,20100
felle,20002,20000,20000,21000,21100,21000,20002,20000,20000,20000,20002,21000,20000,21200,20202,20000,20000,20002,20002,21000,21000,20000,20000,20000,21000,22001,22001,22001,22101,22100,22000,21000,20002,20000,20000,21020,21000,21100,20002,21200,20100,20000,20000,20000,20100,20100,20100,20100,20100,21101,21100,21100,21100,20100,20100,20100,21100,21100,20100,20100,20100,20100,20100,20100,20100,21100,20002,20000,21000,20202,20200,20200,20000,21100,20000,20002,20000,20000,20000,20000,21000,20000,20002,20000,20000,20002,20000,21000,21001,21000,21000,21000,20000,20000,20000,20000,20000,20000,20002,21002,20002,20000,20200,20000,20000
felst,21020,20000,20010,21010,21100,21002,21000,20002,20001,20002,21000,21000,20000,21200,21200,20000,20000,21000,21000,21010,21010,20001,20001,20000,21000,22010,22010,22022,22100,22100,22000,21000,21000,20000,20010,21102,21011,21100,21001,21202,20100,20000,20011,20000,20100,20100,20100,20120,20100,21100,21110,21111,21100,20100,20102,20111,21100,21100,20102,20100,20120,20100,20102,20110,20100,21100,21000,20010,21002,21200,20200,20200,20010,21100,20000,21001,20001,20000,20020,20001,21000,20000,21000,20000,20000,21020,20011,21000,21010,21000,21010,21002,20000,20010,20002,20002,20000,20000,21000,21010,21010,20001,20200,20022,20010
ferme,20002,20100,20100,21100,21000,21000,20002,20000,20000,20000,20102,21000,20100,21000,20002,20200,20200,20202,20202,21000,21000,20010,20000,20000,21000,22001,22001,22001,22011,22000,22200,21100,20002,20000,20000,21000,21000,21000,20002,21000,20000,20220,20000,20100,20100,20000,20100,20000,20000,21101,21000,21000,21100,20000,20100,20000,21000,21100,20000,20100,20000,20010,20000,20000,20100,21100,20002,20000,21100,20002,20000,20000,20000,21200,20220,20202,20200,20210,20000,20000,21100,20100,20122,20100,20100,20102,20100,21100,21101,21100,21100,21100,20100,20100,20100,20100,20000,20000,20202,21002,20002,20000,20010,20100,20000
