Guess,gents,ghana,gouds,griek,gaard,gabbe,gaden,gaffe,gagel,gaine,gajes,galei,galon,galop,gamba,gamel,gamen,gamer,gamma,gapen,gaper,garde,garen,garoe,garve,gaten,gaven,gazel,gazen,gazet,gazon,gebak,gebbe,gebed,gebel,gebit,gebod,gedag,gedoe,geduw,geest,geeuw,gegil,geh1g,gehol,geien,ge1kt,gejou,gekef,gek1f,gekir,gekko,gekte,gelag,gelal,gelee,gelei,gelen,gelid,gelig,gel1k,gelik,gelui,geluk,gelul,geluw,gemak,gemet,gemis,gemok,gemor,gemot,genet,genie,genot,genre,genus,gepuf,gerei,geren,gerst,gesar,gesco,gesel,gesis,gesol,geste,getal,getik,getob,getto,geuze,geval,gevat,gevel,geven,gever,gevl1,gevr1,gewag,gewas,gewei,gew1d,gewin,gewis,gezag,gezel,gezet,gezin,gibus,gigue,g1pen,gilde,gilet,ginds,ginst,gipsy,giraf,glans,gleed,gleis,gleuf,glimp,globe,gloed,gloop,gloor,gneis,gnoom,goden,godin,goede,gogme,gojim,golem,gonje,gorig,gouwe,gozer,graad,graaf,graag,graai,graal,graan,graat,grauw,green,greep,grein,grens,grief,griek,griel,griep,gries,griet,grift,gr1ns,grill,grime,grind,grint,griot,groef,groei,groen,groep,groet,grond,groot,grote,gruis,guano,guave,gummi,gunst,guppy,gyros,ger1m,geram,gebal,geoha,gomma,gauss
gaans,20012,21220,20002,20000,22200,22000,22010,22000,22000,22020,22002,22000,22010,22000,22100,22000,22010,22000,22100,22010,22000,22000,22010,22000,22000,22010,22010,22000,22010,22000,22010,21000,20000,20000,20000,20000,20000,21000,20000,20000,20001,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,20010,20010,20010,20010,20012,20000,20000,20010,20001,21001,20001,20001,20002,20001,20001,21000,20000,20000,20000,20000,21000,21000,20000,20010,20000,20000,20000,21000,21002,20000,20000,20010,20002,21000,20000,20000,20010,20002,20000,20010,20000,20000,20012,20011,20001,21000,20222,20000,20002,20000,20000,20000,20000,20000,20000,20012,20010,20010,20010,20000,20000,20000,20000,20010,20000,20000,20000,21200,21200,21200,21200,21200,21210,21200,20200,20010,20000,20010,20022,20000,20000,20000,20000,20002,20000,20000,20022,20000,20000,20020,20020,20000,20000,20000,20010,20000,20000,20020,20000,20000,20002,20220,20200,20000,20011,20000,20002,20000,21000,21000,21000,21000,22002
gaapt,20001,21200,20000,20000,22200,22000,22000,22000,22000,22000,22000,22000,22000,22010,22100,22000,22000,22000,22100,22010,22010,22000,22000,22000,22000,22001,22000,22000,22000,22002,22000,21000,20000,20000,20000,20002,20000,21000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20001,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20002,20000,20000,20000,20002,20002,20000,20002,20000,20000,20010,20000,20000,20002,21000,20000,20000,20000,20000,20001,21001,20001,20001,20001,20000,21000,21002,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,20010,20000,20002,20000,20002,20010,21000,20200,20000,20000,20000,20010,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21200,21200,21200,21200,21200,21200,21202,20200,20000,20010,20000,20000,20000,20000,20000,20010,20000,20002,20002,20000,20000,20000,20000,20002,20002,20000,20000,20000,20010,20002,20000,20002,20001,20000,20200,20200,20000,20002,20020,20000,20000,21000,21000,21000,21000,22000
gaart,20001,21200,20000,20010,22220,22000,22000,22000,22000,22000,22000,22000,22000,22000,22100,22000,22000,22010,22100,22000,22010,22010,22010,22010,22010,22001,22000,22000,22000,22002,22000,21000,20000,20000,20000,20002,20000,21000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20000,20000,20000,20010,20000,20001,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20002,20000,20000,20010,20002,20002,20000,20002,20020,20000,20000,20010,20010,20012,21010,20000,20000,20000,20000,20001,21001,20001,20001,20001,20000,21000,21002,20000,20000,20010,20000,20020,21000,21000,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,20000,20000,20002,20000,20002,20000,21010,20200,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,20010,21210,21210,21210,21210,21210,21210,21212,20210,20010,20010,20010,20010,20010,20010,20010,20010,20010,20012,20012,20010,20010,20010,20010,20012,20012,20010,20010,20010,20010,20012,20010,20012,20011,20010,20200,20200,20000,20002,20000,20010,20010,21010,21000,21000,21000,22000
gages,20012,21000,20002,20020,22000,22010,22020,22010,22220,22010,22022,22020,22000,22000,22000,22020,22020,22020,22000,22020,22020,22010,22020,22010,22010,22020,22020,22020,22020,22020,22000,21010,20010,20020,20020,20010,20010,21110,20010,20010,20011,20010,20210,20110,20010,20020,20010,20010,20020,20010,20010,20010,20010,21110,21010,20020,20020,20020,20010,20110,20010,20010,20010,20010,20010,20010,21010,20020,20012,20010,20010,20010,20020,20010,20010,20010,20012,20010,20020,20020,20011,21011,20011,20021,20012,20011,20011,21010,20010,20010,20010,20010,21010,21010,20020,20020,20020,20010,20010,21110,21012,20020,20010,20010,20012,21110,20020,20020,20010,20002,20210,20020,20010,20020,20002,20001,20001,21000,21002,20020,20012,20010,20000,20010,20020,20000,20000,20012,20000,20020,20000,20010,20210,20000,20020,20010,20100,20010,20020,21000,21000,21100,21000,21000,21000,21000,21000,20020,20020,20010,20012,20020,20020,20020,20020,20022,20020,20000,20002,20000,20010,20000,20000,20000,20020,20020,20020,20020,20020,20000,20000,20010,20002,21000,21010,20000,20001,20000,20002,20010,21010,21010,21010,21000,22002
galde,20001,21000,20020,20001,22010,22002,22011,22002,22101,22002,22001,22201,22200,22200,22000,22101,22001,22001,22000,22001,22001,22022,22001,22002,22002,22001,22001,22101,22001,22001,22000,21001,20002,20011,20101,20001,20011,21011,20012,20011,20001,20001,20101,20001,20101,20001,20001,20001,20001,20001,20001,20001,20002,21201,21201,20202,20201,20201,20211,20201,20201,20201,20201,20201,20201,20201,21001,20001,20001,20001,20001,20001,20001,20002,20001,20002,20001,20001,20001,20001,20001,21001,20001,20101,20001,20101,20002,21101,20001,20001,20001,20002,21101,21001,20101,20001,20001,20101,20001,21001,21001,20001,20011,20001,20001,21001,20101,20001,20001,20000,20002,20001,20222,20201,20020,20000,20000,21000,21100,20111,20101,20101,20100,20102,20111,20100,20100,20001,20000,20011,20010,20022,20002,20000,20201,20002,20000,20002,20001,21010,21000,21000,21000,21100,21000,21000,21000,20001,20001,20001,20001,20001,20001,20101,20001,20001,20001,20000,20000,20100,20002,20010,20000,20000,20001,20001,20001,20001,20001,20010,20000,20002,20000,21000,21002,20000,20000,20000,20000,20001,21001,21101,21001,21000,22000
galen,20011,21001,20000,20020,22000,22010,22022,22010,22120,22011,22020,22220,22202,22200,22000,22120,22022,22020,22000,22022,22020,22010,22022,22010,22010,22022,22022,22120,22022,22020,22002,21010,20010,20020,20120,20010,20010,21010,20010,20010,20010,20010,20110,20010,20110,20022,20010,20010,20020,20010,20010,20010,20010,21210,21210,20220,20220,20222,20210,20210,20210,20210,20210,20210,20210,20210,21010,20020,20010,20010,20010,20010,20021,20011,20011,20011,20011,20010,20020,20022,20010,21010,20010,20120,20010,20110,20010,21110,20010,20010,20010,20010,21110,21010,20120,20022,20020,20110,20010,21010,21010,20020,20010,20012,20010,21010,20120,20020,20012,20000,20010,20022,20210,20220,20001,20001,20000,21000,21101,20120,20110,20110,20100,20110,20120,20100,20100,20011,20001,20022,20002,20010,20010,20000,20220,20011,20000,20010,20020,21000,21000,21000,21000,21100,21002,21000,21000,20022,20020,20012,20011,20020,20020,20120,20020,20020,20020,20000,20001,20100,20010,20001,20001,20000,20020,20020,20022,20020,20020,20001,20000,20010,20000,21001,21010,20000,20001,20000,20000,20010,21010,21110,21010,21000,22000
galmt,20001,21000,20000,20000,22000,22000,22000,22000,22100,22000,22000,22200,22200,22200,22010,22110,22010,22010,22020,22000,22000,22000,22000,22000,22000,22001,22000,22100,22000,22002,22000,21000,20000,20000,20100,20002,20000,21000,20000,20000,20002,20000,20100,20000,20100,20000,20002,20000,20000,20000,20000,20000,20001,21200,21200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,21010,20012,20010,20010,20010,20012,20002,20000,20002,20000,20000,20000,20000,20000,20002,21000,20000,20100,20000,20100,20001,21101,20001,20001,20001,20000,21100,21002,20100,20000,20000,20100,20000,21000,21000,20000,20000,20000,20000,21000,20100,20002,20000,20000,20000,20000,20200,20202,20000,20002,20000,21000,21100,20100,20100,20100,20120,20100,20100,20100,20100,20000,20010,20000,20000,20000,20020,20010,20210,20000,20000,20000,20000,21000,21000,21000,21000,21100,21000,21002,21000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20002,20002,20000,20100,20020,20000,20002,20002,20000,20000,20000,20000,20002,20000,20002,20001,20000,21000,21000,20020,20002,20000,20000,20010,21010,21100,21000,21020,22000
games,20012,21000,20002,20020,22000,22010,22020,22010,22020,22010,22022,22020,22000,22000,22200,22220,22220,22220,22200,22020,22020,22010,22020,22010,22010,22020,22020,22020,22020,22020,22000,21010,20010,20020,20020,20010,20010,21010,20010,20010,20011,20010,20010,20010,20010,20020,20010,20010,20020,20010,20010,20010,20010,21010,21010,20020,20020,20020,20010,20010,20010,20010,20010,20010,20010,20010,21210,20220,20212,20210,20210,20210,20020,20010,20010,20010,20012,20010,20020,20020,20011,21011,20011,20021,20012,20011,20011,21010,20010,20010,20010,20010,21010,21010,20020,20020,20020,20010,20010,21010,21012,20020,20010,20010,20012,21010,20020,20020,20010,20002,20010,20020,20010,20020,20002,20001,20001,21000,21002,20020,20012,20010,20100,20010,20020,20000,20000,20012,20100,20020,20000,20010,20110,20100,20120,20010,20000,20010,20020,21000,21000,21000,21000,21000,21000,21000,21000,20020,20020,20010,20012,20020,20020,20020,20020,20022,20020,20000,20002,20000,20110,20000,20000,20000,20020,20020,20020,20020,20020,20000,20000,20010,20002,21000,21010,20200,20001,20000,20002,20110,21110,21010,21010,21200,22002
ganse,20211,21100,20010,20001,22000,22002,22101,22002,22001,22102,22011,22001,22100,22000,22000,22001,22101,22001,22000,22101,22001,22002,22101,22002,22002,22101,22101,22001,22101,22001,22100,21001,20002,20001,20001,20001,20001,21001,20002,20001,20021,20001,20001,20001,20001,20101,20001,20001,20001,20001,20001,20001,20002,21001,21001,20002,20001,20101,20001,20001,20001,20001,20001,20001,20001,20001,21001,20001,20011,20001,20001,20001,20201,20202,20201,20202,20211,20001,20001,20101,20021,21011,20011,20011,20011,20011,20012,21001,20001,20001,20001,20002,21001,21001,20001,20101,20001,20001,20001,21001,21011,20001,20001,20101,20011,21001,20001,20001,20101,20010,20002,20101,20002,20001,20210,20220,20020,21000,21110,20001,20011,20001,20000,20002,20001,20000,20000,20111,20100,20101,20100,20002,20002,20000,20001,20202,20000,20002,20001,21000,21000,21000,21000,21000,21100,21000,21000,20101,20001,20101,20111,20001,20001,20001,20001,20011,20001,20000,20110,20000,20002,20100,20100,20000,20001,20001,20101,20001,20001,20100,20000,20002,20010,21100,21002,20000,20220,20000,20010,20001,21001,21001,21001,21000,22020
gapte,20021,21000,20000,20001,22000,22002,22001,22002,22001,22002,22001,22001,22000,22100,22000,22001,22001,22001,22000,22201,22201,22002,22001,22002,22002,22011,22001,22001,22001,22011,22000,21001,20002,20001,20001,20011,20001,21001,20002,20001,20011,20001,20001,20001,20001,20001,20011,20001,20001,20001,20001,20001,20022,21001,21001,20002,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,21001,20011,20001,20001,20001,20011,20011,20002,20011,20002,20001,20201,20001,20001,20011,21001,20001,20001,20001,20001,20022,21011,20011,20011,20021,20002,21001,21011,20001,20001,20001,20001,20001,21001,21001,20001,20001,20001,20001,21001,20001,20011,20001,20000,20002,20201,20002,20011,20000,20010,20200,21000,21000,20001,20001,20001,20100,20002,20001,20100,20000,20001,20000,20001,20000,20002,20002,20000,20001,20002,20000,20002,20001,21000,21000,21000,21000,21000,21000,21010,21000,20001,20101,20001,20001,20001,20001,20001,20101,20001,20011,20010,20000,20000,20002,20000,20010,20010,20001,20001,20001,20101,20011,20000,20010,20022,20000,21000,21002,20000,20010,20200,20000,20001,21001,21001,21001,21000,22000
