Guess,kaaps,kamer,kenia,keuls,khmer,koerd,koran,kozak,kaard,kaars,kaart,kaats,kabas,kabel,kadee,kaden,kader,kadet,kaffa,kafir,kajak,kakel,kaken,kaker,kalen,kalig,kalis,kalle,kalot,kamen,kamer,kamig,kand1,kanen,kanis,kanji,kanon,kapel,kapen,kaper,kapje,kapok,kapot,kappa,karaf,karen,karet,karig,karma,karos,karot,karst,karw1,kasba,kassa,kaste,kater,katje,kauri,kavel,kazak,kazen,kazer,kebab,kebon,kefir,kegel,kegge,keken,keker,kelen,kelim,kemel,kenau,kendo,kenen,kepen,keper,kepie,kerel,keren,kerks,kerst,ketel,keten,ketje,keurs,keuze,kevel,keven,kever,kevie,kezen,kidde,kieuw,k1ken,k1ker,k1ven,k1ver,kille,kilte,kimme,kinds,kinky,kiosk,klaaf,klaar,klaas,klamp,klank,klant,klare,klats,klauw,kled1,kleed,kleef,klein,klerk,klets,kleun,kleur,kliek,klier,kling,klink,kloef,kloek,kloet,klojo,klomp,klonk,klont,kloof,klooi,kloon,kloot,klote,klove,kluft,kluif,kluis,kluit,kluns,kluts,kluut,knaak,knaap,knauw,kneep,kneus,knier,knoei,knoet,knook,knoop,knorf,knots,koala,kobbe,kocht,kodak,kodde,koers,koest,koets,kogel,kogge,koine,koken,koker,koket,kokos,kolen,kolom,kolos,komaf,komen,kom1n,komma,komst,kon1n,koord,kopal,kopen,koper,kopie,kopra,koran,koren,korps,korre,korst,koste,koten,koter,koude,kovel,kozak,kozen,koz1n,kraag,kraai,kraak,kraal,kraam,kraan,krach,kramp,krank,krans,krant,krats,krauw,kreeg,kreek,krees,kreet,kreng,krent,kreuk,kriek,kriel,krill,krimi,krimp,kring,kroeg,kroep,kroes,krols,kromp,kroon,kroop,kroos,kroot,kruid,kruif,kruik,kruim,kruin,kruis,kruit,kubbe,kubus,kudde,kuier,kuise,kuist,kulas,kunde,kunst,kuras,kuren,kwaad,kwaal,kwade,kwant,kwark,kwart,kwast,kwats,kweek,kween,kwelm,kwets,kwiek,kwint,kwips,kawai,krapa,kliko
kaait,22200,22000,21020,20000,20000,20000,21000,21000,22200,22200,22202,22201,22100,22000,22000,22000,22000,22002,22100,22020,22100,22000,22000,22000,22000,22020,22020,22000,22002,22000,22000,22020,22000,22000,22020,22010,22000,22000,22000,22000,22000,22000,22002,22100,22100,22000,22002,22020,22100,22000,22002,22002,22000,22100,22100,22001,22001,22001,22010,22000,22100,22000,22000,21000,20000,20020,20000,20000,20000,20000,20000,20020,20000,21000,20000,20000,20000,20000,20020,20000,20000,20000,20002,20001,20001,20001,20000,20000,20000,20000,20000,20020,20000,20010,20010,20000,20000,20000,20000,20010,20011,20010,20010,20010,20010,21200,21200,21200,20200,20200,20202,20200,20201,20200,20000,20000,20000,20020,20000,20001,20000,20000,20010,20010,20010,20010,20000,20000,20002,20000,20000,20000,20002,20000,20010,20000,20002,20001,20000,20002,20020,20020,20022,20000,20001,20002,21200,21200,20200,20000,20000,20010,20010,20002,20000,20000,20000,20001,21200,20000,20002,21000,20000,20000,20002,20001,20000,20000,20010,20000,20000,20002,20000,20000,20000,20000,21000,20000,20000,21000,20002,20000,20000,21000,20000,20000,20020,21000,21000,20000,20000,20000,20002,20001,20001,20001,20000,20000,21000,20000,20000,21200,21210,21200,21200,21200,21200,20200,20200,20200,20200,20202,20201,20200,20000,20000,20000,20002,20000,20002,20000,20010,20010,20010,20010,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,20002,20020,20020,20020,20020,20020,20020,20022,20000,20000,20000,20010,20010,20012,21000,20000,20002,21000,20000,21200,21200,20200,20202,20200,20202,20202,20201,20000,20000,20000,20001,20010,20012,20010,22110,21200,20010
kaakt,22200,22000,21000,20000,20000,20000,21000,21010,22200,22200,22202,22201,22100,22000,22000,22000,22000,22002,22100,22000,22110,22010,22010,22010,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22010,22002,22100,22100,22000,22002,22000,22100,22000,22002,22002,22000,22100,22100,22001,22001,22001,22000,22000,22110,22000,22000,21000,20000,20000,20000,20000,20010,20010,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20020,20002,20001,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20010,20000,20000,20000,20001,20000,20000,20020,20010,21200,21200,21200,20200,20210,20202,20200,20201,20200,20000,20000,20000,20000,20010,20001,20000,20000,20010,20000,20000,20010,20000,20010,20002,20000,20000,20010,20002,20000,20000,20000,20002,20001,20000,20002,20000,20000,20002,20000,20001,20002,21210,21200,20200,20000,20000,20000,20000,20002,20010,20000,20000,20001,21200,20000,20002,21010,20000,20000,20002,20001,20000,20000,20000,20010,20010,20012,20010,20000,20000,20000,21000,20000,20000,21000,20002,20000,20000,21000,20000,20000,20000,21000,21000,20000,20000,20000,20002,20001,20001,20001,20000,20000,21010,20000,20000,21200,21200,21210,21200,21200,21200,20200,20200,20210,20200,20202,20201,20200,20000,20010,20000,20002,20000,20002,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20010,20000,20000,20000,20002,20000,20000,20000,20000,20000,20002,21000,20000,20002,21000,20000,21200,21200,20200,20202,20210,20202,20202,20201,20010,20000,20000,20001,20010,20002,20000,22100,21200,20020
kaamt,22200,22010,21000,20000,20010,20000,21000,21000,22200,22200,22202,22201,22100,22000,22000,22000,22000,22002,22100,22000,22100,22000,22000,22000,22000,22000,22000,22000,22002,22010,22010,22010,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22100,22100,22000,22002,22000,22120,22000,22002,22002,22000,22100,22100,22001,22001,22001,22000,22000,22100,22000,22000,21000,20000,20000,20000,20000,20000,20000,20000,20010,20010,21000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20020,20000,20000,20000,21200,21200,21200,20220,20200,20202,20200,20201,20200,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20020,20000,20002,20000,20000,20000,20002,20001,20000,20002,20000,20000,20002,20000,20001,20002,21200,21200,20200,20000,20000,20000,20000,20002,20000,20000,20000,20001,21200,20000,20002,21000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20002,20000,20000,20010,20000,21010,20010,20010,21020,20012,20000,20000,21000,20000,20000,20000,21000,21000,20000,20000,20000,20002,20001,20001,20001,20000,20000,21000,20000,20000,21200,21200,21200,21200,21210,21200,20200,20220,20200,20200,20202,20201,20200,20000,20000,20000,20002,20000,20002,20000,20000,20000,20000,20020,20020,20000,20000,20000,20000,20000,20020,20000,20000,20000,20002,20000,20000,20000,20010,20000,20000,20002,20000,20000,20000,20000,20000,20002,21000,20000,20002,21000,20000,21200,21200,20200,20202,20200,20202,20202,20201,20000,20000,20010,20001,20000,20002,20000,22100,21200,20000
kaapt,22220,22000,21000,20000,20000,20000,21000,21000,22200,22200,22202,22201,22100,22000,22000,22000,22000,22002,22100,22000,22100,22000,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22010,22010,22010,22010,22010,22012,22120,22100,22000,22002,22000,22100,22000,22002,22002,22000,22100,22100,22001,22001,22001,22000,22000,22100,22000,22000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20010,20010,20010,20000,20000,20000,20002,20001,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,21200,21200,21200,20210,20200,20202,20200,20201,20200,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20010,20000,20002,20000,20000,20000,20002,20001,20000,20002,20000,20000,20002,20000,20001,20002,21200,21210,20200,20010,20000,20000,20000,20002,20000,20010,20000,20001,21200,20000,20002,21000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,21000,20000,20000,21000,20002,20000,20000,21010,20010,20010,20010,21010,21000,20000,20020,20000,20002,20001,20001,20001,20000,20000,21000,20000,20000,21200,21200,21200,21200,21200,21200,20200,20210,20200,20200,20202,20201,20200,20000,20000,20000,20002,20000,20002,20000,20000,20000,20000,20000,20010,20000,20000,20010,20000,20000,20010,20000,20010,20000,20002,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20002,21000,20000,20002,21000,20000,21200,21200,20200,20202,20200,20202,20202,20201,20000,20000,20000,20001,20000,20002,20020,22100,21220,20000
kaast,22210,22000,21000,20010,20000,20000,21000,21000,22200,22210,22202,22211,22110,22000,22000,22000,22000,22002,22100,22000,22100,22000,22000,22000,22000,22000,22010,22000,22002,22000,22000,22000,22000,22000,22010,22000,22000,22000,22000,22000,22000,22000,22002,22100,22100,22000,22002,22000,22100,22010,22002,22022,22000,22110,22120,22011,22001,22001,22000,22000,22100,22000,22000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20010,20022,20001,20001,20001,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20010,20000,20020,21200,21200,21210,20200,20200,20202,20200,20211,20200,20000,20000,20000,20000,20000,20011,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20002,20000,20000,20000,20002,20001,20000,20002,20000,20010,20002,20010,20011,20002,21200,21200,20200,20000,20010,20000,20000,20002,20000,20000,20000,20011,21200,20000,20002,21000,20000,20010,20022,20011,20000,20000,20000,20000,20000,20002,20010,20000,20000,20010,21000,20000,20000,21000,20022,20000,20000,21000,20000,20000,20000,21000,21000,20000,20010,20000,20022,20011,20001,20001,20000,20000,21000,20000,20000,21200,21200,21200,21200,21200,21200,20200,20200,20200,20210,20202,20211,20200,20000,20000,20010,20002,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20010,20000,20000,20000,20010,20002,20000,20000,20000,20000,20000,20010,20002,20000,20010,20000,20000,20020,20022,21010,20000,20022,21010,20000,21200,21200,20200,20202,20200,20202,20222,20211,20000,20000,20000,20011,20000,20002,20010,22100,21200,20000
kafje,22000,22001,21001,20001,20001,20001,21000,21000,22000,22000,22000,22000,22000,22001,22002,22001,22001,22001,22200,22200,22010,22001,22001,22001,22001,22000,22000,22002,22000,22001,22001,22000,22000,22001,22000,22020,22000,22001,22001,22001,22022,22000,22000,22000,22100,22001,22001,22000,22000,22000,22000,22000,22000,22000,22000,22002,22001,22022,22000,22001,22000,22001,22001,21001,20001,20201,20001,20002,20001,20001,20001,20001,20001,21001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,20001,20022,20001,20002,20001,20001,20001,20002,20001,20002,20001,20001,20001,20001,20001,20002,20002,20002,20000,20000,20000,21100,21000,21000,21000,21000,21000,21002,21000,21000,20001,20001,20101,20001,20001,20001,20001,20001,20001,20001,20000,20000,20101,20001,20001,20020,20000,20000,20000,20100,20000,20000,20000,20002,20002,20100,20100,20000,20000,20000,20000,20000,21000,21000,21000,20001,20001,20001,20001,20001,20000,20000,20100,20000,21000,20002,20000,21000,20002,20001,20001,20001,20001,20002,20002,20001,20001,20001,20000,20001,20000,20000,21100,20001,20000,21000,20000,20000,20000,21000,20001,20001,20002,21000,21000,20001,20000,20002,20000,20002,20001,20001,20002,20001,21000,20001,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,20001,20001,20001,20001,20001,20001,20001,20001,20001,20000,20000,20000,20000,20001,20001,20001,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20002,20000,20002,20001,20002,20000,21000,20002,20000,21000,20001,21000,21000,21002,21000,21000,21000,21000,21000,20001,20001,20001,20001,20001,20000,20000,22000,21000,20000
kagen,22000,22020,21011,20010,20020,20010,21002,21000,22000,22000,22000,22000,22000,22020,22020,22022,22020,22020,22000,22000,22000,22020,22022,22020,22022,22100,22000,22010,22000,22022,22020,22100,22001,22022,22001,22001,22002,22020,22022,22020,22010,22000,22000,22000,22000,22022,22020,22100,22000,22000,22000,22000,22000,22000,22000,22010,22020,22010,22000,22020,22000,22022,22020,21010,20012,20010,20220,20210,20022,20020,20022,20010,20020,21011,20011,20022,20022,20020,20010,20020,20022,20010,20010,20020,20022,20010,20010,20010,20020,20022,20020,20010,20022,20010,20010,20022,20020,20022,20020,20010,20010,20010,20001,20001,20000,21000,21000,21000,21000,21001,21001,21010,21000,21000,20010,20020,20020,20012,20010,20010,20012,20010,20020,20020,20101,20001,20020,20020,20020,20000,20000,20001,20001,20000,20000,20002,20000,20010,20010,20000,20000,20000,20000,20001,20000,20000,21001,21001,21001,20021,20011,20021,20021,20021,20001,20001,20001,20001,21000,20010,20000,21000,20010,20010,20010,20010,20220,20210,20011,20022,20020,20020,20000,20022,20000,20000,21000,20022,20002,21000,20000,20002,20000,21000,20022,20020,20010,21000,21002,20022,20000,20010,20000,20010,20022,20020,20010,20020,21000,20022,20002,21100,21000,21000,21000,21000,21002,21000,21000,21001,21001,21001,21000,21000,20120,20020,20020,20020,20111,20011,20010,20020,20020,20000,20000,20000,20101,20120,20020,20020,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20010,20000,20010,20020,20010,20000,21000,20011,20001,21000,20022,21000,21000,21010,21001,21000,21000,21000,21000,20020,20022,20010,20010,20020,20001,20000,22000,21000,20000
kakte,22000,22001,21001,20001,20001,20001,21000,21100,22000,22000,22010,22020,22000,22001,22002,22001,22001,22011,22000,22000,22100,22201,22201,22201,22001,22000,22000,22002,22010,22001,22001,22000,22000,22001,22000,22000,22000,22001,22001,22001,22002,22100,22010,22000,22000,22001,22011,22000,22000,22000,22010,22010,22000,22000,22000,22022,22011,22012,22000,22001,22100,22001,22001,21001,20001,20001,20001,20002,20201,20201,20001,20001,20001,21001,20001,20001,20001,20001,20002,20001,20001,20101,20011,20011,20011,20012,20001,20002,20001,20001,20001,20002,20001,20002,20001,20201,20201,20001,20001,20002,20022,20002,20000,20100,20100,21000,21000,21000,21000,21100,21010,21002,21020,21000,20001,20001,20001,20001,20101,20021,20001,20001,20101,20001,20000,20100,20001,20101,20011,20000,20000,20100,20010,20000,20000,20000,20010,20022,20002,20010,20000,20000,20010,20000,20020,20010,21100,21000,21000,20001,20001,20001,20001,20011,20100,20000,20000,20020,21000,20002,20010,21100,20002,20001,20011,20021,20001,20002,20002,20201,20201,20211,20200,20001,20000,20000,21000,20001,20000,21000,20010,20000,20000,21000,20001,20001,20002,21000,21000,20001,20000,20002,20010,20022,20011,20011,20002,20001,21100,20001,20000,21000,21000,21100,21000,21000,21000,21000,21000,21100,21000,21010,21020,21000,20001,20101,20001,20011,20001,20011,20101,20101,20001,20000,20000,20000,20000,20001,20001,20001,20000,20000,20000,20000,20000,20010,20000,20000,20100,20000,20000,20000,20010,20002,20000,20002,20001,20002,20010,21000,20002,20010,21000,20001,21000,21000,21002,21010,21100,21010,21010,21020,20101,20001,20001,20021,20101,20010,20000,22000,21000,20100
kalde,22000,22001,21001,20101,20001,20011,21000,21000,22010,22000,22000,22000,22000,22101,22012,22011,22011,22011,22000,22000,22000,22101,22001,22001,22201,22200,22200,22202,22200,22001,22001,22000,22020,22001,22000,22000,22000,22101,22001,22001,22002,22000,22000,22000,22000,22001,22001,22000,22000,22000,22000,22000,22000,22000,22000,22002,22001,22002,22000,22101,22000,22001,22001,21001,20001,20001,20101,20002,20001,20001,20201,20201,20101,21001,20021,20001,20001,20001,20002,20101,20001,20001,20001,20101,20001,20002,20001,20002,20101,20001,20001,20002,20001,20022,20001,20001,20001,20001,20001,20202,20202,20002,20020,20000,20000,21100,21100,21100,21100,21100,21100,21102,21100,21100,20121,20111,20101,20101,20101,20101,20101,20101,20101,20101,20100,20100,20101,20101,20101,20100,20100,20100,20100,20100,20100,20100,20100,20102,20102,20100,20100,20100,20100,20100,20100,20100,21000,21000,21000,20001,20001,20001,20001,20001,20000,20000,20000,20000,21100,20002,20000,21010,20022,20001,20001,20001,20101,20002,20002,20001,20001,20001,20000,20201,20200,20200,21000,20001,20000,21000,20000,20000,20010,21100,20001,20001,20002,21000,21000,20001,20000,20002,20000,20002,20001,20001,20022,20101,21000,20001,20000,21000,21000,21000,21100,21000,21000,21000,21000,21000,21000,21000,21000,21000,20001,20001,20001,20001,20001,20001,20001,20001,20101,20100,20000,20000,20000,20001,20001,20001,20100,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20002,20000,20022,20001,20002,20000,21200,20022,20000,21000,20001,21010,21100,21022,21000,21000,21000,21000,21000,20001,20001,20101,20001,20001,20000,20000,22000,21000,20100
kaler,22000,22022,21010,20110,20022,20011,21001,21000,22001,22001,22001,22000,22000,22120,22020,22020,22022,22020,22000,22002,22000,22120,22020,22022,22220,22200,22200,22210,22200,22020,22022,22000,22000,22020,22000,22000,22000,22120,22020,22022,22010,22000,22000,22000,22001,22021,22021,22001,22001,22001,22001,22001,22001,22000,22000,22010,22022,22010,22001,22120,22000,22020,22022,21010,20010,20012,20120,20010,20020,20022,20220,20210,20120,21010,20010,20020,20020,20022,20010,20121,20021,20011,20011,20120,20020,20010,20011,20010,20120,20020,20022,20010,20020,20010,20010,20020,20022,20020,20022,20210,20210,20010,20000,20000,20000,21100,21102,21100,21100,21100,21100,21111,21100,21100,20110,20120,20120,20110,20111,20110,20110,20112,20120,20122,20100,20100,20120,20120,20120,20100,20100,20100,20100,20100,20100,20100,20100,20110,20110,20100,20100,20100,20100,20100,20100,20100,21000,21000,21000,20020,20010,20022,20020,20020,20000,20000,20001,20000,21100,20010,20000,21000,20010,20011,20010,20010,20120,20010,20010,20020,20022,20020,20000,20220,20200,20200,21000,20020,20000,21000,20000,20000,20001,21100,20020,20022,20010,21001,21001,20021,20001,20011,20001,20010,20020,20022,20010,20120,21000,20020,20000,21001,21001,21001,21101,21001,21001,21001,21001,21001,21001,21001,21001,21001,20021,20021,20021,20021,20011,20011,20011,20021,20121,20101,20001,20001,20001,20021,20021,20021,20101,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20010,20000,20010,20022,20010,20000,21200,20010,20000,21001,20021,21000,21100,21010,21000,21001,21001,21000,21000,20020,20020,20110,20010,20020,20000,20000,22000,21001,20100
