Guess,lapse,lat1n,leeuw,laaie,laars,label,laden,lader,lagen,lager,lakei,laken,lamel,lamet,lamme,lands,lange,langs,lapel,laren,large,largo,larie,larve,laser,lasso,laste,latei,laten,later,latex,lat1n,latuw,lavas,laven,lavet,lazen,lazer,lease,lebbe,leden,leder,ledig,leers,leest,leeuw,legen,leger,leges,legio,leien,leken,lelie,lel1k,lemen,lemma,lende,lenen,lener,lenig,lente,lento,lenze,lepel,lepra,leren,lesbo,leste,leute,leuze,leven,lever,lezen,lezer,liaan,liane,libel,licht,lieve,l1den,l1der,l1fje,l1ken,l1kwa,l1men,l1mer,l1mig,l1nen,l1ven,l1vig,l1zen,l1zig,liman,limbo,limes,limit,linde,linie,links,linze,lipje,liter,litho,lobby,locus,loden,loens,logee,logen,logos,loipe,loken,loket,lokus,lolly,lomig,lonen,loods,loops,lopen,loper,lorre,loser,losse,loten,lotje,lotto,lotus,loven,lover,lozen,lucht,luide,luien,luier,lullo,lumme,lunch,lunet,lupus,lutje,luwen,luwte,lycra,lymfe,lysol,lumen,level
laadt,22000,22001,20000,22200,22200,22000,22010,22010,22000,22000,22000,22000,22000,22002,22000,22020,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22001,22001,22001,22001,22001,22001,22100,22000,22002,22000,22000,20200,20000,20010,20010,20010,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20020,20000,20000,20000,20001,20001,20000,20000,21000,20000,20000,20001,20001,20000,20000,20000,20000,20000,21200,20200,20000,20002,20000,20010,20010,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20020,20000,20000,20000,20000,20001,20001,20000,20000,20010,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20020,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20002,20020,20000,20000,20000,20000,20000,20002,20000,20001,20000,20001,21000,20000,20000,20000,20000
laaft,22000,22001,20000,22200,22200,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22001,22001,22001,22001,22001,22001,22100,22000,22002,22000,22000,20200,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20001,20001,20000,20000,21000,20000,20000,20001,20001,20000,20000,20000,20000,20000,21200,20200,20000,20002,20000,20000,20000,20010,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20000,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20002,20000,20001,20000,20001,21000,20020,20000,20000,20000
laait,22000,22001,20000,22220,22200,22000,22000,22000,22000,22000,22010,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22020,22000,22000,22000,22001,22011,22001,22001,22001,22001,22001,22100,22000,22002,22000,22000,20200,20000,20000,20000,20020,20000,20002,20000,20000,20000,20000,20020,20010,20000,20020,20000,20000,21000,20000,20000,20000,20020,20001,20001,20000,20000,21000,20000,20000,20001,20001,20000,20000,20000,20000,20000,21210,20210,20010,20012,20010,20000,20000,20000,20000,21000,20000,20000,20020,20000,20000,20020,20000,20020,21010,20010,20010,20022,20010,20020,20010,20010,20010,20011,20011,20000,20000,20000,20000,20000,20000,20000,20010,20000,20002,20000,20000,20020,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20002,20010,20010,20010,20000,20000,20000,20002,20000,20001,20000,20001,21000,20000,20000,20000,20000
laakt,22000,22001,20000,22200,22200,22000,22000,22000,22000,22000,22010,22010,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22001,22001,22001,22001,22001,22001,22100,22000,22002,22000,22000,20200,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20010,20000,20010,20000,21000,20000,20000,20000,20000,20001,20001,20000,20000,21000,20000,20000,20001,20001,20000,20000,20000,20000,20000,21200,20200,20000,20002,20000,20000,20000,20000,20010,21010,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20000,20000,20020,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20010,20012,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20002,20000,20001,20000,20001,21000,20000,20000,20000,20000
lacht,22000,22001,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22001,22001,22001,22001,22001,22001,22000,22000,22002,22000,22000,21000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20001,20001,20000,20000,21000,20000,20000,20001,20001,20000,20000,20000,20000,20000,21000,21000,20000,20222,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20000,20000,20000,20000,20000,20001,20021,20000,20200,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20222,20000,20000,20000,20000,20000,20110,20002,20000,20001,20000,20001,21200,20000,20000,20000,20000
lades,22011,22000,20010,22010,22002,22020,22220,22220,22020,22020,22020,22020,22020,22020,22010,22102,22010,22002,22020,22020,22010,22000,22010,22010,22021,22001,22011,22020,22020,22020,22020,22000,22000,22002,22020,22020,22020,22020,21011,20010,20220,20220,20210,20012,20011,20010,20020,20020,20022,20010,20020,20020,20010,20010,20020,21010,20110,20020,20020,20010,20010,20010,20010,20020,21010,20020,20011,20011,20010,20010,20020,20020,20020,20020,21000,21010,20020,20000,20010,20220,20220,20010,20020,21000,20020,20020,20000,20020,20020,20000,20020,20000,21000,20000,20022,20000,20110,20010,20002,20010,20010,20020,20000,20000,20002,20220,20012,20020,20020,20002,20010,20020,20020,20002,20000,20000,20020,20102,20002,20020,20020,20010,20021,20011,20020,20010,20000,20002,20020,20020,20020,20000,20110,20020,20020,20000,20010,20000,20020,20002,20010,20020,20010,21000,20010,20001,20020,20020
laffe,22002,22000,20001,22002,22000,22001,22001,22001,22001,22001,22001,22001,22001,22001,22002,22000,22002,22000,22001,22001,22002,22000,22002,22002,22001,22000,22002,22001,22001,22001,22001,22000,22000,22000,22001,22001,22001,22001,21002,20002,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20002,20001,20001,21001,20002,20001,20001,20001,20002,20001,20002,20001,21001,20001,20001,20002,20002,20002,20001,20001,20001,20001,21000,21002,20001,20000,20002,20001,20001,20202,20001,21000,20001,20001,20000,20001,20001,20000,20001,20000,21000,20000,20001,20000,20002,20002,20000,20002,20002,20001,20000,20000,20000,20001,20001,20002,20001,20000,20002,20001,20001,20000,20000,20000,20001,20000,20000,20001,20001,20002,20001,20002,20001,20002,20000,20000,20001,20001,20001,20000,20002,20001,20001,20000,20002,20000,20001,20000,20002,20001,20002,21000,20022,20000,20001,20001
lafst,22020,22001,20000,22000,22010,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22010,22000,22010,22000,22000,22000,22000,22000,22000,22010,22020,22011,22001,22001,22001,22001,22001,22001,22010,22000,22002,22000,22000,21020,20000,20000,20000,20000,20010,20022,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20001,20001,20000,20000,21000,20000,20010,20011,20001,20000,20000,20000,20000,20000,21000,21000,20000,20002,20000,20000,20000,20200,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20010,20002,20000,20000,20010,20000,20000,20001,20001,20000,20010,20000,20010,20000,20000,20010,20000,20000,20002,20010,20000,20000,20000,20010,20010,20000,20000,20000,20010,20020,20001,20001,20001,20011,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20002,20010,20001,20000,20001,21000,20100,20010,20000,20000
lakse,22022,22000,20001,22002,22010,22001,22001,22001,22001,22001,22201,22201,22001,22001,22002,22010,22002,22010,22001,22001,22002,22000,22002,22002,22011,22020,22012,22001,22001,22001,22001,22000,22000,22010,22001,22001,22001,22001,21022,20002,20001,20001,20001,20011,20021,20001,20001,20001,20011,20001,20001,20201,20002,20101,20001,21001,20002,20001,20001,20001,20002,20001,20002,20001,21001,20001,20011,20012,20002,20002,20001,20001,20001,20001,21000,21002,20001,20000,20002,20001,20001,20002,20201,21200,20001,20001,20000,20001,20001,20000,20001,20000,21000,20000,20011,20000,20002,20002,20110,20002,20002,20001,20000,20000,20010,20001,20011,20002,20001,20010,20002,20201,20201,20210,20000,20000,20001,20010,20010,20001,20001,20002,20011,20022,20001,20002,20000,20010,20001,20001,20001,20000,20002,20001,20001,20000,20002,20000,20001,20010,20002,20001,20002,21000,20002,20010,20001,20001
lakst,22020,22001,20000,22000,22010,22000,22000,22000,22000,22000,22200,22200,22000,22002,22000,22010,22000,22010,22000,22000,22000,22000,22000,22000,22010,22020,22011,22001,22001,22001,22001,22001,22001,22010,22000,22002,22000,22000,21020,20000,20000,20000,20000,20010,20022,20000,20000,20000,20010,20000,20000,20200,20000,20100,20000,21000,20000,20000,20000,20000,20001,20001,20000,20000,21000,20000,20010,20011,20001,20000,20000,20000,20000,20000,21000,21000,20000,20002,20000,20000,20000,20000,20200,21200,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20010,20002,20000,20000,20110,20000,20000,20001,20001,20000,20010,20000,20010,20000,20000,20010,20000,20200,20202,20210,20000,20000,20000,20010,20010,20000,20000,20000,20010,20020,20001,20001,20001,20011,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20002,20010,20001,20000,20001,21000,20000,20010,20000,20000
