Guess,maagd,mahdi,malta,maori,mekka,moors,morin,maagd,maand,maart,maats,macho,macht,macro,madam,mager,maggi,magie,magma,magot,majem,major,makam,maken,maker,makke,malen,maler,malie,malta,malus,malve,mamba,mamma,manco,mande,manen,maner,manga,mango,manie,manna,manou,maren,marge,markt,marot,maske,massa,match,maten,mater,matig,matje,matse,mauve,mazen,media,medio,medoc,meel1,meent,meers,meest,meeuw,meien,meier,mekka,melde,melen,melig,melis,meluw,memel,menen,menie,menig,mensa,merci,merel,meren,meson,meten,meter,metro,meute,mezzo,miauw,micro,m1den,m1nen,m1ner,m1ten,m1ter,milde,mille,mimen,mimer,minne,minor,minst,minus,mirre,mirte,mixen,mixer,mixes,mocht,model,modem,modus,moeke,moest,mogen,mogol,moker,mokka,molen,molik,monde,moois,moord,morel,moren,mores,morse,motel,motet,motie,motor,motse,motte,motto,moven,mufte,mulat,mungo,musea,muzak,mythe,moede,mikwe,mikwa,mixed
moren,20000,20000,20000,21100,20010,22100,22202,20000,20001,20100,20000,21000,20000,21100,20000,20120,20000,20010,20000,21000,20020,21100,20000,20022,20120,20010,20022,20120,20010,20000,20000,20010,20000,20000,21001,20011,20022,20121,20001,21001,20011,20001,21001,20222,20210,20200,21200,20010,20000,20000,20022,20120,20000,20010,20010,20010,20022,20010,21010,21010,20010,20011,20110,20010,20010,20022,20120,20010,20010,20022,20010,20010,20010,20020,20022,20011,20011,20011,20210,20220,20222,21012,20022,20120,21110,20010,21010,20000,21100,20022,20022,20121,20022,20120,20010,20010,20022,20120,20011,21101,20001,20001,20210,20210,20022,20120,20020,22000,22020,22020,22000,22010,22010,22022,22000,22120,22000,22022,22000,22011,22000,22100,22220,22222,22220,22210,22020,22020,22010,22100,22010,22010,22000,22022,20010,20000,21001,20020,20000,20010,22010,20010,20000,20020
maait,22200,22010,22101,22010,21000,20000,20020,22200,22200,22202,22201,22000,22002,22000,22100,22000,22010,22020,22100,22002,22000,22000,22100,22000,22000,22000,22000,22000,22020,22101,22000,22000,22100,22100,22000,22000,22000,22000,22100,22000,22020,22100,22000,22000,22000,22002,22002,22000,22100,22001,22001,22001,22021,22001,22001,22000,22000,21020,20020,20000,20000,20002,20000,20002,20000,20010,20010,21000,20000,20000,20020,20020,20000,20000,20000,20020,20020,21000,20010,20000,20000,20000,20001,20001,20001,20001,20000,20210,20010,20000,20000,20000,20001,20001,20010,20010,20010,20010,20010,20010,20012,20010,20010,20011,20010,20010,20010,20002,20000,20000,20000,20000,20002,20000,20000,20000,21000,20000,20020,20000,20020,20000,20000,20000,20000,20000,20001,20002,20021,20001,20001,20001,20001,20000,20001,21002,20000,21000,21000,20001,20000,20010,21010,20010
maakt,22200,22000,22101,22000,21020,20000,20000,22200,22200,22202,22201,22000,22002,22000,22100,22000,22000,22000,22100,22002,22000,22000,22110,22010,22010,22020,22000,22000,22000,22101,22000,22000,22100,22100,22000,22000,22000,22000,22100,22000,22000,22100,22000,22000,22000,22022,22002,22020,22100,22001,22001,22001,22001,22001,22001,22000,22000,21000,20000,20000,20000,20002,20000,20002,20000,20000,20000,21020,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20200,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20002,20000,20000,20001,20000,20000,20000,20002,20000,20000,20000,20020,20002,20000,20000,20010,21020,20000,20010,20000,20000,20000,20000,20000,20000,20000,20001,20002,20001,20001,20001,20001,20001,20000,20001,21002,20000,21000,21010,20001,20000,20010,21010,20000
maalt,22200,22000,22111,22000,21000,20000,20000,22200,22200,22202,22201,22000,22002,22000,22100,22000,22000,22000,22100,22002,22000,22000,22100,22000,22000,22000,22010,22010,22010,22111,22010,22010,22100,22100,22000,22000,22000,22000,22100,22000,22000,22100,22000,22000,22000,22002,22002,22000,22100,22001,22001,22001,22001,22001,22001,22000,22000,21000,20000,20000,20020,20002,20000,20002,20000,20000,20000,21000,20010,20010,20010,20010,20010,20010,20000,20000,20000,21000,20000,20010,20000,20000,20001,20001,20001,20001,20000,20200,20000,20000,20000,20000,20001,20001,20010,20020,20000,20000,20000,20000,20002,20000,20000,20001,20000,20000,20000,20002,20010,20000,20000,20000,20002,20000,20010,20000,21000,20010,20010,20000,20000,20000,20010,20000,20000,20000,20011,20002,20001,20001,20001,20001,20001,20000,20001,21012,20000,21000,21000,20001,20000,20000,21000,20000
maant,22200,22000,22101,22000,21000,20000,20010,22200,22220,22202,22201,22000,22002,22000,22100,22000,22000,22000,22100,22002,22000,22000,22100,22010,22000,22000,22010,22000,22000,22101,22000,22000,22100,22100,22010,22010,22010,22010,22110,22010,22010,22120,22010,22010,22000,22002,22002,22000,22100,22001,22011,22001,22001,22001,22001,22000,22010,21000,20000,20000,20000,20022,20000,20002,20000,20010,20000,21000,20000,20010,20000,20000,20000,20000,20010,20010,20010,21010,20000,20000,20010,20010,20011,20001,20001,20001,20000,20200,20000,20010,20010,20010,20011,20001,20000,20000,20010,20000,20020,20010,20012,20010,20000,20001,20010,20000,20000,20002,20000,20000,20000,20000,20002,20010,20000,20000,21000,20010,20000,20010,20000,20000,20000,20010,20000,20000,20001,20002,20001,20001,20001,20001,20001,20010,20001,21002,20010,21000,21000,20001,20000,20000,21000,20000
maast,22200,22000,22101,22000,21000,20010,20000,22200,22200,22202,22211,22000,22002,22000,22100,22000,22000,22000,22100,22002,22000,22000,22100,22000,22000,22000,22000,22000,22000,22101,22010,22000,22100,22100,22000,22000,22000,22000,22100,22000,22000,22100,22000,22000,22000,22002,22002,22010,22120,22001,22001,22001,22001,22001,22021,22000,22000,21000,20000,20000,20000,20002,20010,20022,20000,20000,20000,21000,20000,20000,20000,20010,20000,20000,20000,20000,20000,21020,20000,20000,20000,20010,20001,20001,20001,20001,20000,20200,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20022,20010,20000,20001,20000,20000,20010,20002,20000,20000,20010,20000,20022,20000,20000,20000,21000,20000,20000,20000,20010,20000,20000,20000,20010,20020,20001,20002,20001,20001,20021,20001,20001,20000,20001,21002,20000,21010,21000,20001,20000,20000,21000,20000
maden,22100,22100,22000,22000,21010,20000,20002,22100,22101,22000,22000,22000,22000,22000,22200,22020,22000,22010,22000,22000,22020,22000,22000,22022,22020,22010,22022,22020,22010,22000,22000,22010,22000,22000,22001,22111,22022,22021,22001,22001,22011,22001,22001,22022,22010,22000,22000,22010,22000,22000,22022,22020,22000,22010,22010,22010,22022,21210,20210,20210,20010,20011,20010,20010,20010,20022,20020,21010,20110,20022,20010,20010,20010,20020,20022,20011,20011,21011,20010,20020,20022,20012,20022,20020,20010,20010,20010,21000,20000,20222,20022,20021,20022,20020,20110,20010,20022,20020,20011,20001,20001,20001,20010,20010,20022,20020,20020,20000,20220,20220,20200,20010,20010,20022,20000,20020,21000,20022,20000,20111,20000,20100,20020,20022,20020,20010,20020,20020,20010,20000,20010,20010,20000,20022,20010,21000,20001,21020,21000,20010,20110,20010,21000,20120
maffe,22000,22000,22000,22000,21001,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22000,22002,22000,22000,22001,22000,22000,22001,22001,22002,22001,22001,22002,22000,22000,22002,22000,22000,22000,22002,22001,22001,22000,22000,22002,22000,22000,22001,22002,22000,22000,22002,22000,22000,22001,22001,22000,22002,22002,22002,22001,21001,20001,20001,20001,20001,20001,20001,20001,20001,20001,21001,20002,20001,20001,20001,20001,20001,20001,20002,20001,21001,20001,20001,20001,20001,20001,20001,20001,20002,20001,21000,20000,20001,20001,20001,20001,20001,20002,20002,20001,20001,20002,20000,20000,20000,20002,20002,20001,20001,20001,20000,20001,20001,20000,20002,20001,20001,20000,20001,21000,20001,20000,20002,20000,20000,20001,20001,20001,20002,20001,20001,20002,20000,20002,20002,20000,20001,20202,21000,20000,21001,21000,20002,20002,20002,21000,20001
mafje,22000,22000,22000,22000,21001,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22000,22002,22000,22000,22011,22010,22000,22001,22001,22002,22001,22001,22002,22000,22000,22002,22000,22000,22000,22002,22001,22001,22000,22000,22002,22000,22000,22001,22002,22000,22000,22002,22000,22000,22001,22001,22000,22022,22002,22002,22001,21001,20001,20001,20001,20001,20001,20001,20001,20001,20001,21001,20002,20001,20001,20001,20001,20001,20001,20002,20001,21001,20001,20001,20001,20001,20001,20001,20001,20002,20001,21000,20000,20001,20001,20001,20001,20001,20002,20002,20001,20001,20002,20000,20000,20000,20002,20002,20001,20001,20001,20000,20001,20001,20000,20002,20001,20001,20000,20001,21000,20001,20000,20002,20000,20000,20001,20001,20001,20002,20001,20001,20002,20000,20002,20002,20000,20001,20202,21000,20000,21001,21000,20002,20002,20002,21000,20001
mafst,22000,22000,22001,22000,21000,20010,20000,22000,22000,22002,22011,22000,22002,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22010,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22002,22010,22020,22001,22001,22001,22001,22001,22021,22000,22000,21000,20000,20000,20000,20002,20010,20022,20000,20000,20000,21000,20000,20000,20000,20010,20000,20000,20000,20000,20000,21020,20000,20000,20000,20010,20001,20001,20001,20001,20000,21000,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20022,20010,20000,20001,20000,20000,20010,20002,20000,20000,20010,20000,20022,20000,20000,20000,21000,20000,20000,20000,20010,20000,20000,20000,20010,20020,20001,20002,20001,20001,20021,20001,20001,20000,20201,21002,20000,21010,21000,20001,20000,20000,21000,20000
