Guess,parbo,par1s,pasen,polen,pools,pruis,paaps,paard,paars,paart,pacen,pacht,paddo,paddy,paden,padie,pager,pages,pak1s,pakje,palen,palet,palts,pampa,panda,panel,panen,panna,panne,panty,paper,papil,papje,pappa,parel,paren,paret,paria,parka,part1,party,pasar,pasja,pasje,passe,pasta,patat,patch,pater,patio,pauze,pedel,pedis,pegel,pekel,pelen,peluw,penis,penny,peper,peren,pesto,peter,pezen,pezig,piano,piepa,p1len,p1ler,p1nen,p1pen,p1per,p1pje,piket,pikol,pilav,pinas,pinda,pioen,pipet,piste,pitje,pitte,pixel,pizza,plaag,plaat,plaid,plane,plank,plano,plant,plebs,pleet,plein,pleit,plemp,plens,plint,ploeg,plomp,plons,plooi,ploos,ploot,plots,pluim,pluis,poeha,poema,poets,pogen,poger,poken,poker,polak,polio,polis,polka,ponem,poort,popel,porem,porie,porno,porto,porum,poses,potas,poten,poter,potig,potje,poule,pover,power,pozen,praal,praam,praat,prang,prauw,preek,prent,priel,priem,prima,prime,primo,prins,print,prion,prior,proef,promo,pronk,pront,prooi,prove,provo,proxy,proza,pruik,pruim,prune,pruts,psalm,puber,pubis,puist,punch,pupil,puppy,puree,puren,putse,putto,pylon,pingo,plurk,pangi,parwa,peies
prees,21000,21002,20021,20020,20002,22002,20002,21000,21002,21000,20020,20000,20000,20000,20020,20100,21020,20022,20002,20100,20020,20020,20002,20000,20000,20020,20020,20000,20100,20000,21020,20000,20100,20000,21020,21020,21020,21000,21000,21000,21000,21001,20001,20101,20101,20001,20000,20000,21020,20000,20100,20120,20102,20120,20120,20120,20100,20102,20100,21120,21120,20101,21120,20120,20100,20000,20200,20020,21020,20020,20020,21020,20100,20020,20000,20000,20002,20000,20020,20020,20101,20100,20100,20020,20000,20000,20000,20000,20100,20000,20000,20000,20202,20220,20200,20200,20200,20202,20000,20020,20000,20002,20000,20002,20000,20002,20000,20002,20200,20200,20202,20020,21020,20020,21020,20000,20000,20002,20000,20020,21000,20020,21020,21100,21000,21000,21000,20022,20002,20020,21020,20000,20100,20100,21020,21020,20020,22000,22000,22000,22000,22000,22220,22200,22020,22020,22000,22100,22000,22002,22000,22000,22000,22020,22000,22000,22000,22000,22100,22000,22000,22000,22000,22000,22100,22002,20001,21020,20002,20001,20000,20000,20000,21120,21020,20101,20000,20000,20000,21000,20000,21000,20122
paait,22000,22000,22000,20000,20000,20020,22200,22200,22200,22202,22000,22002,22000,22000,22000,22020,22000,22000,22000,22000,22000,22002,22001,22100,22100,22000,22000,22100,22000,22001,22000,22020,22000,22100,22000,22000,22002,22120,22100,22001,22001,22100,22100,22000,22000,22101,22102,22001,22001,22021,22000,20000,20020,20000,20000,20000,20000,20020,20000,20000,20000,20001,20001,20000,20020,20210,21010,20000,20000,20000,20000,20000,20000,20012,20010,21010,21010,21010,20010,20012,20011,20011,20011,20010,21010,21200,21202,20220,20200,20200,20200,20202,20000,20002,20020,20022,20000,20000,20012,20000,20000,20000,20010,20000,20002,20001,20020,20020,21000,21000,20001,20000,20000,20000,20000,21000,20020,20020,21000,20000,20002,20000,20000,20020,20000,20001,20000,20000,21001,20001,20001,20021,20001,20000,20000,20000,20000,21200,21200,21202,20200,20200,20000,20002,20010,20010,21010,20010,20010,20010,20012,20010,20010,20000,20000,20000,20002,20010,20000,20000,20000,21000,20020,20020,20000,20001,20200,20000,20020,20012,20000,20020,20000,20000,20000,20001,20001,20000,20010,20000,22010,22100,20010
paalt,22000,22000,22000,20010,20020,20000,22200,22200,22200,22202,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22010,22012,22011,22100,22100,22010,22000,22100,22000,22001,22000,22010,22000,22100,22010,22000,22002,22100,22100,22001,22001,22100,22100,22000,22000,22101,22102,22001,22001,22001,22000,20010,20000,20010,20010,20010,20010,20000,20000,20000,20000,20001,20001,20000,20000,20200,21000,20010,20010,20000,20000,20000,20000,20002,20010,21010,21000,21000,20000,20002,20001,20001,20001,20010,21000,21210,21212,20210,20210,20210,20210,20212,20010,20012,20010,20012,20010,20010,20012,20010,20010,20010,20010,20010,20012,20011,20010,20010,21000,21000,20001,20000,20000,20000,20000,21010,20010,20010,21010,20000,20002,20010,20000,20000,20000,20001,20000,20000,21001,20001,20001,20001,20001,20020,20000,20000,20000,21210,21200,21202,20200,20200,20000,20002,20010,20000,21000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,21000,20000,20000,20000,20001,20220,20000,20000,20002,20000,20010,20000,20000,20000,20001,20001,20010,20000,20010,22000,22100,20000
padje,22000,22000,22001,20001,20000,20000,22000,22100,22000,22000,22001,22000,22200,22200,22201,22202,22001,22001,22000,22022,22001,22001,22000,22000,22100,22001,22001,22000,22002,22000,22001,22000,22022,22000,22001,22001,22001,22000,22000,22000,22000,22000,22020,22022,22002,22000,22000,22000,22001,22000,22002,20201,20201,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,21000,21001,20001,20001,20001,20001,20001,20022,20001,20000,21000,21000,21100,20001,20001,20002,20022,20002,20001,21000,21000,21000,21100,21002,21000,21000,21000,20001,20001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,21001,21001,20001,20001,20001,20001,20001,21000,20000,20000,21000,20001,20000,20001,20001,20002,20000,20000,20000,20001,21000,20001,20001,20000,20022,20002,20001,20001,20001,21000,21000,21000,21000,21000,20001,20001,20001,20001,21000,20002,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,20002,20000,20000,21000,20000,20000,20002,20000,21000,20001,20000,20000,20000,20000,20000,20002,20001,20002,20000,20000,20000,20000,22000,22000,20001
paffe,22000,22000,22001,20001,20000,20000,22000,22000,22000,22000,22001,22000,22000,22000,22001,22002,22001,22001,22000,22002,22001,22001,22000,22000,22000,22001,22001,22000,22002,22000,22001,22000,22002,22000,22001,22001,22001,22000,22000,22000,22000,22000,22000,22002,22002,22000,22000,22000,22001,22000,22002,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,21000,21001,20001,20001,20001,20001,20001,20002,20001,20000,21000,21000,21000,20001,20001,20002,20002,20002,20001,21000,21000,21000,21000,21002,21000,21000,21000,20001,20001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,21001,21001,20001,20001,20001,20001,20001,21000,20000,20000,21000,20001,20000,20001,20001,20002,20000,20000,20000,20001,21000,20001,20001,20000,20002,20002,20001,20001,20001,21000,21000,21000,21000,21000,20001,20001,20001,20001,21000,20002,20000,20000,20000,20000,20000,20101,20000,20000,20000,20000,20002,20000,20000,21000,20000,20000,20002,20000,21000,20001,20000,20000,20000,20000,20000,20002,20001,20002,20000,20000,20000,20000,22000,22000,20001
pafte,22000,22000,22001,20001,20000,20000,22000,22000,22000,22010,22001,22010,22000,22000,22001,22002,22001,22001,22000,22002,22001,22011,22020,22000,22000,22001,22001,22000,22002,22020,22001,22000,22002,22000,22001,22001,22011,22000,22000,22020,22020,22000,22000,22002,22002,22020,22010,22010,22011,22010,22002,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20021,20011,20001,20001,21000,21001,20001,20001,20001,20001,20001,20002,20011,20000,21000,21000,21000,20001,20011,20022,20012,20022,20001,21000,21000,21010,21000,21002,21000,21000,21010,20001,20011,20001,20011,20001,20001,20010,20001,20000,20000,20000,20000,20010,20020,20000,20000,21001,21001,20021,20001,20001,20001,20001,21000,20000,20000,21000,20001,20010,20001,20001,20002,20000,20020,20000,20001,21010,20011,20011,20010,20012,20002,20001,20001,20001,21000,21000,21010,21000,21000,20001,20011,20001,20001,21000,20002,20000,20000,20010,20000,20000,20101,20000,20000,20010,20000,20002,20000,20000,21000,20000,20000,20002,20020,21000,20001,20000,20010,20000,20000,20000,20002,20001,20012,20020,20000,20000,20000,22000,22000,20001
pairs,22010,22012,22001,20000,20002,20112,22002,22020,22022,22020,22000,22000,22000,22000,22000,22100,22010,22002,22002,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22010,22100,22000,22000,22010,22010,22010,22110,22010,22010,22010,22011,22001,22001,22001,22001,22000,22000,22010,22100,22000,20000,20102,20000,20000,20000,20000,20102,20000,20010,20010,20001,20010,20000,20100,21100,21100,20000,20010,20000,20000,20010,20000,20100,20100,21100,21102,21100,20100,20100,20101,20100,20100,20100,21100,21000,21000,21100,21000,21000,21000,21000,20002,20000,20100,20100,20000,20002,20200,20000,20000,20002,20100,20002,20000,20002,20100,20102,21000,21000,20002,20000,20010,20000,20010,21000,20100,20102,21000,20000,20020,20000,20010,20110,20010,20010,20010,20002,21002,20000,20010,20100,20000,20000,20010,20010,20000,21010,21010,21010,21010,21010,20010,20010,20210,20210,21210,20210,20210,20212,20210,20210,20210,20010,20010,20010,20010,20110,20010,20010,20010,21010,20110,20110,20010,20012,21001,20010,20102,20201,20000,20100,20000,20010,20010,20001,20000,20000,20100,20020,22100,22010,20202
pakte,22000,22000,22001,20001,20000,20000,22000,22000,22000,22010,22001,22010,22000,22000,22001,22002,22001,22001,22200,22202,22001,22011,22020,22000,22000,22001,22001,22000,22002,22020,22001,22000,22002,22000,22001,22001,22011,22000,22100,22020,22020,22000,22000,22002,22002,22020,22010,22010,22011,22010,22002,20001,20001,20001,20201,20001,20001,20001,20001,20001,20001,20021,20011,20001,20001,21000,21001,20001,20001,20001,20001,20001,20002,20211,20200,21000,21000,21000,20001,20011,20022,20012,20022,20001,21000,21000,21010,21000,21002,21100,21000,21010,20001,20011,20001,20011,20001,20001,20010,20001,20000,20000,20000,20000,20010,20020,20000,20000,21001,21001,20021,20001,20001,20201,20201,21100,20000,20000,21100,20001,20010,20001,20001,20002,20000,20020,20000,20001,21010,20011,20011,20010,20012,20002,20001,20001,20001,21000,21000,21010,21000,21000,20101,20011,20001,20001,21000,20002,20000,20000,20010,20000,20000,20001,20000,20100,20010,20000,20002,20000,20000,21000,20100,20000,20002,20020,21000,20001,20000,20010,20000,20000,20000,20002,20001,20012,20020,20000,20000,20100,22000,22000,20001
palmt,22000,22000,22000,20200,20100,20000,22000,22000,22000,22002,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22200,22202,22201,22010,22000,22100,22000,22000,22000,22001,22000,22100,22000,22000,22100,22000,22002,22000,22000,22001,22001,22000,22000,22000,22000,22001,22002,22001,22001,22001,22000,20100,20000,20100,20100,20200,20200,20000,20000,20000,20000,20001,20001,20000,20000,21000,21000,20200,20200,20000,20000,20000,20000,20002,20100,21200,21000,21000,20000,20002,20001,20001,20001,20100,21000,21100,21102,21100,21100,21100,21100,21102,20100,20102,20100,20102,20120,20100,20102,20100,20120,20100,20100,20100,20102,20101,20110,20100,21000,21020,20001,20000,20000,20000,20000,21200,20200,20200,21200,20010,20002,20100,20010,20000,20000,20001,20010,20000,21001,20001,20001,20001,20001,20100,20000,20000,20000,21100,21010,21002,21000,21000,20000,20002,20100,20010,21020,20020,20020,20000,20002,20000,20000,20000,20020,20000,20002,20000,20000,20000,20000,21000,20000,20010,20000,20001,21110,20000,20000,20002,20000,20100,20000,20000,20000,20001,20001,20200,20000,20100,22000,22000,20000
pandt,22000,22000,22100,20100,20000,20000,22000,22010,22000,22002,22100,22002,22020,22020,22110,22010,22000,22000,22000,22000,22100,22002,22001,22000,22220,22200,22200,22200,22200,22201,22000,22000,22000,22000,22000,22100,22002,22000,22000,22001,22001,22000,22000,22000,22000,22001,22002,22001,22001,22001,22000,20010,20010,20000,20000,20100,20000,20200,20200,20000,20100,20001,20001,20100,20000,21100,21000,20100,20000,20200,20100,20000,20000,20002,20000,21000,21200,21220,20100,20002,20001,20001,20001,20000,21000,21000,21002,21010,21100,21100,21100,21102,20000,20002,20100,20002,20000,20100,20102,20000,20000,20100,20000,20000,20002,20001,20000,20000,21000,21000,20001,20100,20000,20100,20000,21000,20000,20000,21000,20200,20002,20000,20000,20000,20100,20001,20000,20000,21001,20101,20001,20001,20001,20000,20000,20000,20100,21000,21000,21002,21100,21000,20000,20102,20000,20000,21000,20000,20000,20100,20102,20100,20000,20000,20000,20100,20102,20000,20000,20000,20000,21000,20000,20000,20100,20001,21000,20000,20000,20002,20200,20000,20000,20000,20100,20001,20001,20100,20200,20000,22200,22000,20000
