Guess,riagg,rooms,rabat,rabbi,racen,racer,radar,raden,rader,rad1s,radio,radix,radja,radon,rafel,ragen,rakel,raken,raket,rally,rambo,ramee,ramen,ramin,ramsj,ranch,range,ranja,rapen,rappe,rapte,rasta,ratel,ratio,raven,rav1n,rayon,razen,reaal,ready,realo,rebbe,rebel,rebus,reces,recht,recto,reden,reder,reeds,reeks,reeuw,regel,regen,regie,regio,reien,reiki,reine,rekel,reken,rekke,relax,remix,renen,renet,rente,repel,repen,repro,resem,reset,reten,retor,retro,reuma,reuze,reven,revue,rezen,riant,ribbe,ribes,r1dek,r1den,r1der,r1gen,r1ken,r1kop,r1les,r1men,r1nse,r1pad,r1pen,r1pte,r1ten,r1t1d,r1tje,r1vak,r1ven,r1weg,r1zen,r1zig,rioja,riool,risee,ritme,ritus,rivet,rob1n,robot,roden,rodeo,roede,roest,rogge,roken,roker,roman,romen,romer,romig,ronde,rondo,rooie,rooms,rotan,roten,rotje,rotor,rotte,rouge,route,roven,rover,rozen,rozet,rozig,roz1n,ruche,rugby,ruide,ruien,rul1s,rumba,ruste,ruwen,ruwte,ruzie,r1mer,riziv,riyal,r1bak,r1hal,r1l1n,r1dag,rowan
raadt,20200,20000,22102,22000,22000,22000,22110,22010,22010,22010,22010,22010,22110,22010,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22100,22000,22000,22001,22101,22001,22001,22000,22000,22000,22000,21200,20220,20200,20000,20000,20000,20000,20002,20001,20010,20010,20020,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20001,20000,20000,20000,20000,20002,20001,20001,20001,21000,20000,20000,20000,20000,20202,20000,20000,20010,20010,20010,20000,20000,20000,20000,20000,20000,21010,20000,20001,20001,20011,20001,21000,20000,20000,20000,20000,21000,20000,20000,20001,20001,20002,20000,20002,20010,20010,20020,20002,20000,20000,20000,21000,20000,20000,20000,20020,20020,20000,20000,21001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20020,20000,20000,21000,20001,20000,20001,20000,20000,20000,21000,21000,21000,20000,21010,21000
raagt,20220,20000,22102,22000,22000,22000,22100,22000,22000,22000,22000,22000,22100,22000,22000,22010,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22020,22100,22000,22000,22001,22101,22001,22001,22000,22000,22000,22000,21200,20200,20200,20000,20000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20010,20010,20010,20010,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20001,20000,20000,20000,20000,20002,20001,20001,20001,21000,20000,20000,20000,20000,20202,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,21000,20000,20001,20001,20001,20001,21000,20000,20010,20000,20010,21000,20000,20000,20001,20001,20002,20000,20002,20000,20000,20000,20002,20020,20000,20000,21000,20000,20000,20010,20000,20000,20000,20000,21001,20001,20001,20001,20001,20020,20001,20000,20000,20000,20002,20010,20000,20000,20010,20000,20000,20000,21000,20001,20000,20001,20000,20000,20000,21000,21000,21000,20000,21010,21000
raait,20210,20000,22102,22010,22000,22000,22100,22000,22000,22000,22020,22020,22100,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22020,22000,22000,22000,22100,22000,22000,22001,22101,22001,22021,22000,22000,22000,22000,21200,20200,20200,20000,20000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20000,20000,20020,20020,20010,20010,20010,20000,20000,20000,21000,20020,20000,20002,20001,20000,20000,20000,20000,20002,20001,20001,20001,21000,20000,20000,20000,20000,20212,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20001,20001,20001,20001,21000,20000,20000,20000,20020,21010,20010,20010,20011,20011,20012,20000,20002,20000,20000,20000,20002,20000,20000,20000,21000,20000,20000,20020,20000,20000,20020,20000,21001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20002,20020,20000,20000,20000,20010,20010,20000,21000,20001,20000,20001,20020,20000,20020,21010,21000,21000,20000,21000,21000
raakt,20200,20000,22102,22000,22000,22000,22100,22000,22000,22000,22000,22000,22100,22000,22000,22000,22010,22010,22012,22000,22000,22000,22000,22000,22000,22000,22000,22100,22000,22000,22001,22101,22001,22001,22000,22000,22000,22000,21200,20200,20200,20000,20000,20000,20000,20002,20001,20000,20000,20000,20020,20000,20000,20000,20000,20000,20000,20020,20000,20010,20010,20020,21000,20000,20000,20002,20001,20000,20000,20000,20000,20002,20001,20001,20001,21000,20000,20000,20000,20000,20202,20000,20000,20010,20000,20000,20000,20010,20010,20000,20000,20000,21000,20000,20001,20001,20001,20001,21010,20000,20000,20000,20000,21000,20000,20000,20001,20001,20002,20000,20002,20000,20000,20000,20002,20000,20010,20010,21000,20000,20000,20000,20000,20000,20000,20000,21001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,21000,20001,20000,20001,20000,20000,20000,21000,21010,21000,20000,21000,21000
raamt,20200,20020,22102,22000,22000,22000,22100,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22000,22002,22000,22010,22010,22010,22010,22010,22000,22000,22100,22000,22000,22001,22101,22001,22001,22000,22000,22000,22000,21200,20200,20200,20000,20000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20010,20000,20002,20001,20000,20000,20000,20010,20002,20001,20001,20001,21020,20000,20000,20000,20000,20202,20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,21000,20000,20001,20001,20001,20001,21000,20000,20000,20000,20000,21000,20000,20000,20021,20001,20002,20000,20002,20000,20000,20000,20002,20000,20000,20000,21010,20010,20010,20010,20000,20000,20000,20020,21001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,21010,20001,20000,20001,20000,20010,20000,21000,21000,21000,20000,21000,21000
raapt,20200,20000,22102,22000,22000,22000,22100,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22100,22010,22020,22011,22101,22001,22001,22000,22000,22000,22000,21200,20200,20200,20000,20000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20001,20010,20010,20010,20000,20002,20001,20001,20001,21000,20000,20000,20000,20000,20202,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,21010,20010,20011,20001,20001,20001,21000,20000,20000,20000,20000,21000,20000,20000,20001,20001,20002,20000,20002,20000,20000,20000,20002,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,21001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,21000,20001,20000,20001,20000,20000,20000,21000,21000,21000,20000,21000,21000
raars,20200,20002,22100,22000,22000,22010,22110,22000,22010,22002,22000,22000,22100,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22000,22000,22100,22000,22000,22000,22101,22000,22000,22000,22000,22000,22000,21200,20200,20200,20000,20000,20002,20002,20000,20000,20000,20010,20002,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20020,20001,20001,20000,20010,20020,21000,20000,20000,20000,20000,20200,20000,20002,20000,20000,20010,20000,20000,20000,20002,20000,20001,21000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,21000,20000,20001,20000,20002,20000,20000,20000,20000,20000,20000,20001,20000,20000,20010,21000,20000,20010,20000,20000,20000,20000,20002,21000,20000,20000,20010,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20002,21000,20001,20000,20000,20000,20010,20000,21000,21000,21000,20000,21000,21000
raast,20200,20010,22102,22000,22000,22000,22100,22000,22000,22010,22000,22000,22100,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22020,22000,22000,22100,22000,22000,22001,22111,22001,22001,22000,22000,22000,22000,21200,20200,20200,20000,20000,20010,20010,20002,20001,20000,20000,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20001,20000,20000,20000,20010,20012,20001,20001,20001,21000,20000,20000,20000,20000,20202,20000,20010,20000,20000,20000,20000,20000,20000,20010,20000,20020,21000,20000,20001,20001,20001,20001,21000,20000,20000,20000,20000,21000,20000,20010,20001,20011,20002,20000,20002,20000,20000,20000,20022,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20010,21001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20010,21000,20011,20000,20001,20000,20000,20000,21000,21000,21000,20000,21000,21000
races,21000,20002,22000,22000,22220,22220,22000,22020,22020,22002,22000,22000,22000,22000,22020,22020,22020,22020,22020,22000,22000,22020,22020,22000,22001,22100,22010,22000,22020,22010,22010,22001,22020,22000,22020,22000,22000,22020,21010,21010,21010,20010,20020,20012,20222,20210,20210,20020,20020,20012,20012,20010,20020,20020,20010,20010,20020,20010,20010,20020,20020,20010,21010,20010,20020,20020,20010,20020,20020,20010,20021,20021,20020,20010,20010,21010,20010,20020,20010,20020,21000,20010,20022,20020,20020,20020,20020,20020,20000,20022,20020,20011,21000,20020,20010,20020,20000,20010,21000,20020,20020,20020,20000,21000,20000,20021,20010,20002,20020,20000,20000,20020,20020,20010,20011,20010,20020,20020,21000,20020,20020,20000,20010,20000,20010,20002,21000,20020,20010,20000,20010,20010,20010,20020,20020,20020,20020,20000,20000,20210,20000,20010,20020,20002,21000,20011,20020,20010,20010,20020,20000,21000,21000,21000,20000,21000,21000
racet,21000,20000,22002,22000,22220,22220,22000,22020,22020,22000,22000,22000,22000,22000,22020,22020,22020,22020,22022,22000,22000,22020,22020,22000,22000,22100,22010,22000,22020,22010,22011,22001,22021,22001,22020,22000,22000,22020,21010,21010,21010,20010,20020,20010,20220,20212,20211,20020,20020,20010,20010,20010,20020,20020,20010,20010,20020,20010,20010,20020,20020,20010,21010,20010,20020,20022,20011,20020,20020,20010,20020,20022,20021,20011,20011,21010,20010,20020,20010,20020,21002,20010,20020,20020,20020,20020,20020,20020,20000,20020,20020,20010,21000,20020,20011,20021,20001,20011,21000,20020,20020,20020,20000,21000,20000,20020,20011,20001,20022,20000,20002,20020,20020,20010,20012,20010,20020,20020,21000,20020,20020,20000,20010,20000,20010,20000,21001,20021,20011,20001,20011,20010,20011,20020,20020,20020,20022,20000,20000,20210,20000,20010,20020,20000,21000,20011,20020,20011,20010,20020,20000,21000,21000,21000,20000,21000,21000
