Guess,Weighted Avg Log
rentes,7.267088049246749
talies,7.2378353483712115
sinter,7.217217145937282
arties,7.207820007502615
lentes,7.207110762674283
ternes,7.189177589158784
torsen,7.189175790278983
ratsen,7.181157636220306
naties,7.173967352196717
sortie,7.172669021991668
sintel,7.162676144323067
lenies,7.156393692654989
rosten,7.155082394921382
korset,7.147193379011573
lasten,7.14263220936316
noties,7.140828912106183
laster,7.140259065371357
karten,7.126706086714673
seitan,7.123772403358961
rotsen,7.122045849176161
risten,7.120014884506212
snater,7.112441043701439
resten,7.11196440360081
satire,7.109238681998502
dantes,7.106399269678917
martes,7.105080058719646
toines,7.104264384700965
tenors,7.101371383758863
katies,7.1007500252978195
seroen,7.099682867461844
lanter,7.09792660355139
naliet,7.09741845376377
artsen,7.094880382096852
krates,7.093452363314716
kornet,7.090446448400326
losten,7.08839793710642
korten,7.085007475678009
saneer,7.083871184228248
ritsen,7.082396687771767
torens,7.080323457353248
nelies,7.079026919051469
reines,7.076005936803347
seniel,7.074084730755357
sloten,7.071373676006886
parset,7.067262694563684
sarden,7.064860335742836
oester,7.064148612387702
listen,7.0593294898398415
kanter,7.052790201148236
darten,7.0519025867091205
reints,7.05115613029654
lianes,7.050075379238431
leaset,7.049202974427488
lesten,7.048259502500301
tersel,7.042369769283003
kasten,7.0409842588580736
sileen,7.0385002150202745
rinkes,7.037589421651314
tinkes,7.035258639606477
saline,7.030307907570923
sealen,7.028500472916868
ransel,7.0273062795379015
sirene,7.025263067023576
mirtes,7.024989721047973
kanoet,7.024850875618398
rinket,7.023397280473889
kartel,7.017484566757174
koster,7.016446970874835
maries,7.012331673375621
nareis,7.010228482671725
staren,7.0094145920291435
senior,7.0091611033469245
spriet,7.0078274708216295
gorten,7.007627563817639
nietes,7.006608184977634
seiner,7.006225437345992
soiree,7.005047320849511
sekten,7.004269463022281
rondes,7.0040384015807
ritsel,7.003331951376828
relais,7.002929035751821
torsie,7.002067699307077
parten,6.998803827799465
leones,6.996499665872428
sonate,6.996191097774247
roeten,6.993420680513662
kosten,6.992594861081075
nalees,6.990044880395414
ranges,6.988389591790125
tanker,6.984098622227012
rokten,6.979526102566183
sleten,6.978703674006347
alines,6.9784151835317365
reinst,6.976779940142443
rotans,6.974012550435883
karens,6.970618354917877
kantel,6.970390729421101
rieten,6.969841221337443
ronsel,6.969816752077394
lorens,6.969798754024848
marles,6.969390414259657
nakies,6.968542669738055
taksen,6.966747429700859
toneel,6.966586691910021
storen,6.966201835806067
gasnet,6.96582500216334
kotsen,6.963425466503624
tensie,6.962240946347547
teilen,6.960313393397443
sproet,6.95989713055851
kenter,6.959823066401579
geries,6.95908507797059
stalen,6.9587168742196805
kisten,6.9584573933848555
sieren,6.957099176049932
noteer,6.955394399758448
gasten,6.95170252069015
porten,6.950151071874779
nestel,6.949299589448794
