Guess,Weighted Avg Log
1skern,4.5654483718208265
1sboer,4.305645006352999
1sberg,4.27874643379614
1lgoed,4.228721929429922
1sgeld,4.204777458317681
1sgrot,4.203743846682868
1sbank,4.161226256269789
1srand,4.133440805537937
1smerk,4.132192121571194
1stang,4.1239008851264485
1sbond,4.12276471780825
1sbeen,4.107886950580834
1seend,4.000866709584455
1lbode,3.9901378533421004
1sbeer,3.9895188160117057
1sgors,3.9360434496438903
1sblok,3.9250066620360853
1delst,3.8399576338294743
1skoud,3.8391529419070434
1sbout,3.7931844894923663
1spret,3.7657597386386343
1swand,3.743679510299818
1sveld,3.73189110320647
1veren,3.728910758621448
1zeren,3.7194833548585042
1skast,3.7114796803483876
1sbaan,3.7032974820284745
1sel1k,3.7020522765854444
1kmerk,3.6872272778706954
1zelen,3.682084845771674
1ziger,3.6714055834424966
1srace,3.6547128634306083
1deler,3.6519349131857046
1sgang,3.62870562652413
1verig,3.623205231328849
1swolk,3.6212847415190446
1lings,3.582879450093885
1sgala,3.5816307661271414
1kpunt,3.5809589602840792
1kmaat,3.5311495282497924
1smaan,3.5192247565533625
1slaag,3.4498085935834233
1sroom,3.4202776983278502
1lheid,3.380647593466271
1sthee,3.3622094289306594
1svr1e,3.3482692397050435
1verde,3.3281689228119045
1skist,3.3078872114337003
1zelde,3.2814453723879717
1sclub,3.264203123306439
1smuts,3.2410137502034524
1kpr1s,3.1892005361931672
1smist,3.1781062476011868
1smuur,3.1771808367773557
1zigst,3.1176207278372123
1saz1n,3.02107863047005
1sshow,2.7620394779204234
1sduif,2.7174405882752843
1sco's,2.645902939126043
10-tal,2.579783072664835
