Guess,Weighted Avg Log
bolken,5.737263689060309
bonter,5.728328381273068
bonker,5.68196926547345
barken,5.675198786950412
boiler,5.670320615982096
balken,5.6524164209041015
bloten,5.648211469985916
banier,5.640160418641138
bokten,5.638001861368035
beloer,5.636273171941882
belten,5.631209141047936
berken,5.615227804207867
borden,5.611218220204288
bonket,5.6013250665975125
bloter,5.599775380479871
bolden,5.593218577788371
boelen,5.582251908987478
banket,5.5820902239561025
boeren,5.581261269553717
beroet,5.578472622214507
bariet,5.577355072037272
bakten,5.5680973285034705
blaten,5.560046286740037
braken,5.541018352145102
bolder,5.540956498264093
blaren,5.535931856337363
barden,5.523629411013473
bonder,5.52148338214085
boeten,5.517111822824825
bareel,5.512071974879017
boleet,5.511494942553814
balden,5.510313312124839
bondel,5.508890567313222
boerin,5.505361287386284
bosten,5.505247105996485
burlen,5.503089747937338
borgen,5.502957567979148
bouten,5.502586957843887
boeter,5.496108330831373
blaken,5.480758507944898
broden,5.472523781648834
bekten,5.471261862260095
bikten,5.470617621187493
balein,5.469219667885059
balkon,5.46672053014738
boksen,5.461397485844406
beknel,5.45824396637278
bulten,5.4567532044347775
balder,5.454356339129768
boeien,5.451780543157966
botsen,5.446587244088258
basten,5.443369862034883
bieren,5.440603388080254
bostel,5.434853692858714
boeken,5.434757991901635
belden,5.429059431796692
breien,5.426873573889736
bekoel,5.424367416038313
bantoe,5.422985590659012
bokser,5.420493105203741
boeier,5.419232274251247
bruten,5.418780802494892
breken,5.4162597695198125
bernes,5.4115029820132765
bilden,5.406126508361608
boeker,5.404642201964138
bleien,5.402726864203436
balgen,5.402201817040645
bretel,5.400663596294409
beulen,5.399246530088817
bulken,5.398390661294076
blaker,5.395911607107605
bendir,5.395289300172259
bieten,5.394412433077504
beulin,5.391478220440637
bloder,5.390922086539001
beknot,5.381671463087523
basken,5.380324762060805
beuren,5.379778521212429
baksen,5.378878128515677
banger,5.377051170929666
briket,5.372849804416866
beitel,5.368489635574555
braden,5.367812440684436
balies,5.367809003514217
bunker,5.364405085830419
bleken,5.359555583183125
bentes,5.352796833771729
benard,5.350379865172156
besten,5.349443702913302
