Guess,Weighted Avg Log
carnet,5.826548257329712
carens,5.7050713449212545
coaten,5.691943804116963
cantor,5.662891216912458
cortes,5.650546790975465
cornet,5.621597532455414
cahier,5.5877301538071595
cautie,5.547358622509162
casten,5.541285396870206
carins,5.532189206326868
caines,5.5158076312885465
centra,5.496574276094164
carels,5.458864550897244
censor,5.437658380072711
contra,5.437127261900894
carven,5.368811996247946
carter,5.368385184274739
cashen,5.367019798692391
croste,5.342053477762833
clares,5.339142994031442
coerts,5.335765741468498
cretin,5.2954685728065005
carols,5.292501429424002
cinars,5.27073726227624
captie,5.267286856222701
curies,5.251078769954484
canule,5.249855502926338
carbon,5.231129968298234
citers,5.216182961413746
caesar,5.199764771260224
coltan,5.180010692139686
corner,5.1748802113256716
criant,5.1710021897527
cancel,5.129166241422492
cabine,5.113481439518449
carkit,5.111478376688179
claris,5.10953204689841
closet,5.1042551743527165
cortex,5.087645805732354
chalet,5.086178848357352
clairs,5.07991856002239
culten,5.072438846248981
casino,5.069070659317063
crasht,5.0555108347425595
crayon,5.055335375437632
camion,5.043609531693372
codeur,5.0421641590049315
corona,5.039174905867468
curare,5.036752929706417
center,5.022114631695943
cachet,5.016710134051253
coatte,5.002568038033827
cruise,4.998396743973216
cinema,4.991025756456648
cineac,4.982629476571018
camper,4.97926992699297
chloes,4.970556872794438
charme,4.958035017017685
curven,4.953620261357409
coupen,4.948800910470499
cactee,4.945646002370568
caches,4.943985357637335
citeer,4.939390586719115
covert,4.933730744625081
colins,4.929904446131185
cerise,4.92483858574096
conors,4.911603983135334
chroma,4.904905232152651
castte,4.902483625124227
chador,4.899412481724519
cadens,4.898120335762394
carbol,4.888878876503157
consul,4.888784250444238
chorus,4.886923443009217
cooler,4.885057288416846
chance,4.8787691811063265
citrus,4.874268625778564
cipres,4.870615086296274
cachot,4.865433002522295
camber,4.862329946224755
cleane,4.860453820493459
cactus,4.846065003659515
chapes,4.844121450869394
clerus,4.8439798088180535
covers,4.8421637873889445
credit,4.841161761723745
cicero,4.8352916622360995
cysten,4.82730105017785
cruces,4.8130469535391045
couche,4.800688372313165
chiels,4.7820692054756515
cabrio,4.780937170022843
corpus,4.7710556023448945
circus,4.77007555053988
coupte,4.769131491845584
codeer,4.757577847709066
camels,4.743896070562148
charta,4.740572183370127
charge,4.737511311425922
cursor,4.729706228579431
canons,4.727589990565426
choepa,4.72696233516785
coacht,4.726608245101454
corvee,4.722996543392563
cutter,4.714092430196415
cissen,4.710473179566443
cranks,4.704952743459409
coupes,4.704072984340221
curves,4.700340508359015
clints,4.6996555379120135
calebs,4.691218656820368
claimt,4.6838001768085205
choken,4.676516907700097
cesars,4.672465500264956
cheeta,4.660270835108349
cirkel,4.65546048501768
crises,4.648607770704253
claves,4.646605160640194
croont,4.638555996631365
chrono,4.615503198799684
carbid,4.6045233775767835
camera,4.601644566261429
claims,4.599790630951933
chatte,4.5912119335062185
cloche,4.580124495899562
chaoot,4.5795399529888305
cicade,4.576786088438324
craigs,4.574313286049532
condor,4.5718531416884245
calque,4.568183255907731
creool,4.565151763184974
claxon,4.558579509973449
chaims,4.550887405057945
cecils,4.5481998964371355
cohort,4.536758962983366
collie,4.530665371959815
cirrus,4.509330397478684
cherub,4.507585045938807
column,4.507026591795506
county,4.4812700861924775
canard,4.468649159658421
chloor,4.45796342165479
claque,4.44993581845493
cesium,4.437952229342327
caddie,4.428703877099601
cyrils,4.425563521822868
cooker,4.413817479490479
closes,4.413446727841876
canyon,4.408484412260845
cipier,4.402187789770219
clarks,4.399512820211699
chokes,4.391533074032694
cesuur,4.389773094212088
custos,4.3416209165169555
ceders,4.316638299285839
chique,4.313596203418381
cracks,4.310306051433981
coyote,4.296738475097805
chemie,4.28898930845743
cocons,4.287871813733463
cookie,4.2873338523433135
crawlt,4.284227618462103
chroom,4.28414229884186
crypte,4.277703311420497
cement,4.270303902057479
chicst,4.25949904748414
cadans,4.257697936242769
challe,4.252808809239758
centen,4.247376649642893
chengs,4.244254967693746
cajuns,4.239968432298007
coupon,4.2339203832626024
clique,4.233835771878552
campus,4.222754413707684
cabans,4.2201518007892505
canvas,4.218811799326349
caseys,4.2138944978485435
cloaca,4.213182819590982
cadeau,4.209656589568298
cypers,4.2039678754776615
chiefs,4.200712935735731
census,4.197082653114788
cambio,4.190710236645112
convex,4.188595056812104
chromo,4.164096091698703
cognac,4.134517488642656
cervix,4.1258579144149925
cessen,4.119916414463708
cessie,4.096745413684881
cystes,4.093712940778952
clydes,4.088228558142793
clowns,4.084689874029707
centje,4.081715481368443
cubaan,4.077877780913883
chakra,4.070916974842938
chings,4.062460157688202
