Guess,Weighted Avg Log
denier,5.468191340569401
dineer,5.462160056837488
dieren,5.416776784119822
dirken,5.385484669082503
doneer,5.385339147552806
diaken,5.375784215659399
donker,5.324398837281202
dralen,5.322112971693156
doener,5.315868251445358
doelen,5.314938309101949
darten,5.2969826185797215
draken,5.290751581398308
dealen,5.277508909026941
dieken,5.260070583446104
danser,5.254465508757869
drogen,5.254291412811792
dromen,5.2509727551039305
darmen,5.249362773372271
dolken,5.239576367595546
diones,5.2393815091235565
denker,5.238924057141822
dorsen,5.231734338627196
dragen,5.227924166892106
dianes,5.224604203088809
doeken,5.205728171177351
dorpen,5.181894245172374
dreint,5.180968186084207
dropen,5.171228435584885
dokten,5.1532936769760544
dealer,5.14897675444301
dikten,5.138323564677903
diepen,5.137071430659977
dioden,5.136202620870607
deuren,5.132457972829547
dragon,5.11165720614271
doemen,5.108137365887392
draven,5.102412090264835
dolmen,5.099126574708007
dieper,5.093723522305942
donder,5.080774966431595
dorden,5.078020934911307
dokter,5.066344733133562
dedain,5.048517098187197
doteer,5.038557048769996
dartel,5.037533504040594
detail,5.0344187753540135
doksen,5.033593506226208
duiken,5.033206780107109
draden,5.033110674769268
dieven,5.031157072228121
dinars,5.030463505367083
dipten,5.028087610946555
dateer,5.018101673416207
derven,5.017170563549904
drains,5.016755454290147
dreven,5.014797998606457
domein,5.011164904287351
dopten,5.009371965430502
dekten,4.990937662256497
duiten,4.9871014829588685
danige,4.9861802922554155
dolven,4.984386246921745
dosten,4.981267792633081
delgen,4.978127472168554
duiker,4.973109633702223
duimen,4.968479871061406
doseer,4.963686015800285
deuken,4.9634115051836964
dorpel,4.960416835190176
dolden,4.959140584712208
dantes,4.95401938942308
dender,4.953088172670827
deling,4.947886437873546
dolman,4.9471937394913645
dertig,4.946480867531181
dalven,4.944382525139006
derden,4.936857706898196
douane,4.936597821074571
dorren,4.934059799443178
dorens,4.933225612316975
duigen,4.932763641855319
dreunt,4.914871609166146
dragee,4.912450481680771
daklei,4.911883406164122
darren,4.908510386754106
dinges,4.907653139868823
duanes,4.899663139190822
dooien,4.882479223034909
dirkte,4.881765788081567
diesel,4.877149145185025
dalver,4.876952448256214
drenkt,4.876197985902859
diners,4.874671558340288
dooier,4.862532248111363
drozen,4.861159255709228
dankte,4.859644850765562
design,4.858794792855302
dreigt,4.8568985321009865
deugen,4.856239278946333
durven,4.852059025086855
delven,4.844298844896354
depten,4.837145849984463
deinst,4.82806059360176
daarin,4.827416723957725
dienen,4.825768806165037
doerak,4.823410103085674
dimden,4.81747416828259
dampen,4.812323880214405
durans,4.811832136345886
daling,4.808887056493767
dompen,4.805331635270841
deerns,4.805186096157182
deinen,4.796235879929258
downer,4.789601659310359
domina,4.78478061957205
damper,4.780395267155235
duiven,4.780329638087647
danste,4.779066673774521
