Guess,Weighted Avg Log
ertsen,5.5305091874266425
eisten,5.520075276477428
erosie,5.412795199523144
elites,5.406648165856884
enters,5.367393610152995
einder,5.331717073317597
elines,5.26934097155015
eiders,5.248554984610926
eieren,5.238747674267645
eremis,5.238207039012838
eliens,5.219862618953087
eindes,5.212047686486275
entree,5.170409629226504
erkent,5.147524351057596
eikern,5.146281183987642
ergens,5.138369112102915
extern,5.119411434542266
elders,5.109065051718377
eikers,5.107318975878475
eropin,5.105969318304631
emines,5.104705552189328
eoliet,5.067520053107327
erwten,5.061917809357658
emotie,5.043608545265747
ergste,5.04106610715591
entmes,5.03298427360718
eesten,5.004189347530181
erelid,5.003423346282647
eenarm,4.999711046404886
envers,4.9990324225982095
elixer,4.991554767629263
erbens,4.985195101911966
eerste,4.9845797492654
eigent,4.984220049741379
engtes,4.982091852351301
emiles,4.974583913151829
eisend,4.97260460621554
eigens,4.967808866789905
eibers,4.967279405601881
eliots,4.959525847421784
elmers,4.950437537547076
enorme,4.950062932143821
eivoer,4.943418284294259
etsend,4.941283935259177
elians,4.935461163854403
eisers,4.934697462255362
ervins,4.928807718378426
exoten,4.916548957698216
ekster,4.9065416753529965
esprit,4.903850074624504
entert,4.900096999505373
erfden,4.898855046252871
editor,4.897768830113356
eltons,4.894602343870725
eemien,4.892803329023722
eitjes,4.88994013169217
eerden,4.889031524276444
elgers,4.885158390971328
eender,4.884830538452029
erheen,4.8784151344379305
etters,4.867137957030454
erwins,4.847388656755146
elften,4.845912837396677
esters,4.83760845386131
erkans,4.828971146840586
eeltig,4.826023594978464
etages,4.820308110197791
empire,4.817626427404896
etsers,4.808314427618691
emiels,4.794521117244347
engere,4.794316956561034
eirond,4.782337496805226
egaler,4.778101006056225
engste,4.7718630827795065
ergert,4.77101969546075
estrik,4.767838138250506
erdals,4.758983428165879
escort,4.7584828337856155
engerd,4.753974171637918
eropna,4.747073986872133
etudes,4.746478810421588
erkend,4.746262165263403
eclair,4.744488255525926
ermede,4.7411067263137445
elizes,4.722144133623598
etsten,4.7178772818521955
elpees,4.707146868646479
eigene,4.694601030688334
ergers,4.694312316743622
elsies,4.6855837063929355
elises,4.684423986679112
ernsts,4.659626234699956
etgras,4.65523157920307
elmars,4.652069731947329
etende,4.651098736276075
ellies,4.650194669684797
etheen,4.642154989447574
echter,4.641718326701658
enigst,4.636538556894201
editie,4.632869278087943
expres,4.62837334988193
everts,4.61969924131254
edeler,4.617963423733063
elgins,4.609664168461936
eigeel,4.608685151728477
eoceen,4.606287136682013
eiland,4.6045870227579435
ericks,4.590062305986921
expert,4.58879735190039
evasie,4.585205144228205
elisie,4.584529436996002
extase,4.573167226760149
einden,4.5643700506627125
erkers,4.563621979781065
eigele,4.558062408146154
echten,4.55484763051523
engels,4.54947453709276
eddies,4.5459734911959
eikels,4.544752936251012
elegie,4.536888191403935
edgars,4.534698502442361
edelst,4.530482610738714
enkels,4.52620201774135
elfden,4.5228552396915545
eocene,4.519030626547405
edelen,4.495900761410554
euzies,4.489196115734442
elvins,4.4883571687487365
errols,4.485848387118018
elkeen,4.478369489508421
ethans,4.464596948557259
erving,4.449670645841494
ergere,4.443948017647148
enigen,4.434711486806377
ethiek,4.425658938383179
engten,4.425257076915732
ersatz,4.410133834480904
eelkes,4.403813239676152
ethems,4.400911524891619
ezelin,4.399965213793045
esdorp,4.392954845384691
elwins,4.389810238095097
eerder,4.388385058991984
ellens,4.38802884900133
escape,4.383491930106727
entend,4.381609153424997
erfwet,4.379836991408536
emmies,4.377596891643151
eindde,4.375067735162568
egards,4.3545576033881295
etiket,4.342654659735025
enkele,4.328093734454418
entr1s,4.327564302089593
entwas,4.325004041526049
enduro,4.324690105645582
eindje,4.3246651397782045
ediths,4.318933254006152
espens,4.318274840873637
emmers,4.31371548554897
eclips,4.301545685883344
elroys,4.298856631973051
examen,4.2972270580809075
ervoer,4.291175068686893
eervol,4.289222775691779
erover,4.282446458336208
eestte,4.282006379949514
enigma,4.277589946129782
ecloge,4.27323549486874
edamse,4.267184386802939
eentje,4.256300804101969
edwins,4.24895625034444
einzen,4.2456870715006065
eilaas,4.21066305474936
export,4.208006778219137
exacte,4.187042974736936
erwtje,4.17271018991791
eureka,4.1612410663288415
ettert,4.159662855279548
entten,4.144985977249446
eropaf,4.144012131093959
eivorm,4.143952393474021
exelse,4.1297476104166275
eenden,4.102274395333196
europa,4.091557692378059
eskimo,4.087961752893422
echels,4.073802168326408
enting,4.065631899477914
