Guess,Weighted Avg Log
filter,5.844099632982802
fiolen,5.673206640944308
falies,5.667194646492231
folter,5.637221462063164
fistel,5.595861839929541
folies,5.575954953940144
flater,5.5688345647283
finale,5.55975027425014
floten,5.55637368436319
fineer,5.539259398540194
fitsen,5.525248781480404
frites,5.482983863244334
fienes,5.465956950556185
forten,5.432862970186186
falset,5.4111386025992605
feiten,5.392758277137812
floret,5.383391579284469
fresia,5.372305548900926
foelie,5.3672807386312495
feilen,5.366079794515743
frasen,5.3648634298164914
filmen,5.361235356014069
futiel,5.344582638164091
filmer,5.337443312595188
fatsen,5.324347556400163
fleren,5.316936599388558
felsen,5.314120823055427
foeter,5.308995477523905
fierst,5.293471462063165
ferlet,5.2888613802992355
faseer,5.2808408712058394
faciel,5.280148045355452
fonkel,5.270514892280303
friste,5.268042308814758
friese,5.233114560073135
filets,5.213004451957206
furies,5.196376970660274
floers,5.193436097209929
fouter,5.184683127153397
floste,5.1715532443406875
franse,5.163962204736249
flinke,5.157658352803367
feston,5.155748321850098
fletse,5.155442852964881
fleert,5.150157072528293
fouten,5.1473412961951635
futsel,5.142283547037795
forint,5.138001661048397
fikser,5.128022735743577
forens,5.126973580685328
fleurt,5.115404095843084
fleurs,5.114443525089849
fairst,5.1056432662886335
flints,5.104411064092698
fiksen,5.101306105648447
finten,5.093902974440703
falkes,5.09323600012673
folder,5.089512278108186
fleste,5.087678959013976
flanst,5.078965624070194
farcen,5.076642154292221
fokten,5.061967063769668
fitter,5.056551220659262
fusten,5.053105904819357
facies,5.0514594233950865
flatus,5.022738350563276
farden,5.021043607350064
flemer,5.017179887128853
fitten,5.016759982402209
felste,5.013383841792672
freule,5.010300320556693
flirts,5.004414712902874
fuseer,5.001735258896854
farces,4.994054056131191
flanel,4.992346674557826
fiedel,4.978744851671476
flikte,4.97729767837227
feuten,4.974653998725869
fardes,4.971143036134558
fooien,4.965696095045966
fronst,4.965607510740953
frames,4.964777320179733
foetus,4.936186864784435
flemen,4.9334640870844595
freest,4.92517065686732
fusion,4.925157494740322
fideel,4.913282541012862
freaks,4.906458249091489
floxen,4.9050122869624495
frater,4.904864462955921
fissen,4.900271508369719
faling,4.900265882871411
foneem,4.896981001936572
fiekes,4.895249796960419
fuiken,4.889583496227136
freakt,4.8790758558525535
fraaie,4.878274219659049
fakirs,4.878034975875578
factie,4.874148432757453
fopten,4.8656826166784155
franke,4.86494014167555
fikste,4.863779051627086
falend,4.861922882174345
finaal,4.85392522343948
frenks,4.846192685287036
farids,4.8460636489058135
forser,4.84158951870246
frekes,4.837574009423989
flacon,4.832834520512302
flitte,4.825882552111629
flatje,4.825610471391515
fatten,4.819080826977329
funest,4.816486638662034
feloek,4.80989247275836
fixeer,4.808166893280516
flipte,4.805016385050038
foekes,4.79080524869502
frases,4.787322419537039
f1ntes,4.773391066236778
feniks,4.771141192483286
frisse,4.767593202484341
feikes,4.753202658234165
foefel,4.750333346208706
feller,4.745011791412497
fraais,4.7441734042808825
fatale,4.726006236474818
flapte,4.722700758735339
fulpen,4.720594069239971
franks,4.715661046433283
foezel,4.714766658903946
fregat,4.704925745546017
fiebes,4.695922581255055
factor,4.695913016492739
flukse,4.695787919375524
frezen,4.6929975453013935
fietst,4.692770334066121
fecale,4.6882532509353485
fidele,4.68467051625486
fresco,4.684478193530025
francs,4.680037822258309
futons,4.676035704019512
forsig,4.672988871002136
flexie,4.669223423317469
foefen,4.668165993177948
flesje,4.658098034290701
foksia,4.651207806442754
ferres,4.648594288363309
feilde,4.646234191116441
flyers,4.641157768990461
franje,4.635658089847396
frette,4.621106806761013
fuiven,4.619387402339895
flopte,4.612250752140678
fleemt,4.605652831050949
fennes,4.602859781607133
fletst,4.5905923204803285
faunen,4.586489781636379
fessen,4.583153414912964
freeks,4.581695363053719
format,4.5810226386263615
facits,4.576778027341918
fibers,4.574179606853924
fluimt,4.573124701682293
fakete,4.567318330855419
fondue,4.566785939910099
floept,4.563465597718194
fonola,4.560619136051263
feitje,4.5476295406163905
f1nste,4.545770659160937
femels,4.537153365840362
filmde,4.5266677955595584
femelt,4.521312192656543
fermst,4.519881227620556
f1nere,4.51247838558798
faiths,4.507692057209021
fabels,4.503982673611305
fetisj,4.499857519595215
fiasco,4.498544630789046
flauwe,4.4983304312789745
freuds,4.497976462478907
frisco,4.496807835801753
fraude,4.494493104733019
famkes,4.487038281888617
fusies,4.479763346658462
fakkel,4.479725648462818
fabers,4.474178934005132
fatihs,4.471370407472074
fabelt,4.471216508689825
frutje,4.4657487087433
fest1n,4.452986195470775
flitst,4.442225781499676
franco,4.439197085637073
fedors,4.431048114054943
flor1n,4.427177758358379
figaro,4.422896836241826
foyers,4.41256279289931
farmer,4.409094943337661
fikken,4.407947534914485
