Guess,Weighted Avg Log
geloer,5.479512334554653
geiler,5.450980117756738
gorten,5.4491975564645925
graten,5.44690668591653
geilen,5.422855356139345
gerant,5.404361605666845
getril,5.374325008036297
getier,5.372346554095708
groten,5.368690507415335
garden,5.368409820374983
geniet,5.366038911903156
ganser,5.365194011556687
galoet,5.363249418180969
ginter,5.3540534088976885
gareel,5.340403226782906
gratin,5.337850307363362
geroet,5.33484012935056
gander,5.329415627400987
gesnor,5.329314019093436
genres,5.328496222026127
graden,5.324631401522306
gloren,5.320299285941341
girant,5.312679352393975
gorden,5.308427430416742
geries,5.304713405405498
geiten,5.299326388984743
gerent,5.279046566488489
gordel,5.266789370986182
galden,5.265763507249118
gerand,5.2601435522631474
ginder,5.259279166485196
geland,5.258660424814172
gieren,5.254188955038186
gender,5.2409936091723255
gelden,5.237820868469421
gaines,5.2264310574238975
geloei,5.225126684933077
gilden,5.218827313392538
gerond,5.209143724827058
geuren,5.208026812155736
genard,5.201082597311574
geiser,5.200377584477683
gereid,5.1993679920805045
geiden,5.190242361761181
gereis,5.188030168046492
golden,5.187890415888064
gorans,5.185277180072275
girale,5.179838847954862
gasnet,5.178053262162028
gerild,5.176998693993552
genera,5.167957959119571
grient,5.16572068716321
garens,5.1651867336412245
geknor,5.1569195561231
geleid,5.156285270779706
geknal,5.155129864760068
geulen,5.150066043256616
gorgel,5.1496715094192185
gondel,5.1484076895577795
gasten,5.148300814025489
gelang,5.144255148962748
galons,5.134899150821168
gerend,5.133574904991085
groent,5.1304276862568114
gering,5.1249809657960235
gelieg,5.123571636321528
gegier,5.122147006578037
gelonk,5.113084820031112
gieter,5.112808526259597
gestel,5.111162823821701
galgen,5.1105244073485405
gerold,5.10935446454912
gardes,5.1082151877783915
gelord,5.103029051497678
gergel,5.102736323424779
geronk,5.097459812105754
genast,5.097303794304477
groene,5.094934846829818
getand,5.087711902736134
galmen,5.087493447918228
gelast,5.087000682895253
gister,5.083685749706934
geruit,5.082793027043404
gedane,5.073522004318238
gerist,5.073312077220289
gieten,5.067120628852288
gisten,5.067095647334301
glarie,5.065118027126486
gereld,5.060981404241663
genist,5.0575974644596045
getrek,5.05441780930262
gemier,5.0508089131555645
genoeg,5.045149144233926
gekant,5.042440837210017
gearde,5.040962289737285
griend,5.037719782468508
greint,5.035772148594136
gelode,5.032168203755885
goeder,5.032017473626881
gokten,5.030573483453777
geniep,5.0293852432971375
gluien,5.026583195658317
geruid,5.024603904979926
gluren,5.023555221206282
gedart,5.0224426765630135
gerost,5.021098174490618
genade,5.020332853757921
