Guess,Weighted Avg Log
horsen,5.371473195744781
hernia,5.3247181774042796
harsen,5.290547770304501
horten,5.286115977312867
hoeren,5.26291440579014
harten,5.252368780598304
hielen,5.214267391646637
healer,5.207358042107522
honger,5.201330207590699
holten,5.199864374690252
halten,5.175717703062974
horken,5.171507745396505
harpen,5.1686088696343315
horden,5.160664209510194
halter,5.1604867910739385
herten,5.150138685140971
heldin,5.138790163063913
hanger,5.1314490760078195
hiaten,5.127081405956031
harden,5.108992494892347
helser,5.108721886252313
harken,5.10589241836347
herlas,5.1022281727877745
housen,5.099518197138977
holden,5.091186094149901
hangel,5.086395869731077
hinder,5.078163138756434
handel,5.076623411134192
herken,5.0454646192790245
heulen,5.041039023952635
heines,5.033899032330641
houten,5.028849142259486
hordes,5.024334799676038
huilen,5.022665806650864
hotsen,5.022468486132708
helder,5.021703275782864
hierna,5.014859812733038
hosten,5.012845429469053
hendel,5.006971607160591
hinkel,4.995962106710813
hoeden,4.994339819406354
hengel,4.985404714201585
hoeder,4.983039363588368
hindes,4.982347855984527
huiler,4.9735320569164605
helden,4.970960498046182
hoepen,4.961529810281373
heiden,4.960767434473266
hindoe,4.958440971330086
hopsen,4.95014139178611
hoeken,4.943851999578203
helper,4.941624823909974
helpen,4.939611651382042
horens,4.936207594618626
heling,4.933328030104274
hoetel,4.930807736134368
hitsen,4.929033401841244
houden,4.9261003040931985
holtes,4.9233455449048105
hinkes,4.922247469386841
hurken,4.918986143804374
hokten,4.9121112932486835
halmen,4.912081079546941
haltes,4.904661153420566
hapten,4.902732741940827
hoeker,4.901172467578153
hopten,4.8992741892112806
houder,4.899068737602452
heuser,4.89719458921564
hertog,4.8946451486778
herdoe,4.889670348332198
herpes,4.886865618201314
haring,4.885581577299362
hulden,4.865477852071811
hunker,4.865460851869112
harkes,4.8608494918721465
hostel,4.859134415363597
hakten,4.856891251736068
hildes,4.85228399643295
hernam,4.845527376076064
horren,4.840737484461654
hulpen,4.83954573349686
horzen,4.83852059482695
heugen,4.838093351107638
hipten,4.835104841535848
herwin,4.830780313052844
harent,4.830518759779251
hespen,4.828996103403439
hikten,4.827510282604649
heksen,4.824993191251829
