Guess,Weighted Avg Log
inliet,5.024436367852934
intake,5.001619337318128
intern,4.96400362880002
intrek,4.939100030543319
inteer,4.888117371707983
inrent,4.878110350335917
indekt,4.873571286085182
intree,4.8648615577544945
intels,4.864374999847908
ingiet,4.854972263717981
intiem,4.851102396886685
instel,4.817677180882751
intens,4.807281621943744
intrad,4.800420104899756
inmeet,4.782530204909273
instem,4.771952477730767
inlegt,4.760469627188361
inkten,4.709651268556679
intand,4.692668123950148
inmets,4.66872177356126
indies,4.660772964913874
inziet,4.6599440119081965
intrap,4.658450512120622
inline,4.592279005714987
indamt,4.585419408196273
idolen,4.574959367480217
indenk,4.561372646669112
inleid,4.5575741672869095
inkort,4.555219807951114
inklem,4.5536039301904445
invert,4.543550766350529
inreed,4.542958367108172
inerte,4.535528022909914
introk,4.533125220394252
iemand,4.53006361733391
inheit,4.529829651787827
indien,4.52918688984033
indeel,4.526263703350264
intron,4.5230478157742855
instak,4.520140667881402
inlast,4.503194080454957
inlees,4.5006313158066416
ingers,4.489366455864521
inbelt,4.479265517536702
indeuk,4.475213011192553
inbedt,4.469815006918871
inboet,4.466923726971349
inrukt,4.462903127169744
indikt,4.460466498586265
inkost,4.457771663676652
inadem,4.445533794921797
indoen,4.444454837772853
inkjet,4.443665993492587
invrat,4.442584933050236
inlost,4.421871772784131
inkomt,4.416439942442634
inrolt,4.390595134915302
idiote,4.383733617871315
imkers,4.380541971075387
inkeer,4.3805410291062605
inlage,4.3787039728953125
insect,4.374905493513111
inbeet,4.368712967342149
ivriet,4.358641240339196
inneem,4.356708957132938
ironie,4.356643395174401
invite,4.354540959507145
inname,4.35237279122953
incest,4.351649679559623
inlaut,4.347647535920615
inliep,4.34218313034461
images,4.335710034014166
inriep,4.331877544796013
inpakt,4.325925330480113
inroep,4.3099130009747375
instap,4.2961580603442195
indult,4.287850988652382
inktte,4.28376657576569
inpast,4.2823049825206585
ireens,4.278699149211522
inbare,4.274720353806764
inekes,4.273438498310494
inmeng,4.270669766987889
infant,4.270481656404436
insult,4.2525199249141306
ingoed,4.250689931498317
invalt,4.247191832614996
inpers,4.235334945157897
ineens,4.233805094736651
irenes,4.221226579756157
ieders,4.212783786711718
inlaat,4.1971445080146665
inbrei,4.194153064348388
inslok,4.189047092468658
inkeep,4.187397388640171
invoer,4.185289275355901
invers,4.184976915507274
inzien,4.176079076593132
iemker,4.174382849110053
inzend,4.172240909757965
inlogt,4.172028489774257
insopt,4.171485891545517
inslag,4.168347423577343
innige,4.166277836421756
inklom,4.164411954517821
inleef,4.161546903495826
inviel,4.1558184643976634
inperk,4.150420460123981
ivoren,4.149883539512255
inpikt,4.147607426605461
inklap,4.141835304458279
inspit,4.141560429223235
inzakt,4.139472426899895
import,4.135968636749085
inzake,4.1335355824892135
infame,4.1121641066022585
inhakt,4.105034129252407
inzeil,4.103151894479281
inplak,4.095323676551303
inr1en,4.085380193097705
immens,4.084617577742967
inspan,4.079035220977572
instop,4.059259328122223
inklim,4.056120860154049
ingaat,4.054532153288034
indruk,4.048537173409282
ideale,4.047354253576738
intikt,4.042676920629268
