Guess,Weighted Avg Log
jonker,4.955563183181314
jokten,4.927638446171526
jeuken,4.902055911071496
jonkie,4.899788011055583
jankes,4.87617916875171
jankte,4.839761728451571
jentes,4.790841178676113
junior,4.750616631081105
jornes,4.749324678540818
jonken,4.738113521605786
joepen,4.7313185275654694
joegen,4.723373634327191
jouker,4.7116146673400845
janies,4.695320899198656
jonger,4.688803663749338
junkie,4.675715532117195
joelen,4.656883812498773
jonnes,4.654661866086441
jurken,4.651642080960984
jasten,4.647594427179867
jungle,4.636759521979759
janken,4.580890157299654
junnes,4.577703254766327
junken,4.5739858991165505
jonast,4.57073430900368
joukes,4.569551620606181
joekes,4.556819990368157
jouwen,4.532205853420891
janets,4.508784309802546
joules,4.507357087814749
joinen,4.500562093774432
jokken,4.4997823706769635
jennes,4.4978528564395095
jeukte,4.4971052387266734
jongen,4.48838420567353
jorges,4.45776401409318
jengel,4.453051976991808
jongst,4.449602765618737
jetons,4.425157363317157
jargon,4.417588103453494
jokert,4.399378495780986
joints,4.399326574600952
jongde,4.39447921041374
jakken,4.385131213149718
jantje,4.362194496787426
jukken,4.3602837165259345
jutten,4.350129605478206
jeinen,4.349217006338412
jaeger,4.344671688640377
joekel,4.344173514421133
jumpen,4.342979436664463
jingle,4.3131976790733395
jokers,4.30363292856862
jatten,4.3012405056585745
jaynes,4.290120099246139
jorans,4.268742721020805
jorens,4.266939259921103
jolies,4.259126148282693
joggen,4.253534164497789
jarons,4.238699844467352
jelkes,4.2343596007042885
jegens,4.229879335397485
japkes,4.216461523994313
jassen,4.2146634831002325
joriks,4.212095408288108
jonahs,4.203382289369511
joepie,4.185794760450067
jarige,4.185765255475244
jamben,4.181371409839092
jolans,4.1772476791192545
jollen,4.16684459357195
joinde,4.164480158016127
jonnen,4.144237665038669
jalons,4.130254358234043
jolige,4.125765768277715
jeltes,4.120404616819323
jetlag,4.089490218019217
jokkes,4.087653264840641
joepte,4.084742743857972
jeroms,4.077995370408135
jeinde,4.072285600609256
janeys,4.067306783648504
jekker,4.064757442812344
janhen,4.061650299446981
jakker,4.061496818948855
jangat,4.053876711817935
jetski,4.053020273670136
joskes,4.043568689893225
jumper,4.038948199233124
jurkje,4.034955112745138
jamies,4.032310960994298
jappen,4.021752147398294
jammen,4.020811636982538
jutter,4.016397091325634
jagers,4.014599635599016
jogger,4.012139049884802
jannen,4.004656858314494
juskom,3.998636229044169
jorres,3.9881007813333156
jacket,3.986123028145075
jatter,3.9845202287563635
jorams,3.9799371394536855
jureer,3.9766560443659884
jaimes,3.9754914715841445
jakkes,3.954422721454535
jennen,3.9512015073847104
jookte,3.947087976146628
jofele,3.945308158926183
jeskes,3.9412065917036414
jurres,3.9360713131476177
jurist,3.9186062459678572
jobben,3.917221257557768
juiste,3.9093329607673404
jerres,3.901548013480299
josies,3.8972131777937973
jersey,3.888164957321447
jodies,3.880979037962324
joetje,3.867181873158658
jakobs,3.865826817083792
jetzes,3.8589114181797575
juffen,3.8567818892769203
jopper,3.851993377232297
johans,3.8518791618779042
jetjes,3.8507943482640212
juttes,3.8483243685912907
jarres,3.8429214139340493
janoom,3.8367338582557653
jolles,3.822475356201451
jetses,3.81530628347562
jutmis,3.8137961831669553
jasm1n,3.7997398111891107
jettes,3.793800907131534
jeuzel,3.788460902805595
jagend,3.7847718888106345
jamils,3.783092983685334
joelde,3.7594994333256535
joggel,3.7576366716591783
joppes,3.7472426324855084
jasons,3.7394697333655436
jikkes,3.73063064722025
jakubs,3.729230719361234
jampot,3.724092284389781
jetset,3.7200938859242942
jol1ns,3.6968512452398876
juweel,3.6929707466632693
jammer,3.6704452442848488
jaguar,3.6623870265116993
jabers,3.6614931235512373
jeppes,3.652409588334674
jareds,3.64440329174156
jitzes,3.6287897672991862
jobjes,3.6232015669954007
jelles,3.6208853577673477
joffer,3.6119168632701126
jaapte,3.6116944655923664
jockey,3.611435647981955
joyeus,3.6067228935736306
jabots,3.5947216405468008
judast,3.5898836007273327
jobber,3.5759640318223123
jitses,3.5723907081826636
jodelt,3.5704358001946908
josjes,3.565958342003119
jittes,3.564273638266928
jullie,3.5617202370386853
judoka,3.5540181645879403
jubelt,3.548229778105546
jager1,3.5435693862404216
jouwde,3.532466627635647
juffer,3.5171802569256707
jamais,3.499222452959092
japans,3.4899027270885363
joyces,3.489309216140794
josips,3.4887519239139193
judode,3.4879321174197733
jammie,3.480876521677597
jodium,3.450466372731165
jidden,3.4503383746124143
jaagde,3.4461616015193792
jasjes,3.4421858816395705
jochie,3.4259985120743193
judits,3.409556692597591
josses,3.404242958219329
jalils,3.3927972882824213
jaspis,3.332807142316501
jippes,3.326342882208695
juffie,3.312232103592362
jesses,3.301333253233112
jamals,3.296752767583919
jasses,3.284399597896319
javase,3.2811328362812113
jewels,3.261683815608762
jafars,3.2581197705209877
joodse,3.253489366579098
judahs,3.241122919079903
joolde,3.2341498339816592
jodide,3.224032780909914
jeetje,3.1850495703349426
josefs,3.170789123299628
jakamp,3.1646085440931655
jihads,3.1554413371057524
jozefs,3.0808479622609153
juicht,3.054607626341907
jehova,3.0432883298927407
jaszak,2.9948978837272264
joosts,2.975123717852351
jojode,2.8517234982841213
javaan,2.849891858830286
jalals,2.845338901909317
jujube,2.7683409887409414
jezelf,2.7644732542586063
jippie,2.6648280873767423
j1-bak,2.3493147407018
j1zelf,2.015079313109314
