Guess,Weighted Avg Log
karten,5.758217726318904
kornel,5.747532064514859
korten,5.7268709361721015
kartel,5.696872598324749
kanter,5.684746680267892
kornet,5.683427422556053
kroten,5.670971374060837
karton,5.657691159174803
kralen,5.6417698936826355
kraton,5.621416909960413
klater,5.611510523909443
koeren,5.607637488298453
krioel,5.596234969502644
kantel,5.594390600434658
koener,5.584761291949492
koeler,5.5707765243845975
klaren,5.566950604597041
koeter,5.566747737843436
kreten,5.545334212768737
koeien,5.537892227263432
kloten,5.534130359353265
koelen,5.5136419399601175
kieren,5.497186914085613
koeten,5.492176426987818
kenter,5.484944264554736
kareel,5.478355075481167
kation,5.464783329332446
kanoet,5.456193305055021
katoen,5.447613874456577
kraken,5.434912893681703
kanker,5.42453561299168
kroken,5.413471777239417
kleren,5.409952091212114
kleien,5.40641483324929
kalken,5.4009575506784095
kelner,5.395353724123928
konkel,5.3859342044848155
kakten,5.384107392286924
kaneel,5.380806429629903
kolken,5.380623805251156
kelten,5.37815235811721
keiler,5.371448634248706
korset,5.370345554024394
krates,5.36592594146868
keilen,5.363971523363838
kansel,5.363463070781643
kielen,5.360957891958161
katern,5.352040768832444
koster,5.347793229041666
kouter,5.3435954113978426
kerken,5.340993407644891
katrol,5.334213230957842
kropen,5.3241992760105745
kersen,5.311330005740403
kroket,5.307719601152866
kasten,5.304960207896582
kreken,5.296841806691076
kresen,5.292902656849156
kruien,5.289497870135476
kietel,5.282680089634063
kotsen,5.282198215094889
kornak,5.277005465474571
karpet,5.275279593011636
koeken,5.269012883777954
krekel,5.26373083051573
kouten,5.262845510127678
kosten,5.262713623840422
kapten,5.2543261134141
kinkel,5.253041335637217
kramen,5.252790434644378
kranke,5.24044388256337
kornis,5.23875106887219
koliek,5.238133312199158
kalmer,5.237532673954848
koelie,5.235855026463649
kopten,5.234004996225373
kikten,5.233206420302336
karins,5.227893466861399
krenkt,5.217353924106295
karnen,5.210528519862293
kolere,5.208540640639372
karden,5.205092756669848
kieser,5.204663986430123
korans,5.200427782871879
kleine,5.191309288120542
korden,5.190215926666852
kisten,5.1884213614266494
knoeit,5.187536058970117
krolse,5.185975638879771
kalkei,5.1853730205276225
kriele,5.182214299965348
kelken,5.179077769707181
kieken,5.169117963661771
kapoen,5.168707316535878
karens,5.160244014446437
kitsen,5.159666578065668
korven,5.158740855037486
kermen,5.15312258722752
kipten,5.151996233086229
katies,5.147892385209966
