Guess,Weighted Avg Log
lenies,5.471734766427902
lianes,5.435645326333149
lanter,5.323790601496886
lindes,5.3069994846591335
lieten,5.304343579868735
listen,5.299586209836849
liseen,5.2892670903181225
lasten,5.2665779955971255
liegen,5.261424561037912
langer,5.236477352201408
lentes,5.2338693247952275
loeier,5.230021793608366
loeien,5.225295088060066
louies,5.224999601523635
laster,5.224488245500499
logies,5.220235038296624
lieren,5.194911453254414
lintse,5.193942499610339
likten,5.191523917073935
lenigt,5.180927621241441
linker,5.161156310581983
leasen,5.158249808771056
lenige,5.137895673138839
losten,5.132979557951161
laures,5.128261205325334
luiten,5.121198297565405
lieden,5.119829643381779
lesten,5.104374196692886
lering,5.101464286558066
latino,5.0957024691628705
lakten,5.094151250939121
leones,5.08144387960404
leiden,5.074387291820209
logans,5.073436399220245
lating,5.069785212445418
linkte,5.063005453152659
lunair,5.062763970548031
legras,5.057006785716002
limoen,5.033782643301655
linies,5.030107147786922
lentse,5.028958192446864
loeten,5.0264411321607465
lauden,5.020496731313825
lakser,5.019168515134088
lusten,5.0189802186097054
laesie,5.015713515913045
leider,5.015024392683835
lagune,5.014267153632269
logeer,5.005690568115366
lipten,5.005484075850582
lorins,5.002326385704636
linkse,4.999930348495165
lokten,4.997735020170429
leaset,4.988578428454548
lispen,4.981912624288065
leugen,4.978788179938318
lelies,4.971832320062439
lorans,4.96756692288162
liekes,4.951241149470434
lekten,4.937514133775935
loting,4.934894809485844
leader,4.934069943449741
lengte,4.933967987408725
louter,4.932348570414623
langde,4.93186974349301
liepen,4.929010011500423
lianen,4.924385090543402
leuter,4.922289601295404
luiken,4.9221261226980415
luiden,4.914758400442969
leners,4.91396005228246
lances,4.913798404215148
leuren,4.911917142369093
loipen,4.911469961536049
loeris,4.910897904741865
logees,4.909191064417836
langst,4.903123549279846
loeren,4.901963469998101
leutig,4.8975191643401
logden,4.895767955070964
luster,4.895328276725016
laaien,4.891242673625903
legden,4.889241280485236
linten,4.888701958466049
lamoen,4.888401010329984
linnes,4.8878114989724315
limans,4.88119195593545
lastig,4.878786725219489
lagere,4.875993407327132
lensde,4.874168505630749
lukten,4.870732351089397
lakens,4.868304538236857
lapten,4.862307091560506
lierse,4.859023659371419
latere,4.8576877556180955
lonkte,4.847972435844853
lancet,4.8454771603850375
lilden,4.84529083142639
ladino,4.838175244867421
liezen,4.836719169033148
legato,4.835803595672773
levins,4.83255644421763
lengde,4.827639782714493
lorden,4.820404495463697
lading,4.816758230698877
luimen,4.814151657189904
luider,4.806672121595774
lorken,4.803333189181173
lorens,4.802896218070351
lieven,4.79999893111623
lesdag,4.797907549515669
loeder,4.793433461802473
luiker,4.784808434244083
liften,4.784513628005612
lagers,4.77877828736873
liters,4.774419952771435
leisel,4.774081933013513
lening,4.771227472361392
lissen,4.770627075905264
lansen,4.768543338979419
loipes,4.7675484888020065
linkst,4.766617760091485
leuker,4.763837171165656
laters,4.76323148187567
leizen,4.761390240545542
loeide,4.757017959771482
lariks,4.75411885979627
loense,4.750153854579648
livret,4.749362273169623
lekgat,4.747812578757765
leidse,4.745494382675876
levant,4.74486195957162
lupine,4.744544629539595
lawine,4.736065748854776
leeman,4.7309121606949915
lepton,4.730692113910439
leviet,4.729637177611783
langen,4.72928423273876
loenst,4.726987409920787
lifter,4.722977795976338
lintje,4.722316496661914
ledige,4.713475883661162
league,4.712743685462962
liever,4.712440972326738
lezing,4.711230327487824
loding,4.710538830239568
lunsde,4.704202083907717
looien,4.703155227590621
ludiek,4.702094417825537
ledigt,4.699049648021254
lowies,4.693373258570177
looier,4.692316336838673
latend,4.691866725403571
lalden,4.68959037940685
liggen,4.688657449144217
legert,4.68669219285512
lounge,4.685082047526689
leegat,4.682793194011022
logste,4.682178571612623
liezes,4.6816259343478155
legers,4.676956825087028
lieves,4.672589774916871
lassen,4.669280921752094
linken,4.662480243858226
lurken,4.655978965077419
linden,4.655794375577868
luiere,4.654730062656897
losdag,4.654433155193906
lisans,4.651928643487968
ligger,4.6510364596050255
labiel,4.650298115910616
larven,4.648666753191329
lustre,4.645775134337428
lonten,4.644590673235534
luiste,4.638952149863787
laving,4.635308377586292
legsel,4.633695640571101
leunde,4.633079341327959
luizen,4.624645408890888
lennes,4.623260679721513
lucies,4.620641495544711
lasser,4.620371940233175
ligbed,4.6197968301723265
legend,4.618805831188537
lodens,4.609568772397956
longen,4.606759914618912
latten,4.600576941680889
lelden,4.592154576756207
lolden,4.589991959110904
loafer,4.589735072173534
letsel,4.584134661806659
likeur,4.582344445394439
l1sten,4.5806803050212155
loepen,4.580197132211534
letale,4.578354356533591
legale,4.576426255452184
lomige,4.57605474203496
laders,4.574257315557895
latjes,4.561022791412793
laveer,4.56067858961621
leurde,4.558104139992415
liturg,4.553130384882142
leuven,4.549625785044458
landen,4.547698187552547
lieses,4.54447512364839
lispel,4.539357957668005
luiers,4.539316003141708
lossen,4.5386378027138745
lispte,4.537700141339846
lerend,4.537567487434551
luiert,4.535340976516533
lengen,4.53356721358567
l1ster,4.5227303390131635
lat1ns,4.519239970390666
lacune,4.517660017374721
leuzen,4.50801577217479
lustig,4.50638468783933
loeven,4.505868891138871
lontje,4.505120455501942
loerde,4.503244331993226
likken,4.5011366308906195
lotion,4.5005356711733375
lauwer,4.498690266580472
lulden,4.497873539000163
linkje,4.497581377069076
lysine,4.487812256797946
lustra,4.481564815974812
loggen,4.480590750448662
losser,4.477133418048462
lampen,4.470383596812409
lessen,4.470070626270576
luisde,4.46743983466987
lozing,4.464429641771396
leunen,4.463664133269681
legaat,4.463605823737001
leukst,4.459363756569116
leegst,4.457480481473914
lesgaf,4.455197655135712
likjes,4.45166459805557
lensje,4.447143964075254
limiet,4.4458356076061945
lonken,4.444694698643583
lidjes,4.4442235453526
lobkes,4.44397460629713
loever,4.437350495916115
likker,4.435965460827487
libero,4.435566608572403
logger,4.432687186734219
lussen,4.4297364410311175
letten,4.429372093179319
landje,4.4270553628608935
louwen,4.426764987014281
leghen,4.426540529038349
luikse,4.424026489675916
lurven,4.423445728192499
lolita,4.42240126225804
leggen,4.422109912404599
levens,4.4116302811309085
londen,4.410768063457284
laaide,4.4106369254947255
lurkte,4.409185995313194
legeer,4.408428073472691
lakken,4.407753869533435
land1s,4.402520809863188
letter,4.402012153721721
leitje,4.39956216730833
ligbad,4.397283050196153
logjes,4.390261689361923
legger,4.380695843147453
lenden,4.378554666507689
lictor,4.371694519642323
lesmap,4.369308007893376
losweg,4.367358136711969
lotjes,4.365716290419646
lokale,4.365454731506339
legkip,4.36177653574796
lorres,4.359165830456154
lorrie,4.357490611748676
labeur,4.356120889512907
linzen,4.355947008711155
laarse,4.355140786007492
lakker,4.353512050742157
lector,4.34899061606028
laxeer,4.346561684425793
lottes,4.340090842392591
leedst,4.3365432156472705
lydies,4.328069750405369
lyriek,4.324564811652517
landde,4.323737788816989
locker,4.318097974908821
lafste,4.317659509658816
lillen,4.316387429713874
latent,4.316367262905578
lorren,4.316064428468777
lastte,4.313031776736272
lizets,4.310113269785155
lompen,4.301909656915215
ladder,4.298399590301133
lamfer,4.2959089384120155
lasmes,4.295639779235594
losruk,4.292910158262249
liesje,4.290177140931993
leighs,4.288625171009568
lokken,4.280579049243681
lippen,4.273260972816982
lomper,4.268492949607984
lazers,4.268137688056406
libr1e,4.2640639348023885
lipjes,4.250726906181239
lekken,4.24968322221439
laagte,4.248163172736118
logica,4.24577031575381
lazert,4.245597730847251
lutjes,4.238248472282581
lithse,4.2323073667955855
lokker,4.227147961153576
luwden,4.226303324089416
lisets,4.2041937786581585
lasers,4.202831307201352
lammen,4.197564569074276
liefst,4.196025563883366
liedje,4.195687968822516
lest1d,4.192528234186077
logl1n,4.191983767711248
lauwte,4.18661688451002
lauwse,4.185686811860183
lopend,4.1850076535293885
lezers,4.184202260845931
levers,4.1823049737515925
liefde,4.180931756375254
lekker,4.179212362369242
legt1d,4.17726725309074
leroys,4.176582250432331
loonse,4.175444054174399
luimde,4.174375450082083
lodder,4.169866374490067
lukken,4.169627062372568
looide,4.169535430304977
listig,4.168391132596474
lekjes,4.165660394167221
lopers,4.165357243637006
lammer,4.16480154548556
livrei,4.164430844099847
legaal,4.163373721486054
lasdop,4.1612950441307905
lapjes,4.154458516155885
lucide,4.150807948544501
luilak,4.149812223261089
lallen,4.148300686961608
lesuur,4.148026071153789
letaal,4.144863159077963
ledjes,4.140312219436548
leepst,4.136628330188432
laakte,4.135629136133487
linnen,4.133206091695381
lonend,4.131486129712235
lovend,4.1268055610392285
levert,4.124786396118462
leidde,4.124456230598193
levend,4.122180010198118
luibak,4.120472782617629
luifel,4.119718798559825
luidst,4.119008624860007
lappen,4.11310647998644
lezend,4.094351882543337
laagst,4.094248530564708
labber,4.093047837257219
