Guess,Weighted Avg Log
manier,5.9667218070479855
marien,5.943975410145303
mirten,5.865058814165848
marine,5.759008029228062
manies,5.752630963960163
meniet,5.745658884733335
metier,5.733749422029368
marsen,5.73261749885944
mentie,5.73195441554966
maries,5.7159947334674905
martel,5.699665488092188
milten,5.6956356500734655
monter,5.6889216974696275
marlen,5.6710699665198545
mentor,5.6688591525844005
mieren,5.66546140312845
mantel,5.658085928274583
mortel,5.65214942454335
morsen,5.6492758471395526
moreen,5.6289806401140146
menist,5.621922523010402
malser,5.621527583223958
misten,5.620511316218414
mitsen,5.615936240447727
menora,5.610742442521426
moeien,5.610342039626818
mailen,5.606995396216269
mirtes,5.601567023415901
mieter,5.59633528321986
marken,5.551799584462959
masten,5.550659285702617
matsen,5.550483463005212
martes,5.5456824128327185
meiler,5.544880777966271
marles,5.541069600444299
merite,5.539792830106794
moreel,5.536032641585009
mensae,5.532405639983912
mikten,5.529160619522183
malies,5.528511446331492
mineur,5.524776058941157
minste,5.522737936668354
molair,5.505105840088093
moties,5.500261868722066
morene,5.487636881164942
marins,5.487536268333309
metins,5.478092495178367
mandie,5.4738973854255875
minder,5.472790269088034
moeten,5.469799491677836
moeren,5.4671666095456635
meloen,5.454755991330159
motsen,5.451604226555001
merles,5.451183258776445
merits,5.4501839886543975
mistel,5.448392612151091
mirans,5.433653571122895
maners,5.420136926349918
maites,5.40567976368316
marden,5.405614444950545
minors,5.404532372011995
market,5.400749212450819
mastel,5.3953126192788945
munter,5.38864676081879
minkes,5.387599015724152
mesten,5.386770537136218
mester,5.385079970926696
misken,5.382412628435014
muiter,5.381996680661393
metser,5.37866358418855
marens,5.378175996687302
mokten,5.37620792182342
merken,5.375378947169206
mandir,5.37052087915583
muiten,5.359822500414082
mouter,5.358339701461778
mouten,5.355463819502396
metsen,5.35440752389193
morele,5.3411540879657755
meines,5.339979497474198
mauser,5.339445042093114
maniok,5.337135536218339
masker,5.335355846234201
moelen,5.330502877608165
mankte,5.326624174719162
morden,5.324810166348473
masken,5.32310378822842
marmel,5.323010129114621
milder,5.3126049474065935
menuet,5.306775571565097
monkel,5.303896073855575
menhir,5.302734485703542
meuren,5.300973229656626
monist,5.295228137593691
matins,5.294544274496319
moeial,5.293337208270272
marits,5.292391799727411
maleis,5.289937156019901
morgen,5.289335793702236
morste,5.288677226945901
merkel,5.287972252466022
mitose,5.280683709586165
muilen,5.279604120251149
marons,5.276412740519313
mormel,5.2732034616026535
medina,5.272107871329386
menige,5.269835498130433
maaier,5.269760089787552
meuten,5.269465049915092
melker,5.2671420104114555
mekten,5.262042195557864
mierse,5.260537009100047
moelie,5.251124686184473
maaien,5.249637770282658
molken,5.244465316698609
malins,5.243731000137009
marels,5.241444519720007
makron,5.239036657651787
milans,5.230865319719207
mangel,5.230612393696065
moeite,5.220797778443033
malste,5.21736796276994
molrat,5.208821879310147
metsel,5.206275059983059
meting,5.200062021688564
malden,5.199957465967072
muteer,5.198321351230466
menger,5.1957362797029205
melken,5.192369808118635
murale,5.188329475243926
meitak,5.1819749807352355
menkes,5.1789680789445915
moeken,5.176531955773674
mutsen,5.16304364637054
meiden,5.160360331259753
malers,5.152776716473672
matige,5.147997199524446
molmen,5.142375011733018
merels,5.133975151627751
mierst,5.13045994549713
marren,5.127419114377321
mergel,5.1271297822521
minous,5.126390560226686
maikes,5.124644846643391
moeras,5.1165423840273485
marina,5.111817576884734
mients,5.111227121585893
melder,5.107075673799698
marges,5.100695780268023
muiken,5.1004183512278045
monade,5.099310923114825
maters,5.095813258362768
molden,5.0939876100107515
marode,5.0857520763440895
mooier,5.081093128473652
marter,5.0804503416632825
marlde,5.077308991859283
mihoen,5.076372557739658
moeder,5.074242144586356
manege,5.070456062803133
meiers,5.067932919817725
manous,5.063699263877602
menage,5.057908806060086
merkte,5.05337943924129
mengel,5.052863641559753
melden,5.04991177395969
molens,5.040043116254412
megila,5.03601825496236
melige,5.034320177802978
maften,5.030879826012667
modern,5.019157088061166
mantra,5.016151645274334
morrel,5.0133193385618755
motief,5.013090566967607
merrie,5.012604571340951
morren,5.011523573431416
mixten,5.002865716091305
mailde,4.997774684579011
moskee,4.995376264162234
missen,4.994375130730534
mirres,4.9921137678886565
meuken,4.991138950205584
mareks,4.990758050692405
murmel,4.990417337332235
meneer,4.985482984781889
miekes,4.984822784383259
meikes,4.982662863798237
mierde,4.980224537716581
minnes,4.975884546882998
moseik,4.975747273828591
misdoe,4.97269920221527
meters,4.971063565198227
matter,4.969129294583766
matten,4.966309903047272
maller,4.964488743655936
misser,4.962779752600178
metaal,4.9622750938930995
morzel,4.957628707819668
maliks,4.956228299352072
moeste,4.9512175162955145
meekon,4.948258340324869
menner,4.945982584767608
moerig,4.935500584366385
makste,4.935179231306759
moeide,4.9350035724988
meelas,4.934654889846994
maling,4.933798028574209
meutes,4.933152355531274
miepen,4.930612163530853
morsig,4.9282692332465885
motels,4.926642282702883
miezer,4.91584788240213
maniak,4.915289039538585
mekaar,4.905877319172859
molest,4.902248246979513
miniem,4.900355413974953
marron,4.89979957203467
meiske,4.899585477032414
mulder,4.899052279528129
micron,4.896884686934541
mar1es,4.896072527057056
megans,4.893140500867713
malend,4.887050065712576
mobiel,4.886180878431203
motten,4.88596566537014
mallen,4.885819730742884
muleta,4.883724499655261
miasme,4.881453887034465
makelt,4.879948955928175
makers,4.877661838486596
malven,4.873221153100859
moerde,4.872860888555741
magere,4.8680259036780535
melkte,4.866732289462308
meteen,4.856108754572627
marmot,4.851729556092594
manars,4.8494956380057594
molaar,4.849029452494223
moraal,4.84704150178226
mokert,4.845188246283472
marl1n,4.839011776882368
mepten,4.834343540978639
mopsen,4.8323630725493745
mikels,4.828050322917918
mossen,4.824258451695405
mensen,4.823167089120455
mohair,4.820043620824468
marker,4.819562454650875
murats,4.810440139211863
mokers,4.810371050787704
mimers,4.809808690029304
moment,4.809784544227154
milous,4.8074075251291815
maleks,4.803267625278195
maarte,4.8031714362915805
mispel,4.800333264992013
manken,4.7943141895954176
mer1ns,4.7918607722291355
muntig,4.787932523913391
moveer,4.787374821511674
mentsj,4.786507196258635
modale,4.785110338814809
metten,4.782050834628212
mollen,4.781757826967821
malous,4.77444825681965
milieu,4.771822289458177
mimosa,4.768546595920147
mehari,4.762382815514022
metrum,4.743030781791224
messen,4.742551887645276
meenam,4.735558924247756
mensje,4.732941176717176
marmer,4.724235149566629
matrix,4.723145126428803
minden,4.722719651381816
miezel,4.719116053202458
manals,4.71897306319295
misgun,4.717613275595427
mittes,4.714384423481172
moslim,4.713589229605668
mikken,4.709554918874918
munten,4.7054743317621535
makend,4.701925815509455
mening,4.699301078323248
matjes,4.697940891814809
musket,4.697800100096122
