Guess,Weighted Avg Log
noties,5.332996665048368
naties,5.296130501004515
nesten,5.237376165042058
nieren,5.163095231893637
nieten,5.159948217771939
noteer,5.154894316244667
nipten,5.119515869332775
nieter,5.114901421440201
nestei,5.096268776407618
nelies,5.087690636357337
niesen,5.08216092745447
nestor,5.0773988693002226
naliet,5.065908814304714
neuten,5.045149102168524
nekton,5.025016884944946
neuron,5.0249387675278925
nakies,5.022708351316713
nareis,5.021340277648616
nietes,5.020062194064981
natron,5.0166062764955095
niksen,5.015532315882966
nekten,5.0148376720045755
nokten,4.9808998240464275
natrek,4.9763891138256735
ninkes,4.970414796590569
nestel,4.963958606802061
nering,4.958130852330108
neurie,4.955281495213249
napret,4.948213629578848
nariep,4.937938103346724
naogen,4.925887158308253
negens,4.869757271487037
nalees,4.86726877529825
neigen,4.855710902629671
noviet,4.8449616858676805
nolans,4.840711879033255
nadoen,4.817383285510597
nadien,4.813524035558252
naroep,4.810110669232078
narden,4.794991538195592
niekes,4.785171936846607
neutel,4.779026769838593
normen,4.776082681733994
nengre,4.773856427276122
nasjen,4.770947422922479
nestig,4.768897425737403
netels,4.7662691811008795
natten,4.759963396385722
negers,4.7592148539647186
neutra,4.7556236797086795
neuken,4.754816790274894
nieges,4.753894988268934
noeste,4.746592491343887
noemen,4.730439508528851
nurken,4.728307699113282
nadoet,4.727954191475682
nanous,4.72581241084037
niobes,4.725724413926197
nameet,4.72309918136145
naaien,4.721312036582281
namens,4.71911996728229
nieste,4.719071414485666
nareks,4.71671540214237
nevins,4.715369297995569
nopens,4.697028710214776
naziet,4.6963734921183224
newton,4.680768324838153
netten,4.6785114061785835
naspel,4.6771953642480115
noemer,4.676604367838109
natans,4.67318384468489
natjes,4.671120960074557
nonius,4.661899311319784
nagelt,4.661660979897766
nonkel,4.652236989410511
nissen,4.650720888126792
neumen,4.643854058778554
nareed,4.641251748118728
nectar,4.638888578948384
neming,4.6379018178489355
nikste,4.635605374244881
nassen,4.632989849969771
nerven,4.632207573934068
nemers,4.627858696327823
nazien,4.624138200887968
natter,4.621144382410992
naliep,4.619992792108191
narren,4.6184339321900785
nougat,4.609847908477177
natrok,4.598811206044546
netter,4.598467455174216
nagels,4.589949201983842
noveen,4.587142669958312
nevens,4.586140262544855
netjes,4.58609758559667
norren,4.579213540194037
nigels,4.568810187340544
nessen,4.559724653334245
nettes,4.549901810673709
narede,4.547918940030464
nadert,4.54479043716853
niezen,4.540925310391318
neukte,4.54042310084281
nanoen,4.522029130197226
neerga,4.519614635267261
nannes,4.51561951539606
nutten,4.495113801365152
naders,4.4921717769963525
nestje,4.474751847088802
norser,4.473249550722374
novene,4.467573497821813
nefast,4.465863355059879
numans,4.465421850100673
nadirs,4.46035093257862
niesde,4.459232712260533
nawees,4.454730229658392
nadere,4.450294743978392
nipjes,4.446106920449474
neuzen,4.430100428855006
negeer,4.41277998455573
naneef,4.406570856432927
nimfen,4.40642342871803
nutter,4.405880374429761
nadeel,4.4032492135169825
netbal,4.3946437410537715
nidals,4.390861296904423
nurkse,4.38262448369524
nomina,4.381011560439771
neusde,4.380668547559955
nietje,4.373251296858921
napjes,4.368294930807408
nekjes,4.362546455967251
nodige,4.361893119139286
nervig,4.358119450657456
nikker,4.3490106745715185
nakend,4.332647770513943
nizars,4.327531896735593
nippen,4.3253721747661125
nevelt,4.32488651661236
netste,4.321752312180686
neutje,4.316931976816862
nikken,4.316662257555253
neigde,4.311905836140669
naaste,4.3088225581037145
naarst,4.308330431182512
nevels,4.307621057643468
nadenk,4.307409003665905
notoir,4.305727716597423
nopjes,4.30514930925186
natale,4.304352665634219
niette,4.3005210883022675
najoeg,4.296372499288945
nurses,4.296187707122303
nipper,4.285398756174567
natste,4.280625400485651
nastuk,4.276806400028194
nemend,4.264381115763601
neggen,4.263423230915053
nagras,4.258434775383325
nazoek,4.257395059288051
netelt,4.255744960544541
nadele,4.255185679745125
nauwer,4.251786787841879
niveau,4.250611661420235
navels,4.249119958664816
nappen,4.241495953567069
nasjte,4.241353962074678
nageef,4.240312815530562
natelt,4.235056974788209
niesje,4.231835648578677
noorse,4.228482783966713
nakind,4.228412894625814
numeri,4.228311319692155
negor1,4.226261731631637
nelles,4.224788887163195
narcis,4.222679562889939
nekken,4.220401230001543
nasale,4.2161919567272355
nokken,4.213227152617335
neusje,4.205110542507234
nolles,4.197147525514564
nellen,4.182287777777021
naleef,4.182028360232692
neppen,4.180030849384956
nihats,4.178809434004365
nomade,4.178519289841202
numero,4.1765287313181405
nimmer,4.16770384529673
noppen,4.167508185138225
nazegt,4.167275795980888
nekvel,4.166528843781344
norahs,4.160567458122212
nudist,4.160011313462431
nobele,4.15837050730622
nepper,4.149750656120068
naakte,4.149087729356873
neger1,4.143157170864492
niksje,4.139387322188269
nollen,4.135081610831004
nobels,4.133784558484485
nakomt,4.132777193361005
noppes,4.122420620509936
nynkes,4.114638415435186
nikabs,4.112616977656997
nekp1n,4.107438322993757
nimrod,4.094567917375472
nardus,4.086261787126997
neuzel,4.077717397236104
nodigt,4.070159994568437
nakeek,4.0635766555646535
nawerk,4.058597613485655
nattig,4.048538364672095
noemde,4.024707549773221
nabils,4.021209167689967
nuclei,4.017966587512215
nuntii,4.012942106293715
nisjes,4.010531400724204
nieuwe,4.009338523323191
nukken,4.008335765696991
nab1er,4.0050741009422115
nikkel,4.0030234257911825
nazend,4.002596479630148
nieuws,3.994569227980512
nuance,3.9884943428286186
nozems,3.9871031842394027
nietig,3.980050413079316
nauwte,3.97347599571267
natuur,3.9699383112490207
naging,3.9661146360830855
niches,3.9615207534385672
noopte,3.9609042866108743
naaide,3.9554126370955647
naslag,3.952319508375025
nicols,3.9509737025891454
nullen,3.9467393128289525
nadars,3.9406069346532937
narrig,3.9405693454923623
nippel,3.9387770492649516
naamse,3.934553295143369
n1pers,3.916914538919375
nialls,3.910196438403149
novice,3.909903591176002
naoogt,3.901358669393473
nazorg,3.8875152730940576
nazond,3.8840050827666857
nebben,3.8659450272075464
nauwst,3.856119249084489
nadeed,3.8539052797382
naatje,3.8471094561578663
neppil,3.838047727216055
navolg,3.8353920263565118
n1dast,3.8260485420403727
nisses,3.8231527618982515
nootje,3.8179315366176665
nadruk,3.8069631853906034
nuttig,3.7858762799486345
nummer,3.7839686327482176
naffer,3.769631745805569
n1vere,3.74101619785939
nylons,3.7390015069166886
nonnen,3.733231871662101
nahids,3.7332072122114073
nokl1n,3.728761161222054
najibs,3.727799649446781
nablus,3.7106314894010173
nazang,3.7043379317801928
n1dige,3.6981338167607474
nepbom,3.692380580744734
nagaan,3.6920646441453466
napluk,3.687521533707472
neofyt,3.6816098474489882
nimbus,3.640999539032123
nuffen,3.6397378343430926
noords,3.6116380730674895
n1pend,3.6052511405505565
naheft,3.5736051464807477
nagaat,3.539083598205355
naloop,3.526769586882213
noppig,3.5089235606692437
nataal,3.5030210583946646
nagalm,3.4864306102285316
narwal,3.4701064542159274
naw1st,3.454181280641681
nahoud,3.4459671905404377
nalaat,3.4441293802319026
