Guess,Weighted Avg Log
ongare,5.425063883961859
opaten,5.379272369167953
opalen,5.301024307744906
onpare,5.28489782327605
ontrol,5.271831747943505
onteer,5.229620113531275
ontdoe,5.228463866282904
opliet,5.226906226044116
onager,5.194333665313592
ondier,5.16228156547318
oelpan,5.14529463055764
ontvel,5.139318706338201
ordent,5.135240154025829
opeten,5.129787128568393
opreet,5.104237377650991
opdien,5.086257197918954
oorlap,5.085764767165191
oorden,5.08020820846596
orante,5.072501782143147
oosten,5.069359254539472
ontval,5.0651431941012905
ondiep,5.061794756187553
oplage,5.056270871722058
orgelt,5.044556828978638
oplegt,5.04187430785434
ongure,5.031124507882999
opname,5.030271849264919
omriep,5.027805891539847
optree,5.020975212155109
opteer,5.017914432874579
opdoen,5.014873934454768
opstel,5.00132559737645
opdoet,5.000607099200299
opgiet,4.996274953834981
optrad,4.995358350376897
oogden,4.985410685367783
omroep,4.982790623774882
ontdek,4.98185950575482
omrand,4.975373007277883
omliep,4.9650583003722994
omdoen,4.955714991111151
oorlam,4.955400626027279
ontwel,4.95150791550802
ongeld,4.943533777470215
oratie,4.943249837477569
oproei,4.93265040798824
omdoet,4.929517790240155
orgies,4.9256786296441515
optrek,4.923127119154564
opener,4.920040178653193
omelet,4.91702880209978
ooglap,4.91462701109657
onedel,4.904592264175662
ontsla,4.904420874819141
openga,4.9028169915306625
opsier,4.89941618381375
opties,4.899000871723352
omspan,4.893810452645183
ovalen,4.892494953056938
omerta,4.88974082621043
opstal,4.884826190752014
omlegt,4.883438728504862
oprekt,4.870409254925292
orgels,4.85787537775886
omkant,4.856266935120426
ontlok,4.855079204319924
ontzeg,4.851567840492427
ontrat,4.850992706725631
omknel,4.849100860029547
onrein,4.845490209664477
opslag,4.8417827257339905
oprolt,4.83821172445963
ongaar,4.83439645529955
opeist,4.822978745470624
ontwar,4.821896281452898
onterf,4.816712629474569
onr1pe,4.815313488152664
opleid,4.813391955321444
oprees,4.81293744739036
onkies,4.811497491972597
ontnam,4.809710487708263
onleuk,4.807358079902381
online,4.807225597618113
opeens,4.8028315352795845
opnoem,4.802375268421192
omring,4.800087119682661
ontzie,4.799807656163515
overat,4.7939078184289095
onware,4.792172950758161
opmeet,4.784233082074736
ontman,4.783296248349046
orakel,4.778976236526502
oplees,4.778750234352782
orgaan,4.774775002656375
ontzag,4.771042409399388
optiek,4.771020687826212
otmans,4.768292330984255
onrust,4.766805715543961
opgaan,4.765828608470933
onkels,4.762369409052167
omtrek,4.760311791954718
omrolt,4.757906046390305
omslag,4.751381980660792
opsnor,4.751145816877347
opvang,4.747467572161755
opneem,4.736669946414538
ongein,4.736206943385555
onvast,4.734752133873122
ontken,4.732381896445642
ooilam,4.731331994656146
opvrat,4.729508777358884
orions,4.727354459983686
oceans,4.727114169491165
ontzei,4.72161901760854
ontwei,4.718786863757548
onraad,4.718601941773723
opdeel,4.71789838753244
optant,4.7178628208141244
opreed,4.717158323733002
overal,4.7162743695755385
opgave,4.713761560267033
obolen,4.713565149894624
omleid,4.7055408339807965
onpaar,4.6987900512787455
oorbel,4.697955976109153
oreade,4.696583492891563
opgeld,4.692921315195471
ont1de,4.692438339785074
omgaan,4.691763754714335
onvree,4.684772069580142
opvoer,4.679942950790885
opviel,4.677959648739527
oblate,4.675218312060811
omvoer,4.674152438333343
ontgaf,4.668628355426961
onheil,4.663390900724571
opbelt,4.658344076016879
opmars,4.655460259436936
opligt,4.652835182000102
ongans,4.647522193074554
oplaat,4.644276049705364
odiles,4.642730668865841
onlust,4.642437196415278
ocelot,4.640908833710106
ontuig,4.639069068068457
ornaat,4.6386944546084
omreed,4.632325336237623
opdoem,4.626617838600313
onanie,4.625206716578602
opzien,4.6250647919223615
ophang,4.624568820552385
oplost,4.623857372615116
oester,4.61964749506968
ontruk,4.616691029628023
onenig,4.614581882613223
opende,4.609188133120718
octale,4.6085498145667305
opvalt,4.600260600333626
onfair,4.594844911238079
omspon,4.592028258498018
omvang,4.589190347112363
omlegd,4.588444992184376
opkras,4.587667961051344
onland,4.5848409583207435
opgaat,4.579619626680026
opruit,4.576472190019302
optrok,4.575350709206715
ontkom,4.573484969417962
omkade,4.5609390005973
openen,4.554787509649627
oerdom,4.551712036808934
orkest,4.551190701139309
otmars,4.543884071735837
oorlel,4.542531175533687
oremus,4.537986622451833
omviel,4.5371260226132994
omzien,4.5331715735210825
opdoek,4.531483491133044
onmens,4.5238728433317865
optima,4.521027366732193
ontgon,4.517189599093283
opberg,4.51462602325016
oplaag,4.514205616998766
opgang,4.510985590101876
ombert,4.507801421696164
omvalt,4.500863885985234
optelt,4.497420218065967
onweer,4.495074265721802
orhans,4.493125786547557
oelema,4.4918812443247
oproer,4.486203720487964
opkort,4.48323285089309
omtrok,4.479591777690829
ordner,4.4785856548212735
oml1nt,4.4766518223492895
opmerk,4.475667682210167
omroer,4.4719991439118365
ovatie,4.471244811952417
oorp1n,4.470864391952116
ontvet,4.467327012417002
opmaat,4.466704338566922
opveer,4.46530506939548
opstak,4.4621531716793665
opziet,4.46107843529431
ontgin,4.460795910427209
omgaat,4.459929157827
omhein,4.4564552942193405
ontwen,4.451096036366622
ooruil,4.450645384256728
omruil,4.44964008327962
opwelt,4.448840459875771
oenige,4.446321108680019
oeroud,4.4454959603042745
omwoel,4.4450768517595645
oreren,4.443457287424882
omhang,4.443050538230991
opsomt,4.442819203960272
ombras,4.438092541160135
oogkas,4.431032834393154
oranje,4.430208628815101
opriep,4.429923335622391
opvoed,4.427676283460672
oogbal,4.422374845746682
orkaan,4.422042695382354
oproep,4.415638050795692
omkeer,4.413168395564858
onknap,4.410233222019647
oneens,4.410064157342039
opmaal,4.409715411154354
opiaat,4.401132814135095
oplapt,4.400661736504581
opzend,4.39716592780272
ogende,4.3927004138639045
oblies,4.392358684949002
oortje,4.390584226125713
opboei,4.389314030244339
omgord,4.384258531919393
opbeur,4.384109649825523
ooglid,4.378781515825639
odiels,4.377704381938862
optuig,4.377488136678644
oppert,4.3773403699965385
opliep,4.375902686455788
opving,4.375002854175648
ondode,4.374873614245695
onvr1e,4.371019257454958
opspan,4.369384769397035
omlaag,4.367857463317245
overig,4.367751623525278
ooggel,4.365975665672421
oefent,4.362988719915944
ontbos,4.362978531313361
oert1d,4.360390430138136
omgang,4.359834106530794
opbied,4.351883065896702
opruim,4.345552845722592
omziet,4.345342727046609
overga,4.344826102578636
ontpop,4.343299608408834
omheen,4.341679301752527
omspit,4.339451566220073
oerbos,4.338699039665401
oplaad,4.337283918919917
oelama,4.333304709032093
osmaan,4.332621087942676
onthef,4.32782125486776
omzeil,4.326831777819328
opleef,4.323297938034062
oblong,4.321686537202648
oceaan,4.31854541949913
opveeg,4.31735092588504
opbrak,4.315971202304671
ouders,4.314603480743728
opinie,4.31445297459807
onthul,4.31197958976865
opzegt,4.301814501191575
orator,4.298096469979886
onheus,4.293399312609235
opdist,4.292990542257055
opslok,4.292614568045511
oprukt,4.291610014213458
ondank,4.290267398278154
oublie,4.289306402383801
ontsta,4.287539860591671
opklom,4.287280068280221
opjoeg,4.270784535510929
ontzet,4.2704690159993985
ontpit,4.269863310530289
omwalt,4.268760944022504
omblad,4.264726067308854
opr1st,4.263134960502386
octaan,4.263062776586981
oudste,4.261263628419015
oliede,4.2591453871234
onfris,4.253495695878866
ophing,4.253463389272986
ootjes,4.248747114413833
omwend,4.247011830073191
oogbad,4.246929904520962
opbakt,4.243046026899261
optast,4.237573409492013
odeurs,4.236587741783406
omwerp,4.234971862975312
oudere,4.231868417094928
oetlul,4.227877890643682
opwies,4.222618881993405
opklim,4.221845971675314
opbind,4.221633879861932
opkomt,4.2196668325617805
onding,4.218112685740649
opwast,4.216568357605603
outlaw,4.208017094940008
omving,4.207448103468197
ooitje,4.206567326205508
oxiden,4.206114347730936
ol1ven,4.204984629627272
opspat,4.201579339744494
onecht,4.198676443809756
opwoei,4.186638856784538
oogjes,4.186499674230009
oneven,4.183499632948767
opr1dt,4.179712907987053
oreert,4.176616399422098
opwarm,4.174181745181148
opdelf,4.167094856903957
opbaar,4.165604791143462
onthou,4.157794017497305
opvolg,4.156649532807767
opzoek,4.155644187705358
opgeef,4.1519334604217155
omwoei,4.151024151854197
omarmt,4.145840366683877
onwaar,4.144528493138191
opbond,4.14235445542928
opging,4.142339381588185
opvult,4.131066838882403
oompje,4.131006241466812
otters,4.128692713286645
odieus,4.1284595911418585
onguur,4.125242794936192
oppers,4.124626997543185
opvaar,4.118970657173712
opgoot,4.117945291881047
omhels,4.115185764646047
optica,4.11357373129733
oppast,4.109755795445327
onkuis,4.107144400873033
opstap,4.105577542364304
opborg,4.10333665620978
oml1nd,4.103298726743224
ol1ker,4.103130143859624
opweeg,4.10309076262757
osmans,4.102957930291217
ophees,4.098397321523323
opdiep,4.0940114323540495
oblaat,4.090468010837021
ombond,4.090337937063674
oorlog,4.088924666719312
orders,4.088555094115242
ombind,4.079826859553505
over1l,4.0790185608098
optilt,4.076034342390185
oml1st,4.074916748963733
omhing,4.06957949801543
opknap,4.068801323532045
ophakt,4.06744702111236
omr1dt,4.06648138249497
opvist,4.06414819483764
opzond,4.061060053623589
opport,4.056182659259858
opwekt,4.048652422399798
omgeef,4.040857900434429
omvaar,4.037205555097926
olmpje,4.03171720878813
oehoes,4.028354560242257
octant,4.021260544908631
octaal,4.013807340792123
opwind,4.010351136574026
omklem,4.008640300257168
opmaak,4.006713872946563
opst1g,4.005998801516624
oevers,4.005316427257051
opklap,4.001501215918756
opdruk,3.994155161584616
ophebt,3.991296281602961
ogel1k,3.988065402579871
omloop,3.982497466054287
oogwit,3.980768233545342
opwond,3.979820986269047
opdoft,3.978827236117266
opkapt,3.9730593859254824
omging,3.9727153782441507
ophaal,3.968537891880037
omwald,3.9666764171042934
omhakt,3.964296666115444
opplak,3.963952340897121
opwerk,3.9560503023013003
opzout,3.95175196575508
opzwel,3.945949938400967
omwond,3.937104716725158
onaffe,3.9264692998655746
osmose,3.924577685914836
oekaze,3.9236241943266563
ophout,3.9223907586006104
oppakt,3.918576401164284
opfris,3.9089171927459128
oksaal,3.8990334669367885
