Guess,Weighted Avg Log
panter,5.974315609996181
parten,5.916401620977912
porten,5.864368139801753
praten,5.863554411787712
parsen,5.821917400187456
pasten,5.820326256012301
parset,5.819366390097351
palter,5.806808274881689
patsen,5.805762944177671
portel,5.8047899943859615
patser,5.789385582758906
ploten,5.767263570386508
pisten,5.747433999738599
platen,5.742215367732234
pitsen,5.739025380624546
poster,5.731699438435026
pralen,5.71308240315281
portie,5.712858847772134
posten,5.706201403975188
penter,5.662872866162666
polier,5.662799953271145
pieten,5.660020482851798
potsen,5.65579726347494
polsen,5.6538936559850015
pastel,5.640736734468228
portee,5.593601562526885
paneer,5.565302593756586
pielen,5.564416750249098
pastei,5.557845290448082
pleten,5.55734539521544
preien,5.554129015698137
poneer,5.549223187906128
papten,5.548870633670073
ponste,5.536581159432361
punter,5.534275883371941
pateen,5.5324316893202194
pester,5.527779780223576
piesen,5.523591904003568
poelen,5.518214408859231
persen,5.516530031514023
polair,5.515031882012994
pausen,5.507114560649041
paneel,5.505100585360513
pakten,5.503507675557493
pastor,5.495701015044386
poeier,5.494790802152287
pesten,5.490954725637071
pinars,5.490678736623642
pieren,5.4904613327331715
planes,5.487608562439178
pronte,5.486492904010479
piston,5.482943784376181
portal,5.4733400857650425
poelet,5.469485546899731
poeren,5.468922125804305
poesen,5.46619793942091
petsen,5.462032879456647
petars,5.457728169873121
puiten,5.447238817588663
pelsen,5.445843824152024
pelser,5.443121981868623
perles,5.436927936463742
parket,5.434938688570751
peilen,5.427815341492505
prosit,5.4175067680118865
parken,5.4103402472598
poulet,5.400839111255572
pointe,5.3963828161232845
pleier,5.390081423775321
pusten,5.388936920994332
paniek,5.38879578430679
pikten,5.378443001621028
panels,5.375424392878203
paspen,5.372428769636073
poseer,5.372394560662304
papier,5.364909297805799
putsen,5.362213630020161
puilen,5.360594362673258
pulsen,5.3593520227157665
peiler,5.359276032710461
penale,5.352738191562194
pinker,5.344391566976154
plante,5.342772430625685
patois,5.333125379327645
pander,5.328658212248656
polste,5.328453748361143
presto,5.322469280346908
perste,5.317359232374202
pateel,5.316646284210542
peinst,5.315699941925165
plenst,5.314618787524656
pepton,5.313842229280779
parelt,5.312649439472102
piotrs,5.310869674667526
pengat,5.3058146865110505
peuter,5.305724376429599
pinkel,5.3001530131334205
polken,5.297743003726164
palmen,5.293825109281515
pereat,5.287620577917028
pineut,5.287319939254952
pekton,5.286555981687236
paters,5.284343199653407
peuten,5.283248714037449
preste,5.280658209255106
pipser,5.277008538657347
pilars,5.27315954349383
plotse,5.2722266430007725
paleis,5.271512535669144
prunel,5.268233298843109
pramen,5.253714424363217
parels,5.245908319730553
ponder,5.245832289742771
plaste,5.243459758521717
pearls,5.238943479897944
partus,5.233866389506614
paften,5.232535856698634
pacten,5.2313985925044575
pingel,5.228564107324445
ploert,5.227935692461295
porden,5.224233059936146
poesta,5.224167858819994
poters,5.220601122316573
pincet,5.2203510915252025
pandit,5.216982562729362
peulen,5.214763231045305
piters,5.213797646055829
prieel,5.2115285769287905
purine,5.210822583549501
pinten,5.210276586860337
poules,5.208515437849647
paaien,5.206381116090264
ponten,5.201771214139219
prater,5.1976474270970145
palmet,5.195430083999736
panlat,5.187246819327727
proest,5.1827305847084855
patten,5.17956202527454
pieste,5.177572775495916
piepen,5.17696824017898
pikton,5.176644078751046
pekten,5.16837251505386
poplin,5.161555050239771
polder,5.160334279154264
plagen,5.156713826712845
pulsar,5.156528688142821
poepen,5.148704533971496
poeper,5.148582581022513
peuren,5.13871498194476
pieper,5.13655950954269
penaal,5.135454071826378
pannes,5.132911902560672
pinpas,5.131643543283357
perken,5.129124579680727
pinkte,5.129120945692438
potter,5.121054019893234
plaket,5.120831712758188
poften,5.118974709189146
preken,5.11870736255612
pauper,5.116331147911685
pieken,5.110349564082547
pitten,5.107965418363727
prints,5.107707846991033
poliep,5.10539135041401
pauken,5.101094026748743
pleite,5.09292810209186
plonst,5.0885967399811
plager,5.088395223174434
pardon,5.088259883830527
peters,5.084765649392607
pallen,5.084763373499428
pilots,5.0804946429838544
potten,5.078257926094834
parate,5.0760332779279365
pleurt,5.076032541779727
pieker,5.0745502611756725
prilst,5.071564924309523
porren,5.070695210802331
praait,5.066958315026505
prangt,5.065337032846639
penant,5.06206957608931
propte,5.059290459755488
prakte,5.055355882960018
passen,5.054848115776026
piraat,5.052332649142472
poenig,5.04299326130635
punker,5.031140438381655
praler,5.030369839461549
ponsen,5.027694106481579
passer,5.0246174968388955
preuts,5.020664214023982
pleuns,5.019678573851776
plengt,5.01751887906371
pretor,5.01160263640161
pillen,5.007744087205341
pooien,5.006456073954973
pikant,5.005489773846709
poseur,5.003081012365702
popart,4.997779555788753
pontje,4.995053947469078
parnas,4.994362277940568
poeder,4.993236787896176
pernod,4.988189025528026
poreus,4.986826415542888
pintje,4.986176652242869
partje,4.9861627449951
poolen,4.986140469642916
pooier,4.985986918835783
pallet,4.983697765957852
perron,4.980555002497674
plegen,4.980528314207323
pulste,4.977272566074494
plozen,4.976248359993701
pulken,4.975884601274897
pikeer,4.975763389132992
pedant,4.97024539842592
piepel,4.9697874576179695
pollen,4.966913381544558
pilaar,4.964721787204632
pooler,4.959530394912376
pronkt,4.9536336898445406
persad,4.952306141826708
pissen,4.950645737994677
permis,4.947867455186638
potige,4.947608321218332
primes,4.946727753596147
pokert,4.945403470460934
pruilt,4.943882313020276
pluste,4.938546737969175
