Guess,Weighted Avg Log
quotes,3.2776134368191165
quoten,3.277613436819116
quints,3.0957952550009344
quarto,3.0957952550009344
quinto,3.0957952550009344
quitte,3.095795255000934
quaker,2.9139770731827523
quinoa,2.9139770731827523
quorum,2.9139770731827523
quotum,2.845350936622437
qasims,2.663532754804255
quidam,2.663532754804255
quangs,2.5503407095463886
quilts,2.481714572986073
quasar,2.4040097573248604
quarks,2.2221915755066783
queues,2.1867043459100244
quinns,2.1180782093497093
quiche,2.1180782093497093
