Guess,Weighted Avg Log
rieten,5.5390486495447195
risten,5.446445539614926
ritsen,5.395793912275364
roeien,5.386453135168426
riolen,5.374239712014785
reilen,5.36431235186038
retina,5.336907947096872
ruiten,5.3246559573036665
roeten,5.296983481279406
rosten,5.292203917998551
reines,5.28991208484547
ritmen,5.2884888094905085
rinket,5.278310999673328
ritsel,5.2714363536258535
routen,5.268542102406871
ritser,5.24719149990977
rentes,5.238427163055278
riemen,5.230627161782014
resten,5.214247817937593
rotsen,5.212356669636835
reinst,5.210656623599243
rieden,5.209419866480755
rinser,5.199935960115185
rieken,5.196148351522819
ruisen,5.189294202549042
reints,5.1875692239053945
rinkes,5.187099382093627
reiden,5.177852984017213
roeier,5.173988961017587
ratsen,5.170925236901324
ruilen,5.160043977947266
reiken,5.160034584344811
risken,5.143274562617838
rinkel,5.141759743282644
relais,5.140798260586351
rilden,5.1318112988972615
rokten,5.129923529920627
ruiter,5.129294656765422
ritmes,5.126775702278112
ringel,5.119824740594899
riksen,5.11825073194384
ronsel,5.1166622849410155
routes,5.113292410004129
rusten,5.100820194262429
return,5.096918225288277
reiner,5.095831760566162
riepen,5.091712211755799
ransel,5.086699195295039
remies,5.07517044844329
rekten,5.06922804719644
router,5.061095276804502
regies,5.060637098603852
roteer,5.058460248853273
riedel,5.058183713810439
reliek,5.056906275639455
ropten,5.03670495585076
ruimen,5.027476033879284
runsel,5.0261394195578095
realen,5.021239519917027
reuter,5.018320019170458
resort,5.017186432919888
reling,5.014584172854293
ripsen,5.012553928450688
riekes,5.011385417994014
rudies,5.002898042354179
rotans,5.000097946251093
ruiler,4.999251500893554
rondes,4.999015430023225
reutel,4.99451024642608
ruiken,4.989685829263973
raster,4.98555668261155
ruiden,4.984253768270518
romein,4.973293001364424
riante,4.969215629879957
retors,4.967375829080907
ranser,4.96599720600268
ranges,4.964573601646747
rukten,4.9623977634164635
retour,4.9552911270165785
rielse,4.951358190954891
roemen,4.947713074280589
roeden,4.942874156300925
repten,4.940474708887114
roeren,4.938759752969767
roerei,4.935026164009687
rinzes,4.929745430295157
roeken,4.919573532025848
ritten,4.916617279499687
rolden,4.915122307601942
rapier,4.914586686372518
relden,4.908604451273955
reiger,4.901755709678045
reizen,4.901002586452651
rating,4.9009816790818475
reuken,4.890902467872839
reciet,4.890078072726147
raider,4.880472414260576
roetig,4.862768271051087
rienks,4.858851589316546
rolkei,4.8549978034105825
residu,4.854140413272365
raaien,4.851053383796648
remise,4.844052546833021
remons,4.843385837018548
ramins,4.841762744270047
reuzin,4.841168124354543
ronker,4.835394657614566
