Guess,Weighted Avg Log
staren,5.896369933102839
stalen,5.842128847489532
striae,5.787956604266087
storen,5.778718365531394
snater,5.776730721844468
stolen,5.733718711677684
spriet,5.720116044764455
sloten,5.704750113536884
sproet,5.694728337073068
sortie,5.6840483208113595
spatel,5.66409569308861
stopen,5.662782503142598
staker,5.649033032182721
stapel,5.649018279540641
spinet,5.645801638224218
seitan,5.643021947181011
spatie,5.629524826635907
spoten,5.623869379147591
staken,5.6193658974692315
streel,5.616592527723691
sinter,5.585769460567233
striem,5.585740956172464
steler,5.584592660818145
sintel,5.5797828783885075
sliert,5.576221059071965
sparen,5.558168290578316
skater,5.555110344830093
stelen,5.549351187550831
snoeit,5.538378518903072
spirea,5.53647863636069
stoker,5.526088434227364
sleten,5.525767890311688
sopten,5.524357798942107
stomer,5.518553204022337
stakel,5.517682970969599
skaten,5.515399206892594
sturen,5.513600959773601
stoken,5.510196446425537
snoert,5.502525206933643
stamel,5.500538630099321
streep,5.492677290769983
stereo,5.4895223294875795
sloren,5.488640560477572
slapen,5.487400177864146
slaper,5.485904259675096
spiert,5.470875419809221
stoere,5.468942675298234
satire,5.461731355914009
stomen,5.461575233096616
snapte,5.461327443193391
stores,5.457261712950031
sporen,5.451909444288102
strike,5.449327849021409
snerpt,5.448655316563215
speten,5.443234952172892
spinel,5.439630945960116
serail,5.437931217353871
steile,5.419737316853419
stines,5.41850539450576
stagen,5.418245222830189
saline,5.4171377590985585
sonate,5.403976690384704
sloper,5.395182958152972
sproei,5.38854935913926
slopen,5.38587836411055
streek,5.382355532049538
streak,5.37090697385418
sasten,5.369606038800753
spleet,5.3660597105150565
struin,5.357845328275457
steker,5.355846385530815
slapie,5.355028721101044
saneer,5.354901129819169
stater,5.347654438550722
snerkt,5.345346155749426
santes,5.340097841382868
slapte,5.338477161869844
sealen,5.337973196645947
soiree,5.334878800796264
slaken,5.325313960694108
steken,5.322694602002594
seiner,5.320788393744527
snoept,5.320393653680314
sterns,5.31460970659696
sneert,5.312663154888707
slipte,5.308174563699897
smaler,5.308139638549011
sister,5.306923877631599
sprint,5.303157612061214
snakte,5.301788830690241
seroen,5.300189842541277
staten,5.293380583432164
smalen,5.275918731811951
spoelt,5.274426148831413
spaken,5.266982780708546
sluier,5.264647346538901
stadie,5.263916622913539
stoned,5.263501738938777
sieren,5.263267922659247
speren,5.260691749108517
stekel,5.247053005536191
senior,5.245469262124677
scoren,5.24056979233991
speler,5.239814793637949
sloken,5.239760954441026
smient,5.237314592107374
stroef,5.234524972450586
snikte,5.231654710826354
sirene,5.2272096911413195
sleper,5.226549902052717
sleurt,5.222416751860336
snoekt,5.22148220120272
slomer,5.218775907229232
sterke,5.217409356968057
spleen,5.217050936300124
sileen,5.216530536621372
sisten,5.213899647602049
stuken,5.2127134323776065
spelen,5.211402642874095
seniel,5.208227245697781
speent,5.208200225323572
smoren,5.205513272904342
stilet,5.2013523109331885
stoter,5.200691560446948
slepen,5.200308697353158
sarden,5.197072695034676
suilen,5.196096046321349
soepen,5.193692181105054
slankt,5.192328362336976
steger,5.191572769673016
smeten,5.1907333080845754
slikte,5.190534017928446
stenig,5.189059041778133
stayer,5.187520203203299
staven,5.186928466918521
stoepa,5.1845837930210426
shaket,5.1844756090326545
stalde,5.1844630305718
snokte,5.181434870660723
streed,5.180077276364502
sultan,5.1778939306372
skelet,5.174060457130605
streng,5.173715138647052
slager,5.17289275727639
solair,5.172264455244126
statie,5.16739321562174
slanke,5.164425464864292
semiet,5.163031247798594
spuien,5.162374824265774
stronk,5.160508318579454
stoten,5.1581695782747685
spoken,5.156552302179141
sekten,5.156025525216265
slokte,5.146793256005007
speurt,5.143608795186202
smalte,5.143471960002664
steles,5.138330699274156
spiekt,5.138212648028844
sprake,5.1378048101377205
slorpt,5.137609420494691
sector,5.1372142238925385
snelst,5.1364741970284
sorbet,5.130800782663019
st1len,5.125611334297949
sl1ter,5.125310406113432
slagen,5.124953484581403
stilde,5.121538434910808
silene,5.116558488112737
signet,5.116324850187534
stonde,5.112643591985836
stegen,5.1108643603144275
slinkt,5.105825522915644
santen,5.10421029180213
sleept,5.099990433929255
strand,5.097528036715292
screen,5.097426616301115
soepel,5.088519280082192
steden,5.088034983810967
stompe,5.087602778050175
starre,5.086469329725392
spitse,5.084500016853693
speelt,5.082739557324189
spaden,5.081959613171667
souper,5.079877333093974
stegel,5.079242255705619
sl1ten,5.074848005776656
