Guess,Weighted Avg Log
tarten,5.683110864781949
toeren,5.614668369578465
torsen,5.6083744890943885
tiener,5.604434324919568
triton,5.5949473886322565
tieren,5.5708953274214466
tortel,5.5668211747796175
truien,5.563212224279841
toeten,5.545458358897793
teniet,5.517868529977857
tintel,5.517841155952021
toeter,5.492782166234941
tronie,5.476301131527393
tieten,5.4708427417153525
toines,5.464989714579252
toilet,5.462158223055136
toneel,5.458047880028518
tertio,5.434635326458683
tropen,5.420962938741327
teilen,5.418034016253915
torent,5.405320083735948
tosten,5.405117626504042
tornen,5.397783078402912
tenors,5.381301252579059
tanker,5.380563919438535
taliet,5.352459107146349
tonale,5.340651326985086
toerit,5.340336119584524
tonder,5.340091393215782
tuiten,5.329824709322075
terpen,5.328279891450375
termen,5.327955895834283
tremen,5.325363775088956
ternes,5.3216391003922086
tantes,5.317146726350136
topten,5.315674100466185
tonner,5.307644585380141
tronen,5.3010967426580775
treken,5.30068471988374
tarnen,5.288877274510663
toetel,5.282501741309267
tipten,5.280020113922216
tralie,5.276831196379917
tsaren,5.274672700401962
tasten,5.2563531497304785
torsie,5.253776947635993
tranen,5.25366956018447
tuilen,5.251394556464188
traden,5.245051804217547
traint,5.240291868653864
tapten,5.232465222359383
torens,5.228066522005736
teneur,5.224344248901815
tinkel,5.209174989222044
taster,5.205718198397498
toepen,5.200680195584115
teuten,5.200287366004443
tolken,5.1945719602386164
tergen,5.1888349324721545
treden,5.183535812872645
tikten,5.180246077504799
teuter,5.17824390295419
tersel,5.178127317752141
tensie,5.178018932448034
traite,5.17567016238541
tripel,5.1743754524398025
torren,5.173235550822145
tenger,5.172403831879454
takten,5.1714461837514865
toeken,5.167566478471276
testen,5.159271814263078
toeans,5.151981417419824
tingel,5.148451032919759
toekan,5.1467780875138125
tender,5.138390085075529
tester,5.135096164884589
tropee,5.127353159521557
tuisen,5.120404858206583
tinten,5.120399779962814
target,5.118274032306446
talmen,5.117493302455951
tornde,5.11440458155259
talies,5.107304575862759
tondel,5.106026366713362
tetser,5.097858685251774
talmer,5.0952439046267415
tering,5.094154835675695
tolden,5.09313590067169
tremel,5.0899540096664895
turken,5.089849869422347
traven,5.086208678857267
tooien,5.0827933202557105
tonsil,5.077019109438142
talent,5.076335693605711
trotse,5.075171429375263
tarief,5.066266873562901
torste,5.064518954549497
toenam,5.053614806401295
triest,5.050814760309124
tilden,5.048530204982427
troela,5.0428388662298875
tinkes,5.041175322733725
tarnde,5.025293679614107
treven,5.023197169834181
tuiser,5.02228825974972
tienen,5.018542193298458
tuniek,5.003382536001207
taksen,5.0031199141875256
turnen,4.996810425913791
triste,4.996164511952946
taaien,4.989523611322529
toefen,4.984258219714379
tanige,4.980541633410109
tr1sen,4.970559525550621
tenant,4.967263830320266
tranig,4.965006821727147
tinkte,4.959763796847429
tenten,4.959342787145612
troste,4.957792382357347
teleur,4.954963143086303
taaier,4.951748547711774
tuiert,4.951056654366097
tekort,4.950363535106261
totale,4.949180561936553
timpen,4.94873123061523
tartan,4.943730087085377
teflon,4.9273676759347245
tenues,4.925970334995696
traste,4.925922738505511
tinnes,4.923652764297395
tuigen,4.915379572913036
tankte,4.9125263577703535
talons,4.910580655454981
trofee,4.908850706246301
tuinen,4.906592115481055
taters,4.903923912781289
tirade,4.900662851816215
tengel,4.8999514463432385
tuners,4.899618505834927
toeven,4.898263646949219
trials,4.898206205652283
terige,4.897206362141111
tuiden,4.895563567744955
tarots,4.893338723913249
telgen,4.880098392340659
tukten,4.878382746952319
telden,4.877942361035585
toemat,4.8741933300394304
term1n,4.868825087887596
triode,4.86832110073017
tulpen,4.865146261773396
terend,4.863225992964999
turven,4.8631195256836515
tielse,4.861891659514966
titans,4.861270834258366
toeleg,4.8588543350759865
turans,4.858308303082613
tampen,4.854874160088368
tennis,4.848801572891027
triage,4.846332705277446
tripte,4.845353427601951
teerst,4.84396835393506
taptoe,4.8384867720160925
tollen,4.838304552421659
trekos,4.828757510892261
tr1pen,4.825055745729495
trends,4.822924261678454
teling,4.814854547777425
trieer,4.814735072968691
trance,4.81012670455878
tuimel,4.806108282543276
tiende,4.805340099086023
triade,4.795444348661761
telers,4.7896479065625295
touwen,4.7849845895594765
toesla,4.783365756484221
turner,4.780448062957459
treedt,4.778462287320505
tentet,4.77819125885282
teloor,4.776796508115597
trapte,4.775638205646473
tillen,4.775336461591854
tiksel,4.770224359622218
titels,4.769687983360088
tinken,4.762708586011754
toesta,4.761438900448772
tempen,4.759729074934891
toupet,4.7566052365293165
toelak,4.755701782903609
tandem,4.754525124090085
trilde,4.752760543280456
tintte,4.747701981890486
topman,4.746433370190104
titaan,4.744570470036796
tetter,4.744018890613994
turnde,4.743445057071865
tuften,4.741086557192241
tetten,4.7359557512313515
tanken,4.7325992481183174
teugen,4.731454246116098
tonica,4.731075215171232
tintje,4.728654465915736
tantra,4.728175124180249
troeft,4.728171316578231
tonaal,4.72451382276722
toerde,4.723725844971514
tongen,4.7191118704047055
tariks,4.718513847926484
tolkte,4.714871255218785
tiemes,4.7126203610235375
tweern,4.712147164828797
tallen,4.7091023950953925
tampon,4.708369736944023
tonden,4.706194876176734
tunnel,4.705869053414028
touwer,4.701526424537656
tuiers,4.701195586698959
treife,4.700340199762598
tareks,4.697764801140006
tartte,4.694742204190227
tierde,4.6944849305376986
temper,4.691574916457115
tekent,4.688095648165131
tapirs,4.687700709910339
tomben,4.685179426005848
treeft,4.683173191456291
tricot,4.679961854183569
talige,4.677846944648169
travee,4.6725146258591055
terzet,4.669908567425777
toepte,4.66785840239653
tittel,4.667188305733983
taxiet,4.666856879572055
torres,4.662495046524711
teller,4.661171612525184
traant,4.658080226876677
tarpan,4.654881243606548
telpas,4.654620636452832
tildes,4.6544647073226555
tossen,4.653861499828801
timons,4.6535980469149205
tuinde,4.652372558100356
troont,4.650702447322513
timers,4.648816400479593
tamers,4.647605106517168
temden,4.638906680351382
turend,4.619962954380737
tantum,4.619568036719455
tangen,4.61866445537358
tentje,4.61486945207565
turban,4.614666714753155
tanden,4.613958287749229
tarbot,4.6136371036319295
tinnef,4.611384024813723
taling,4.609673619815697
taroks,4.609166903102891
tellen,4.606025550834234
tapete,4.600213950640081
turkte,4.594264228647963
taekes,4.587729473866517
triool,4.585721273071507
toornt,4.579465297446425
tuiste,4.57837189007307
tablet,4.576752987279072
tongde,4.573237927667147
terras,4.561509158794256
tribal,4.561495275282403
tassen,4.560793206235882
taxeer,4.5583595753279855
takelt,4.557162163951105
tonics,4.554089319442824
toxine,4.55115174292973
teakes,4.550965445299694
toepas,4.5507844465518135
tutten,4.54211075613856
tutter,4.541384639613033
tovert,4.525809238620084
totems,4.524466546652743
timmer,4.522621480642809
tapuit,4.519903988817532
tromde,4.515234750067071
tippen,4.502357489539775
tobden,4.501741189525182
toppen,4.499283814082657
tekens,4.499243288205863
tokken,4.4986186054070885
taedes,4.493257798668171
tempel,4.490578632834762
tremor,4.4896356302530975
thesen,4.487915144505113
trimde,4.4877779303144925
toeval,4.4863621400591525
tajine,4.484151364912407
toette,4.478401685145426
tagr1n,4.475823741316363
teugel,4.472933218936019
tullen,4.470698369100146
trager,4.470380471971506
topl1n,4.464104305142307
tonend,4.46392739786218
turkse,4.458264047066272
tramde,4.456175510196453
typten,4.453700380390498
toetje,4.452914762756212
trouwe,4.451108103962161
trompt,4.447741540395751
tatert,4.444289652215595
togati,4.443532133640233
toedek,4.443475857272654
tikken,4.442915700980939
temeer,4.442857512192448
tipl1n,4.436048905146478
tappen,4.4331775074833875
tonnen,4.432755136211203
tekeer,4.427509243507647
tikker,4.424314498261429
totaal,4.416696158028143
tergde,4.416442926243483
toezei,4.416333450511248
tammer,4.415946640553217
topper,4.414564199755918
trotyl,4.411779916455281
tr1ste,4.411457122059124
takken,4.409195937779502
taille,4.397914870342406
takels,4.3928647560474055
toplui,4.391808694151476
teemst,4.3855037436418165
treurt,4.3800992028968295
taboes,4.379190328685605
tilles,4.378775897279731
tanend,4.374029922168125
tinnen,4.369211371612753
trosje,4.366557759618679
toezie,4.365495497086116
tafelt,4.362249610451487
tegens,4.36113508981997
tepels,4.359955480011118
tunica,4.357450797123555
tofste,4.356830174042574
ticket,4.351950099542944
tapper,4.350878602867753
tegaar,4.350680992667378
temmen,4.349775570935442
tolweg,4.342015893248989
todden,4.340994926562591
toewas,4.3289007347740585
temmer,4.313583354146659
tibers,4.305743477716692
typeer,4.3026226060909645
tolhek,4.29897131646269
trendy,4.297843309825218
