Guess,Weighted Avg Log
ulster,4.416607904809984
ultiem,4.382021446536747
uitten,4.329239931817577
uittel,4.326465890981193
uiteen,4.304334460922028
uitleg,4.2918794327079555
ulftse,4.270910335425636
uremie,4.2317461816973845
uiltje,4.218128820706466
unster,4.16992500144231
uitpel,4.162573265150911
uitlas,4.158636891537681
uitrek,4.141604167868592
uitlek,4.115086988913503
uilkes,4.107017709595356
uivers,4.10424366875897
uitsla,4.103081335982125
uitbel,4.062305474194333
uitend,4.04752578042657
urntje,4.044110417748399
uitzie,4.041336376912015
urbane,4.041336376912014
urgent,4.037844793048881
uitweg,4.030493056757481
uilige,4.016875695766563
uitjes,4.012939322153333
uitnam,4.009523959475163
uiiger,3.9959065984842446
usueel,3.9822892374933256
umpire,3.9721634603655405
umlaut,3.9675857649105253
uitban,3.9539684039196077
utopie,3.951194363083222
uitval,3.9500320303063767
uitrol,3.9472579894699917
unfair,3.9364146693154582
uitzet,3.91544557203314
uitsta,3.898412848364052
uitbal,3.8944764747508214
unzipt,3.8774437510817332
usuele,3.8711781263822145
uitwas,3.8598900164775847
ureter,3.8582783084180434
uterus,3.8559536428643537
ulanen,3.8400832519721115
uittap,3.8400832519721106
uitmat,3.821888195526178
ultimo,3.817951821912947
uitzag,3.8082708345352594
unieke,3.794653473544341
uitgil,3.787301737252941
uitzat,3.7873017372529407
uitdun,3.78175365558017
uitdoe,3.780591322803325
uurtje,3.7562068628428364
uitgaf,3.7317461816973854
uitwon,3.7068407108018366
uitkam,3.7029043371886057
uitham,3.7029043371886057
uitwin,3.6722542525285995
uiting,3.637667794255363
uithak,3.630316057963962
uitzak,3.6166986969730437
uitgum,3.615086988913503
uitkap,3.612762323359813
uitpak,3.612762323359813
uitrit,3.6105092934584886
uitvis,3.6070177095953557
utopia,3.6070177095953553
uitlik,3.5957295996907255
uitput,3.580500530640266
unieks,3.579338197863421
uniefs,3.579338197863421
uitbak,3.5708241287951763
udense,3.554953737902933
uitwis,3.5168756957665637
uitgom,3.5124945324032355
uithol,3.5016512122487025
uitlok,3.5016512122487025
uitruk,3.493850100674607
usance,3.4818444477432284
uitr1d,3.441068585955436
uppers,3.436490890500422
uitdos,3.4037080868458145
update,3.382738989563496
uitw1s,3.370092014790334
ulevel,3.3679592957957323
urkers,3.358278308418044
uitduw,3.348152531290259
uitbot,3.346272655486666
uitwip,3.2918794327079555
uitb1t,3.290717099931111
uitd1t,3.279950000961541
uitkom,3.277175960125155
urbaan,3.237604923405167
uitzit,3.231301391947288
uitkip,3.2216204045695997
uitpik,3.2216204045695997
uitz1g,3.169480211692214
unicum,3.113283334294874
upload,2.976372587255421
uithof,2.9445601698185695
uitw1k,2.873583598653467
u-1zer,2.8413642982248786
uitk1k,2.664571854430426
