Guess,Weighted Avg Log
vilten,5.848463409296282
violet,5.796419765550252
vertil,5.762503012556255
violen,5.722901391437718
vloten,5.656330941903072
vertin,5.6229540702542185
verlet,5.603820895079372
voltes,5.596054849644251
vierel,5.590483962092904
vielen,5.578422657239348
vertel,5.572549993002529
voeler,5.5686760711665295
volger,5.560871751913188
vilder,5.5539080285556075
valnet,5.546567129475527
veiler,5.541789227125705
vetrol,5.529448649685795
vleier,5.50989131930151
veilen,5.50433965585082
verton,5.50316990778763
vilden,5.497920408394978
volgen,5.494686092159453
valser,5.469191505444566
verlos,5.464432557273426
voelen,5.463301996033761
valies,5.462656647818107
verlas,5.4605817815753195
voeter,5.4589898435855595
verlig,5.447334258610581
vaster,5.446336781556036
vraten,5.433954275483113
vinger,5.425151351042496
vorsen,5.423640565438641
verlag,5.409301187633506
vleten,5.405041420506973
vloeit,5.396724866764112
vieren,5.393052081251315
venter,5.389091746103632
volant,5.3769615489474605
vleien,5.374509439814009
vitsen,5.364883562686869
voiles,5.363661286055809
vlogen,5.355297952188576
verkil,5.344811084326271
velgen,5.339206029746965
virale,5.337061008132869
villen,5.336353459380243
volder,5.3339884117050795
vertas,5.332000056141562
veruit,5.331171079244576
vergal,5.3291264027131975
voeten,5.328119447924403
vernis,5.326984414228358
visten,5.326333456138165
verten,5.325340057496267
vuiler,5.312123879973712
vitale,5.304246689010471
vinder,5.303024904202
vertik,5.299710817821034
viriel,5.286587150638658
vreten,5.282260855189094
volken,5.275037425304914
vertes,5.267589154578992
vasten,5.266126386626631
voeren,5.264561078472976
voller,5.261392096280288
vorken,5.24652686915249
vergat,5.244407651824079
vondel,5.241266208148608
vloert,5.236424528020243
visnet,5.229364759739525
vignet,5.223071485770543
verlok,5.216410136995184
vinker,5.21578211002017
vloden,5.215468099823019
verlak,5.204653317760289
vonkel,5.199420355122117
vesten,5.188782372791964
vlagen,5.188094297963852
vertui,5.18794426242208
vanger,5.181666442384041
vollen,5.1812757020797
velden,5.178140171440547
voeger,5.167970731914076
verons,5.167173134618773
vering,5.165242554142224
valken,5.160446092412906
veulen,5.159725767656638
vouten,5.158871680778193
vorste,5.154294971239535
vitter,5.153824160584477
volzet,5.152347108393402
vonder,5.148906728405369
vetlok,5.145370702015759
versie,5.1418813365474545
vragen,5.138399660550263
vorige,5.137882945318919
veinst,5.13736295315116
voluit,5.135220000103795
vanuit,5.129681760596698
volste,5.1288517505079865
varken,5.114436188849398
versta,5.111214978868115
verlam,5.104520371703806
versla,5.099672087748468
velaar,5.094211782795581
vergis,5.091687769419321
vereis,5.091448827484484
vergen,5.091289431695024
valige,5.087144796399117
vr1lot,5.086515732319922
volvet,5.0852785155098275
vendel,5.084860669685094
viseer,5.080145232560148
vallen,5.074634577120684
vladen,5.07002297228591
vergas,5.069316942483807
vertak,5.066893299599621
venkel,5.065311813673567
vormen,5.062213067813444
vallei,5.062056067349209
valere,5.057812623566413
verzit,5.056402443586862
vitals,5.055036777639246
vorens,5.054851128261955
valwet,5.0530302110211265
valste,5.049734332884146
vergun,5.040879264706981
vellen,5.038369710585082
vilmes,5.035548979542311
vliegt,5.034207329832429
verlap,5.033863975259453
verzin,5.026875718625902
voegen,5.0257309532551515
verlep,5.017932387600094
verste,5.0025049775521815
venige,5.000082131675495
vestig,4.996695678400723
verwin,4.986455197036144
valide,4.985470001293946
verhit,4.984357410365346
vitten,4.9842502055513975
verrol,4.980641671413087
voeder,4.979086440985981
veilde,4.973662894604301
vilein,4.970178122300443
verrel,4.9665158921768855
vriest,4.964716214485719
verlof,4.962797888582743
vromen,4.959815825972637
valeur,4.9554395062411105
varren,4.951133202146512
volzin,4.9496790578629
vinkte,4.946508240637012
volsta,4.9456237498676545
varens,4.941861451810475
velvet,4.939039002775654
vellig,4.938929363652614
verman,4.937138100038757
vermat,4.935351714338239
verken,4.935014985652657
volute,4.9342936736656355
vliedt,4.928485282501647
vroren,4.923570693725842
vuiger,4.921935699555673
vulden,4.9193763101062915
verl1d,4.913726372632799
visl1n,4.913142308916491
vogelt,4.90943556508238
verdun,4.9084006310490516
verdik,4.902004373200323
vrozen,4.900265694267359
viltje,4.896043419510142
verzon,4.895362620018694
verrot,4.893069509425296
viraal,4.88771150864545
veters,4.8832812271417
voeden,4.875980991070834
vonten,4.875335954806137
vierde,4.872210478136013
visgat,4.868358072512944
verzat,4.86751405801787
vertap,4.866618840460182
vleest,4.864996638091455
virago,4.86333419041273
vergok,4.8632458033698365
verdut,4.8630158359753795
verkas,4.861745303089408
verdoe,4.859485447363397
vorser,4.858519656611535
vonkte,4.856458860311044
vermis,4.85513123675771
vlaste,4.85427119936507
verzot,4.853591740358343
vuelta,4.853527344398145
vereng,4.853153999345337
vieste,4.852424293457697
v1lden,4.851789600465562
vreter,4.850931103774381
vloekt,4.850349233384646
viezer,4.845949044180026
voelde,4.844808938011249
verwon,4.844501769139904
verban,4.842128592689421
vronen,4.838537435757612
vuilte,4.83684216534819
vervel,4.835552378721438
vitaal,4.8324238178731855
vatten,4.830621558996746
vreest,4.82667976405514
verzet,4.82270640199388
verval,4.821804851305248
vetbol,4.817482508039701
votief,4.813897021378499
vermei,4.812983807948564
vector,4.811997731919806
vernam,4.810737506226599
verpot,4.809939746598668
vedelt,4.808050697849512
vredig,4.807372567994596
vlokte,4.806607358747992
volgde,4.800360283219362
viever,4.799944015841757
vetarm,4.79484811474966
vl1den,4.790327534127027
vetter,4.788163111808199
ver1st,4.78046564504472
viewer,4.77879987437459
vangst,4.777999978948668
verzie,4.773035114416148
vervat,4.769196077286641
vredes,4.765339238220237
vleide,4.765054548636955
vurige,4.7634994277100775
viskar,4.757562422803836
vanher,4.7534406604665005
volkst,4.747636566134254
visser,4.7464926845901445
vl1tig,4.738977293299285
verzen,4.736515715545638
volkse,4.734676692298288
varend,4.732558598932718
vullen,4.724591595671929
veilig,4.724245595445868
verras,4.722785980780444
vervet,4.721826194872612
vetr1k,4.717400309951333
vigeur,4.71521527364863
vriend,4.712899132030565
verend,4.710391502693905
voorin,4.708858259767185
vondst,4.707538182732207
vetten,4.705905551918454
vadert,4.70262174456925
vomeer,4.693808645160153
venten,4.691684725557026
vroege,4.68843132401649
vr1uit,4.688365721590867
vlezen,4.685124350887651
veegst,4.684698432451249
vergde,4.66625521259479
veelte,4.662644411140147
vorder,4.66152593577251
verwen,4.660689830496247
vermag,4.659458734306712
vlakte,4.659190831972207
vrezen,4.656286768007818
vlooit,4.655011854741168
vlekte,4.6523503652658125
voerde,4.651690330397261
valt1d,4.650541944669107
vulpen,4.650009426551267
vlotte,4.645919927996361
vinces,4.644827160805627
verven,4.643464907284707
vrager,4.643309196139553
vrille,4.6410412547813555
vlegel,4.635192120643463
vingen,4.634220915548355
vesper,4.629369201164556
vergif,4.629320242697472
vr1den,4.621815666450494
vranke,4.619589123912159
verdek,4.617177404423608
veelal,4.616338480460128
vuilst,4.615188990091679
viltig,4.612842230173407
vogels,4.611097198402844
visben,4.610474636214885
vegers,4.608851961416248
verwas,4.606481839163018
verhul,4.601854596777044
vlotje,4.592340349789782
verbid,4.59082918020853
vettig,4.590755169689612
vetwei,4.588948265243965
ventte,4.587246375221718
verser,4.580323776360257
vereen,4.579380447849858
vervul,4.577715627515836
vl1men,4.577032040426461
vlezig,4.57585926599693
vinden,4.57493237876941
vrol1k,4.574063119099493
verzag,4.567745111710872
vonnes,4.563610810684484
vossen,4.563501330164662
vezelt,4.562503458900929
veneus,4.560096722760937
vroede,4.559200426416276
vutter,4.557763774030577
vissen,4.553863040744494
vooral,4.552894400382428
visman,4.548775962938842
vagere,4.545646404635091
velpse,4.541493440141213
vaalst,4.535234871247342
vlakst,4.535125921971968
versas,4.533728287407116
verzeg,4.5304582484224705
vergaf,4.528975044987419
verwik,4.523320078494827
vr1ste,4.5148667886006315
verdor,4.511318518968029
vunzer,4.502897874794588
ventje,4.5020256391001
vuilak,4.498234742895586
verw1l,4.497498859439386
valhek,4.496673174215528
vormer,4.496051346644115
veders,4.493058524272678
viefst,4.492665201965183
vedels,4.491582175525505
vispan,4.488412090121436
vinken,4.475404192907712
vulsel,4.47511673794638
vlette,4.4742863539965905
verdom,4.472928959926954
vr1sta,4.463607901451097
velums,4.463330187669357
verf1n,4.455711791172411
volume,4.449942719409526
valium,4.449101096987738
vetoog,4.4456086690046295
vromer,4.445335923564077
veeres,4.444276268801668
vizier,4.436530421004355
vangen,4.436471533664855
vlagde,4.434103546291502
