Guess,Weighted Avg Log
winkel,5.625370330503729
wankel,5.559144549847023
walken,5.506146479017701
wielen,5.497526579656586
wieren,5.475298875057108
walker,5.439474980190108
windel,5.437574677986779
wilden,5.4237344135882655
winket,5.417424409218297
winter,5.416431162400889
walsen,5.4075035414562524
warden,5.3973824119902565
werken,5.389610390400746
wieken,5.387102714028723
warnet,5.3805451220259854
wartel,5.367153304859374
wandel,5.365620678351847
wikten,5.352895638700335
walden,5.34608986111007
wentel,5.329102769359835
welken,5.324463506199838
wilgen,5.323445496863837
wraken,5.311608708141157
wilder,5.307592975948866
welker,5.291559918718761
windes,5.288061960511406
wilkes,5.286712466676906
walgen,5.2816459289017335
wisten,5.279678837553907
wiesen,5.272967955527226
walser,5.269695675195042
windas,5.240232793061817
wasten,5.227184964876788
werden,5.208515781281253
wolken,5.201027252321306
welaan,5.198898087863384
woelen,5.185189093919687
wreken,5.181709935995296
wering,5.178296896837321
walmen,5.174725765200398
warmen,5.174181759463506
wieden,5.167423326041399
worden,5.164847894990959
wielas,5.163741610216947
wedren,5.159601149655477
woeien,5.15201806457182
weeral,5.147089053091637
witkar,5.142378054335339
wegren,5.137252700433006
witsel,5.13661521938615
weiman,5.125494310822413
welden,5.117465788572961
wekten,5.116679986394923
wiekes,5.096922315933332
wonder,5.0961591096240095
wasrek,5.095244073829727
werkos,5.094928516962894
wiegen,5.093249685009505
wieder,5.086685006506681
wortel,5.083779919812548
worgen,5.083366078265241
weiden,5.076329367101772
westen,5.0638658766414695
wegrol,5.059425572942635
wenkte,5.059315427299964
weldra,5.055168980495091
welgat,5.053020643663332
woeker,5.036288899098913
weners,5.031297174398062
wierts,5.028065320330683
waarin,5.026218266312391
werpen,5.018696628568769
winner,5.018288873262733
weider,5.007050000588682
wiemen,5.005388240929253
wegrit,5.003676143492413
warren,4.9920555971875
wierds,4.986513881864505
waring,4.978659406838926
w1nrek,4.978022407904915
wasrol,4.9774552364004085
willen,4.974610170974369
wiegel,4.974493137844339
weetal,4.972244002018857
waling,4.966657947196728
warong,4.952946083058658
wiepen,4.9433202982122015
weitas,4.941962966291538
werven,4.940339580182893
warrel,4.935448271715797
weiger,4.93370335153362
winnes,4.93318782910593
wipten,4.932920071653937
wenste,4.932914494006666
wasgel,4.930045497221661
wormen,4.92933407122719
walkte,4.916534255914175
worpen,4.9146812463612655
wallen,4.91392717372876
woeden,4.90588916143011
welpen,4.900868580602193
wiemel,4.884448398919943
wasl1n,4.879998107757872
wispel,4.8695452369914225
wanten,4.868333314427244
werkte,4.865669237886013
wisent,4.865471638828346
wegrot,4.859551849088053
waaien,4.849142004193724
wulken,4.836390076501677
welige,4.833116024234551
wegnam,4.828227429790006
winden,4.8188084958084385
welkte,4.8155432169240315
wierde,4.809729053287734
welven,4.799484423996109
wervel,4.792126412256483
wipkar,4.789207446285882
weglok,4.789040146832481
wikken,4.786114111615058
wakend,4.782361247293592
wenken,4.779032471608534
weides,4.776758354542874
walids,4.768032734610678
wielde,4.764045353415894
walste,4.7596496025732336
wegsla,4.749055769263548
wanden,4.746978061596275
wespen,4.740547558644396
waaier,4.737595886125423
w1lden,4.732938950090744
wissen,4.732860031787292
wrange,4.723151514441098
wuiten,4.721632424083329
wolven,4.718801715059943
wiebel,4.717691207169483
witzen,4.716992932074118
warres,4.716166971512803
wiekte,4.713213861747442
wakers,4.7086663221373
wreven,4.703650495291072
waskan,4.7012108354851625
wakken,4.69556768469516
weedas,4.693401319991076
windei,4.692582558146993
watten,4.691146722063303
wereld,4.688399822162946
woelig,4.688024810461746
wellen,4.686382993407148
wolvin,4.673888655608096
wagens,4.669222050552199
wensen,4.66846044702299
witten,4.667314325748011
wangen,4.665640979537418
waters,4.663265396620838
walgde,4.661722542965723
weleer,4.661060021922648
wikkel,4.660579139918697
wetend,4.65160684706624
wisser,4.647261131079925
weldoe,4.640435963897393
wassen,4.640171601177307
wegens,4.63990263707993
wrikte,4.634665436205117
werker,4.634303882776979
wurgen,4.6330770968497035
weerga,4.626777677717229
wagons,4.615609136058788
wissel,4.615107078766416
welnee,4.614998210313499
weimes,4.605307211204907
wegval,4.604524258649296
weekst,4.603681410419334
wodans,4.6019138894741465
woedes,4.5973921644905715
waskot,4.595124127796637
welkom,4.59237165451626
wollen,4.590592035438998
witter,4.587745293893881
wildst,4.5873325632733355
wimper,4.575564855542558
wakker,4.574865307211291
wiebes,4.573694812398703
wenden,4.57248061916911
warkop,4.564973987951017
wolkig,4.562827354908827
weidse,4.553084723110227
wapent,4.547887912686845
wekken,4.54577592996614
wegr1d,4.543069374507477
wrevel,4.541992123871642
walvis,4.541605492157939
wegers,4.540596327411164
wimpel,4.5382805156109045
warmte,4.536292403194612
wurmen,4.533333514899622
w1dten,4.531359124312821
wecken,4.525471251046418
warmde,4.520574581692035
walrus,4.518317879682482
wadden,4.5169936516242535
wegert,4.516774383919285
w1nbar,4.508615746721931
wreker,4.505796035677708
wetten,4.503702393837348
wantte,4.503352344747196
wapens,4.503350869942731
walmde,4.5004880897123405
wegdek,4.499352672705378
wegels,4.499184617133662
wrakst,4.498122221682623
wasser,4.491239108139037
wekker,4.489333996177935
welz1n,4.4892871075550715
wringt,4.487844149516719
wimber,4.485901916205798
wiggen,4.483697034339231
wonden,4.48046389924951
waynes,4.476814353268935
wreekt,4.475992357533565
weerom,4.474246609793263
warrig,4.46733633126293
wegend,4.462543745991052
weifel,4.453873477385304
warmst,4.451554911896238
wolkam,4.451115050475165
worgde,4.447933064362653
wanend,4.443772452769164
welles,4.443180462795868
w1nbal,4.438825456458215
wokken,4.438775624753568
wegpak,4.437478144836079
woelde,4.427946503482762
weinig,4.424951592784479
