Guess,Weighted Avg Log
zeiler,5.45108768337902
zeilen,5.435945433166484
zielen,5.419016263199316
ziener,5.339710764155116
zeiker,5.302852924181117
zoeter,5.302250032660159
zeiken,5.2919439652237825
zoeten,5.2904961798512
zoelen,5.266102153285053
zieken,5.2575607675172575
zeiden,5.253949497972612
zieker,5.251612289370184
zieden,5.227166556774474
zoeler,5.217440757802661
zoener,5.2031230310418595
zoeken,5.183430731514337
zoeker,5.138071187113129
zender,5.130609977723424
zelden,5.1293473190144585
zenige,5.127530043623538
zeulen,5.107236444076029
zeisen,5.091853324994348
zweien,5.081626441347122
ziende,5.068536316136976
zeenat,5.050717428667815
zinker,5.010405473295168
zwelen,5.008041910639046
zweten,5.006604378660687
zerken,4.99699059560401
zeilde,4.983132332142712
zoende,4.973732379176525
zinder,4.973697361511424
zegden,4.962313319006798
zoelte,4.958838781427918
zeuren,4.957532305100792
zonale,4.945084907440843
zeikte,4.936993832431852
zolder,4.923996608426482
zonder,4.918242262288489
zoetig,4.916613263153338
ziekte,4.916601714207951
zoemen,4.9082424253787975
zander,4.904298120620555
zuilen,4.887741598827731
zeugen,4.887388042404545
zetl1n,4.88667651032619
zoemer,4.882276199309797
zanger,4.879911080532191
zeerot,4.870739310605356
zengde,4.865953343036908
zouten,4.859604142471962
zouter,4.841144368323029
zakten,4.828339509073439
zetsel,4.827121278388354
zesden,4.81049605295685
zulten,4.807110177420348
zweren,4.806975424947978
zefier,4.80613605503811
zoenen,4.802744288990444
zegent,4.797367493438294
zweden,4.797183051499207
zwegen,4.768142651467145
zekert,4.765933478987973
zeekat,4.763011621729424
zeeman,4.759660983633554
zoeven,4.7358834112513115
zondes,4.722990891119969
zouden,4.721962538590207
zedige,4.718500037356605
zorgen,4.714324202924063
zondag,4.7133286849166645
zalmen,4.709349648814205
zetter,4.708188046466037
zanikt,4.707768016255669
zuiden,4.707543127551161
zoelst,4.699859748475052
z1iger,4.697851799054833
zinr1k,4.693746509386209
zinl1k,4.690551186282648
zestal,4.685585067332814
zaling,4.682919917218404
zeelui,4.672923830208261
zeegat,4.669515024685416
zetten,4.6624522847953696
zuigen,4.655821642690794
zandig,4.655467096964437
zworen,4.652190860690047
zegelt,4.650243884281934
zondig,4.649800176796088
zengen,4.645463860276474
zilver,4.643253095583645
zenden,4.642907814758194
zeulde,4.642374634065438
zeurde,4.639598219742411
zwenkt,4.635263659735995
zetpil,4.6325822239237455
zeerst,4.628119151399438
zeurig,4.62647968527697
zurkel,4.625543146089671
zuiger,4.618376046005705
ziekst,4.617940740362555
zwemen,4.610650486205922
zeearm,4.609539633749075
